round player action_player opponent action_opponent payoff time_php time_js who_played
1 usuario1 C ['usuario7'] C 3 4836.60006523 3548 user
1 usuario2 D ['usuario12'] D 1 12582.0000172 11282 user
1 usuario3 D ['usuario4'] C 4 4067.39997864 2783 user
1 usuario4 C ['usuario3'] D 0 6981.89997673 5677 user
1 usuario5 C ['usuario6'] D 0 8016.59989357 6725 user
1 usuario6 D ['usuario5'] C 4 9463.99998665 8173 user
1 usuario7 C ['usuario1'] C 3 10843.8999653 9558 user
1 usuario8 D ['usuario16'] C 4 7882.40003586 6595 user
1 usuario9 C ['usuario15'] D 0 8086.49992943 6801 user
1 usuario10 D ['usuario11'] C 4 11112.1001244 9816 user
1 usuario11 C ['usuario10'] D 0 6817.00015068 5522 user
1 usuario12 D ['usuario2'] D 1 27671.6001034 26379 user
1 usuario13 D ['usuario14'] C 4 3446.59996033 2010 user
1 usuario14 C ['usuario13'] D 0 4501.69992447 3210 user
1 usuario15 D ['usuario9'] C 4 7778.20014954 6488 user
1 usuario16 C ['usuario8'] D 0 6607.30004311 5317 user
2 usuario1 C ['usuario6'] D 0 3054.30006981 2894 user
2 usuario2 D ['usuario8'] C 4 13501.3000965 13438 user
2 usuario3 D ['usuario15'] D 1 3382.79986382 3356 user
2 usuario4 C ['usuario16'] D 0 6952.69989967 6922 user
2 usuario5 D ['usuario9'] D 1 25466.5999413 25437 user
2 usuario6 D ['usuario1'] C 4 8639.8999691 8609 user
2 usuario7 C ['usuario14'] C 3 4045.39990425 4021 user
2 usuario8 C ['usuario2'] D 0 3448.09985161 3421 user
2 usuario9 D ['usuario5'] D 1 16706.9001198 16678 user
2 usuario10 D ['usuario11'] C 4 18686.8000031 18654 user
2 usuario11 C ['usuario10'] D 0 8409.10005569 8381 user
2 usuario12 D ['usuario13'] D 1 17255.8999062 16955 user
2 usuario13 D ['usuario12'] D 1 3318.59993935 3133 user
2 usuario14 C ['usuario7'] C 3 5694.4000721 5523 user
2 usuario15 D ['usuario3'] D 1 6387.3000145 6359 user
2 usuario16 D ['usuario4'] C 4 8038.50007057 8009 user
3 usuario1 C ['usuario7'] C 3 3426.19991302 3399 user
3 usuario2 D ['usuario4'] D 1 10096.6000557 10067 user
3 usuario3 D ['usuario11'] D 1 3421.59986496 3396 user
3 usuario4 D ['usuario2'] D 1 3616.10007286 3596 user
3 usuario5 D ['usuario8'] D 1 25543.2999134 25515 user
3 usuario6 D ['usuario14'] C 4 5254.49991226 5224 user
3 usuario7 C ['usuario1'] C 3 2839.10012245 2813 user
3 usuario8 D ['usuario5'] D 1 1810.29987335 1785 user
3 usuario9 D ['usuario12'] D 1 9416.80002213 9389 user
3 usuario10 C ['usuario13'] D 0 3261.10005379 3236 user
3 usuario11 D ['usuario3'] D 1 2733.60013962 2711 user
3 usuario12 D ['usuario9'] D 1 13419.8000431 13392 user
3 usuario13 D ['usuario10'] C 4 2524.69992638 2497 user
3 usuario14 C ['usuario6'] D 0 8139.90020752 8098 user
3 usuario15 D ['usuario16'] C 4 4574.8000145 4550 user
3 usuario16 C ['usuario15'] D 0 10798.0000973 10766 user
4 usuario1 C ['usuario14'] C 3 1890.50006866 1866 user
4 usuario2 D ['usuario3'] D 1 4496.70004845 4467 user
4 usuario3 D ['usuario2'] D 1 3316.10012054 3290 user
4 usuario4 C ['usuario5'] C 3 10436.2001419 10409 user
4 usuario5 C ['usuario4'] C 3 25864.1002178 25834 user
4 usuario6 D ['usuario9'] D 1 5334.50007439 5304 user
4 usuario7 C ['usuario15'] D 0 3568.0000782 3541 user
4 usuario8 D ['usuario16'] D 1 1889.19997215 1871 user
4 usuario9 D ['usuario6'] D 1 8836.8999958 8811 user
4 usuario10 D ['usuario11'] D 1 3220.79992294 3195 user
4 usuario11 D ['usuario10'] D 1 4480.90004921 4453 user
4 usuario12 D ['usuario13'] D 1 6871.59991264 6849 user
4 usuario13 D ['usuario12'] D 1 2142.00019836 2116 user
4 usuario14 C ['usuario1'] C 3 3277.09984779 3251 user
4 usuario15 D ['usuario7'] C 4 5720.39985657 5689 user
4 usuario16 D ['usuario8'] D 1 8160.79998016 8134 user
5 usuario1 C ['usuario12'] D 0 2387.39991188 2365 user
5 usuario2 C ['usuario10'] D 0 3428.09987068 3402 user
5 usuario3 D ['usuario8'] D 1 4156.39996529 4130 user
5 usuario4 D ['usuario16'] C 4 4723.20008278 4696 user
5 usuario5 C ['usuario11'] C 3 27543.6999798 27512 user
5 usuario6 D ['usuario7'] C 4 3885.69998741 3861 user
5 usuario7 C ['usuario6'] D 0 3163.50007057 3136 user
5 usuario8 D ['usuario3'] D 1 2759.59992409 2731 user
5 usuario9 D ['usuario15'] D 1 3575.00004768 3550 user
5 usuario10 D ['usuario2'] C 4 6771.60000801 6712 user
5 usuario11 C ['usuario5'] C 3 6785.00008583 6755 user
5 usuario12 D ['usuario1'] C 4 5219.09999847 5189 user
5 usuario13 C ['usuario14'] C 3 1916.40019417 1891 user
5 usuario14 C ['usuario13'] C 3 2618.40009689 2587 user
5 usuario15 D ['usuario9'] D 1 8130.59997559 8099 user
5 usuario16 C ['usuario4'] D 0 6149.60002899 6120 user
6 usuario1 C ['usuario9'] D 0 3807.69991875 3778 user
6 usuario2 C ['usuario15'] D 0 3790.50016403 3772 user
6 usuario3 D ['usuario7'] C 4 4455.70015907 4431 user
6 usuario4 D ['usuario6'] D 1 3954.79989052 3931 user
6 usuario5 D ['usuario10'] D 1 28328.9999962 28295 user
6 usuario6 D ['usuario4'] D 1 4212.59999275 4188 user
6 usuario7 C ['usuario3'] D 0 2903.50008011 2878 user
6 usuario8 D ['usuario16'] D 1 2139.8999691 2098 user
6 usuario9 D ['usuario1'] C 4 7166.10002518 7135 user
6 usuario10 D ['usuario5'] D 1 11649.9998569 11620 user
6 usuario11 D ['usuario13'] D 1 4716.30001068 4685 user
6 usuario12 D ['usuario14'] C 4 6234.29989815 6204 user
6 usuario13 D ['usuario11'] D 1 2351.89986229 2328 user
6 usuario14 C ['usuario12'] D 0 2738.60001564 2714 user
6 usuario15 D ['usuario2'] C 4 5523.39982986 5497 user
6 usuario16 D ['usuario8'] D 1 5268.50008965 5238 user
7 usuario1 D ['usuario4'] D 1 2107.69987106 2080 user
7 usuario2 D ['usuario8'] D 1 4253.70001793 4226 user
7 usuario3 D ['usuario13'] D 1 5286.49997711 5259 user
7 usuario4 D ['usuario1'] D 1 4769.49977875 4752 user
7 usuario5 C ['usuario16'] C 3 28256.000042 28227 user
7 usuario6 D ['usuario15'] D 1 9996.19984627 9970 user
7 usuario7 C ['usuario12'] D 0 6000.1001358 5971 user
7 usuario8 D ['usuario2'] D 1 2393.29981804 2374 user
7 usuario9 D ['usuario14'] C 4 4708.89997482 4680 user
7 usuario10 D ['usuario11'] C 4 10236.1998558 10204 user
7 usuario11 C ['usuario10'] D 0 3151.40008926 3122 user
7 usuario12 D ['usuario7'] C 4 10950.0000477 10922 user
7 usuario13 D ['usuario3'] D 1 2506.99996948 2483 user
7 usuario14 C ['usuario9'] D 0 18303.3001423 18276 user
7 usuario15 D ['usuario6'] D 1 5675.80008507 5646 user
7 usuario16 C ['usuario5'] C 3 6722.19991684 6691 user
8 usuario1 D ['usuario10'] C 4 4641.70002937 4617 user
8 usuario2 D ['usuario16'] C 4 21470.9999561 21442 user
8 usuario3 D ['usuario7'] C 4 3345.80016136 3321 user
8 usuario4 D ['usuario11'] D 1 3052.29997635 3027 user
8 usuario5 C ['usuario15'] D 0 28092.0000076 28061 user
8 usuario6 C ['usuario13'] D 0 16884.3998909 16862 user
8 usuario7 C ['usuario3'] D 0 6867.60020256 6838 user
8 usuario8 D ['usuario9'] D 1 7885.40005684 7855 user
8 usuario9 D ['usuario8'] D 1 3199.09977913 3179 user
8 usuario10 C ['usuario1'] D 0 7568.19987297 7538 user
8 usuario11 D ['usuario4'] D 1 1963.50002289 1939 user
8 usuario12 C ['usuario14'] D 0 2491.40000343 2465 user
8 usuario13 D ['usuario6'] C 4 2511.39998436 2487 user
8 usuario14 D ['usuario12'] C 4 1648.80013466 1625 user
8 usuario15 D ['usuario5'] C 4 5179.0997982 5149 user
8 usuario16 C ['usuario2'] D 0 20380.5999756 20352 user
9 usuario1 D ['usuario9'] D 1 1275.19989014 1257 user
9 usuario2 C ['usuario7'] D 0 23172.1999645 23140 user
9 usuario3 D ['usuario13'] D 1 5864.50004578 5844 user
9 usuario4 C ['usuario11'] C 3 3594.79999542 3570 user
9 usuario5 C ['usuario14'] D 0 24904.4001102 24871 user
9 usuario6 D ['usuario16'] D 1 3866.29986763 3835 user
9 usuario7 D ['usuario2'] C 4 1643.10002327 1622 user
9 usuario8 D ['usuario15'] D 1 6657.99999237 6628 user
9 usuario9 D ['usuario1'] D 1 4918.30015182 4890 user
9 usuario10 D ['usuario12'] C 4 2787.70017624 2763 user
9 usuario11 C ['usuario4'] C 3 2536.7000103 2517 user
9 usuario12 C ['usuario10'] D 0 8009.49978828 7988 user
9 usuario13 D ['usuario3'] D 1 2753.00002098 2727 user
9 usuario14 D ['usuario5'] C 4 3500.29993057 3458 user
9 usuario15 D ['usuario8'] D 1 4454.79989052 4427 user
9 usuario16 D ['usuario6'] D 1 4010.59985161 3986 user
10 usuario1 D ['usuario14'] D 1 1921.59986496 1895 user
10 usuario2 C ['usuario8'] D 0 9299.49998856 9267 user
10 usuario3 D ['usuario16'] D 1 4536.29994392 4515 user
10 usuario4 C ['usuario6'] D 0 3804.80003357 3782 user
10 usuario5 D ['usuario15'] D 1 6107.1999073 6073 user
10 usuario6 D ['usuario4'] C 4 10537.6000404 10514 user
10 usuario7 D ['usuario12'] D 1 6809.79990959 6780 user
10 usuario8 D ['usuario2'] C 4 6887.59994507 6859 user
10 usuario9 D ['usuario13'] C 4 12409.0001583 12380 user
10 usuario10 D ['usuario11'] D 1 7694.90003586 7664 user
