,parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err,round
0,a,5.1240841418636185,0.09808113741774847,4.936971685571686,5.057462077509159,5.122852113457836,5.1899664624554065,5.319208717219061,0.0012882535725391245,0
1,v,-0.049921148547575615,0.02135321602578301,-0.0918458284920463,-0.06446278284276671,-0.0498204081250022,-0.03536730931575105,-0.007864370910825036,0.00033239605497749575,0
2,t,0.13726344750667774,0.04389776833449382,0.05496980402140533,0.1059337659123159,0.13578363804288746,0.16753902550535124,0.22504563999043528,0.0005662719371048805,0
3,z,0.5187023694268782,0.015266039046556434,0.48907059276586623,0.5082400419219206,0.5186069324329236,0.5290824134529766,0.54862340949709,0.00022974420704270564,0
4,a,4.43695067186161,0.0823754827930465,4.273152946961929,4.381550155045505,4.437478475153864,4.49298067334801,4.596471472242446,0.0008989319727551503,5
5,v,-0.13225341287761086,0.024365492079501654,-0.1796528964091142,-0.1487093369026729,-0.13243375871065508,-0.11536693887347865,-0.0852412040212944,0.00028721820419471805,5
6,t,0.08878141060363481,0.032854033190102196,0.03173075460666992,0.06507149354645717,0.08635755202349635,0.11095159254264095,0.1579805073368738,0.00037994788038528914,5
7,z,0.496227946758739,0.014436524955079608,0.467968038961796,0.48644698302524697,0.49623295874211826,0.5059355839367604,0.5244144355574814,0.00018164365695761493,5
8,a,3.924401895149004,0.08154658980897496,3.765517783211105,3.8696469347531837,3.9239862372554795,3.9777251845383295,4.090460283159397,0.0010508151108031638,10
9,v,-0.18605066523807468,0.029420773366748535,-0.2445010929987196,-0.20567205049563086,-0.18629900174305963,-0.16625018151542292,-0.12805462249679128,0.0004598032034720129,10
10,t,0.18903038774952827,0.038798217465392935,0.10829290019252659,0.16401417901184595,0.19046048756490597,0.2159112023538587,0.2604363457257602,0.0005590099395974446,10
11,z,0.4692305814278311,0.015973162404936524,0.4379454797000874,0.45852187231743585,0.4693552048800141,0.4798343706101875,0.5009516427481203,0.0002622309044539001,10
12,a,3.619354911062428,0.07836566478801175,3.470576581730289,3.5655329398571016,3.61832725495397,3.671571655105053,3.7749258208880265,0.0012332928928100264,15
13,v,-0.2204608528056614,0.03272180068001531,-0.28614193064881865,-0.2429125846265472,-0.22034289524098954,-0.1980748389228203,-0.15692323601895275,0.0004775228958180532,15
14,t,0.2942994452378492,0.03628187032076703,0.21783609279252528,0.271103658152822,0.2960793894054222,0.31972443581954463,0.3603850219799654,0.0006704979534532076,15
15,z,0.422471056192468,0.01641117366732799,0.39053484304038144,0.41144645469803653,0.4223248650477641,0.43366957659434197,0.4543650986514653,0.0002697879156317312,15
16,a,3.253274724572437,0.07118163932618177,3.1177566466051143,3.2042361086355853,3.2525155991630883,3.3007045973675746,3.3949496715672467,0.000982346849591202,20
17,v,-0.24439332137138972,0.03543105341922128,-0.31581761879998516,-0.26814665778475516,-0.24427783492969074,-0.22020097986668907,-0.17608334662700925,0.0005267729557796739,20
18,t,0.23649368906845183,0.032451309870540165,0.17020824488863673,0.2154128305054281,0.23742696533757887,0.2593440687940454,0.2961281114886673,0.0004997358066197869,20
