,round,player,response,opponent,action_opponent,payoff,time_php,rt,session,game,strategy
0,1,s3m7_usuario9,0,['s3m7_usuario18'],1,4,4480.19981384,-4.452,s3m7,weak,01
1,1,s3m7_usuario18,1,['s3m7_usuario9'],0,0,9472.30005264,9.443,s3m7,weak,10
2,1,s3m7_usuario7,1,['s3m7_usuario10'],1,3,2238.19994926,2.213,s3m7,weak,11
3,1,s3m7_usuario10,1,['s3m7_usuario7'],1,3,8133.69989395,8.101,s3m7,weak,11
4,1,s3m7_usuario13,1,['s3m7_usuario5'],1,3,5098.50001335,5.043,s3m7,weak,11
5,1,s3m7_usuario5,1,['s3m7_usuario13'],1,3,3129.30011749,3.111,s3m7,weak,11
6,1,s3m7_usuario15,0,['s3m7_usuario16'],1,4,3587.30006218,-3.563,s3m7,weak,01
7,1,s3m7_usuario16,1,['s3m7_usuario15'],0,0,4043.10011864,4.015,s3m7,weak,10
8,1,s3m7_usuario12,0,['s3m7_usuario6'],1,4,4765.99979401,-4.742,s3m7,weak,01
9,1,s3m7_usuario6,1,['s3m7_usuario12'],0,0,5961.8999958,5.935,s3m7,weak,10
10,1,s3m7_usuario17,1,['s3m7_usuario2'],1,3,16088.900089300001,16.053,s3m7,weak,11
11,1,s3m7_usuario2,1,['s3m7_usuario17'],1,3,6274.90019798,6.218,s3m7,weak,11
12,1,s3m7_usuario14,1,['s3m7_usuario4'],1,3,6971.49991989,6.939,s3m7,weak,11
13,1,s3m7_usuario4,1,['s3m7_usuario14'],1,3,2788.30003738,2.748,s3m7,weak,11
15,1,s3m7_usuario3,1,['s3m7_usuario11'],1,3,8762.00008392,8.74,s3m7,weak,11
16,1,s3m7_usuario8,1,['s3m7_usuario1'],1,3,11946.199894,11.928,s3m7,weak,11
17,1,s3m7_usuario1,1,['s3m7_usuario8'],1,3,6753.29995155,6.694,s3m7,weak,11
18,2,s3m7_usuario9,1,['s3m7_usuario18'],1,3,5461.19999886,5.401,s3m7,weak,11
19,2,s3m7_usuario18,1,['s3m7_usuario9'],1,3,2074.10001755,2.044,s3m7,weak,11
20,2,s3m7_usuario7,1,['s3m7_usuario10'],1,3,1495.00012398,1.47,s3m7,weak,11
21,2,s3m7_usuario10,1,['s3m7_usuario7'],1,3,17424.0000248,17.404,s3m7,weak,11
22,2,s3m7_usuario13,0,['s3m7_usuario5'],1,4,6453.80020142,-6.433,s3m7,weak,01
23,2,s3m7_usuario5,1,['s3m7_usuario13'],0,0,2331.89988136,2.309,s3m7,weak,10
24,2,s3m7_usuario15,0,['s3m7_usuario16'],0,0,3769.89984512,-3.756,s3m7,weak,00
25,2,s3m7_usuario16,0,['s3m7_usuario15'],0,0,3273.50020409,-3.247,s3m7,weak,00
26,2,s3m7_usuario12,0,['s3m7_usuario6'],1,4,13072.5998878,-13.046,s3m7,weak,01
27,2,s3m7_usuario6,1,['s3m7_usuario12'],0,0,7720.49999237,7.686,s3m7,weak,10
28,2,s3m7_usuario17,1,['s3m7_usuario2'],1,3,3236.1998558,3.211,s3m7,weak,11
30,2,s3m7_usuario14,1,['s3m7_usuario4'],1,3,8195.60003281,8.162,s3m7,weak,11
31,2,s3m7_usuario4,1,['s3m7_usuario14'],1,3,3685.49990654,3.671,s3m7,weak,11
32,2,s3m7_usuario11,0,['s3m7_usuario3'],1,4,9848.00004959,-9.819,s3m7,weak,01
33,2,s3m7_usuario3,1,['s3m7_usuario11'],0,0,11604.6998501,11.576,s3m7,weak,10
34,2,s3m7_usuario8,1,['s3m7_usuario1'],0,0,6240.90003967,6.214,s3m7,weak,10
35,2,s3m7_usuario1,0,['s3m7_usuario8'],1,4,9882.40003586,-9.861,s3m7,weak,01
36,3,s3m7_usuario9,0,['s3m7_usuario18'],1,4,10770.2999115,-10.751,s3m7,weak,01
37,3,s3m7_usuario18,1,['s3m7_usuario9'],0,0,1869.69995499,1.841,s3m7,weak,10
38,3,s3m7_usuario7,1,['s3m7_usuario10'],1,3,953.900098801,0.925,s3m7,weak,11
39,3,s3m7_usuario10,1,['s3m7_usuario7'],1,3,5382.49993324,5.355,s3m7,weak,11
40,3,s3m7_usuario13,1,['s3m7_usuario5'],1,3,4485.99982262,4.461,s3m7,weak,11
41,3,s3m7_usuario5,1,['s3m7_usuario13'],1,3,3436.1000060999995,3.411,s3m7,weak,11
42,3,s3m7_usuario15,0,['s3m7_usuario16'],0,0,2919.99983788,-2.899,s3m7,weak,00
43,3,s3m7_usuario16,0,['s3m7_usuario15'],0,0,2759.29999352,-2.737,s3m7,weak,00
45,3,s3m7_usuario6,0,['s3m7_usuario12'],0,0,6012.20011711,-5.982,s3m7,weak,00
46,3,s3m7_usuario17,0,['s3m7_usuario2'],1,4,3371.59991264,-3.348,s3m7,weak,01
