,parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err,round
0,a,3.53166094609371,0.06291211104027632,3.4123801889587484,3.488388127441231,3.5298559934193317,3.5734253768224487,3.662108945464954,0.0019505630593906747,10
1,v,0.014699432071298034,0.02818756187474968,-0.040433218208959606,-0.004078505356220008,0.014407372372443217,0.03475136900901954,0.06949338257254539,0.0008481365817783318,10
2,t,0.14504086777885086,0.029035792957720533,0.08420905864937415,0.12515233736323725,0.1458671816722922,0.16550886861845096,0.19930010676096976,0.0009312450143237425,10
3,z,0.5230469265375709,0.013738274851982868,0.4966352609117693,0.5137092960497855,0.5229312672724454,0.5322636060212751,0.5507730115935764,0.00041233583565241044,10
4,a,3.0837266932547,0.058802127124345405,2.9655070960733236,3.0453692559229237,3.083838925689181,3.123238098706186,3.1983223734962025,0.0018762820046600616,20
5,v,0.0002741190233354782,0.03138776213303815,-0.05981220354564486,-0.020616816178049474,-0.00017338706809427729,0.020706927940480797,0.06389633219701052,0.000944198836948658,20
6,t,0.15226830434226135,0.02677916959517544,0.1011664595764775,0.13414881317205937,0.15244343262147975,0.1704742049591944,0.20380320048793232,0.0009301018727644144,20
7,z,0.5151387807142976,0.013285826016731572,0.48861725682111395,0.5063803653689007,0.5152677125291044,0.5245109916800997,0.5399840826491508,0.00043072378437176057,20
8,a,2.9185248802157884,0.053197282692019975,2.8146629818023228,2.8831108714949516,2.918236190359416,2.953018034219615,3.0256482357504697,0.0018592909029697888,30
9,v,0.042416550172359915,0.03190975336110956,-0.019135369460745198,0.021716558250020584,0.04339054879956079,0.063520361253321,0.10507363717227106,0.0009438656995036773,30
10,t,0.12840138941157167,0.02408498706848423,0.07975766895510836,0.11315857214196756,0.12813311823986523,0.1451107822478989,0.1758877275426446,0.0008452341802914684,30
11,z,0.525394446770552,0.01328560109626845,0.4987967839820131,0.5164025690183371,0.5255671270709977,0.5343631851617906,0.5506740777473087,0.0003879669840567183,30
12,a,2.896284283084156,0.05403329003651538,2.78770075941498,2.8609317757255046,2.8964721172632366,2.9327197609340514,3.0036235902879374,0.0019472484866825093,40
13,v,0.025531937652294792,0.033131917644239194,-0.039035590279925786,0.0037235779628117804,0.024531962177480493,0.04783068665182749,0.09099755855802953,0.0009884407869168417,40
14,t,0.12111710865480867,0.024650813956571854,0.07122958560851377,0.10465954398940608,0.12259193398177867,0.1380743455707557,0.16652346414618102,0.000883056880274516,40
15,z,0.5307418880534938,0.013116427875464912,0.5035557892127075,0.5221874753211605,0.530903580049804,0.5393122587102324,0.5569606159606526,0.0003919953455324951,40
16,a,2.6769400069913183,0.05150296975357427,2.5739203589458888,2.6422196953878134,2.6783253785640753,2.711469583655077,2.7798061857809193,0.001811299200590381,50
17,v,0.07766811253305789,0.03654231127568313,0.0034020000928498845,0.05320441016983207,0.07757024291100695,0.10373205555600096,0.14894199500743205,0.0011830390773620418,50
18,t,0.15036670593399112,0.0218075249869218,0.10688391295468203,0.13560511833789007,0.15104739558166502,0.1654126506235421,0.19089451258145312,0.0007663483951779425,50
19,z,0.5144556729145898,0.013726668966185364,0.48720709348518293,0.5051737619322026,0.514757066993983,0.5235408161403888,0.5414149447117613,0.00040077750092492703,50
20,a,2.6283163135027086,0.05024287577158184,2.532029735052081,2.5945202453975895,2.627560792876448,2.663116352769269,2.7295377448816462,0.0014831624222416966,60
21,v,0.09090045338932216,0.03617143225613862,0.02113475307184709,0.06579388467944325,0.09029569246447147,0.11442795243932091,0.16159813780772747,0.0010773785238672102,60
22,t,0.15398617216641955,0.022295252715329512,0.10956558109271479,0.1388333561490104,0.15430711576323156,0.1697909753953044,0.19644890938128112,0.0006796942611182091,60
23,z,0.5080938853207922,0.013004573599496718,0.4816056659005545,0.49981072602462395,0.5077880138735754,0.5172877546669548,0.532855855315177,0.0004009909555157642,60
24,a,2.558651999971643,0.049859901734156394,2.46512257597694,2.5232063500415975,2.557749831533874,2.5918937842313587,2.661590958540415,0.0016095612536087343,70
25,v,0.18573675181973648,0.038500981208063285,0.10994639915174473,0.15922887045541645,0.18685921702243424,0.212441146827748,0.259441722938637,0.0012462848467509947,70
26,t,0.16765041301333125,0.021536326949313876,0.12279024015967357,0.15331953762642359,0.16818402554550047,0.1818962830786833,0.20849990074890956,0.0007076455805844899,70
27,z,0.5007784390620525,0.013618385685315789,0.4741749532450047,0.49173050031925114,0.5006561914908273,0.5099679646010575,0.5269244742322142,0.00043637417814677604,70
28,a,2.8051321321537306,0.047284491412806356,2.7205389569374345,2.772213203065492,2.804291479885297,2.8375640100974593,2.899044445276223,0.0012715465725024705,80
29,v,0.16290191901609985,0.035568549015226415,0.09123721040674726,0.13850295581405603,0.16279243766989368,0.18635711945872413,0.2313758451246778,0.0010844948905117159,80
30,t,0.057078691702152816,0.01372269152248647,0.029415512694593613,0.04768860323776314,0.05818317775316033,0.06695243477502463,0.0813928462632552,0.000419211707879267,80
31,z,0.5124163293396368,0.013536993922233247,0.4863118601176964,0.5035672913084014,0.5122544012585801,0.5217917943402725,0.5386845846209741,0.0004100433181686399,80
32,a,2.3602356187057776,0.04636806285694723,2.2696080622891084,2.328050113698816,2.360244089962676,2.39079070846969,2.4553765121229616,0.001652295609441658,90
33,v,0.2697642694048787,0.04145726119223681,0.1907494591758594,0.24111818876061508,0.27115212534585614,0.29741196538527526,0.3514718702394888,0.001302384408815592,90
34,t,0.20064097492269725,0.017055607683982885,0.16460897993355206,0.18942582402511773,0.20144177098646213,0.2127765165060496,0.23214837599092958,0.0006214847438895691,90
35,z,0.5118995264825537,0.013576331589625854,0.4850879856897258,0.5026715717136673,0.5119360294421563,0.5214749303977887,0.5377141932282565,0.00041504464665026496,90
