round player action_player opponent action_opponent payoff time_php time_js who_played
1 usuario1 D ['usuario12'] D 1 6705.29985428 6678 user
1 usuario2 C ['usuario10'] D 0 4630.29980659 4601 user
1 usuario3 D ['usuario5'] D 1 12807.0001602 12777 user
1 usuario4 C ['usuario13'] C 3 2428.1001091 2399 user
1 usuario5 D ['usuario3'] D 1 17117.1000004 17088 user
1 usuario6 D ['usuario18'] C 4 5645.90001106 5609 user
1 usuario7 C ['usuario17'] D 0 4085.60013771 4066 user
1 usuario8 C ['usuario11'] D 0 7777.40001678 7746 user
1 usuario9 D ['usuario14'] D 1 4185.79983711 4159 user
1 usuario10 D ['usuario2'] C 4 7459.39993858 7406 user
1 usuario11 D ['usuario8'] C 4 8442.19994545 8411 user
1 usuario12 D ['usuario1'] D 1 13338.9999866 13305 user
1 usuario13 C ['usuario4'] C 3 5373.20017815 5348 user
1 usuario14 D ['usuario9'] D 1 18159.6000195 18097 user
1 usuario15 C ['usuario16'] C 3 17341.5999413 17290 user
1 usuario16 C ['usuario15'] C 3 7197.60012627 7134 user
1 usuario17 D ['usuario7'] C 4 6368.19982529 6317 user
1 usuario18 C ['usuario6'] D 0 6144.00005341 6095 user
2 usuario1 C ['usuario5'] C 3 12141.2000656 12111 user
2 usuario2 C ['usuario11'] C 3 10291.200161 10241 user
2 usuario3 D ['usuario15'] D 1 8909.09981728 8882 user
2 usuario4 C ['usuario9'] C 3 2288.69986534 2269 user
2 usuario5 C ['usuario1'] C 3 3858.39986801 3835 user
2 usuario6 C ['usuario16'] C 3 12730.0999165 12699 user
2 usuario7 C ['usuario17'] D 0 4320.60003281 4304 user
2 usuario8 D ['usuario13'] C 4 4302.69980431 4274 user
2 usuario9 C ['usuario4'] C 3 13398.0000019 13368 user
2 usuario10 C ['usuario18'] C 3 5737.90001869 5709 user
2 usuario11 C ['usuario2'] C 3 8714.19978142 8684 user
2 usuario12 C ['usuario14'] D 0 3271.49987221 3252 user
2 usuario13 C ['usuario8'] D 0 3122.0998764 3090 user
2 usuario14 D ['usuario12'] C 4 3603.60002518 3575 user
2 usuario15 D ['usuario3'] D 1 14634.7000599 14603 user
2 usuario16 C ['usuario6'] C 3 3590.89994431 3566 user
2 usuario17 D ['usuario7'] C 4 13254.999876 13224 user
2 usuario18 C ['usuario10'] C 3 2884.40012932 2856 user
3 usuario1 C ['usuario10'] C 3 11409.6000195 11379 user
3 usuario2 C ['usuario5'] C 3 5997.40004539 5968 user
3 usuario3 D ['usuario13'] C 4 13515.1000023 13484 user
3 usuario4 C ['usuario14'] D 0 1999.09996986 1976 user
3 usuario5 C ['usuario2'] C 3 6613.10005188 6580 user
3 usuario6 C ['usuario7'] D 0 10580.2001953 10550 user
3 usuario7 D ['usuario6'] C 4 4772.59993553 4749 user
3 usuario8 D ['usuario15'] C 4 4618.99995804 4597 user
3 usuario9 C ['usuario16'] C 3 6285.3000164 6255 user
3 usuario10 C ['usuario1'] C 3 7057.99984932 7025 user
3 usuario11 D ['usuario17'] D 1 7437.09993362 7415 user
3 usuario12 D ['usuario18'] D 1 3124.79996681 3098 user
3 usuario13 C ['usuario3'] D 0 2381.99996948 2354 user
3 usuario14 D ['usuario4'] C 4 3750.50020218 3727 user
3 usuario15 C ['usuario8'] D 0 14120.1000214 14087 user
3 usuario16 C ['usuario9'] C 3 1476.09996796 1451 user
3 usuario17 D ['usuario11'] D 1 12599.2000103 12573 user
3 usuario18 D ['usuario12'] D 1 3705.10005951 3680 user
4 usuario1 C ['usuario15'] C 3 8202.10003853 8171 user
4 usuario2 D ['usuario7'] C 4 5073.69995117 5044 user
4 usuario3 D ['usuario12'] D 1 8268.80002022 8239 user
4 usuario4 D ['usuario9'] C 4 2272.30000496 2244 user
4 usuario5 C ['usuario16'] C 3 13708.4000111 13679 user
4 usuario6 D ['usuario17'] D 1 8586.8999958 8556 user
4 usuario7 C ['usuario2'] D 0 3417.0999527 3389 user
4 usuario8 C ['usuario13'] C 3 3731.70018196 3706 user
4 usuario9 C ['usuario4'] D 0 6963.59992027 6934 user
4 usuario10 C ['usuario18'] C 3 6066.29991531 6035 user
4 usuario11 D ['usuario14'] D 1 3712.80002594 3685 user
4 usuario12 D ['usuario3'] D 1 2741.80006981 2714 user
4 usuario13 C ['usuario8'] C 3 2481.1000824 2452 user
4 usuario14 D ['usuario11'] D 1 5347.10001945 5315 user
4 usuario15 C ['usuario1'] C 3 22417.0000553 22387 user
4 usuario16 C ['usuario5'] C 3 1786.5998745 1757 user
4 usuario17 D ['usuario6'] D 1 9817.30008125 9788 user
4 usuario18 C ['usuario10'] C 3 4579.49995995 4562 user
