round player action_player opponent action_opponent payoff time_php time_js who_played
1 usuario14 D ['usuario8'] C 4 5734.89999771 5639 user
1 usuario8 C ['usuario14'] D 0 4272.79996872 4247 user
1 usuario6 D ['usuario12'] C 4 9806.49995804 9743 user
1 usuario12 C ['usuario6'] D 0 26713.7000561 26639 user
1 usuario7 C ['usuario4'] C 3 7253.20005417 7192 user
1 usuario4 C ['usuario7'] C 3 6783.20002556 6728 user
1 usuario3 C ['usuario2'] C 3 7486.59992218 7429 user
1 usuario2 C ['usuario3'] C 3 5009.10019875 4980 user
1 usuario9 D ['usuario11'] D 1 11674.4999886 11613 user
1 usuario11 D ['usuario9'] D 1 4798.30002785 4775 user
1 usuario16 C ['usuario15'] D 0 3723.40011597 3697 user
1 usuario15 D ['usuario16'] C 4 4950.9999752 4928 user
1 usuario18 C ['usuario1'] C 3 3738.20018768 3715 user
1 usuario1 C ['usuario18'] C 3 15096.5998173 15044 user
1 usuario17 D ['usuario5'] D 1 8488.39998245 8431 user
1 usuario5 D ['usuario17'] D 1 5847.40018845 5790 user
1 usuario13 D ['usuario10'] D 1 3276.49998665 3232 user
1 usuario10 D ['usuario13'] D 1 11098.3002186 11049 user
2 usuario14 D ['usuario8'] D 1 8729.79998589 8700 user
2 usuario8 D ['usuario14'] D 1 7161.00001335 7097 user
2 usuario6 C ['usuario12'] D 0 9545.90010643 9519 user
2 usuario12 D ['usuario6'] C 4 7076.79986954 7049 user
2 usuario7 C ['usuario4'] C 3 5541.39995575 5506 user
2 usuario4 C ['usuario7'] C 3 1388.10014725 1373 user
2 usuario3 C ['usuario2'] C 3 7665.6999588 7646 user
2 usuario2 C ['usuario3'] C 3 2857.00011253 2833 user
2 usuario9 C ['usuario11'] C 3 10205.5001259 10178 user
2 usuario11 C ['usuario9'] C 3 6895.79987526 6836 user
2 usuario16 D ['usuario15'] D 1 25630.1999092 25572 user
2 usuario15 D ['usuario16'] D 1 7355.09991646 7294 user
2 usuario18 D ['usuario1'] C 4 7583.60004425 7531 user
2 usuario1 C ['usuario18'] D 0 12839.400053 12809 user
2 usuario17 D ['usuario5'] D 1 8604.69985008 8579 user
2 usuario5 D ['usuario17'] D 1 12802.1998405 12775 user
2 usuario13 C ['usuario10'] C 3 2082.30018616 2060 user
2 usuario10 C ['usuario13'] C 3 11912.3001099 11890 user
3 usuario14 C ['usuario8'] C 3 3660.70008278 3643 user
3 usuario8 C ['usuario14'] C 3 2381.59990311 2356 user
3 usuario6 C ['usuario12'] C 3 5281.59999847 5252 user
3 usuario12 C ['usuario6'] C 3 8097.99981117 8047 user
