,parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err,round
0,a,3.019527180448628,0.10967180335090586,2.8105923722458908,2.94470886091539,3.01385104202849,3.094045786964005,3.2407545388599504,0.0035687721998058633,10
1,v,0.3231253995812261,0.06280740655410044,0.19763698241084443,0.2791887451782446,0.3245673737724837,0.3666475773954427,0.44364771951407156,0.001960356117723268,10
2,t,0.1429756307341512,0.034354354250041956,0.07405025319460148,0.1194949711011148,0.14500611897440344,0.16789950360809508,0.2031575970777792,0.0010504218294305333,10
3,z,0.5666720466136445,0.024621978625486717,0.5163228661197853,0.5502970451289911,0.5671358692878714,0.5832819705929666,0.6121238311465089,0.0008557569156755716,10
4,a,2.6449185982717727,0.11297150370497089,2.4281269731831556,2.5696390552454558,2.642118433992652,2.7182544391305896,2.8812112084986734,0.0037401022171916383,20
5,v,0.28239176208885336,0.0837367011677467,0.1146617669443351,0.22744957256976805,0.2818535098379575,0.3420503559809834,0.44102258341144995,0.002759296528017447,20
6,t,0.286739018475781,0.015864229224663528,0.2524292964161463,0.27726340195523846,0.2893204463746376,0.298116384002594,0.3120300338514103,0.0005934066921415403,20
7,z,0.697778380991155,0.024047893917129855,0.6493441786340661,0.6825071250264546,0.6984278083688292,0.7142991003459529,0.7420969851009145,0.0010110570785124427,20
8,a,2.7179048325399595,0.112181812091352,2.521240867592066,2.6410013691088414,2.7107599144439734,2.7937640836540067,2.947682144947425,0.003485915414535898,30
9,v,0.27319172874733566,0.07839416056671959,0.12156533211932352,0.21940933388378536,0.273269583013663,0.32614812599983445,0.42673467736931947,0.002973882020434605,30
10,t,0.28396026665807667,0.019947369434483844,0.2376701152014569,0.2728967571266929,0.28662668943825015,0.29806499134534054,0.3150376302116438,0.0007646494761764005,30
11,z,0.7015084552358158,0.024101938464604154,0.6531126800628017,0.6857680697869208,0.7015394568112344,0.7181906662996529,0.746045445640351,0.0011064248685033488,30
