,parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err,round
0,a,2.6101771579529163,1.333335751515658,0.8369523889790361,1.6538980859374355,2.324826861512644,3.2526016294362474,6.000962142708512,0.04387286166082334,0
1,a_std,2.8677736873583286,0.9785636354847284,0.9957889467011956,2.231090440835749,2.795086380258075,3.435576845725888,4.962462424288891,0.03518706179521664,0
2,a_subj.Pro-self,8.2432570109502,1.813650151355914,5.5162524394281185,7.004899479909313,7.978021360137723,9.165343271172011,12.584015180698394,0.09148991847654067,0
3,a_subj.Pro-social,9.472072734963668,2.4958228946903427,5.723062758647008,7.6428200103176795,9.111920795077944,10.966540024100494,15.141770658079563,0.1610919649031149,0
4,v,0.6345361736516876,0.7051685346782678,-0.7048570693430954,0.3620293747222896,0.569343650571576,0.8061693038743561,2.4060706772734766,0.01083877147650742,0
5,v_std,0.769011732486879,0.8168998069840671,0.02481103512138838,0.20881693127919654,0.4978667183798785,1.0437170453573223,3.0197970927515145,0.03184314094638629,0
6,v_subj.Pro-self,0.44676648527942786,0.12883445228551568,0.2001038580018824,0.35846992710685543,0.4456293003948235,0.534993603355207,0.7065376612433919,0.004847981179236657,0
7,v_subj.Pro-social,0.6622454446751983,0.14599099109623834,0.39729318380197254,0.559203238159689,0.6575175354634037,0.7554105634915922,0.9615228740010829,0.005286844620989316,0
8,t,0.5111850051435037,0.23830759679440844,0.17892578597521566,0.342327209113509,0.4650571691388879,0.6339008857427417,1.108960469795117,0.009581018575368748,0
9,t_std,0.5192045677788834,0.4203385642419146,0.014182436954896618,0.18987225091741214,0.4275474975835294,0.7367399792575233,1.5766734098946071,0.018241912798955182,0
10,t_subj.Pro-self,0.540682198037477,0.48762805926485037,0.00038805168549180345,0.16450637413406283,0.4198158785254384,0.7766584978571512,1.8203738277703851,0.021554867902839555,0
11,t_subj.Pro-social,0.5509104216100769,0.4787650316197568,4.8672446998835554e-05,0.16894064679281345,0.43883249684247116,0.8159078814759692,1.7771888610532143,0.02196384117349955,0
12,z,0.5610342374081536,0.07934345476344405,0.403214167797746,0.5075884623125815,0.5619609768106202,0.6223316835680676,0.7067076264908829,0.007327883920401701,0
13,z_std,0.040259980527636255,0.03103276451326335,0.0010255113804179404,0.015960660072967724,0.03341589623207689,0.057723972025011894,0.11626526108585555,0.001293370678667168,0
14,z_subj.Pro-self,0.5618191308240674,0.07962742298992154,0.40434177242427877,0.5065816650997612,0.5620907189899252,0.6230952182982423,0.7087244110022485,0.00731611111373078,0
15,z_subj.Pro-social,0.5605986672352098,0.07990245968749567,0.40298605617828764,0.5068514279755476,0.5615281001120342,0.6225783474567504,0.7074572784682724,0.007335171795126863,0
16,a,2.547570588121644,1.2136196267850954,0.8209326057838184,1.6819442035248657,2.331111448690785,3.171337052914972,5.555093696680718,0.030291714452903358,1
17,a_std,2.894430770964922,0.9245166810692257,1.3713325591589807,2.242128965650701,2.795826805782739,3.444579294571607,4.962378911193114,0.02975633142035289,1
18,a_subj.Pro-self,8.235454630448817,1.8131274209234485,5.527394768611455,6.971926263427029,7.915279664860447,9.149078595413538,12.677656176077832,0.1105188628397616,1
19,a_subj.Pro-social,9.19319460023316,2.4605672845822983,5.600400102215037,7.429679082412794,8.782376749016013,10.547192336248532,15.027579375150378,0.1659092177137455,1
20,v,0.6367847760961202,0.7186690971611417,-0.7513068852568106,0.3707505816365997,0.5821103291607655,0.8375069303464708,2.3199890140795616,0.011066105554720155,1
21,v_std,0.80465140934933,0.7860078848101203,0.03203399070946611,0.23444738808961146,0.5385537015337861,1.107506754411204,2.956559973398967,0.03043101548534231,1
22,v_subj.Pro-self,0.45587442861615574,0.13035049218584302,0.2019083626727286,0.3660323871684926,0.4555960511839492,0.5430449532910135,0.7083494595078221,0.0051537986584385,1
23,v_subj.Pro-social,0.6724605402338386,0.14594905576545,0.39751103837572765,0.5721280447502615,0.6672594797395974,0.7685064568348265,0.9794615621504604,0.005441780767976793,1
24,t,0.48809424000185697,0.22623829865921274,0.1468572227209718,0.32108125868750326,0.457499699384447,0.6143031861710688,1.0333185693885434,0.01041194000248456,1
25,t_std,0.5952242265581196,0.4596633932437868,0.015869304040592117,0.26173109024790897,0.4957628680513357,0.8279500172664446,1.7732972224429322,0.022745532051949204,1
26,t_subj.Pro-self,0.46082428966404243,0.4616158883538399,8.25229668039073e-08,0.06700152358459105,0.35662222114973385,0.6811387628884743,1.6780217952161463,0.02335805131425829,1
27,t_subj.Pro-social,0.5584085170063657,0.49421465582829643,5.944003781636508e-06,0.13256037713226107,0.47389645140461956,0.8380917727451291,1.756622367974492,0.026390990602397534,1
28,z,0.5423427902785054,0.09288564338352336,0.3590360787474481,0.4775375433031966,0.5354345196964952,0.6103001810397654,0.7136270923650108,0.008789527829767408,1
29,z_std,0.04144074644987246,0.030037610442260936,0.00189589311122057,0.017451624397635434,0.03547182812969798,0.06078281771587063,0.11218647423511419,0.0012760225357232547,1
30,z_subj.Pro-self,0.5428068476227865,0.0930012997025921,0.3585925000951499,0.4795804701926242,0.5357353613205145,0.6104605808692063,0.71513245489441,0.00876565275992945,1
31,z_subj.Pro-social,0.5418948341153199,0.09350105933695625,0.35860574733406786,0.4787878280534346,0.5348343087003533,0.6094576542090197,0.7149011335168922,0.008810960876401212,1
