,parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err,round
0,a,2.3981262833997907,1.1294437961263206,0.7985735883490351,1.567016304290922,2.209658220124857,3.023923913896766,5.09560845534077,0.024150180966681457,0
1,a_std,3.1134465851994566,0.9359066744464024,1.5936486389256943,2.4425064376978867,3.006941178012051,3.6606744502301263,5.252183875622618,0.027010446851421933,0
2,a_subj.Pro-self,10.55183084772837,3.010990194139615,5.755185053720853,8.270552970976171,10.190008081540036,12.454005257769737,17.214755146456667,0.1823329641114826,0
3,a_subj.Pro-social,9.113620412171503,1.9333803510322813,6.099990148801927,7.772280830769041,8.824088813344119,10.159862545064936,13.811654257343822,0.10414408979494891,0
4,v,-0.47749056489865876,0.7817600866034795,-1.8089454324260015,-0.7994582719882872,-0.5849462624000169,-0.29702866576386516,1.5696862980684165,0.015870368159278496,0
5,v_std,0.8273983023926843,0.8538426892348152,0.024462968985240516,0.22446269183371304,0.5342770264961867,1.1376781311606412,3.171788618802045,0.03305829822230602,0
6,v_subj.Pro-self,-0.7611656393490243,0.19349938250520232,-1.1676894203901067,-0.8888844954219233,-0.7484633988861296,-0.6256089087984749,-0.41580876810962014,0.008299579783045555,0
7,v_subj.Pro-social,-0.5280304393621683,0.12596691051654071,-0.767727655549731,-0.613057070850586,-0.526008615286246,-0.44475881038413334,-0.28194137958297466,0.004725453575591072,0
8,t,0.4619949916538595,0.21303056807344176,0.14863902823799424,0.30235368332860674,0.43070492431173746,0.5812179575807107,0.9610090251283989,0.008816575959458648,0
9,t_std,0.6174529925630737,0.466918389276405,0.030475448326885722,0.2536964988487512,0.5139090448102152,0.8702838675162974,1.8113718739456253,0.024768509581715493,0
10,t_subj.Pro-self,0.5986352568976278,0.6894466456733415,2.3408012822233077e-15,0.07422734816084597,0.3692082984988651,0.8333379801061599,2.5700265798800426,0.0374241494305397,0
11,t_subj.Pro-social,0.45620602966823004,0.46645223754277837,3.575036474871387e-05,0.08318337789684468,0.3295719317232136,0.6705686156967243,1.7223144313340621,0.01862755635618735,0
12,z,0.49341815378888804,0.07698657683359045,0.3556844065600275,0.4384965086774541,0.49154536956330835,0.5464657793046415,0.6535865356611664,0.00722529940180504,0
13,z_std,0.039763122313585315,0.030559446312485583,0.0013243848814725946,0.015200376244455242,0.03325440728773972,0.058134442267687186,0.11091312540389772,0.001331477898675837,0
14,z_subj.Pro-self,0.49365820138514777,0.07774027467771558,0.35487837044995774,0.4378882973282592,0.4920131240967352,0.5470425984370507,0.6542811034202388,0.007256284712923139,0
15,z_subj.Pro-social,0.49305236843462696,0.07720458667062474,0.35495565585927474,0.43754529676906084,0.491158218629097,0.5453422422748425,0.6530523375848875,0.007206534917022727,0
16,a,2.4655926984925607,1.1913034813387766,0.8004840114484215,1.6362211127339488,2.2439782796660697,3.032104502299208,5.484594333239115,0.029638062890397214,1
17,a_std,2.9871123367457773,0.9325305061375575,1.4660085247958343,2.3387757291211795,2.888693746023438,3.545318353716306,5.144426938537434,0.026508895672943567,1
18,a_subj.Pro-self,9.745927344774033,2.7558814859701264,5.516891308970263,7.707587303330042,9.358008102737335,11.320929303735848,16.329047686265003,0.16566275307207295,1
19,a_subj.Pro-social,8.72911958569759,1.735723756068689,6.004469807636221,7.507033633464321,8.451173009279906,9.691271152388733,12.737909802839493,0.09138746512885118,1
20,v,-0.5000207309050332,0.7572725735191107,-1.8320212408391543,-0.7851822238639068,-0.5921105111304442,-0.3254872063021873,1.4169147189475595,0.011738419640812731,1
21,v_std,0.7903982160214241,0.8440037576237363,0.009326731071175251,0.1998055011681198,0.4881008277856764,1.084541290807398,3.1820013003027032,0.03480226700453228,1
22,v_subj.Pro-self,-0.7644091706282983,0.1906329288829193,-1.158788746441868,-0.889736990399181,-0.7441376941252495,-0.6292897532992945,-0.43005749568054286,0.007893449667586728,1
23,v_subj.Pro-social,-0.5436605637139109,0.12657656585557714,-0.7848316156999828,-0.6278984215265019,-0.5408684075402082,-0.4577478057983814,-0.2984345444314572,0.00523199637897411,1
24,t,0.4562153518539374,0.22247686083216003,0.14298362783207802,0.293810358278252,0.4158182803507495,0.5733773603611199,1.0029815246423723,0.010529054864294476,1
25,t_std,0.6786460889944416,0.5031080637770884,0.022369864682979454,0.2866963840187239,0.5816606717417327,0.9710384383100222,1.8587666362271962,0.028775228872909897,1
26,t_subj.Pro-self,0.6072191262340767,0.6895412320905616,2.3698989982252273e-09,0.047661525530522456,0.36730188456371626,0.9191450695764406,2.5087047383910606,0.038832040433147426,1
27,t_subj.Pro-social,0.35587008905570194,0.43346742476774613,4.533951117015337e-10,0.006199592782566496,0.2007353897896086,0.5428110854558718,1.5641253638157564,0.02237886108272922,1
28,z,0.5334172153437633,0.07639072715118,0.4005480152167123,0.4715937327258012,0.5232591364967897,0.5989269189466443,0.6755862147181674,0.007022222896507771,1
29,z_std,0.04042690956198229,0.03057260084147053,0.0014263747174707332,0.015738276489453057,0.0345343054857701,0.05887839175132026,0.1128509637235301,0.0013488763281524682,1
30,z_subj.Pro-self,0.5337322517136064,0.07708419407687901,0.3979392280989622,0.4720385303218105,0.5238818633063504,0.5990686526305883,0.676345190667466,0.007034114335157181,1
31,z_subj.Pro-social,0.5331744511958355,0.07683312127210364,0.40093004987148523,0.4714557753339081,0.5226317220514524,0.5991210903056889,0.6758396305986125,0.00702540208782434,1
