,parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err,round
0,a,5.994385768942963,0.5504952445749216,5.066473466867648,5.604913077056815,5.941696309534967,6.324235823623232,7.212532566467112,0.022242479658779107,0
1,v,0.5018530312615758,0.05263294015013585,0.4001204188342106,0.46608196622468606,0.5017774277078766,0.5371775513536646,0.6056157913084368,0.0013167368380273977,0
2,t,0.2623303980741277,0.07508863229172384,0.11040242605143727,0.21024655213047158,0.26531032408756045,0.3150368098741232,0.4004016545996153,0.002221304607987304,0
3,z,0.6981448086535388,0.033667248368332854,0.6292685032993045,0.6767197742878415,0.6986315998874505,0.7210579620030668,0.7612928890132058,0.0014262834281071565,0
4,a,5.9476252443644215,0.5197851409630598,5.095911151772895,5.579612792551384,5.8959850352148555,6.253126188618234,7.151723771802413,0.02212176399568476,1
5,v,0.5144752013466133,0.05086495673970284,0.41487942539607714,0.4810364261592949,0.5138874245299604,0.5488334102428896,0.6175139454590072,0.0011842670717600945,1
6,t,0.2447195334047521,0.07104818942147365,0.10600507800123714,0.19388321504558703,0.2473213665889336,0.29543346487755623,0.3776407380029691,0.0019425183909093941,1
7,z,0.6951882130678613,0.03245626499338643,0.6321109672681192,0.673383095212989,0.6949942964531717,0.7180094981177153,0.7579716416465575,0.0014055449608061754,1
8,a,6.0100259657282455,0.5568113346607457,5.115187888101858,5.623418732129653,5.950220041762404,6.3194040002151155,7.239854148590689,0.02487068678598569,2
9,v,0.528691016979295,0.050557758377292566,0.4299931397446257,0.49404698439965483,0.5283514895325427,0.56368553793675,0.6261444279015307,0.0012051961940249714,2
10,t,0.25186781952474935,0.06905891702144559,0.11153402372088123,0.20429205127315492,0.2551447618712447,0.3011514566126488,0.380143452085098,0.0018988253068879632,2
11,z,0.6978752379001714,0.033100731188853635,0.6350769481398387,0.6753434342351365,0.6976691605120143,0.7199625192443612,0.7632902160266777,0.0014784926303046946,2
12,a,5.879407347630726,0.5155264074666406,5.0260725220298905,5.507271245901151,5.8316556968521605,6.193971236734204,6.9906962136543145,0.021409751921752464,3
13,v,0.541765626900698,0.05204242005503175,0.4394173870406004,0.5062457042273998,0.5425430554220173,0.5780790701273686,0.6412068447665651,0.0012870187018204809,3
14,t,0.265670622522322,0.06581134742200744,0.13068299792181007,0.22103540256395987,0.2679479998959153,0.3123888269855716,0.3849961276232828,0.0019293543371706496,3
15,z,0.7018045390980746,0.031277875915946204,0.637151995812093,0.6811942271180271,0.7024951107155593,0.7243456811483844,0.7580592558165441,0.001383386743750115,3
16,a,5.772541757537072,0.5150825475637978,4.914553965709309,5.404013702170768,5.716387784687121,6.085930243193243,6.947386431945424,0.023098005763241627,4
17,v,0.5408456518833378,0.05384398416937334,0.4342795662079135,0.5044534027106055,0.5409795482082276,0.5776456720350519,0.6438582541982887,0.0015323374992006107,4
18,t,0.2999016209361933,0.06642173665874447,0.15742230793975137,0.257529658974672,0.3043139762496657,0.3480617320840424,0.4168199617232042,0.002115724788070152,4
19,z,0.7132097316879928,0.03210907424929003,0.6513087105177239,0.6900833996918349,0.7144225183233069,0.7359092640030199,0.7727542016268162,0.0015547899070608503,4
20,a,5.785591245485913,0.525626673538211,4.888870360158376,5.407564489280741,5.743299486368022,6.110949289495009,6.9647472805288615,0.023207203179523978,5
