,parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err,round
0,a,2.635739813223917,1.264281906739257,0.8401785214041801,1.721041505309469,2.3885409024633555,3.296773037666579,5.885210089345385,0.033661976666152296,0
1,a_std,2.7281384356434613,0.9608359515193741,1.121995278537103,2.0641086328957274,2.6298324104880115,3.2819990737024805,4.926127368555766,0.03220486674366691,0
2,a_subj.Pro-self,6.811648211047531,1.271901817388805,4.895570313109989,5.905365499859488,6.623410887636455,7.500196934257387,9.86160847843145,0.06878621913730473,0
3,a_subj.Pro-social,8.89718197312347,2.1684919856648026,5.787849066883682,7.322446084360772,8.542899387336167,10.085456486010195,14.03993959436418,0.13291992328485144,0
4,v,-0.3817141639299711,0.6896090051452952,-1.5859735996135367,-0.6196225472288582,-0.46674741879941145,-0.2627653062517009,1.4881600383363782,0.013530179282192375,0
5,v_std,0.6875284120483799,0.7940677874097051,0.010671145293138062,0.13117186725962365,0.3908782198731351,0.9769297600437628,2.8939042874953587,0.03093408291249596,0
6,v_subj.Pro-self,-0.49313559460003387,0.11940540553306234,-0.7255077915778637,-0.5728066875797913,-0.49618896785157535,-0.4125341341868351,-0.255693159989667,0.004423187781001493,0
7,v_subj.Pro-social,-0.4966881627984832,0.1259930938035705,-0.7454243379237346,-0.579134493418616,-0.49733534233864696,-0.4108729922117106,-0.25352118698741133,0.004401018522019877,0
8,t,0.4130200574830129,0.18361274688805712,0.13193361828874967,0.2794808359629854,0.3866967403345475,0.5173286617571261,0.8506345967529297,0.0069684772908833875,0
9,t_std,0.5997926174418627,0.4797736405993473,0.030117776819836753,0.23375357368672825,0.48380780679672364,0.8471371150963366,1.848925855473178,0.02740908399038223,0
10,t_subj.Pro-self,0.24183226168558083,0.2511446990873891,1.0231640242852612e-12,0.009555559763945674,0.17078259495916903,0.3985757499295939,0.8593193019246826,0.014726036617369176,0
11,t_subj.Pro-social,0.33006284835569905,0.3333050998729268,3.378107685091408e-06,0.04080494440549235,0.2466912867408613,0.5099634231163478,1.1698765506068545,0.01618888904081716,0
12,z,0.4230697685588088,0.07283741867270875,0.28169608068711466,0.3734354259693746,0.4206703133045236,0.47912958514434784,0.5590231410711293,0.006707531684946673,0
13,z_std,0.040759187001218465,0.030484147767058843,0.001975044706775006,0.016496605973432006,0.03445513940470776,0.05891679101426755,0.11189321904251132,0.0011510812916728716,0
14,z_subj.Pro-self,0.42195311183248596,0.07303682806509369,0.27886430600841655,0.3724267658759347,0.4201595621223357,0.4774303656995134,0.5578048035505655,0.006692310461336419,0
15,z_subj.Pro-social,0.4232598132473765,0.07334065082715463,0.2805528740401176,0.37207640077741155,0.4213317734823609,0.47950049372160214,0.5594466011580111,0.006693963048706286,0
16,a,2.652038196997799,1.2648409969580223,0.8730118233555503,1.7306917968333928,2.419301188668956,3.299348143981368,5.951878812813743,0.032258796439727525,1
17,a_std,2.676015098559987,0.9315186229040366,1.1140095106964263,2.0333087761604927,2.5821371864338802,3.2113207453419186,4.830644217327305,0.025326034227789517,1
18,a_subj.Pro-self,6.6581903034572925,1.169596087042436,4.801438748681896,5.804304839184377,6.524966112156404,7.321869825400407,9.313422826917682,0.058195610027860736,1
19,a_subj.Pro-social,8.862742486740158,1.989393861568146,5.778184806952809,7.421703402196838,8.580018950741433,10.000705119808867,13.44970706723868,0.0960288118794754,1
20,v,-0.3710840352094019,0.699107259409533,-1.4800862035433369,-0.6128679835413781,-0.45491441098680685,-0.2621106065027069,1.4184748521870665,0.012484295109725997,1
21,v_std,0.6735415221480648,0.8480945211614231,0.009080312007129998,0.11988097921612956,0.34750467362480153,0.879739350880271,3.1991997919191726,0.03093140503826356,1
22,v_subj.Pro-self,-0.48734791875813765,0.1216883285972373,-0.729318341743497,-0.5708303665050846,-0.48647196586960384,-0.40328473062858355,-0.24681460661047366,0.0053086882868102975,1
23,v_subj.Pro-social,-0.4822725757314009,0.13073209283230455,-0.7457402677328012,-0.5682683089817442,-0.4791690767718383,-0.39209354793305495,-0.23888779913219724,0.005199017316493101,1
24,t,0.43839650064989844,0.19569980582853552,0.1437546684653656,0.29672243411355415,0.4031173094333931,0.5572303661748362,0.8968224579821846,0.00944621464673867,1
25,t_std,0.5648344235989214,0.4888523870525842,0.009691349825338796,0.18097633655326434,0.44322620325201767,0.8263186814350313,1.8112704137449502,0.02931887529615062,1
26,t_subj.Pro-self,0.30449530509128614,0.2745674289952668,7.114333791702236e-09,0.03293379532390663,0.2683266883202474,0.5007461158701012,0.9045678639498039,0.017593943111375916,1
27,t_subj.Pro-social,0.3610909353894697,0.3472347145878869,3.6364611825510765e-13,0.03721812245997416,0.30334397374736055,0.5702965328352887,1.2333337763748529,0.019432409587208505,1
28,z,0.41040991930700155,0.07005003754213351,0.28325522154912436,0.3604088532083603,0.4019657146789926,0.4551966696306162,0.5652779394472713,0.0063049717672650826,1
29,z_std,0.040212092315066957,0.029949330741708642,0.002031495191174023,0.016531609213714445,0.03397173930149197,0.058807945281923395,0.11120161311293408,0.0012148609099891826,1
