,parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err,round
0,a,6.091405684787515,0.5949034440828718,5.131642160807948,5.66664821559426,6.0110997710812235,6.436835332625929,7.446930263813076,0.018164208601637647,0
1,v,0.5277847461312271,0.06614145519172547,0.39695329257958156,0.4844066907668381,0.5270536249081781,0.572330901307734,0.6597435883852238,0.001366864985038371,0
2,t,0.26398853600820854,0.10126781134353945,0.08758346210910953,0.1889659600870069,0.25751246283721413,0.33079673618242983,0.4771199234645608,0.0020799949138403826,0
3,z,0.5849929658534855,0.04839464933417847,0.48810009468123794,0.5534362673142659,0.5853153738722665,0.6171648963830435,0.6799442452754245,0.0015365695860697127,0
4,a,6.101373517891765,0.5507673582149764,5.206932740860049,5.720611898031502,6.041666550225469,6.413668018619006,7.3849642656670085,0.019113016682159725,1
5,v,0.5040848729009142,0.06001631797270256,0.3856117854508603,0.46418008037011704,0.5040832834991639,0.5452523547797336,0.6222345600654321,0.0013469095957079616,1
6,t,0.2378908352882174,0.09195472507969243,0.0797362308103022,0.16907335287155617,0.23151076844345891,0.30015791825676974,0.433074769153398,0.002117087743099527,1
7,z,0.6146358245486995,0.042246726160700666,0.5305334981068861,0.5864620142100524,0.615494008064362,0.6434616963940072,0.694861507337363,0.001546947075402438,1
8,a,6.188013173022597,0.5451993345311957,5.296087524424185,5.8015062286634835,6.138050742924162,6.504545740913009,7.428337289506624,0.01688374907577747,2
9,v,0.46329620119871845,0.05314840050214104,0.3589180158662224,0.42689183698372796,0.46357962967678573,0.49885930951867097,0.5696526689353999,0.0013398766759653363,2
10,t,0.2353060957184483,0.08904169135372764,0.07968535320898652,0.16886158810671933,0.22996050258555462,0.29709038556164385,0.41702141945641014,0.002251963037783722,2
11,z,0.6573492344579535,0.03792994603097293,0.5822115597573105,0.6325819430278443,0.6575652301713326,0.6829103022917586,0.7321210481951099,0.0014707910535145122,2
12,a,6.172187130754412,0.5582733381410099,5.2329441135290615,5.779748855222678,6.1175842214581015,6.499224978749469,7.46550312424008,0.020248195362393407,3
13,v,0.4518889665270683,0.05175431350093752,0.3488702259934449,0.4169593121754136,0.45130063646843405,0.4879377595688867,0.5538779844758503,0.0012116481509294003,3
14,t,0.2514201681881877,0.08499277942038817,0.09718489472160463,0.1890992043441414,0.24868417080992417,0.3097222348648433,0.42095407077977187,0.0023469302067178734,3
15,z,0.6822662035567432,0.03507061984469057,0.611255579831142,0.6593547158263692,0.6821958128472145,0.7055782755850951,0.7502687400390522,0.0013263205986248747,3
16,a,5.9736417739204235,0.5632382750440994,5.028664045281562,5.575020995308689,5.916535597310708,6.313103413191582,7.224606578560678,0.020939380386773693,4
17,v,0.4594876717531226,0.05590679534781354,0.3483107780815202,0.42190942055805364,0.4597526474782635,0.49663838308163233,0.5687872775834044,0.0013911564797404866,4
18,t,0.25983763067190724,0.07758181475677019,0.1063368392704901,0.20618466217391687,0.26199830732464746,0.31547340023051784,0.4037044523850837,0.0020213359909988307,4
19,z,0.7013713035604832,0.03557308343306215,0.6304235733733001,0.6772891747890373,0.7024318085491437,0.7258222068121603,0.7688209019235449,0.0013833728392614012,4
20,a,6.078607991442075,0.5667901749824807,5.16538912400248,5.685194590593484,6.0091519886149225,6.394585849663022,7.415576678626428,0.024143230213336135,5
21,v,0.4489213654792305,0.055519330490655626,0.3415963577201711,0.41065107115920435,0.44846325285490485,0.48523307857453185,0.5592059670453088,0.0014898253758804869,5
22,t,0.2726362262595273,0.07832214553427855,0.1162315625159854,0.21808331736215988,0.2767008544727675,0.32958871317532,0.4144560909810733,0.0024251484714750728,5
23,z,0.7179786196093896,0.03393530765439651,0.6499019075855051,0.6944999270864418,0.7188130968453404,0.7417957618232811,0.7820443738042494,0.0016529515259410324,5
24,a,6.01099468386197,0.5565510060883287,5.091297557154706,5.622118043621973,5.9420693015065895,6.343201706353671,7.246156997766941,0.01676522438537006,6
25,v,0.4472776543384962,0.05414625823531536,0.34143304826088916,0.41049377939805365,0.4471659851051643,0.4849856126149332,0.5521944646176368,0.0012714667590157365,6
26,t,0.2789392284589633,0.07199513046194607,0.13137365256166791,0.2308156002845423,0.2821655961013406,0.33164539270909665,0.4087330120358204,0.002126990095723403,6
