,parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err,round
0,a,2.8479680097765945,1.33112309384921,0.9545614019397126,1.8593098333985236,2.566410878870224,3.6016981388838407,5.92479328648928,0.03851990970016617,0
1,a_std,2.4579672065060154,0.9781959188698613,0.6527038622900121,1.804389948391105,2.364246200765252,3.001599001134929,4.694848529417385,0.029361732604468886,0
2,a_subj.Pro-self,7.425517720199906,1.226580588430417,5.545082765796666,6.544611141155083,7.263791520365007,8.129341668433298,10.21342427794115,0.07795925495261846,0
3,a_subj.Pro-social,6.403806256163957,1.239951951282452,4.448443584445247,5.5199158961685795,6.20156155819528,7.0708375192253285,9.377798931519827,0.061366218802995455,0
4,v,-0.3901428569165448,0.6605086520404969,-1.5948090910692685,-0.6176744813376007,-0.46947676506446623,-0.2793051851000682,1.4547681268800814,0.012555693919074814,0
5,v_std,0.6732487475124082,0.7777682187972003,0.01081876532351832,0.1430627379633428,0.37726459809118,0.9261762480048592,2.9349209580504336,0.03109255929586559,0
6,v_subj.Pro-self,-0.4437960175781031,0.0886413873245041,-0.6143855023615621,-0.5033122632569831,-0.44415301487376724,-0.3851410371198668,-0.2660216340091419,0.0032087011542260993,0
7,v_subj.Pro-social,-0.5532595487013229,0.12292308928302856,-0.8115073408252585,-0.6308739192224571,-0.5496507018318445,-0.4686804624875065,-0.3261261640575518,0.004722374648002764,0
8,t,0.4069191649806924,0.1665161830046106,0.1360133883109292,0.28915340787387117,0.3888025040066918,0.5044551476135564,0.7977826842329018,0.005690269948254094,0
9,t_std,0.603542118690382,0.483541014119559,0.025785517961392303,0.23336016909654475,0.47856840395686095,0.8672500450885773,1.799571167774417,0.02892183615497128,0
10,t_subj.Pro-self,0.17366300164859336,0.17474790087907363,3.2177346925561085e-13,0.006331374066628223,0.12176237059700881,0.3035871538085191,0.5502327006834965,0.009442831254310103,0
11,t_subj.Pro-social,0.423414441539388,0.3145604656268485,2.5737431198174143e-05,0.1532898208444654,0.39270181544260063,0.6540108890141177,1.058623007112741,0.016551523682834655,0
12,z,0.3668775058240555,0.0546718942261456,0.2675283914681336,0.33057422591321395,0.3616268835434517,0.3961648037507556,0.4823788308779734,0.004990777065153407,0
13,z_std,0.037485040985214324,0.029860557321269035,0.0006390679291677654,0.01321524196156158,0.03163825670733862,0.05412863935319434,0.11016077150797596,0.0013037706883799844,0
14,z_subj.Pro-self,0.36627315705363456,0.05479791135706867,0.26731052991294996,0.3296369869424542,0.3611503144975457,0.39615949276516077,0.483702185445052,0.004973858699266732,0
15,z_subj.Pro-social,0.3663673756358274,0.0550632852786096,0.2667925994877855,0.32901090251074155,0.3614830736198555,0.3951833347045075,0.483793546238754,0.0049957024744287145,0
16,a,2.875295770022501,1.3598743339831159,0.8609615776939602,1.8553916399057515,2.6346767334851187,3.663627224868327,6.020192618670185,0.03793434091683055,1
17,a_std,2.4810162247050216,0.9286254827724677,0.7505622320244234,1.850467111005318,2.3913076363547763,3.0408780071154733,4.501094608188194,0.02865591717394817,1
18,a_subj.Pro-self,7.496444225076542,1.1570414992503626,5.616850041852767,6.680840206338992,7.374094010594126,8.162974416932784,10.166046821604109,0.06815053910377769,1
19,a_subj.Pro-social,6.76712096903964,1.2597992233955446,4.700865081642811,5.878295999980559,6.622587291317675,7.5066810433062665,9.615092199518308,0.07646259727778218,1
20,v,-0.4236764951232034,0.6537413139563324,-1.5675863560389391,-0.6681149324900065,-0.5070432570051645,-0.3009042603436163,1.3232937160202962,0.012119408145960586,1
21,v_std,0.6913931832727627,0.7778770510917702,0.012934334866315567,0.15811807654131138,0.4054654655466545,0.9534178661182549,2.8675250177171243,0.02916446144416001,1
22,v_subj.Pro-self,-0.4662665339772809,0.0861924054719122,-0.6246416512414205,-0.5246845803438769,-0.46944733753605805,-0.40887511597047776,-0.28690684475180017,0.0027518151153269835,1
23,v_subj.Pro-social,-0.5962316671449376,0.12413866398510215,-0.8502237195619338,-0.6792405602396768,-0.5929538522686802,-0.5100484580413579,-0.365085535080356,0.004407030268245454,1
24,t,0.34385601938361177,0.16055785331692637,0.0989146216267791,0.22602855360250992,0.3212399948801122,0.4403474737259898,0.7084792646822999,0.008385443497389712,1
25,t_std,0.8822752460881043,0.6522176849582704,0.03187786164665637,0.308095808934457,0.7895938685411503,1.3438034037914475,2.3014609435556617,0.04799631485226953,1
26,t_subj.Pro-self,0.1408818633527137,0.17381413875207047,4.471629221777195e-08,0.0008156427776149821,0.04755583465642039,0.25745985054192366,0.5556390113397882,0.011241493947175451,1
27,t_subj.Pro-social,0.21362526007134097,0.27152305104453395,2.9900767099090898e-33,1.4938358328310072e-24,0.02049855660900032,0.4189710920844252,0.8351802749030558,0.02151446291273525,1
28,z,0.3672616930243566,0.04814049615691102,0.27604124983532047,0.33230809224099006,0.3678102927903347,0.4011583664686152,0.4630742593189468,0.0040597422035731825,1
29,z_std,0.039146026137047214,0.029147718051504068,0.0013629678461948127,0.01574542719936698,0.03355424271418761,0.0575206015653118,0.10679333310850118,0.0012928654372371695,1
30,z_subj.Pro-self,0.36667222862633536,0.04850225159537361,0.27423575791362353,0.3315795431654501,0.3671640554879074,0.39997328487740014,0.46493384646636965,0.004052383695184086,1
31,z_subj.Pro-social,0.36666114251928633,0.04837444538314709,0.2744005138254976,0.3322078070942364,0.36784136117675187,0.40025049648365796,0.4627157558452212,0.004032053670380346,1
32,a,2.7615247073912923,1.3039492463958708,0.9134175687583291,1.77841999458665,2.5002826883965885,3.4712336642843304,5.898994686191951,0.037045079249889645,2
33,a_std,2.606629115429702,0.972785048137565,0.8558690911260805,1.9504957325575762,2.5196941480537025,3.175422651015267,4.754493851226473,0.03436781382420461,2
34,a_subj.Pro-self,7.85656511507277,1.5744529125511375,5.674580101579808,6.774645960558614,7.576402480338199,8.59919530974034,11.741581617851205,0.11034065338472335,2
35,a_subj.Pro-social,6.804444827251088,1.441373418168788,4.70276969235934,5.773083243306226,6.559728917573742,7.5971208541289466,10.290769759442544,0.09077503901706888,2
