,parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err,round
0,a,6.597695572340025,0.6633901669806571,5.47559252808823,6.128220779192364,6.5435014881638995,7.0043375037741935,8.038269024368741,0.015921244009457238,0
1,v,-0.42147257381456893,0.07778033233687516,-0.5743668678364855,-0.4741754245528139,-0.4205434215549829,-0.3696668339835223,-0.26743398262902096,0.0017322181178821214,0
2,t,0.45097630940692607,0.20407291222784957,0.13642343841179894,0.2968367702459228,0.42254387129790566,0.5742928089872719,0.9112873455089365,0.004666466399900275,0
3,z,0.446153611597,0.05861200671415045,0.3307392805690804,0.4075119971737313,0.44564374181499133,0.48440594628361205,0.562098182753915,0.001771020501160191,0
4,a,6.585298101096844,0.6355335846988909,5.532844906279683,6.135603344821105,6.512949112490171,6.96076770936666,8.05913431055236,0.014804444180772156,1
5,v,-0.4236997069289783,0.06792280928519841,-0.5588085814653042,-0.46955373857152627,-0.4240100470294009,-0.3783284056333418,-0.2882143312697598,0.0014952845378221717,1
6,t,0.40741043107494596,0.17087699796056424,0.12842832691884704,0.2791907656608843,0.39057990638835455,0.5157428806152169,0.78603194023531,0.003773540975634815,1
7,z,0.424118471341709,0.05150762542097799,0.32410577405041063,0.38816607516175433,0.42380619077092674,0.45930440099384934,0.5243611372141846,0.0013968065840252667,1
8,a,6.712883400389125,0.6536422375551117,5.632801909725485,6.242317301762399,6.652501395309709,7.107160272345872,8.203616018169603,0.018592487271296566,2
9,v,-0.4317847042498684,0.06459097934009413,-0.5544892449833948,-0.4760251099043279,-0.43203339795537066,-0.38730983708503186,-0.30535986411424026,0.0014412351865110916,2
10,t,0.40500403550689046,0.16993431715146468,0.13094854019204483,0.2758588510989711,0.38572958489829234,0.5168257133424019,0.765482589526095,0.0037576819384192834,2
11,z,0.41524303316957295,0.05040461795294538,0.32019695757754957,0.3808704394139275,0.414310590090694,0.4491593158626771,0.5175167408906873,0.001550355849724523,2
12,a,6.306119993511485,0.6284699236850874,5.238133213307741,5.863071022573688,6.252148903075513,6.681625101200101,7.707816645379754,0.017123924402983846,3
13,v,-0.4628159266546061,0.07428999983995467,-0.6083185578269013,-0.5114867741752914,-0.46375057474196435,-0.41335219259253225,-0.31477432153574175,0.0017013888435091554,3
14,t,0.44982836393521164,0.1914813683991753,0.13656372752071655,0.3042189369136747,0.43142622213128135,0.5768561720114578,0.8666834864044288,0.004464183873584206,3
15,z,0.42078666336335896,0.05492953836372375,0.3130989906860656,0.3832491106235045,0.4206237597062635,0.45800468737459454,0.528552531694539,0.0018137382626374492,3
16,a,6.346748330817856,0.63264890275183,5.283231050501032,5.907550782820098,6.286897114675801,6.728682162427919,7.747728097217895,0.01656748615925218,4
17,v,-0.4634518826345211,0.07403407549476954,-0.60689945640446,-0.5128928633548674,-0.46283950228368365,-0.4152811229977208,-0.3151634039122111,0.0018510013296397579,4
18,t,0.4109368518391215,0.1785717973859677,0.12200312838565416,0.277328004747951,0.3919618975232797,0.527189865431603,0.8024222968080914,0.0042949545331955,4
19,z,0.42814649341506555,0.053701246996391554,0.3223092480907337,0.3915092369440246,0.4292110785023382,0.46375507674267435,0.5337950121458208,0.0017007197165690032,4
20,a,6.296781147765451,0.6461619621131675,5.2386279056351714,5.848873580808326,6.218168133698383,6.665820620724734,7.776364035923201,0.018095178568799143,5
21,v,-0.49219501291054646,0.07890292705520066,-0.6453211004342824,-0.5456617524351552,-0.4925355358771091,-0.4390585195536625,-0.3366107918603545,0.0017724168709461817,5
22,t,0.3754758291744857,0.16390468314176468,0.10701426465074529,0.2544075427491889,0.3584220143412471,0.4801722665664643,0.7475493433246423,0.0034080059721212424,5
23,z,0.4664476232227353,0.05601748257567552,0.35794766351872925,0.4285400329629167,0.46622571730359125,0.5033346903755151,0.5790938703617561,0.001511146755212306,5
24,a,5.877108830803007,0.5730936120270563,4.8918632009812,5.474285820941186,5.822332662979919,6.230088839984753,7.158587448776797,0.014300638316712768,6
25,v,-0.5116268554149125,0.08222658759774586,-0.6732425125708522,-0.5675116694005087,-0.5111374143410483,-0.4542154618680213,-0.35498925559946115,0.0023083942212043297,6
26,t,0.3829859282339856,0.16175288455298328,0.118758210376777,0.2597171837099062,0.3662034110356609,0.48890675588549715,0.7366316755969782,0.004187376039551891,6
27,z,0.4492934627752536,0.055769074343454114,0.34164002202732296,0.41019319626155093,0.4498445580355294,0.48680573462896626,0.5576548070418803,0.0016906487401689555,6
28,a,5.634197930021921,0.5880262044421706,4.624162297551033,5.2294898871625195,5.572158000347238,5.983893879350017,6.9515607067481495,0.014118026489099692,7
29,v,-0.5251393014224232,0.08884905453593797,-0.6995490453703088,-0.5837454750771381,-0.5276265949787443,-0.4659624388908171,-0.3514444897196064,0.0021585833483028826,7
30,t,0.4090189120315752,0.16699201754916326,0.12237540413015932,0.285266972341457,0.3938076257422024,0.5190876885940563,0.7712806495050073,0.00437031457359767,7
31,z,0.4294567498883505,0.05873637865728188,0.3123416829203462,0.3895462370601827,0.43041630194658975,0.4702193935419079,0.543953408811425,0.001830669656795929,7
32,a,5.450660118552008,0.5753310474936043,4.492942339755996,5.044539788204895,5.388930264507195,5.7871565223395685,6.724230454362596,0.015066123437926043,8
33,v,-0.5322183556569755,0.09128550547856219,-0.7093494315691105,-0.5927161113192041,-0.5309514063431011,-0.47199189663888486,-0.3488371704469194,0.0021156941821928914,8
34,t,0.4237064987101286,0.1736859390097379,0.1302030259775421,0.2945867500463937,0.40613274315584325,0.536317260950067,0.7933588874635787,0.004885555520248325,8
35,z,0.4296908390553544,0.05931718144181343,0.31344923938874136,0.39089671621010286,0.4299954344514704,0.4693769202051747,0.548634363173188,0.0018206995323167142,8
36,a,5.4450150610552415,0.6032040794894242,4.447593167126437,5.021879445714266,5.374782746232927,5.808106830610532,6.8054610112246285,0.015412377620623452,9
37,v,-0.49538826536798486,0.09118185524480026,-0.6745673506641678,-0.5573472387161861,-0.49572289156569255,-0.43386010714403667,-0.3169834791816464,0.0024272553108504284,9
38,t,0.48712121955395316,0.18895601358725989,0.1602803811831153,0.34474041615985296,0.47378047652533717,0.6164446482040558,0.8816833720538236,0.0058672983487872,9
39,z,0.3896729921911962,0.05764238954379391,0.2778622912314069,0.3509439531849063,0.3889757666680511,0.42848051326931125,0.5023539871905592,0.001953273297513937,9
40,a,5.2300155091313805,0.5790996378040815,4.275182018519574,4.828063936343181,5.1776327756801805,5.5679293163108685,6.559060796611688,0.014620688461213208,10
41,v,-0.5068307075769978,0.0968461455825555,-0.6960089225095318,-0.5707660670096975,-0.5068734728437327,-0.4440975742836033,-0.3117192794081104,0.0024146559613533224,10
42,t,0.47544904324508186,0.16867886330261034,0.16364320941689564,0.35524904010685143,0.4716242207873382,0.5944766997175306,0.8051483979199769,0.0051049033606645824,10
43,z,0.37223058749809346,0.05765855035845704,0.26359327922853637,0.3330005729134167,0.37134817630131317,0.4109040126374844,0.4895140529142341,0.001834116292180991,10
44,a,4.882803656687545,0.5420253568267224,3.9756106584876454,4.508221962794848,4.827694281237082,5.19479313070576,6.108332331983265,0.014065683507604385,11
45,v,-0.5663306533307629,0.11018617321167469,-0.7831994653867651,-0.6400822418601301,-0.563688459840023,-0.49474945207722154,-0.3476356307683456,0.0024991067532089415,11
46,t,0.4475617670234797,0.1462355045076694,0.15857094294244195,0.34134176293717416,0.45445578567757045,0.5571652611832005,0.7091343498093811,0.003977028084040622,11
47,z,0.3824736026488488,0.06004354998630859,0.27360314922464635,0.34030844086339357,0.3802442122029295,0.4225110712638821,0.5081293679071759,0.001847032338021368,11
48,a,4.814649285458974,0.5651694883652967,3.8826727535384338,4.406028329279311,4.758079611509637,5.152125284585088,6.100558200821042,0.015394667658825311,12
49,v,-0.5721102208363553,0.11127382478137841,-0.7909360316208824,-0.6467322149297052,-0.5720616478105627,-0.49762442106600546,-0.35347149898639335,0.0023575882022151425,12
50,t,0.4513142079320162,0.14448572658472159,0.17803126981418071,0.34553216052578045,0.45301462635255363,0.5581061985715309,0.7178506399236064,0.0037933885515473893,12
51,z,0.37493017805190443,0.05989743146989901,0.25877118791786546,0.33285410268336335,0.37258727001646785,0.416220028932369,0.4934490934330853,0.0016266127261051876,12
52,a,4.892319914549135,0.6163783613958149,3.9180965619832913,4.459607442352403,4.813171082074637,5.2399013154261365,6.320109866323518,0.015108268612772252,13
53,v,-0.5684155083195719,0.11692637573275783,-0.79907779796979,-0.6472170915705502,-0.5698517498131674,-0.48969104538530106,-0.33638677383063875,0.0028972489919086497,13
54,t,0.38051701031605234,0.13897867835403194,0.1229675752159906,0.2790216850367301,0.37562355758781696,0.4783709596900089,0.6554069477363932,0.0032414792285651584,13
55,z,0.401822288201141,0.06277858698700124,0.2794682431255927,0.35877740795436275,0.4020151866348565,0.44540650028154016,0.5271507952328255,0.0017812307015320644,13
56,a,4.824912140903547,0.5626120383642896,3.9104628510167467,4.440384475552686,4.76163121564691,5.130943479816989,6.165978437688948,0.01495712027219298,14
57,v,-0.5774177423315476,0.11296208707098303,-0.7957397607588539,-0.6547812643732849,-0.5809361994269391,-0.5008480424743345,-0.3583756042957629,0.002478956643894125,14
58,t,0.358609703316181,0.13411838010103705,0.11917055937481788,0.2596203668355551,0.35344335791447756,0.4523397770903139,0.6323566999577094,0.0029477870634184626,14
59,z,0.4143808408305242,0.06110065670883928,0.297146183099989,0.37107347277953695,0.4147687951393107,0.45498019843840976,0.5356016552002804,0.0018210335696488757,14
60,a,4.684295916913082,0.5656527246237021,3.763477139101675,4.276272922489815,4.621238907033861,5.012815964795179,5.981555526043446,0.015813789606078633,15
61,v,-0.6461163975779781,0.12141990763175521,-0.8803501717278915,-0.7291336511769889,-0.6470935998471707,-0.5648224382733507,-0.41085995511539336,0.002928466708710264,15
62,t,0.33084063728396745,0.127856420007679,0.10368342385420098,0.23444655175789336,0.3254148204520051,0.4202744167180327,0.5936543961530116,0.003251969408129115,15
63,z,0.4392247926790545,0.06519378163410557,0.3177710378485638,0.3948786093800592,0.4381645319804349,0.48443251057651543,0.5665083268417005,0.0020887606973405775,15
64,a,4.642351009169729,0.5723876948032467,3.704115220243197,4.242446407907318,4.580631695134428,4.975135662997248,5.987106723549119,0.01369181302363814,16
65,v,-0.6458946476365851,0.12389200666811903,-0.889997422535892,-0.7294758910166921,-0.6485302350818567,-0.5656879708003029,-0.39377151877090255,0.002824861967633677,16
66,t,0.3028287434578366,0.11784107475870884,0.09576356026345231,0.21638485144823,0.2973485378555182,0.3822204505552603,0.549558548494804,0.003157868293157503,16
67,z,0.4426583240426896,0.06651536333624815,0.3139543604985371,0.3967309146524224,0.4417569660949497,0.48736231783921374,0.576355897625536,0.001892894367745267,16
68,a,4.506849805443258,0.530164762387374,3.6381054663484207,4.143431288042125,4.447644728458667,4.819711470460668,5.698614469845945,0.014543506098506515,17
