,parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err,round
0,a,6.443358613972196,0.6347374048870147,5.3546207877982654,5.9939629604616105,6.386542698917915,6.827943864486437,7.851956969634948,0.016201008911336533,0
1,v,-0.46758209936778655,0.07476230345690925,-0.6133998653062227,-0.518885522884573,-0.4668375860359426,-0.41592441090462795,-0.3237171085107712,0.0015418101201213439,0
2,t,0.4282950153111728,0.18502852465120262,0.12678888175490505,0.2894353267971733,0.4094992429954842,0.5509568077332561,0.827823807641196,0.0038826133938187892,0
3,z,0.44550005706467355,0.053934057311029446,0.3410082575934561,0.4086264132278073,0.4447892277796125,0.4816580612339386,0.5508758360751697,0.0014839967756707468,0
4,a,6.378051565839507,0.6211515967006009,5.3392302107622065,5.938195268726084,6.31864022780859,6.766471934932257,7.77375179249891,0.014947123296354083,1
5,v,-0.4673837369363133,0.07073269647146221,-0.6041229713677141,-0.5158065722567534,-0.46638900534703337,-0.4201413379642636,-0.3296531305709218,0.0016161491816646637,1
6,t,0.38816281323130586,0.16008533179857018,0.11945031674138915,0.26673954715741943,0.37544040307484694,0.49493369657722136,0.7339340650069893,0.003492374121427206,1
7,z,0.42860492610461004,0.0526711236978761,0.3270831475398128,0.3918444549806837,0.4284758772315651,0.464136654396258,0.5328667840933452,0.001435653060596374,1
8,a,6.344630592271651,0.6159763268579876,5.296686275524307,5.9079735883147695,6.292943229209773,6.710091277134682,7.684985084065966,0.017024610756137683,2
9,v,-0.4752804390132622,0.06930108339955504,-0.6110495478873453,-0.5220677316651033,-0.4738109679283683,-0.42806616154335186,-0.3428037629812783,0.001590043925865843,2
10,t,0.4062991079474111,0.16914260159626646,0.12431226144125035,0.27940577646454684,0.38962023690757763,0.5181964294132908,0.7729403288564658,0.004032425060762101,2
11,z,0.4148216722183663,0.050548768403382585,0.3173040540330761,0.37948166452753973,0.41536150249522613,0.44886239512899584,0.5145253120558304,0.0015653503064356508,2
12,a,6.014931232173191,0.6042453399232677,5.000385863931301,5.601194601864832,5.959659256736383,6.355652952183743,7.396609574134311,0.01317087037788349,3
13,v,-0.4833045008672752,0.07747123559175845,-0.6380587705373157,-0.5356509148750597,-0.4816199606106079,-0.43056439427976767,-0.33122829013911637,0.001831164002016928,3
14,t,0.4520154905373484,0.1827435440676548,0.14396624472147848,0.313889221844661,0.439544621622283,0.5752409034318704,0.8401876602926329,0.004431136043849083,3
15,z,0.40794356394640724,0.05611226695020427,0.2999482470201576,0.3701455068851769,0.4071552329550362,0.4462987593469796,0.5157989533241452,0.001619520338738381,3
16,a,6.003872842929274,0.5920926670040539,5.022547056579731,5.583758750365495,5.94769702842904,6.359919234419738,7.291196910503333,0.014853032536344207,4
17,v,-0.4641454006089649,0.0747299085269856,-0.6060985627235362,-0.5167883721555466,-0.4641960523018819,-0.41372277612386354,-0.31671089094599175,0.001844946693653331,4
18,t,0.4854429730976697,0.18954982696748618,0.16211185249559645,0.34368011174146856,0.47302798130219126,0.6179791070971214,0.8771655308927644,0.005679142117410189,4
19,z,0.3873631892882938,0.053178051267383473,0.2854431266198251,0.3497520821043677,0.3874959983208615,0.42387712410572426,0.49259397006601896,0.0017101708694623277,4
20,a,6.002294728555151,0.5973532568970327,5.021932967916169,5.5753581016259925,5.948870245885068,6.3462815941384765,7.3622571920314535,0.01651361624947969,5
21,v,-0.44216420945275936,0.07036532207443008,-0.5809093112011026,-0.49040448685302085,-0.4420650854934406,-0.3942728895519154,-0.30307660298017736,0.001626209027989559,5
22,t,0.3736264300902342,0.1433658761126733,0.12386491522250678,0.2669276324450233,0.3638213594038888,0.4697773826534366,0.6795489906232063,0.004153564380688878,5
23,z,0.38009503565996255,0.04826562872562339,0.2884798406728994,0.34703929283555296,0.3789024081702131,0.41118606128906765,0.4808918483921066,0.001652389023915453,5
24,a,5.722306108145292,0.5876742500695696,4.73892003557957,5.3118715793166285,5.669605926411316,6.081855663118704,7.023120548746299,0.015547196064910077,6
25,v,-0.47906317195311504,0.07985482712143409,-0.6312064905973751,-0.5329035387395564,-0.4783328889744005,-0.42402149540155054,-0.32005610286471875,0.0019464036575333708,6
26,t,0.4153416082503919,0.15782122473988489,0.1434514602169339,0.2968780736583614,0.4075823329628221,0.5279626254407581,0.7312136519856012,0.0045443984338998395,6
27,z,0.38220807631412945,0.05369682416661113,0.27953741328231596,0.34517615585746014,0.38238868069330223,0.4181608142193799,0.49045234288984774,0.001759955364172559,6
28,a,5.517702953180546,0.5639709172212359,4.556297495021385,5.117734646569648,5.472776582050667,5.856323118089695,6.7930361810319315,0.015175265887129094,7
29,v,-0.5065095912857355,0.08542665616816826,-0.6669978880672565,-0.5669680138051097,-0.5064949527639655,-0.4484473571814137,-0.3390028205763541,0.0019031965395122769,7
30,t,0.425346810888283,0.14997507897047938,0.1469274526709823,0.31701166943875436,0.420537488943372,0.5306021712796523,0.7225694507639047,0.0038729737513998456,7
31,z,0.3789027426280497,0.0528109242917245,0.28001068777302585,0.3413905543573534,0.37773317343613694,0.4149267334274612,0.48248272978477214,0.0014830511795483497,7
32,a,5.396135017913833,0.5902641215515941,4.410200133963154,4.983269018752022,5.3378333219440774,5.7457995185287185,6.7003018688907225,0.01601539305801037,8
33,v,-0.5386515250639554,0.09149413482877977,-0.7186141708482403,-0.5988405129522179,-0.5363047350640372,-0.4766210340672831,-0.3588853218732819,0.0020997669217451,8
34,t,0.41580545794594853,0.1513002753262484,0.14062630106507445,0.30379950576557124,0.41167778846578706,0.5208139813836183,0.7124077466869742,0.0041601966613819975,8
35,z,0.3916667698040132,0.05711297175804229,0.28130215144514276,0.35353594472813166,0.3904625718495323,0.4296478446526605,0.5049891953730626,0.0018664135238142046,8
36,a,5.34434626684682,0.5829547885404561,4.403012089786329,4.931800851583871,5.284965957857401,5.688753590687016,6.66949883847075,0.01737631754042619,9
37,v,-0.5368952783295167,0.09090209972938217,-0.7129901271543357,-0.5980141769567663,-0.5362823558124293,-0.4769602432017094,-0.3557668723712609,0.001971736790044556,9
38,t,0.40687825893589197,0.14884122529545635,0.12995822612989277,0.2985024739767189,0.4032459369344907,0.5117917061714221,0.7030620793312583,0.003910102392265317,9
39,z,0.39865686388358323,0.05508742452684488,0.2922230464364398,0.36107705642575777,0.398104196917974,0.43514278917443483,0.5087691235460428,0.001705196502402305,9
40,a,5.349182865990167,0.5831600405689104,4.400972805822634,4.944598725450495,5.288106761863783,5.677701528915874,6.669433778187144,0.016687027357186753,10
41,v,-0.5598687092200252,0.08951800485705891,-0.7319352194357331,-0.6209569143973201,-0.561261796744482,-0.4989963080819976,-0.38004175989500594,0.002359228925815476,10
42,t,0.3936205469494622,0.1413778580714984,0.13994097139569442,0.28610334959344247,0.39032573299844103,0.4955231348944974,0.6679754042536652,0.004307352086206453,10
43,z,0.39176453178136217,0.05636854336353667,0.2805775891299148,0.35426203082772195,0.3917848549397623,0.4295174630917996,0.5043297710005209,0.0019780152128097005,10
44,a,4.8950287340138585,0.5494252219475768,3.972609587864855,4.5088936122542655,4.833539850927247,5.2213568447944985,6.140303979876114,0.015723544747338385,11
45,v,-0.6395967954434334,0.10600335845090325,-0.8514212280556132,-0.7100378458854147,-0.6391808433390181,-0.5681694405724226,-0.4322180202802763,0.002495321550179752,11
46,t,0.36515848460041544,0.1279706593180022,0.1300230490572204,0.26988370279615886,0.3610543245312302,0.45870307261955867,0.608119428609655,0.003723364251642621,11
47,z,0.4115449916799849,0.05991471563807964,0.29722872506494413,0.3688545546663159,0.41255490179236315,0.450871538700019,0.5301846384998615,0.001977546661807623,11
48,a,4.846900859291595,0.5564253270801945,3.9608063465937766,4.458533435238261,4.772447737737843,5.162266574886315,6.172361093619778,0.014536168241222747,12
49,v,-0.654787137343726,0.10634273190752427,-0.8568380048488162,-0.7291329351716586,-0.6560214875692942,-0.5830138868755457,-0.4437055125965925,0.002363637512092635,12
50,t,0.2764595256831287,0.09915334703411216,0.09818287358705682,0.2042250762512994,0.2722027818042498,0.34409273529601436,0.47640530104448087,0.0024303786397810246,12
51,z,0.4124539815193802,0.05848082520919712,0.29934416800846203,0.3714174825150473,0.4126691210958153,0.45262359609638914,0.5231375960758498,0.0017342422856407823,12
52,a,4.7210475507696374,0.5587745583728772,3.8094018639648755,4.332995676740513,4.6523289154741825,5.037523723195937,6.040880798452847,0.017286994365642277,13
53,v,-0.6528626432196938,0.11090456906688463,-0.8600282770126528,-0.7290673324032773,-0.6525499824411548,-0.578295123834519,-0.4302873725791587,0.0029124952655757946,13
54,t,0.2801294505484163,0.10218073373610001,0.0985634200568639,0.20337850566299398,0.2750861842618092,0.35238673317044167,0.4849735538746824,0.002927509481131759,13
55,z,0.4131687767268145,0.059030114156264135,0.3001559085821997,0.3716677220135038,0.412296726227604,0.4538958475776128,0.5283824276922069,0.0019401065676872623,13
56,a,4.673546020258045,0.5507945149295342,3.7910244827360318,4.284174722763499,4.611091577020466,4.998094178467904,5.927293287262158,0.01675156282084405,14
57,v,-0.6626067130244794,0.11006870806715592,-0.8763798584360654,-0.7371930755241768,-0.6625278721644096,-0.5890699850461625,-0.4488286523112148,0.0025422508785109908,14
58,t,0.27620266664251697,0.10081557119953004,0.09591817909682467,0.2004031303499086,0.27345262871866344,0.34849832706997164,0.4752492499320724,0.0026320991222016695,14
59,z,0.41716069790872096,0.059129874836283534,0.30641715691246557,0.3754607353264773,0.4154811038339514,0.4580158981878804,0.5362935208303006,0.0016656418110353182,14
60,a,4.478799363683021,0.5123307560643315,3.610464066918192,4.12092498336674,4.428681168828594,4.784482374235429,5.614477286395687,0.015377582866278527,15
61,v,-0.7166192749925907,0.12056078089844968,-0.9558425868241609,-0.7954045618716685,-0.7169391659395945,-0.6346763890619791,-0.47966788193043763,0.0033419720111544484,15
62,t,0.26035013880104857,0.09854584976280452,0.08849745570958072,0.187836038734509,0.2521211114599838,0.32632732176220464,0.46708720169074297,0.002872775369928046,15
63,z,0.4350968523248906,0.06104469777299857,0.312149675454956,0.39465331389132247,0.435462430950969,0.47697072596092777,0.5557788320412844,0.0020666070383786963,15
64,a,4.427303013441474,0.4918744076198679,3.6159535805505962,4.074248005799838,4.37120997014199,4.720696850546898,5.5120294092774635,0.014195197743209487,16
65,v,-0.7005960211680887,0.11444019587614591,-0.9223612763663566,-0.7771110119396705,-0.7018035364054862,-0.6250931299988788,-0.4717764778910074,0.002725118099436683,16
66,t,0.23285423755002949,0.08960954675860688,0.07419101369471331,0.16708064145093698,0.22802442422428287,0.29355887592697627,0.4181100399346271,0.002409150908430731,16
67,z,0.4334017215792102,0.05655704272656116,0.3245074568766038,0.394501929195123,0.4327300445422007,0.4722080505560954,0.5464244325793156,0.0017612884117720144,16
