,parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err,round
0,a,6.256688040669223,0.648363902693219,5.139594658583949,5.8122982226231095,6.202509158927388,6.645143534588007,7.7286049350074055,0.016569380597117524,0
1,v,0.52580153575494,0.08501360606326991,0.3606070003891732,0.468980304780538,0.5256166861621654,0.5838811563346693,0.6927711906445759,0.002202706585355015,0
2,t,0.3727392053044331,0.15596697184540456,0.11624440905609298,0.25683611379194293,0.35725612071343144,0.473829251730834,0.716666878326059,0.0028943550194222394,0
3,z,0.5180759619443264,0.06136198141386912,0.3975753725482772,0.475929949121091,0.5179149709494285,0.5601295221085988,0.6360149831526618,0.0018096623526791121,0
4,a,6.151225418212451,0.6365024882634872,5.086997727282461,5.707963880076022,6.077757781350726,6.514904983923859,7.609386675545455,0.017524460785505548,1
5,v,0.5435379544797451,0.07934652751851555,0.39122140334233324,0.488793082242195,0.544239444690535,0.5974142095393549,0.7002986358410043,0.001853410015018495,1
6,t,0.3418251397789129,0.1431721656031401,0.10407945745121781,0.2349634451983987,0.3270736735515789,0.43331030071860654,0.6566055769332173,0.0027309159141137304,1
7,z,0.5410561033326089,0.05611008215242698,0.4296616091890909,0.5044052599381679,0.5415987223661329,0.5790897258828165,0.6514608493754627,0.001760585601471414,1
8,a,6.155951467593134,0.6548757052177002,5.057180246466173,5.6986878554306095,6.087168553755635,6.547881300500514,7.655155560674847,0.02097761990460579,2
9,v,0.569555757528534,0.07945653383427631,0.4190138690778595,0.5154110281647657,0.5687656556259433,0.6238607848970412,0.7274009425089676,0.0018620513783538292,2
10,t,0.3458790113918542,0.13954742918389695,0.10935187311499742,0.243509486062261,0.3352585075925153,0.4339517372566126,0.6452201714756938,0.0031033666167587354,2
11,z,0.5444922537013588,0.057585464191112344,0.42883369365665297,0.5050972777019709,0.5458528613908727,0.584390725162946,0.6515657755572745,0.001978618069566057,2
12,a,5.783555458511634,0.6183731311248867,4.760187951850017,5.351986469559311,5.721333283693361,6.1291433891585845,7.198883929381035,0.017842175020303462,3
13,v,0.5967995186354643,0.0902218567256706,0.4215827685561364,0.5346830643999891,0.5966702866825643,0.6563450139520599,0.7760110794730104,0.002454191474197604,3
14,t,0.37799959523477844,0.15432685005800634,0.11433351629056109,0.26179838388279125,0.36868891522181246,0.481084194373358,0.7005550435426706,0.0035914513489840984,3
15,z,0.5395320439929798,0.05994420509359751,0.4240412957115068,0.498520057569437,0.5389799717781663,0.5811680541938066,0.6539866716556924,0.0020232921104665113,3
16,a,5.418170384298368,0.6018391392924495,4.422518221286984,5.002862506303478,5.351540068832223,5.7605517651466975,6.8204569676196165,0.016025591851424666,4
17,v,0.6450343313630302,0.0994616296667064,0.4490315416431453,0.5785078135422561,0.6433908471395673,0.7122438986012926,0.8371370905365675,0.0023761253111203875,4
18,t,0.4003464552422008,0.1562230646823461,0.13238965284272092,0.28252041003352935,0.3875282972640224,0.5107015483752403,0.7260752761024007,0.003546426666852183,4
19,z,0.5376427899412939,0.05953182708864757,0.4229295993927323,0.4965562965277702,0.537213892932743,0.5780674757006532,0.6534088732145109,0.0017887898265697634,4
20,a,5.243470829299071,0.5707255077912918,4.28164007151179,4.847508264140963,5.184181550404625,5.585503027345225,6.546509957094685,0.016534996000830582,5
21,v,0.6533946537498541,0.10234428590815,0.4558641616073773,0.5828465944582526,0.6521433219312817,0.7229073786112564,0.8557092509933643,0.0026923833940868044,5
22,t,0.4241287622814339,0.16030555103327873,0.13973612701048654,0.3058019184190213,0.4146621205015596,0.534726568756499,0.7521252923664568,0.004655503722554708,5
23,z,0.5466957670673199,0.06029624924394698,0.4292392380579725,0.5065885765220597,0.5463708301724745,0.5872503292765499,0.6664924742514671,0.002060096123164899,5
24,a,5.040043190592511,0.5874848520586444,4.0462097011267275,4.630504605089599,4.974572675770626,5.392537804685498,6.349049489702438,0.018537361241382715,6
25,v,0.7173553650471605,0.11164976805125185,0.505189059755712,0.6416906146748649,0.7168362737622858,0.7931691374569674,0.9355898365009694,0.0030533110934059158,6
26,t,0.46785869493834736,0.17110564383221225,0.16452793676971414,0.34155637263795957,0.46402924520584693,0.5879858462159713,0.8160981070755267,0.004973323949385616,6
27,z,0.5364589226981022,0.06360333302995944,0.4077656975009585,0.4937284476510885,0.536580107412952,0.5803549098041979,0.6577420583019761,0.0021824457094910396,6
