,parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err,round
0,a,2.8930111572150743,1.3703002124385004,0.8714754649022347,1.8763113882630262,2.6355963407736027,3.7010150596337485,6.042975848086805,0.03936077313821311,0
1,a_std,2.4545445320103925,0.984074960712402,0.5715432751011782,1.8038179902673206,2.3791277870890863,3.0281550483939768,4.584159141484938,0.033974006134890725,0
2,a_subj.Pro-self,7.384136434056254,1.4353650800386624,5.138083862795076,6.375520390087837,7.162170725776935,8.158936055064839,10.787997436987721,0.0872132604811819,0
3,a_subj.Pro-social,6.450768016890873,1.2139861598000738,4.6185788505127245,5.5722024492532,6.263753615060159,7.1266598451820915,9.264858899214659,0.0810266898058167,0
4,v,0.6851318676122882,0.6508207321277977,-0.6262557764876385,0.4765590599726284,0.6251928278678132,0.8238962466959835,2.316049409771558,0.011293944079266496,0
5,v_std,0.6847902219323603,0.8195664416879757,0.00506391205814457,0.12821043920920905,0.3705303570986618,0.9451395956153237,3.0301015826304414,0.03419023415118222,0
6,v_subj.Pro-self,0.5690316270896622,0.12016260837735158,0.32817908805136964,0.4950101597109152,0.5665856815841603,0.6489547703087897,0.8028185134827723,0.0042621352611582975,0
7,v_subj.Pro-social,0.6551001950296179,0.12071452704226253,0.42502135193628776,0.5713545074109043,0.6507914920246698,0.7349718404409117,0.9059556357439117,0.0042202930888452055,0
8,t,0.38810862240513705,0.165333583871066,0.13623625830636452,0.266473600142456,0.365111870288642,0.48855806548929115,0.7658383864676713,0.006943157588949184,0
9,t_std,0.6486891483671006,0.54935529864679,0.01313388575327764,0.20587709423452027,0.5166118749462821,0.9532235072288833,2.013292249819615,0.037674247830368504,0
10,t_subj.Pro-self,0.2336830996244766,0.23430090124768743,9.598759757604854e-13,0.010616566943637147,0.1724224242601162,0.3934538811287614,0.7682530365474634,0.01383435762177453,0
11,t_subj.Pro-social,0.20435413836901004,0.21271189531305087,9.688034236542728e-17,0.0021271723666158207,0.14025415660159968,0.3636247655223709,0.6699296807080706,0.013572807245040596,0
12,z,0.5723808613750894,0.0644594029519429,0.4568200705788587,0.5266864262486248,0.5689272797264674,0.620374390450296,0.6997887477032145,0.005820920500471897,0
13,z_std,0.04086320473207526,0.030643677042230196,0.0024689946610217933,0.0163517331116496,0.034223240611160874,0.05852066934144132,0.11635960980388871,0.001272387503910261,0
14,z_subj.Pro-self,0.5721142247863708,0.06502514935729288,0.4571568511355264,0.5272817476242428,0.5683150811776619,0.6201249525243229,0.6997388641049667,0.0058253361606077055,0
15,z_subj.Pro-social,0.5728320140488381,0.06496365380419145,0.45679757388619996,0.5269103865499354,0.5685331721606258,0.6217405339494342,0.701690236835396,0.005831846292805744,0
16,a,2.8032931768199623,1.3136223722597389,0.9237374618108967,1.840557222079659,2.5638361819766597,3.500402844430214,6.006564253220024,0.04425952238154806,1
17,a_std,2.5136472352736887,0.975109035841107,0.7076937681090473,1.8608210935174445,2.4349092764971063,3.0872287079087952,4.751219008050235,0.03805642255323976,1
18,a_subj.Pro-self,7.81799007350332,1.7003584138556824,5.410070193372356,6.5554088431594515,7.465249242331923,8.760170309805115,11.965567998466454,0.11497477231241263,1
19,a_subj.Pro-social,6.5372367665512074,1.3814461698697664,4.59455208042016,5.525775981136283,6.249597852570551,7.268451819480582,9.930309776490615,0.09983244753574323,1
20,v,0.6685953244701056,0.6744301018706416,-0.6324213477468098,0.4502983399322722,0.6210826639207174,0.8198181947953462,2.2560335022415323,0.008659026743060148,1
21,v_std,0.6934558765041713,0.7845234764934278,0.020247514152583253,0.15579137264019494,0.3984760975912782,0.9217286656715575,2.8667526880553647,0.03062320242636074,1
22,v_subj.Pro-self,0.5487550606769253,0.11744356349671796,0.31634649938731485,0.46857217757530356,0.5480183067847917,0.6286683283349638,0.778078751102282,0.0043524637035830625,1
23,v_subj.Pro-social,0.6657377773555684,0.12383039801264285,0.4232725292537458,0.5814404317612749,0.6662937669337139,0.7456814728849148,0.9147721988837498,0.005138108445348549,1
24,t,0.40931336066870455,0.17301768193474287,0.1346079567316523,0.28155716352749743,0.39198992604389493,0.5166354532909949,0.8008532961400482,0.007669290411301299,1
25,t_std,0.5319337784440042,0.48536640861237373,0.01229631532574307,0.16605380811203838,0.3742102487638612,0.7683303065104612,1.789401462459983,0.03092593927710624,1
