,parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err,round
0,a,6.521747232877043,0.632937433158705,5.443945404812783,6.082535162066127,6.460605762657884,6.908312979681669,7.921739766609116,0.016095784629970016,0
1,v,-0.45821151612304484,0.0681832924931358,-0.5939979343313936,-0.5025055592721785,-0.45813705042362257,-0.4130205466112793,-0.3258638539322083,0.0015123635886522139,0
2,t,0.45130334078442047,0.18351471802193003,0.1382917946606836,0.3155418599190869,0.43441520393228905,0.5725700550006613,0.8467906125764356,0.0038305554690239705,0
3,z,0.4148788249897107,0.05202135459059646,0.31489963793695164,0.37912645960856267,0.4145829681373248,0.44968845558303516,0.5189642722564083,0.001589475100792479,0
4,a,6.6439387685215525,0.619523643068749,5.608650141811158,6.217612201354423,6.578225209026189,7.016015012881857,8.045467759968279,0.017820786399382966,1
5,v,-0.4303342740502478,0.06216887725260129,-0.5510704582818027,-0.4713811544607516,-0.43099309228610005,-0.3885005297614421,-0.30983963534339587,0.0013448651332998393,1
6,t,0.44429846433528863,0.1701167998824345,0.14487459983091777,0.3187343441639531,0.4345221590812589,0.5614433183208314,0.7923531761382301,0.004815207034875416,1
7,z,0.37638033348962546,0.04551780207895148,0.28728190259917685,0.34547297034176305,0.37670318491721544,0.4071961460401139,0.4665755150430576,0.0015027837205832772,1
8,a,6.80421151740454,0.6474324139261652,5.749829844584166,6.345842835227104,6.7269396400854,7.164496368529062,8.243652288714362,0.0222600025183097,2
9,v,-0.4161493263028336,0.05559038560964616,-0.521772530209138,-0.4549240750521466,-0.41679951691825023,-0.3778200226900033,-0.30745795421360844,0.0013258941533610428,2
10,t,0.4012437916550194,0.1393807280783172,0.14169160529303584,0.2980938212054136,0.39860564795815484,0.5019361152155023,0.6647419226500062,0.0037814866640275757,2
11,z,0.3440302546771649,0.041840286587973854,0.26305337464245754,0.3159797644914198,0.34345761439598355,0.37175737960105965,0.42717713075188246,0.0015449220309199218,2
12,a,6.6792943180899265,0.593018282403499,5.6912270640711915,6.253873964959158,6.623153893310295,7.047122933360921,7.977134652110008,0.01703816341196212,3
13,v,-0.39790755129789385,0.05408735461113029,-0.5059137605815559,-0.4335573159157194,-0.3978452495992722,-0.3615092211705523,-0.29296649020924287,0.0012758872231236808,3
14,t,0.2864917644474545,0.09278339751638855,0.10764790620462839,0.2186328929327762,0.2877503295981255,0.3539670223711337,0.46304743394104697,0.002066777613820977,3
15,z,0.32240388769582123,0.036433225974826615,0.2535167704737198,0.2982864045504707,0.3203270171566018,0.34639590708749074,0.39544384856121756,0.0011302395016952317,3
16,a,6.6724210575879574,0.6229498899960956,5.601123778157848,6.221367998276357,6.620591633590827,7.067714051942783,8.067941336083372,0.02140444131411105,4
17,v,-0.40626728781449434,0.05385676321854255,-0.5142561443450357,-0.4427295314588785,-0.4061745661080193,-0.36973292329026175,-0.30031638711813957,0.000999945218101686,4
18,t,0.15980161349421526,0.05650241713777872,0.057133944250180285,0.11766259544510922,0.15811386019452012,0.20124164078036139,0.27409687703106494,0.0009404399993384339,4
19,z,0.3098254123757275,0.0358292450530264,0.24354755092812624,0.28469438730960483,0.30917990455447786,0.33296393447651357,0.3843604791870107,0.0011926724583245078,4
20,a,6.721585377082965,0.6164141162211493,5.647861103470949,6.286269591015072,6.674343266696452,7.085427355233975,8.11345608287568,0.0223991121047535,5
21,v,-0.38961242328525675,0.05344520032951012,-0.49318698396862404,-0.42635442164607884,-0.38992001726099274,-0.3530869312317076,-0.28418787229003756,0.0011242404193394053,5
22,t,0.177757870853287,0.05944763592175628,0.06670406069516006,0.1349999533831789,0.17668703407262823,0.21963719007892651,0.2942276681624288,0.0012505622428596647,5
23,z,0.28877685698680106,0.03290901228042196,0.22648754928270162,0.26575329774598205,0.2884270259721229,0.3105608257287308,0.3545141981423871,0.0012204246630854504,5
24,a,6.561524296848299,0.6171590222897592,5.522818343952297,6.118339762705997,6.500662079871003,6.936770823298609,7.917500086298949,0.02105855387105757,6
25,v,-0.39803631993709726,0.05430381374288625,-0.5037962859639582,-0.43602058325403203,-0.39698425920716285,-0.36060703941607164,-0.295843503010498,0.0011715919734360271,6
26,t,0.17351111997240817,0.057439373677142226,0.06578888999351966,0.13278387959622379,0.17362165194275223,0.21213987194238587,0.2864987124833661,0.0011759566577043208,6
27,z,0.2827223841012995,0.03231247730663996,0.22206605206191066,0.25951133797555825,0.2829205530773503,0.30513949206312885,0.3484290771850705,0.0011802703307452578,6
28,a,6.359130961116931,0.6138337401688798,5.358596608486724,5.935314198625369,6.291645781364538,6.724427132114449,7.7784905600662375,0.02153692642306705,7
29,v,-0.42356461265839573,0.05849903384516743,-0.5375021534207505,-0.4629131292899683,-0.42299494337023347,-0.3846729003780908,-0.30809590330234843,0.0011387692249170906,7
30,t,0.1722492060592559,0.0572173963831741,0.06510113392926606,0.13142531983557432,0.17149757521987746,0.21183413959838782,0.2836785807976926,0.001395385108703032,7
31,z,0.282790398356904,0.034007425295911525,0.21862830399885907,0.2598819890957042,0.28253989066923935,0.3048059921994078,0.3515388899943396,0.0011946397289767608,7
32,a,6.2763905775957305,0.6022891266400303,5.240419241979336,5.85172534468227,6.229269963729225,6.662069956775339,7.607775160552064,0.021586739204506537,8
33,v,-0.4507934397264406,0.05639857332868173,-0.5591096767213004,-0.489018935226179,-0.4512528072272367,-0.4119960012158631,-0.33990544041392784,0.0012521611179359213,8
34,t,0.1645078752354012,0.054204532992866906,0.0627923688958219,0.12532078436818037,0.16302175159943535,0.20199175152655993,0.27270119175056806,0.0011227215032137265,8
35,z,0.29199859058453037,0.03417941626386779,0.2318675761636328,0.26784491700246854,0.2903681327475336,0.3143006016799474,0.3635933062736315,0.0012950276520659984,8
