,round,player,action_player,opponent,action_opponent,payoff,time_php,rt,who_played,session,treatment,actions,prev,response,abs_time
3200,1,s5m20_usuario1,D,['s5m20_usuario12'],D,1,6705.29985428,-0.006,user,s5m20,changing,00D,00,0,0.006
3201,1,s5m20_usuario2,C,['s5m20_usuario10'],D,0,4630.29980659,0.004,user,s5m20,changing,00C,00,1,0.004
3202,1,s5m20_usuario3,D,['s5m20_usuario5'],D,1,12807.000160200001,-0.012,user,s5m20,changing,00D,00,0,0.012
3203,1,s5m20_usuario4,C,['s5m20_usuario13'],C,3,2428.1001091,0.002,user,s5m20,changing,00C,00,1,0.002
3204,1,s5m20_usuario5,D,['s5m20_usuario3'],D,1,17117.1000004,-0.017,user,s5m20,changing,00D,00,0,0.017
3205,1,s5m20_usuario6,D,['s5m20_usuario18'],C,4,5645.90001106,-0.005,user,s5m20,changing,00D,00,0,0.005
3206,1,s5m20_usuario7,C,['s5m20_usuario17'],D,0,4085.60013771,0.004,user,s5m20,changing,00C,00,1,0.004
3207,1,s5m20_usuario8,C,['s5m20_usuario11'],D,0,7777.40001678,0.007,user,s5m20,changing,00C,00,1,0.007
3208,1,s5m20_usuario9,D,['s5m20_usuario14'],D,1,4185.79983711,-0.004,user,s5m20,changing,00D,00,0,0.004
3209,1,s5m20_usuario10,D,['s5m20_usuario2'],C,4,7459.39993858,-0.007,user,s5m20,changing,00D,00,0,0.007
3210,1,s5m20_usuario11,D,['s5m20_usuario8'],C,4,8442.19994545,-0.008,user,s5m20,changing,00D,00,0,0.008
3211,1,s5m20_usuario12,D,['s5m20_usuario1'],D,1,13338.9999866,-0.013,user,s5m20,changing,00D,00,0,0.013
3212,1,s5m20_usuario13,C,['s5m20_usuario4'],C,3,5373.20017815,0.005,user,s5m20,changing,00C,00,1,0.005
3213,1,s5m20_usuario14,D,['s5m20_usuario9'],D,1,18159.600019499998,-0.018,user,s5m20,changing,00D,00,0,0.018
3214,1,s5m20_usuario15,C,['s5m20_usuario16'],C,3,17341.5999413,0.017,user,s5m20,changing,00C,00,1,0.017
3215,1,s5m20_usuario16,C,['s5m20_usuario15'],C,3,7197.60012627,0.007,user,s5m20,changing,00C,00,1,0.007
3216,1,s5m20_usuario17,D,['s5m20_usuario7'],C,4,6368.19982529,-0.006,user,s5m20,changing,00D,00,0,0.006
3217,1,s5m20_usuario18,C,['s5m20_usuario6'],D,0,6144.00005341,0.006,user,s5m20,changing,00C,00,1,0.006
3218,2,s5m20_usuario1,C,['s5m20_usuario5'],C,3,12141.2000656,0.012,user,s5m20,changing,DDC,DD,1,0.012
3219,2,s5m20_usuario2,C,['s5m20_usuario11'],C,3,10291.200161,0.01,user,s5m20,changing,CDC,CD,1,0.01
3220,2,s5m20_usuario3,D,['s5m20_usuario15'],D,1,8909.09981728,-0.008,user,s5m20,changing,DDD,DD,0,0.008
3221,2,s5m20_usuario4,C,['s5m20_usuario9'],C,3,2288.69986534,0.002,user,s5m20,changing,CCC,CC,1,0.002
3222,2,s5m20_usuario5,C,['s5m20_usuario1'],C,3,3858.39986801,0.003,user,s5m20,changing,DDC,DD,1,0.003
3223,2,s5m20_usuario6,C,['s5m20_usuario16'],C,3,12730.099916500001,0.012,user,s5m20,changing,DCC,DC,1,0.012
3224,2,s5m20_usuario7,C,['s5m20_usuario17'],D,0,4320.60003281,0.004,user,s5m20,changing,CDC,CD,1,0.004
3225,2,s5m20_usuario8,D,['s5m20_usuario13'],C,4,4302.69980431,-0.004,user,s5m20,changing,CDD,CD,0,0.004
3226,2,s5m20_usuario9,C,['s5m20_usuario4'],C,3,13398.0000019,0.013,user,s5m20,changing,DDC,DD,1,0.013
3227,2,s5m20_usuario10,C,['s5m20_usuario18'],C,3,5737.90001869,0.005,user,s5m20,changing,DCC,DC,1,0.005
3228,2,s5m20_usuario11,C,['s5m20_usuario2'],C,3,8714.19978142,0.008,user,s5m20,changing,DCC,DC,1,0.008
3229,2,s5m20_usuario12,C,['s5m20_usuario14'],D,0,3271.49987221,0.003,user,s5m20,changing,DDC,DD,1,0.003
3230,2,s5m20_usuario13,C,['s5m20_usuario8'],D,0,3122.0998764,0.003,user,s5m20,changing,CCC,CC,1,0.003
3231,2,s5m20_usuario14,D,['s5m20_usuario12'],C,4,3603.60002518,-0.003,user,s5m20,changing,DDD,DD,0,0.003
3232,2,s5m20_usuario15,D,['s5m20_usuario3'],D,1,14634.7000599,-0.014,user,s5m20,changing,CCD,CC,0,0.014
3233,2,s5m20_usuario16,C,['s5m20_usuario6'],C,3,3590.89994431,0.003,user,s5m20,changing,CCC,CC,1,0.003
3234,2,s5m20_usuario17,D,['s5m20_usuario7'],C,4,13254.999876,-0.013,user,s5m20,changing,DCD,DC,0,0.013
3235,2,s5m20_usuario18,C,['s5m20_usuario10'],C,3,2884.40012932,0.002,user,s5m20,changing,CDC,CD,1,0.002
3236,3,s5m20_usuario1,C,['s5m20_usuario10'],C,3,11409.6000195,0.011,user,s5m20,changing,CCC,CC,1,0.011
3237,3,s5m20_usuario2,C,['s5m20_usuario5'],C,3,5997.40004539,0.005,user,s5m20,changing,CCC,CC,1,0.005
3238,3,s5m20_usuario3,D,['s5m20_usuario13'],C,4,13515.1000023,-0.013,user,s5m20,changing,DDD,DD,0,0.013
3239,3,s5m20_usuario4,C,['s5m20_usuario14'],D,0,1999.09996986,0.001,user,s5m20,changing,CCC,CC,1,0.001
3240,3,s5m20_usuario5,C,['s5m20_usuario2'],C,3,6613.10005188,0.006,user,s5m20,changing,CCC,CC,1,0.006
3241,3,s5m20_usuario6,C,['s5m20_usuario7'],D,0,10580.2001953,0.01,user,s5m20,changing,CCC,CC,1,0.01
3242,3,s5m20_usuario7,D,['s5m20_usuario6'],C,4,4772.59993553,-0.004,user,s5m20,changing,CDD,CD,0,0.004
3243,3,s5m20_usuario8,D,['s5m20_usuario15'],C,4,4618.99995804,-0.004,user,s5m20,changing,DCD,DC,0,0.004
3244,3,s5m20_usuario9,C,['s5m20_usuario16'],C,3,6285.3000164,0.006,user,s5m20,changing,CCC,CC,1,0.006
3245,3,s5m20_usuario10,C,['s5m20_usuario1'],C,3,7057.99984932,0.007,user,s5m20,changing,CCC,CC,1,0.007
3246,3,s5m20_usuario11,D,['s5m20_usuario17'],D,1,7437.09993362,-0.007,user,s5m20,changing,CCD,CC,0,0.007
3247,3,s5m20_usuario12,D,['s5m20_usuario18'],D,1,3124.79996681,-0.003,user,s5m20,changing,CDD,CD,0,0.003
3248,3,s5m20_usuario13,C,['s5m20_usuario3'],D,0,2381.99996948,0.002,user,s5m20,changing,CDC,CD,1,0.002
3249,3,s5m20_usuario14,D,['s5m20_usuario4'],C,4,3750.50020218,-0.003,user,s5m20,changing,DCD,DC,0,0.003
3250,3,s5m20_usuario15,C,['s5m20_usuario8'],D,0,14120.100021399998,0.014,user,s5m20,changing,DDC,DD,1,0.014
3251,3,s5m20_usuario16,C,['s5m20_usuario9'],C,3,1476.09996796,0.001,user,s5m20,changing,CCC,CC,1,0.001
3252,3,s5m20_usuario17,D,['s5m20_usuario11'],D,1,12599.2000103,-0.012,user,s5m20,changing,DCD,DC,0,0.012
3253,3,s5m20_usuario18,D,['s5m20_usuario12'],D,1,3705.10005951,-0.003,user,s5m20,changing,CCD,CC,0,0.003
3254,4,s5m20_usuario1,C,['s5m20_usuario15'],C,3,8202.10003853,0.008,user,s5m20,changing,CCC,CC,1,0.008
3255,4,s5m20_usuario2,D,['s5m20_usuario7'],C,4,5073.69995117,-0.005,user,s5m20,changing,CCD,CC,0,0.005
3256,4,s5m20_usuario3,D,['s5m20_usuario12'],D,1,8268.80002022,-0.008,user,s5m20,changing,DCD,DC,0,0.008
3257,4,s5m20_usuario4,D,['s5m20_usuario9'],C,4,2272.30000496,-0.002,user,s5m20,changing,CDD,CD,0,0.002
3258,4,s5m20_usuario5,C,['s5m20_usuario16'],C,3,13708.4000111,0.013,user,s5m20,changing,CCC,CC,1,0.013
3259,4,s5m20_usuario6,D,['s5m20_usuario17'],D,1,8586.8999958,-0.008,user,s5m20,changing,CDD,CD,0,0.008
3260,4,s5m20_usuario7,C,['s5m20_usuario2'],D,0,3417.0999526999994,0.003,user,s5m20,changing,DCC,DC,1,0.003
3261,4,s5m20_usuario8,C,['s5m20_usuario13'],C,3,3731.70018196,0.003,user,s5m20,changing,DCC,DC,1,0.003
3262,4,s5m20_usuario9,C,['s5m20_usuario4'],D,0,6963.59992027,0.006,user,s5m20,changing,CCC,CC,1,0.006
3263,4,s5m20_usuario10,C,['s5m20_usuario18'],C,3,6066.29991531,0.006,user,s5m20,changing,CCC,CC,1,0.006
3264,4,s5m20_usuario11,D,['s5m20_usuario14'],D,1,3712.80002594,-0.003,user,s5m20,changing,DDD,DD,0,0.003
3265,4,s5m20_usuario12,D,['s5m20_usuario3'],D,1,2741.80006981,-0.002,user,s5m20,changing,DDD,DD,0,0.002
3266,4,s5m20_usuario13,C,['s5m20_usuario8'],C,3,2481.1000824000002,0.002,user,s5m20,changing,CDC,CD,1,0.002
3267,4,s5m20_usuario14,D,['s5m20_usuario11'],D,1,5347.10001945,-0.005,user,s5m20,changing,DCD,DC,0,0.005
3268,4,s5m20_usuario15,C,['s5m20_usuario1'],C,3,22417.0000553,0.022,user,s5m20,changing,CDC,CD,1,0.022
3269,4,s5m20_usuario16,C,['s5m20_usuario5'],C,3,1786.5998745000002,0.001,user,s5m20,changing,CCC,CC,1,0.001
3270,4,s5m20_usuario17,D,['s5m20_usuario6'],D,1,9817.30008125,-0.009,user,s5m20,changing,DDD,DD,0,0.009
3271,4,s5m20_usuario18,C,['s5m20_usuario10'],C,3,4579.49995995,0.004,user,s5m20,changing,DDC,DD,1,0.004
3272,5,s5m20_usuario1,C,['s5m20_usuario16'],C,3,3521.8000412,0.003,user,s5m20,changing,CCC,CC,1,0.003
3273,5,s5m20_usuario2,C,['s5m20_usuario9'],C,3,4380.89990616,0.004,user,s5m20,changing,DCC,DC,1,0.004
3274,5,s5m20_usuario3,D,['s5m20_usuario10'],D,1,6488.80004883,-0.006,user,s5m20,changing,DDD,DD,0,0.006
3275,5,s5m20_usuario4,D,['s5m20_usuario17'],D,1,2383.10003281,-0.002,user,s5m20,changing,DCD,DC,0,0.002
3276,5,s5m20_usuario5,C,['s5m20_usuario13'],C,3,16751.399993900002,0.016,user,s5m20,changing,CCC,CC,1,0.016
