,parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err,round
0,a,5.1232769854031295,0.09636821963554011,4.938645120392459,5.0574295305605155,5.1228209842199846,5.18864884159966,5.313527905565609,0.0010338299214612428,0
1,v,-0.04946375199692452,0.021347246995928843,-0.09156481191664859,-0.06401703503112822,-0.04963838411316124,-0.034883100943171236,-0.00775154942935824,0.0003116197202645429,0
2,t,0.13729545807350105,0.04450303991896545,0.05498477255963415,0.10548027201564852,0.13612796874741157,0.16874740355208323,0.22494411032359107,0.0005048223849423818,0
3,z,0.5180418773640703,0.015263684474316124,0.48812229008386726,0.5076117209225156,0.518098535830699,0.5285481871220292,0.547688125516687,0.00021284631504054355,0
4,a,5.045165771919105,0.08638069194774702,4.878767038043755,4.986904971765911,5.04436597629357,5.104229379430779,5.214042102702677,0.0010864073080724195,5
5,v,-0.06419225652488372,0.01993340805109539,-0.10320681189414793,-0.07762169552590628,-0.06406798121976888,-0.050549982284959175,-0.02554182319715556,0.0002462289931149756,5
6,t,0.11410527531640112,0.03890710894283808,0.04403874666782026,0.08557237649138472,0.11280543429758885,0.1406292207165216,0.19329803943300058,0.00043476263610857927,5
7,z,0.5191877224035861,0.013831686399377643,0.49204145211031647,0.5099306109826934,0.5189940108392675,0.528503583260019,0.5462568961613643,0.00017748680978129166,5
8,a,4.894656046713009,0.0810883144335323,4.737287963586118,4.83948838554472,4.894280223333387,4.948246564990656,5.059298818756528,0.0007851663245401089,10
9,v,-0.08693018631686078,0.020227492007571273,-0.126104241756358,-0.10060585879730383,-0.08698176314963685,-0.07348914455471475,-0.046996846063120185,0.0002845805075059369,10
10,t,0.08455849264181278,0.031887115020360436,0.029791794969216575,0.061363342392757855,0.08237040189776243,0.10493430729885936,0.15307881341214769,0.0003574046244934638,10
11,z,0.5112049393054082,0.013819848558861031,0.48412692540096647,0.5020886003181267,0.5113372542953818,0.5203059133297994,0.538597511985547,0.00019522924404389333,10
12,a,4.730828096305616,0.07857073828446323,4.5777177681054155,4.6781909636717725,4.729479954425181,4.783599746560617,4.886632220816453,0.0008812968428354254,15
13,v,-0.11390292231668744,0.02086844451419554,-0.15464417219857857,-0.1276912016668633,-0.11403846612363999,-0.1001333868043364,-0.0723190820550147,0.0003069543390369206,15
