,round,player,action_player,opponent,action_opponent,payoff,time_php,time_js,who_played,session,treatment,actions
3200,1,s5m20_usuario1,D,['s5m20_usuario12'],D,1,6705.29985428,6678,user,s5m20,changing,00D
3201,1,s5m20_usuario2,C,['s5m20_usuario10'],D,0,4630.29980659,4601,user,s5m20,changing,00C
3202,1,s5m20_usuario3,D,['s5m20_usuario5'],D,1,12807.000160200001,12777,user,s5m20,changing,00D
3203,1,s5m20_usuario4,C,['s5m20_usuario13'],C,3,2428.1001091,2399,user,s5m20,changing,00C
3204,1,s5m20_usuario5,D,['s5m20_usuario3'],D,1,17117.1000004,17088,user,s5m20,changing,00D
3205,1,s5m20_usuario6,D,['s5m20_usuario18'],C,4,5645.90001106,5609,user,s5m20,changing,00D
3206,1,s5m20_usuario7,C,['s5m20_usuario17'],D,0,4085.60013771,4066,user,s5m20,changing,00C
3207,1,s5m20_usuario8,C,['s5m20_usuario11'],D,0,7777.40001678,7746,user,s5m20,changing,00C
3208,1,s5m20_usuario9,D,['s5m20_usuario14'],D,1,4185.79983711,4159,user,s5m20,changing,00D
3209,1,s5m20_usuario10,D,['s5m20_usuario2'],C,4,7459.39993858,7406,user,s5m20,changing,00D
3210,1,s5m20_usuario11,D,['s5m20_usuario8'],C,4,8442.19994545,8411,user,s5m20,changing,00D
3211,1,s5m20_usuario12,D,['s5m20_usuario1'],D,1,13338.9999866,13305,user,s5m20,changing,00D
3212,1,s5m20_usuario13,C,['s5m20_usuario4'],C,3,5373.20017815,5348,user,s5m20,changing,00C
3213,1,s5m20_usuario14,D,['s5m20_usuario9'],D,1,18159.600019499998,18097,user,s5m20,changing,00D
3214,1,s5m20_usuario15,C,['s5m20_usuario16'],C,3,17341.5999413,17290,user,s5m20,changing,00C
3215,1,s5m20_usuario16,C,['s5m20_usuario15'],C,3,7197.60012627,7134,user,s5m20,changing,00C
3216,1,s5m20_usuario17,D,['s5m20_usuario7'],C,4,6368.19982529,6317,user,s5m20,changing,00D
3217,1,s5m20_usuario18,C,['s5m20_usuario6'],D,0,6144.00005341,6095,user,s5m20,changing,00C
3218,2,s5m20_usuario1,C,['s5m20_usuario5'],C,3,12141.2000656,12111,user,s5m20,changing,DDC
3219,2,s5m20_usuario2,C,['s5m20_usuario11'],C,3,10291.200161,10241,user,s5m20,changing,CDC
3220,2,s5m20_usuario3,D,['s5m20_usuario15'],D,1,8909.09981728,8882,user,s5m20,changing,DDD
3221,2,s5m20_usuario4,C,['s5m20_usuario9'],C,3,2288.69986534,2269,user,s5m20,changing,CCC
3222,2,s5m20_usuario5,C,['s5m20_usuario1'],C,3,3858.39986801,3835,user,s5m20,changing,DDC
3223,2,s5m20_usuario6,C,['s5m20_usuario16'],C,3,12730.099916500001,12699,user,s5m20,changing,DCC
3224,2,s5m20_usuario7,C,['s5m20_usuario17'],D,0,4320.60003281,4304,user,s5m20,changing,CDC
3225,2,s5m20_usuario8,D,['s5m20_usuario13'],C,4,4302.69980431,4274,user,s5m20,changing,CDD
3226,2,s5m20_usuario9,C,['s5m20_usuario4'],C,3,13398.0000019,13368,user,s5m20,changing,DDC
3227,2,s5m20_usuario10,C,['s5m20_usuario18'],C,3,5737.90001869,5709,user,s5m20,changing,DCC
3228,2,s5m20_usuario11,C,['s5m20_usuario2'],C,3,8714.19978142,8684,user,s5m20,changing,DCC
3229,2,s5m20_usuario12,C,['s5m20_usuario14'],D,0,3271.49987221,3252,user,s5m20,changing,DDC
3230,2,s5m20_usuario13,C,['s5m20_usuario8'],D,0,3122.0998764,3090,user,s5m20,changing,CCC
3231,2,s5m20_usuario14,D,['s5m20_usuario12'],C,4,3603.60002518,3575,user,s5m20,changing,DDD
3232,2,s5m20_usuario15,D,['s5m20_usuario3'],D,1,14634.7000599,14603,user,s5m20,changing,CCD
3233,2,s5m20_usuario16,C,['s5m20_usuario6'],C,3,3590.89994431,3566,user,s5m20,changing,CCC
3234,2,s5m20_usuario17,D,['s5m20_usuario7'],C,4,13254.999876,13224,user,s5m20,changing,DCD
3235,2,s5m20_usuario18,C,['s5m20_usuario10'],C,3,2884.40012932,2856,user,s5m20,changing,CDC
3236,3,s5m20_usuario1,C,['s5m20_usuario10'],C,3,11409.6000195,11379,user,s5m20,changing,CCC
3237,3,s5m20_usuario2,C,['s5m20_usuario5'],C,3,5997.40004539,5968,user,s5m20,changing,CCC
3238,3,s5m20_usuario3,D,['s5m20_usuario13'],C,4,13515.1000023,13484,user,s5m20,changing,DDD
