,round,player,action_player,opponent,action_opponent,payoff,time_php,rt,who_played,session,treatment,actions,response,abs_time,prev
1800,1,s4m8_usuario2,D,['s4m8_usuario7'],C,4,4616.29986763,-4.6,user,s4m8,fix,00D,0,4.6,00
1801,1,s4m8_usuario7,C,['s4m8_usuario2'],D,0,4081.79998398,4.055,user,s4m8,fix,00C,1,4.055,00
1802,1,s4m8_usuario14,C,['s4m8_usuario13'],C,3,5450.29997826,5.394,user,s4m8,fix,00C,1,5.394,00
1803,1,s4m8_usuario13,C,['s4m8_usuario14'],C,3,7837.39995956,7.806,user,s4m8,fix,00C,1,7.806,00
1804,1,s4m8_usuario9,D,['s4m8_usuario10'],C,4,15086.5001678,-15.067,user,s4m8,fix,00D,0,15.067,00
1805,1,s4m8_usuario10,C,['s4m8_usuario9'],D,0,12510.7002258,12.483,user,s4m8,fix,00C,1,12.483,00
1806,1,s4m8_usuario8,C,['s4m8_usuario1'],C,3,10614.5999432,10.559,user,s4m8,fix,00C,1,10.559,00
1807,1,s4m8_usuario1,C,['s4m8_usuario8'],C,3,4645.09987831,4.622,user,s4m8,fix,00C,1,4.622,00
1808,1,s4m8_usuario11,D,['s4m8_usuario4'],D,1,26435.199976,-26.404,user,s4m8,fix,00D,0,26.404,00
1809,1,s4m8_usuario4,D,['s4m8_usuario11'],D,1,4593.40000153,-4.568,user,s4m8,fix,00D,0,4.568,00
1810,1,s4m8_usuario5,D,['s4m8_usuario3'],C,4,3745.80001831,-3.718,user,s4m8,fix,00D,0,3.718,00
1811,1,s4m8_usuario3,C,['s4m8_usuario5'],D,0,2883.80002975,2.856,user,s4m8,fix,00C,1,2.856,00
1812,1,s4m8_usuario12,D,['s4m8_usuario6'],C,4,6123.90017509,-6.105,user,s4m8,fix,00D,0,6.105,00
1813,1,s4m8_usuario6,C,['s4m8_usuario12'],D,0,2549.50022697,2.524,user,s4m8,fix,00C,1,2.524,00
1814,2,s4m8_usuario2,D,['s4m8_usuario7'],C,4,6783.69998932,-6.756,user,s4m8,fix,DCD,0,6.756,DC
1815,2,s4m8_usuario7,C,['s4m8_usuario2'],D,0,3558.59994888,3.541,user,s4m8,fix,CDC,1,3.541,CD
1816,2,s4m8_usuario14,C,['s4m8_usuario13'],C,3,5903.59997749,5.883,user,s4m8,fix,CCC,1,5.883,CC
1817,2,s4m8_usuario13,C,['s4m8_usuario14'],C,3,2934.09991264,2.907,user,s4m8,fix,CCC,1,2.907,CC
1818,2,s4m8_usuario9,D,['s4m8_usuario10'],D,1,17433.3000183,-17.408,user,s4m8,fix,DCD,0,17.408,DC
1819,2,s4m8_usuario10,D,['s4m8_usuario9'],D,1,4521.19994164,-4.505,user,s4m8,fix,CDD,0,4.505,CD
1820,2,s4m8_usuario8,D,['s4m8_usuario1'],C,4,18549.0999222,-18.521,user,s4m8,fix,CCD,0,18.521,CC
1821,2,s4m8_usuario1,C,['s4m8_usuario8'],D,0,2841.09997749,2.817,user,s4m8,fix,CCC,1,2.817,CC
1822,2,s4m8_usuario11,C,['s4m8_usuario4'],C,3,5878.90005112,5.85,user,s4m8,fix,DDC,1,5.85,DD
1823,2,s4m8_usuario4,C,['s4m8_usuario11'],C,3,2945.9002018,2.922,user,s4m8,fix,DDC,1,2.922,DD
1824,2,s4m8_usuario5,D,['s4m8_usuario3'],C,4,5603.1999588,-5.576,user,s4m8,fix,DCD,0,5.576,DC
1825,2,s4m8_usuario3,C,['s4m8_usuario5'],D,0,3780.20000458,3.754,user,s4m8,fix,CDC,1,3.754,CD
1826,2,s4m8_usuario12,C,['s4m8_usuario6'],C,3,5147.39990234,5.121,user,s4m8,fix,DCC,1,5.121,DC
1827,2,s4m8_usuario6,C,['s4m8_usuario12'],C,3,19442.499875999998,19.396,user,s4m8,fix,CDC,1,19.396,CD
1828,3,s4m8_usuario2,C,['s4m8_usuario7'],D,0,9006.09993935,8.987,user,s4m8,fix,DCC,1,8.987,DC
1829,3,s4m8_usuario7,D,['s4m8_usuario2'],C,4,1977.59985924,-1.953,user,s4m8,fix,CDD,0,1.953,CD
1830,3,s4m8_usuario14,C,['s4m8_usuario13'],C,3,5582.60011673,5.554,user,s4m8,fix,CCC,1,5.554,CC
1831,3,s4m8_usuario13,C,['s4m8_usuario14'],C,3,1214.60008621,1.191,user,s4m8,fix,CCC,1,1.191,CC
1832,3,s4m8_usuario9,C,['s4m8_usuario10'],D,0,4466.30001068,4.439,user,s4m8,fix,DDC,1,4.439,DD
1833,3,s4m8_usuario10,D,['s4m8_usuario9'],C,4,17745.8000183,-17.717,user,s4m8,fix,DDD,0,17.717,DD
1834,3,s4m8_usuario8,C,['s4m8_usuario1'],C,3,8869.4999218,8.841,user,s4m8,fix,DCC,1,8.841,DC
1835,3,s4m8_usuario1,C,['s4m8_usuario8'],C,3,9169.39997673,9.11,user,s4m8,fix,CDC,1,9.11,CD
