,parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err,round
0,a,4.894416143079771,0.127740942427194,4.648294465754437,4.807780586158276,4.893665144043969,4.9771512324739655,5.150680447246869,0.001578471408729125,0
1,v,0.00020450909134022728,0.02939616846308986,-0.056999578018551045,-0.019437632386831466,0.00041220199603653196,0.020319146818303553,0.05781058547010123,0.00042093742802787836,0
2,t,0.41710767038859703,0.08125190624965432,0.24608505704234773,0.3630941707179286,0.42057574297722167,0.47507037211656966,0.5659823991970412,0.0010412568224320237,0
3,z,0.5440349119059507,0.020210026994999783,0.5045173529358896,0.5304078163210393,0.5440171496067037,0.5577584676016767,0.5836866292709489,0.0002976919584502714,0
4,a,4.791159972652434,0.11567662937360085,4.5695512833473675,4.711698188908088,4.790431538548979,4.869520560756882,5.021550253146403,0.0014958441439604972,5
5,v,0.004787979288791549,0.02672565140955304,-0.04724760838833927,-0.013104028037777216,0.0047859269062557885,0.022823093532963412,0.05781835666981244,0.00038234995722032686,5
6,t,0.3370284870442744,0.07194767984083035,0.19015544002092455,0.288552609977771,0.3401049653427983,0.38802502185281385,0.4711724693914163,0.00094951561277105,5
7,z,0.5464251181802285,0.018068650018914206,0.5111768130147002,0.534126978341047,0.5463626169721709,0.5587171100503124,0.5815238751743167,0.00025307559485986114,5
8,a,4.568715994830137,0.10773140645475898,4.364058398781493,4.493792096763422,4.5700115531825904,4.641053217015925,4.780806203802303,0.001443861059168008,10
9,v,0.0038859478738558144,0.028082008180339707,-0.05157847118816661,-0.014788374198011364,0.0035643970470704625,0.022780572672620892,0.058742589469806095,0.00045159679232347047,10
10,t,0.2731780338392011,0.06620622992439976,0.14263975763450482,0.2284603033026861,0.273904336667353,0.3194754178871486,0.3996008470876288,0.0009693513023067889,10
11,z,0.5528152155892425,0.01789536736759852,0.5173250238894189,0.541010456404661,0.5529818062253773,0.5646105366351977,0.5879802317198537,0.00027864831527776407,10
12,a,4.404766451870363,0.10286978135027083,4.205862707921302,4.335920068227196,4.404223155894423,4.4729543186215635,4.609623656220577,0.001317497151948233,15
13,v,0.018076952314150997,0.028904857176181343,-0.03859550071928802,-0.0013166065360379064,0.017799258543881168,0.03669814367960236,0.07678154042253156,0.00036181993925038763,15
14,t,0.21292701820603688,0.05722909897836773,0.10045770292290504,0.1733109485327465,0.21285076945769824,0.25233252165309306,0.3266035562895111,0.0007228581279644328,15
15,z,0.542866150186634,0.017580355250164957,0.5088032544526362,0.5309428404127532,0.5430492887489634,0.5545605511806708,0.5776796993945529,0.00023579116196770895,15
