round,player,action_player,opponent,action_opponent,payoff,time_php,time_js,who_played
1,s3m7_usuario9,D,['s3m7_usuario18'],C,4,4480.19981384,4452,user
1,s3m7_usuario18,C,['s3m7_usuario9'],D,0,9472.30005264,9443,user
1,s3m7_usuario7,C,['s3m7_usuario10'],C,3,2238.19994926,2213,user
1,s3m7_usuario10,C,['s3m7_usuario7'],C,3,8133.69989395,8101,user
1,s3m7_usuario13,C,['s3m7_usuario5'],C,3,5098.50001335,5043,user
1,s3m7_usuario5,C,['s3m7_usuario13'],C,3,3129.30011749,3111,user
1,s3m7_usuario15,D,['s3m7_usuario16'],C,4,3587.30006218,3563,user
1,s3m7_usuario16,C,['s3m7_usuario15'],D,0,4043.10011864,4015,user
1,s3m7_usuario12,D,['s3m7_usuario6'],C,4,4765.99979401,4742,user
1,s3m7_usuario6,C,['s3m7_usuario12'],D,0,5961.8999958,5935,user
1,s3m7_usuario17,C,['s3m7_usuario2'],C,3,16088.9000893,16053,user
1,s3m7_usuario2,C,['s3m7_usuario17'],C,3,6274.90019798,6218,user
1,s3m7_usuario14,C,['s3m7_usuario4'],C,3,6971.49991989,6939,user
1,s3m7_usuario4,C,['s3m7_usuario14'],C,3,2788.30003738,2748,user
1,s3m7_usuario11,C,['s3m7_usuario3'],C,3,34499.0000725,34435,user
1,s3m7_usuario3,C,['s3m7_usuario11'],C,3,8762.00008392,8740,user
1,s3m7_usuario8,C,['s3m7_usuario1'],C,3,11946.199894,11928,user
1,s3m7_usuario1,C,['s3m7_usuario8'],C,3,6753.29995155,6694,user
2,s3m7_usuario9,C,['s3m7_usuario18'],C,3,5461.19999886,5401,user
2,s3m7_usuario18,C,['s3m7_usuario9'],C,3,2074.10001755,2044,user
2,s3m7_usuario7,C,['s3m7_usuario10'],C,3,1495.00012398,1470,user
2,s3m7_usuario10,C,['s3m7_usuario7'],C,3,17424.0000248,17404,user
2,s3m7_usuario13,D,['s3m7_usuario5'],C,4,6453.80020142,6433,user
2,s3m7_usuario5,C,['s3m7_usuario13'],D,0,2331.89988136,2309,user
2,s3m7_usuario15,D,['s3m7_usuario16'],D,0,3769.89984512,3756,user
2,s3m7_usuario16,D,['s3m7_usuario15'],D,0,3273.50020409,3247,user
2,s3m7_usuario12,D,['s3m7_usuario6'],C,4,13072.5998878,13046,user
2,s3m7_usuario6,C,['s3m7_usuario12'],D,0,7720.49999237,7686,user
2,s3m7_usuario17,C,['s3m7_usuario2'],C,3,3236.1998558,3211,user
2,s3m7_usuario2,C,['s3m7_usuario17'],C,3,22779.2000771,22755,user
2,s3m7_usuario14,C,['s3m7_usuario4'],C,3,8195.60003281,8162,user
2,s3m7_usuario4,C,['s3m7_usuario14'],C,3,3685.49990654,3671,user
2,s3m7_usuario11,D,['s3m7_usuario3'],C,4,9848.00004959,9819,user
2,s3m7_usuario3,C,['s3m7_usuario11'],D,0,11604.6998501,11576,user
2,s3m7_usuario8,C,['s3m7_usuario1'],D,0,6240.90003967,6214,user
2,s3m7_usuario1,D,['s3m7_usuario8'],C,4,9882.40003586,9861,user
3,s3m7_usuario9,D,['s3m7_usuario18'],C,4,10770.2999115,10751,user
3,s3m7_usuario18,C,['s3m7_usuario9'],D,0,1869.69995499,1841,user
3,s3m7_usuario7,C,['s3m7_usuario10'],C,3,953.900098801,925,user
3,s3m7_usuario10,C,['s3m7_usuario7'],C,3,5382.49993324,5355,user
3,s3m7_usuario13,C,['s3m7_usuario5'],C,3,4485.99982262,4461,user
3,s3m7_usuario5,C,['s3m7_usuario13'],C,3,3436.1000061,3411,user
3,s3m7_usuario15,D,['s3m7_usuario16'],D,0,2919.99983788,2899,user
3,s3m7_usuario16,D,['s3m7_usuario15'],D,0,2759.29999352,2737,user
3,s3m7_usuario12,D,['s3m7_usuario6'],D,0,25743.9000607,25718,user
3,s3m7_usuario6,D,['s3m7_usuario12'],D,0,6012.20011711,5982,user
3,s3m7_usuario17,D,['s3m7_usuario2'],C,4,3371.59991264,3348,user
3,s3m7_usuario2,C,['s3m7_usuario17'],D,0,16315.2999878,15503,user
3,s3m7_usuario14,C,['s3m7_usuario4'],C,3,3743.90006065,3727,user
3,s3m7_usuario4,C,['s3m7_usuario14'],C,3,3093.29986572,3068,user
3,s3m7_usuario11,C,['s3m7_usuario3'],C,3,8961.09986305,8935,user
3,s3m7_usuario3,C,['s3m7_usuario11'],C,3,5676.39994621,5649,user
3,s3m7_usuario8,D,['s3m7_usuario1'],D,0,7956.09998703,7931,user
3,s3m7_usuario1,D,['s3m7_usuario8'],D,0,14401.8998146,14373,user
4,s3m7_usuario9,C,['s3m7_usuario18'],C,3,3460.3998661,3443,user
4,s3m7_usuario18,C,['s3m7_usuario9'],C,3,1868.80016327,1837,user
4,s3m7_usuario7,C,['s3m7_usuario10'],C,3,1649.89995956,1627,user
4,s3m7_usuario10,C,['s3m7_usuario7'],C,3,5617.30003357,5595,user
4,s3m7_usuario13,C,['s3m7_usuario5'],C,3,2526.99995041,2508,user
4,s3m7_usuario5,C,['s3m7_usuario13'],C,3,3966.59994125,3938,user
4,s3m7_usuario15,D,['s3m7_usuario16'],D,0,7436.39993668,7380,user
4,s3m7_usuario16,D,['s3m7_usuario15'],D,0,2168.49994659,2143,user
4,s3m7_usuario12,D,['s3m7_usuario6'],D,0,9811.80000305,9782,user
4,s3m7_usuario6,D,['s3m7_usuario12'],D,0,5548.90012741,5523,user
4,s3m7_usuario17,D,['s3m7_usuario2'],D,0,4519.20008659,4497,user
4,s3m7_usuario2,D,['s3m7_usuario17'],D,0,6374.30000305,6346,user
4,s3m7_usuario14,C,['s3m7_usuario4'],C,3,3593.6999321,3566,user
4,s3m7_usuario4,C,['s3m7_usuario14'],C,3,2845.80016136,2831,user
4,s3m7_usuario11,C,['s3m7_usuario3'],C,3,13497.2000122,13469,user
4,s3m7_usuario3,C,['s3m7_usuario11'],C,3,4784.69991684,4770,user
4,s3m7_usuario8,D,['s3m7_usuario1'],D,0,2865.6001091,2840,user
4,s3m7_usuario1,D,['s3m7_usuario8'],D,0,5060.89997292,5030,user
5,s3m7_usuario9,C,['s3m7_usuario18'],C,3,6429.80003357,6401,user
