,parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err,round
0,a,5.44858001994019,0.6280990295329255,4.376093962326261,5.00538471189874,5.39681303341675,5.813458657504968,6.83250213149945,0.016588090818140524,0
1,v,0.5771856678233533,0.10950922482756817,0.3633298630741475,0.5037890480671371,0.5747817234788493,0.6492289591953169,0.7981660402761592,0.0025147272311539528,0
2,t,0.40656748613942095,0.1679275337081763,0.124618373956108,0.2810060940277216,0.38800103184886836,0.5207969873863267,0.7693966368272457,0.00362502017852899,0
3,z,0.5312049269225689,0.06715227852851038,0.3963401775897543,0.4865063037966943,0.5310600825487081,0.5781372282709584,0.6583852510004499,0.0018116289814186092,0
4,a,5.501087657709654,0.6407896220405953,4.445086895722468,5.043811976698844,5.43901360853962,5.891023340692163,6.926538191959479,0.017771290681757666,1
5,v,0.5860864494800943,0.10448711039652289,0.3899297193995078,0.5132258533584084,0.5850826178252022,0.6569275130799196,0.7949732630052015,0.0025333012833849556,1
6,t,0.41097161959987377,0.16864562600310637,0.12418977334292372,0.28541503821227104,0.39566573237478536,0.5256111004981578,0.7678471266063389,0.0041531612590563925,1
7,z,0.5433303113589438,0.06448759071082112,0.4199075220774439,0.4995432988343078,0.5417545319304912,0.5871452564552985,0.6682934813281977,0.0021188051253306912,1
8,a,5.472516734287226,0.6088812013336925,4.430751558090354,5.044360224433736,5.421243343133723,5.8446246173620855,6.819365708574797,0.01700641856352173,2
9,v,0.609043972344195,0.0996159784282711,0.41453371778589976,0.541420683848886,0.6079075752905869,0.6774725667331412,0.804206946668497,0.0022381451039986335,2
10,t,0.433331515710993,0.17061173653286707,0.1409899413050088,0.3043163080381092,0.4194760810492635,0.5527317421598176,0.7821608299289076,0.003696812519633026,2
11,z,0.5441515520233968,0.06078339172003124,0.4258562217754975,0.503761684901096,0.5428158430737106,0.584873883754677,0.6644271918541729,0.0019956612647188967,2
12,a,5.132727161633441,0.5862393817119844,4.149705665373364,4.726204349813997,5.071256263608802,5.481717629620597,6.434081224036147,0.017533684874169453,3
13,v,0.6490465237698665,0.11114568353664776,0.43679350723731714,0.5753604652029192,0.6479520249723417,0.7218590526078013,0.8772194357213956,0.002801767278020292,3
14,t,0.40501479487114694,0.15179513428187963,0.13885559148534643,0.29486504727066465,0.39802474771514545,0.5118647487915658,0.7113209975882803,0.003305760559975352,3
15,z,0.5355643121928989,0.06356364732909935,0.4068824353016898,0.493588106162355,0.5369704712031598,0.5792269531474515,0.6554844085462629,0.002073448129606978,3
16,a,4.961879438593219,0.5929755751682384,3.979061120394804,4.541573653232825,4.913612714998638,5.29508117114853,6.3325418201917145,0.01764277694444346,4
17,v,0.6902032040973283,0.12021499751380847,0.4624067897239115,0.6102105595056037,0.6873431298110392,0.768459845431589,0.9389713846530734,0.0034617193281652548,4
18,t,0.4324368223159729,0.1596849532097629,0.1430611438888042,0.31318502641881285,0.4284448140098793,0.5464060843736572,0.7531708048149786,0.004624222761846533,4
19,z,0.548514468160033,0.06655285469771802,0.41758122699872524,0.5031020752452287,0.5494259706240516,0.5944213497415424,0.6746512847040038,0.0022185393579111723,4
20,a,4.709787506429742,0.5716442671772184,3.74712941391941,4.326929646026789,4.655694969517495,5.038478626338213,6.007482876841876,0.014827802518201542,5
21,v,0.7589826855181868,0.12712983694650948,0.5083679077258711,0.6735728984575885,0.760359640737307,0.8452100512047738,1.0005098585633347,0.0031151584450757924,5
22,t,0.46520718849065135,0.16278181556527604,0.15984895157603593,0.3485944505224579,0.4644851365060598,0.5773486016992084,0.7788167131567637,0.005241429488332993,5
23,z,0.539325164865664,0.06833190547495853,0.40183929669497725,0.49311892626653825,0.5404959570944834,0.5870776915685694,0.6671497608706156,0.0022537655690041437,5
24,a,4.570854485310061,0.5761070252057122,3.597297289018857,4.161458020679585,4.5231617003011815,4.90990399376633,5.863034774110237,0.016182039508408883,6
25,v,0.8473700377353842,0.13613129145009317,0.5824098542166894,0.7572400688625067,0.8459853468770715,0.9397242006469257,1.1100004163536283,0.004036663794344064,6
26,t,0.45809317586193854,0.16278812604935558,0.15491133499803542,0.3392951163075244,0.4552441164702722,0.5765446157224055,0.7732843221874987,0.005109381576180608,6
27,z,0.5192313682201382,0.07173907815796737,0.3832750427352448,0.46896233159545625,0.5195772489690391,0.5681501177801669,0.6623464170862782,0.002706356924679569,6
28,a,4.610524040620825,0.5598301220404381,3.722392312963012,4.206866911865808,4.535445606780554,4.937061515576842,5.916623629556109,0.016181508602190288,7
