,parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err,round
0,a,6.318435702517447,0.6527678144310318,5.237687714691455,5.862366718331635,6.263539154875797,6.698801222256629,7.78028793677263,0.015330994447944215,0
1,v,0.4635864223294568,0.08214654230233585,0.3059011795541464,0.40829833078272904,0.46255411068065333,0.517454317518118,0.6279619761068023,0.0014911565811104976,0
2,t,0.4095432849137857,0.18129203240644057,0.1187641648742703,0.2758667071721386,0.38949820263357543,0.5239932196074495,0.8152222012266457,0.003641060666923592,0
3,z,0.5320407037674679,0.05862379339400114,0.41348579573388317,0.49243856075481596,0.533156512959434,0.5731846867965287,0.6429604214326134,0.0013770413962449484,0
4,a,6.372442758659165,0.6373293798505061,5.3055453528392835,5.918596980612931,6.325338489848178,6.752086609645428,7.7669129283772165,0.015988179124600297,1
5,v,0.4475566392883958,0.07645118269004061,0.2949724900758621,0.3976060160212761,0.4484090628661488,0.49874221983454947,0.5979585889858899,0.0016476548689724202,1
6,t,0.346632945389449,0.15128419646361568,0.10280388562953975,0.23434703212359015,0.3315276002659893,0.44368618802018883,0.6817486535872967,0.0031404748151447094,1
7,z,0.5429330770166781,0.05685313314013157,0.4322520563580384,0.5037792008655937,0.543015011528149,0.5817967665682788,0.65218724837151,0.0014936846156730337,1
8,a,6.3771864461246315,0.6327064208304904,5.316706734156448,5.934700453092715,6.321677984443219,6.755667637779002,7.781520929700292,0.015360833861746725,2
9,v,0.4569333256566595,0.07428350874334116,0.30595647290785316,0.40686165207749725,0.45727295488989134,0.5086760739823537,0.6038979513732112,0.001554847287822044,2
10,t,0.36208767956943,0.15626146116822864,0.1078490235922501,0.24708185474672895,0.3447790239150418,0.46375067256596797,0.7048564879567102,0.002885856105549806,2
11,z,0.5503463354938286,0.05559845905382516,0.43925656177360317,0.5126968001648594,0.5508400379450621,0.5878024147080209,0.6584213909795735,0.0015064661383026722,2
12,a,6.180698037268144,0.6148758570157015,5.1318157704060035,5.737505330069991,6.120767084240843,6.560353377877704,7.5708849330579575,0.015515836552973982,3
