,parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err,round
0,a,5.693020660003891,0.6250102273724735,4.650354014816418,5.256346710180409,5.626403532127805,6.079408741412232,7.087913401835097,0.017923874499585296,0
1,v,0.5691552794130083,0.09225360576273955,0.3834656006345458,0.507711739463964,0.5688795140739576,0.631149412282855,0.7495807088744121,0.0025472403622013645,0
2,t,0.3871511595115731,0.15626231731008236,0.11736797063369954,0.2691267715034451,0.3784600885989556,0.49426969497111856,0.7153981468281578,0.004249733736434091,0
3,z,0.5472539147610163,0.059805001437741576,0.4313262270022839,0.5067301409086471,0.5488711952848536,0.5885948235920854,0.6615511020669652,0.0019806508936479356,0
4,a,5.7363387749602115,0.6140562340381592,4.703764266387403,5.300135702355085,5.675964074372647,6.122082584933843,7.067095858615884,0.016897048702120547,1
5,v,0.5581874728275713,0.08830283932003774,0.3806127467931836,0.5000751093524232,0.5595737692169974,0.6185293691229847,0.7282887114368077,0.0022518113135662557,1
6,t,0.40116423027358394,0.16241975400266934,0.12778013191528756,0.27798552963390044,0.39077093505138305,0.5080841796158874,0.7454079248544629,0.003989785481115816,1
7,z,0.5592634384697817,0.058876471193622965,0.44524977684201983,0.5179062284678246,0.5595574505835836,0.5994667764965999,0.673036892963152,0.0018271778607357948,1
8,a,5.802623081444084,0.614721902987486,4.763727028250337,5.384089540397701,5.739945409308305,6.167517294017578,7.165206359154435,0.01575938351451301,2
9,v,0.5675829990223953,0.08803650144723425,0.3972106066372223,0.5073280108752455,0.5660617062682709,0.6277731668182664,0.7421714685059496,0.0023675027189845993,2
10,t,0.4033313649361732,0.15956122794564123,0.12956404025568194,0.283535614437042,0.3928950957493875,0.5102575286705834,0.746696764010955,0.004253657483942429,2
11,z,0.5587126257787002,0.0585528471405785,0.44041749765974747,0.5197038725009657,0.5609843814330434,0.5991921933141466,0.6689431864751969,0.001980286656488902,2
12,a,5.568243538568854,0.6138268874566235,4.563181047163488,5.131949332858606,5.49739449511322,5.935653430959849,6.913033404030437,0.01969043558028365,3
13,v,0.5930763859421209,0.0962982436607035,0.40463113354673563,0.5273869075979646,0.5936586043402015,0.658778589753287,0.7844784151967878,0.002534557128841702,3
14,t,0.4220794934375214,0.16473490553441206,0.12866358278974985,0.29800105620736306,0.4161636752738254,0.5368478343450401,0.7555668058881401,0.0044172012408189906,3
15,z,0.5553200640498316,0.06058423680337613,0.43587596353163405,0.514314378915286,0.5562833586750927,0.5974802704754139,0.6703685792748917,0.0019027045298100783,3
16,a,5.340665406413245,0.5849863592820799,4.33346860350504,4.935684869137687,5.279103826479684,5.6826765997620425,6.679140692059551,0.015940293956824485,4
17,v,0.615657654319016,0.10328883310819466,0.41052035981003177,0.5455452776739294,0.6163487634307964,0.6857966349441351,0.8139017029356319,0.002627032216488443,4
18,t,0.42830111705900237,0.16902967735222194,0.138798748491727,0.29994529746784176,0.4179935682335909,0.5399561318206249,0.78290495277256,0.004066571292880886,4
19,z,0.5426790390968955,0.061507081895228174,0.42250176303756587,0.500970804917187,0.5426984090485006,0.5845087568703575,0.6624674160847537,0.0018139438753760593,4
20,a,5.265295140154263,0.5859366499471879,4.277350169501999,4.851146382118938,5.199204026453301,5.6244750380225215,6.569792544990184,0.01574691720512547,5
21,v,0.5960202425291172,0.10235019729607361,0.3916871487524811,0.5288038185549837,0.5950066975204097,0.6652723588548551,0.7949329406990364,0.0024851230243019048,5
22,t,0.4428134276935619,0.1706346539326405,0.14579348418750168,0.3150230291730124,0.4324429612490536,0.5649939643432431,0.7887078445109958,0.004012532272453019,5
23,z,0.555148679088393,0.06204564049733128,0.43470113586565745,0.512876486735973,0.5561506334618851,0.598905678622139,0.6743427338281648,0.0019525367903225563,5
24,a,5.136137356168415,0.5798542947810308,4.175630789247871,4.728376980737282,5.07824163940691,5.481858881709181,6.439125861600544,0.014912457653147266,6
25,v,0.6065377843470918,0.10472512581718356,0.40579365893656066,0.536321117672911,0.6066259190046203,0.6792863194567521,0.8109430396608992,0.0021647598284418286,6
26,t,0.25038043054956455,0.09131759730259102,0.08586115038087433,0.18271400762545953,0.2467201157394623,0.3150966071918634,0.4333044460504715,0.0018686276880008005,6
27,z,0.5622193479062342,0.05891908962233392,0.44500908746451784,0.5224498066367517,0.5631709147119895,0.6028264579138852,0.6749003794339016,0.0016075504083123044,6
28,a,5.043003734230573,0.5890918273346731,4.099082619604432,4.628620874583922,4.977857634111039,5.376920373284888,6.350664524133197,0.015473265398576786,7
29,v,0.6061506913432654,0.10960157450666048,0.39259858837093253,0.5323918667076337,0.6047517559079845,0.6772148384301675,0.824437766655514,0.0020581467260212026,7
30,t,0.25650182980418107,0.09213249307320859,0.08938773429499003,0.1884341494316642,0.2543795608822549,0.3209054313285665,0.44101063580362293,0.0017631058300325501,7
31,z,0.5602858594740368,0.06185671507779119,0.43831113632803703,0.5173147155585959,0.5633063219266409,0.6027180434616977,0.676951349412148,0.0015403892843894986,7
32,a,5.007624360135398,0.5564098994728,4.056411998506821,4.615464188537816,4.956458115291284,5.333208319308609,6.261885309968044,0.01228560680068283,8
