,parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err,round
0,a,6.799860459367796,0.6201975025881051,5.751783966217857,6.366806367840668,6.7450287472283375,7.171020113369275,8.153199949685431,0.017808644940320598,0
1,v,-0.35513237915896867,0.050847434891815854,-0.45438301031193185,-0.38874927329889547,-0.35553330319338344,-0.3208030969989921,-0.25635686378071476,0.0010402014202109343,0
2,t,0.1583438479951361,0.056835548672221736,0.05650442553145975,0.11737022339608005,0.15562637780679645,0.19777268407997262,0.27582431729560053,0.0010413311289816604,0
3,z,0.2943101458728723,0.032417200259656526,0.2335484497174364,0.27162524235738317,0.29371132719816695,0.3158060342412111,0.361028184198223,0.001020138384748296,0
4,a,6.761386516971006,0.610418007418774,5.7353515962012,6.328267074472672,6.69792339996499,7.140782084512784,8.134280730456137,0.019170018800288114,1
5,v,-0.3721387727173782,0.05185436234499933,-0.47424735014578073,-0.4074593152932019,-0.37140275521823185,-0.33687603994192034,-0.2725165475143451,0.0011263074874615165,1
6,t,0.14670162191928934,0.053095599219487935,0.05371533067589147,0.10828839917843239,0.14467950212596642,0.18283134956506322,0.25485975919393844,0.001099045605778838,1
7,z,0.2940720345374309,0.03291904946739093,0.23079628100400426,0.27152041970687557,0.2939269083711205,0.31508749375614237,0.361722368419838,0.001126898248005021,1
8,a,6.79812450768695,0.6104794557536769,5.7457248150778435,6.369446546909209,6.740905644224883,7.168943105393863,8.165162081405391,0.022994217134328955,2
9,v,-0.37368230406577624,0.049255826161528925,-0.4731902341996228,-0.40646113102955517,-0.37351730120357024,-0.34043785911884905,-0.2762731746047048,0.0009756853602552543,2
10,t,0.14826720013996153,0.053937695906842414,0.05280606729360417,0.10745509836383974,0.14557601467429293,0.1861209219193309,0.25738680964128213,0.0012098605936498804,2
11,z,0.27956981067869807,0.030887400995307908,0.22239114103801197,0.25811352346122535,0.2789014748394517,0.30083412346108945,0.3407998294576598,0.001207502577383523,2
12,a,6.800291594580636,0.5939712939714922,5.740567293378174,6.38897301558238,6.762165122469676,7.170942462626315,8.096310623989062,0.020113010572245845,3
13,v,-0.3902172717125916,0.04727061537453979,-0.4830749772096941,-0.4223171281995221,-0.38978324267392433,-0.35796801155790825,-0.30043436171218507,0.0009001318649055161,3
14,t,0.1578321731136334,0.053675515074815085,0.05889475987304434,0.1188514522680479,0.15612757668853056,0.1955172096399435,0.26577436575739233,0.0010928096838400056,3
15,z,0.27370548093003133,0.029407693912601764,0.21730811575740883,0.2536969062786914,0.2721978525619486,0.29336931619464307,0.33365761132050864,0.001009478792264816,3
16,a,6.763823047631038,0.6367616248946031,5.691536745894054,6.309202235329622,6.696898812904916,7.153149556715639,8.134242839644267,0.023321619486035942,4
17,v,-0.41834699478574483,0.04999911444370959,-0.5171060730519079,-0.45256111943055954,-0.41834156756229474,-0.3844054600937991,-0.31952410592342306,0.0009607405406096027,4
18,t,0.17385058063589973,0.05510163887531814,0.07036663285900654,0.13318356146836705,0.17416976900958372,0.21340879908879912,0.2785615571618725,0.0011285354668288923,4
19,z,0.27080468024322557,0.030379034793484132,0.21466021751202813,0.2489492237603688,0.27066893544360887,0.2917627530957016,0.3319033111787708,0.0011586637099043075,4
20,a,6.807195642539338,0.6247776588471842,5.743581185127644,6.365397270083051,6.747009473906439,7.176313386405765,8.220048747213168,0.02346167800721099,5
21,v,-0.41652838550576726,0.04852046642844378,-0.5120741268277964,-0.44866343326882163,-0.41652338724590776,-0.384516286436291,-0.3186529387591943,0.0009821033747578465,5
22,t,0.18956219648279587,0.056261640848627656,0.07925820020753589,0.15060505377023964,0.18997518375138522,0.22920807775089347,0.2945424188488696,0.001339005060330288,5
23,z,0.260185557654672,0.028535595543542697,0.20577957738974462,0.2406477986748456,0.25944601658043953,0.27930389068855055,0.31838630519548733,0.0011196813982753719,5
24,a,6.74737615492056,0.5936930090418798,5.6964333322830765,6.336480904774752,6.708638321771961,7.117915609814524,8.051480603078053,0.019548764811771892,6
25,v,-0.41347913906251876,0.047916173659819934,-0.5059924923672623,-0.44611983412429224,-0.4143398236913887,-0.3812405137111773,-0.3200580131981514,0.001093015030124604,6
26,t,0.20857186295117996,0.0560115665343198,0.09244922647036216,0.17147562361630234,0.21082739606758513,0.24874353386488732,0.3113452011380914,0.0013962458414554654,6
