,parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err,round
0,a,2.628795228732008,1.2333297725404153,0.8670888778955252,1.7242494653846718,2.4099903763799304,3.3019835942259554,5.792023254203195,0.03761057758540548,0
1,a_std,2.68940895169846,0.9527703852770711,0.9819977429696922,2.061555894268646,2.588566809872629,3.2322881078205463,4.8230027315894874,0.032124205927540915,0
2,a_subj.Pro-self,9.111829847553565,2.197858722229018,5.5603293735818555,7.510523549773351,8.888988027503576,10.45887094749851,14.0745890476924,0.11359888455499448,0
3,a_subj.Pro-social,6.365435303884592,0.7592429463361419,5.185000760939082,5.824049556290795,6.265501308677365,6.783270954278497,8.152473727591177,0.04950043586365181,0
4,v,0.5939405848830791,0.6212086614973388,-0.6148161697944249,0.4080491303176888,0.5488739358717325,0.7079797573641271,2.097268919729546,0.009917668665523793,0
5,v_std,0.6211371077220773,0.7431632069437615,0.008843783376445754,0.11304469364202718,0.33275601132577526,0.878007432289332,2.746070911159695,0.03241609314782478,0
6,v_subj.Pro-self,0.5388974675072093,0.12417000887599232,0.2901697589564868,0.4619830078718903,0.5385660616296996,0.6142366936328212,0.7950025308877889,0.0036736180315286673,0
7,v_subj.Pro-social,0.5332091660181804,0.06006256821442921,0.41804973348409896,0.4908142619288698,0.5341354922254627,0.5727368452352093,0.6532223448774603,0.0027284929456326515,0
8,t,0.4130255652000309,0.16885257578633522,0.15881374350103367,0.2897374534529554,0.3835214520298433,0.5145315297854582,0.8018671836555016,0.0057363909667287605,0
9,t_std,0.45913094423096157,0.36987480949626766,0.017776272348511153,0.1855191334173961,0.36873657699363305,0.6400694305016059,1.4311058787040507,0.015418200096166837,0
10,t_subj.Pro-self,0.4507395230929865,0.3459877593295689,0.0002654215559796929,0.1816388049050681,0.3746387706913141,0.6830896897837859,1.2110448738750017,0.014226622385601337,0
11,t_subj.Pro-social,0.21850109892445962,0.11026736553538195,0.0022066511560954963,0.14489397542484872,0.23363704087930998,0.301297096192613,0.39988425311398657,0.006456926887690987,0
12,z,0.708002380545959,0.03935710086989371,0.6225939532872975,0.6839575801324201,0.7098188171598582,0.7363032510177686,0.7739400876890041,0.003318612425880963,0
13,z_std,0.03884060334924563,0.02908032830104666,0.002381539673868418,0.015545279591217279,0.03275194075618351,0.05607370573487577,0.1100800147893937,0.001213871708137045,0
14,z_subj.Pro-self,0.7074187349582527,0.04024136218889529,0.6208430574922906,0.6829922208371594,0.7089715108915461,0.7364517782347354,0.7743932055313555,0.0033419806189599597,0
15,z_subj.Pro-social,0.710473693485842,0.038604654501818304,0.6262777537439584,0.6858879061020925,0.712913433164098,0.7381926477251288,0.7752195530809936,0.0032373579595381258,0
16,a,2.646909036290031,1.268573533118771,0.8901020225370505,1.7175123321727253,2.409036181515394,3.3032904169874566,5.783047817622671,0.034475692332338076,1
17,a_std,2.7001763180279608,0.9449994519284382,1.0158493391472625,2.0804878367985293,2.5954275903562527,3.2417619513508975,4.862096530107944,0.028289041091057787,1
18,a_subj.Pro-self,9.029236021730828,2.1439513198572,5.477438365608943,7.443550597260032,8.8650180759598,10.37705506681382,13.721000608127563,0.11141959898868861,1
19,a_subj.Pro-social,6.686866789487575,0.8392510503227043,5.343227122780355,6.059526688982514,6.5818437210971625,7.211806977790376,8.545912173462225,0.054787653113294865,1
20,v,0.5874999920813136,0.6446640779897524,-0.660716706488229,0.40376447053306336,0.5395359820523381,0.7105205485866337,2.2222346858750663,0.010653212086347796,1
21,v_std,0.6391036617180891,0.770696153446504,0.010550202031426311,0.11194224433103117,0.3263435230119809,0.8827157464855355,2.8417966862933883,0.030684645792004788,1
22,v_subj.Pro-self,0.5293912793423808,0.12533249563884472,0.28516215603453676,0.4486428233026484,0.5246891556749994,0.6095138231130527,0.784770095484786,0.004079695164671467,1
23,v_subj.Pro-social,0.5425665022292376,0.0601318415911545,0.4301388571267341,0.4999673823749108,0.5409193525163427,0.5846428517181523,0.6605632600645392,0.003054061907344535,1
24,t,0.41669040642396044,0.17909942887943828,0.14835220008936514,0.28754513924525804,0.3903480808205057,0.5118806968052105,0.8554483579680634,0.007121072292363901,1
25,t_std,0.6211732113742081,0.48769156502785765,0.04014336574831145,0.25857949025793137,0.49395818990924595,0.8722211998867573,1.8176796759655511,0.030256116066141,1
