,parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err,round
0,a,2.8390043799198112,1.3019287988669679,0.9533304086741821,1.8704864410708597,2.585642572376983,3.587202484755747,5.777080708835793,0.04231697895709087,0
1,a_std,2.465231719850123,1.0289806840864113,0.3867303964563593,1.8048579204771498,2.3960963007409943,3.0760419110769024,4.671798686002605,0.04208745404130927,0
2,a_subj.Pro-self,7.613169239489527,2.3260662576025597,4.374077341872374,5.957456083544013,7.151961549610909,8.776317472387579,13.439570111696742,0.14916522698636553,0
3,a_subj.Pro-social,6.439325461637449,1.2576601307395225,4.62906848854825,5.566712765861925,6.20480502611087,7.061106781046398,9.56400380230447,0.08490928447721842,0
4,v,0.7065343707188098,0.6796813747280105,-0.6738009502542245,0.45269698476086123,0.6490278911100237,0.8870857273423317,2.4972387271438214,0.012043135428122633,0
5,v_std,0.7338247342108363,0.7905473064389743,0.013562626945287592,0.1814577514814964,0.4562468458694444,1.0226335777849986,2.8615435025257745,0.02726774038576895,0
6,v_subj.Pro-self,0.7106879982809005,0.19468872386563238,0.3693808147027139,0.5700748811362619,0.6966701455981191,0.8429792940694898,1.1141132921366155,0.007504030333999103,0
7,v_subj.Pro-social,0.5706693691201932,0.12269182279595434,0.33178866315567385,0.48716545331690897,0.5702405440137346,0.6547066144063922,0.8054058300971461,0.0050478143913842335,0
8,t,0.42968600774617516,0.18037823593085128,0.13471360991680198,0.2985253806761212,0.4106862503717501,0.5373853652911997,0.8273393149503102,0.007390617325810815,0
9,t_std,0.5558028094351426,0.46901229816829865,0.014235438281358904,0.20181286115740316,0.44045425301489793,0.781518261931258,1.7810447966299086,0.02562463363207042,0
10,t_subj.Pro-self,0.40371354357446454,0.3587377741086735,4.593375170443284e-09,0.08917052290289455,0.3442124989792748,0.6110857042117439,1.251856621194543,0.01864276442458416,0
11,t_subj.Pro-social,0.24140386514436182,0.22027871151726647,1.7305210352698231e-06,0.029016089651088543,0.19879919482968134,0.4038030495640476,0.7259966013848846,0.01293322470194532,0
12,z,0.5822966651930677,0.07538955584657347,0.44354319874107045,0.5287419663155543,0.583441780008841,0.634126584601966,0.7382731151755347,0.007060252115895745,0
13,z_std,0.0394482563104028,0.03010249257984383,0.002038154398323844,0.015835985233017123,0.03265235252125989,0.056899450349627734,0.1129554670000695,0.0011491267114018418,0
14,z_subj.Pro-self,0.5820149868352119,0.07597852178460959,0.4413284327362224,0.5280164842601004,0.5826140328289334,0.6340982299222917,0.7389180095271222,0.007082052372129078,0
15,z_subj.Pro-social,0.5833402262931285,0.07536656148924009,0.4446132393749592,0.5297956133907152,0.5846657693563725,0.6346291224717387,0.7392718620433477,0.007027203856823936,0
16,a,2.8883743632045564,1.3605115377682435,0.8976500315057856,1.8435301162681994,2.6443127940048603,3.7362499055927096,5.906918480791674,0.03677879435221835,1
17,a_std,2.4966252329869087,1.0372830027721132,0.5779310360574492,1.8015381717394892,2.4349008743998763,3.1264821998505496,4.830072278177623,0.036893548066323646,1
18,a_subj.Pro-self,7.775056576255469,2.3047741552695413,4.415925050921793,6.108416014650099,7.377375823164834,9.057741481387817,13.2236077730688,0.1314762865162576,1
19,a_subj.Pro-social,6.547476365267027,1.2428584801269984,4.695299960731386,5.639428040578984,6.379822566608377,7.237805746008851,9.542855550987303,0.07751121080005206,1
20,v,0.7061840650816629,0.7057474949613453,-0.6252573185627437,0.4719879551207246,0.6398481446898092,0.861260333634979,2.4548360120512447,0.015091903667167622,1
21,v_std,0.710369671682253,0.8295481005543841,0.009850896073622922,0.14818511124457887,0.3915609496319699,0.9762785729482693,2.9863259864182474,0.035696341535461716,1
22,v_subj.Pro-self,0.6990983681431495,0.1974105540141834,0.34842164273939297,0.5589663309073785,0.6808755973252346,0.8151079653062643,1.142792533774665,0.00874165904178133,1
23,v_subj.Pro-social,0.5835110420715658,0.11647013299187059,0.36042301078054084,0.5066898764468153,0.5815129864521422,0.6638601058978322,0.8129193016072178,0.004926433715038038,1
24,t,0.4435157250896248,0.19327712621522045,0.14119268066935828,0.30506902068690267,0.4163430398473438,0.5553512824334077,0.8823039874764717,0.007974899818533382,1
25,t_std,0.532761977629905,0.44732471160621523,0.013826964630630767,0.19677047992674995,0.41771072983645274,0.7522705807148209,1.6481318373951057,0.0236437446168239,1
26,t_subj.Pro-self,0.4397016828148473,0.38743527299579716,1.5021263595111816e-06,0.09510634852706679,0.3677789958332517,0.6873002751787902,1.3408624854962763,0.02159482882876157,1
27,t_subj.Pro-social,0.2908541262693373,0.24019597990733296,3.3678009248003715e-05,0.06326620744171302,0.2655193655387599,0.4604356786348242,0.8028439210740222,0.014223621698887967,1
28,z,0.6022081145857335,0.07841199290251405,0.4475743290157139,0.5428325651308612,0.6027753819536948,0.6645626225350552,0.7452385999556572,0.007204773759549152,1
29,z_std,0.040443792976047714,0.029720461813371107,0.001637361764213822,0.016576201868674492,0.03464109289621253,0.05794656719271288,0.11239516229783142,0.0010770537176708259,1
30,z_subj.Pro-self,0.6017268017309125,0.079125645639527,0.44138500447778295,0.5405278348100517,0.6034039363484481,0.6644026291645657,0.7470031089544844,0.007224521461989345,1
31,z_subj.Pro-social,0.6031667713846055,0.07831993374513072,0.45164298971789285,0.5441110556662795,0.6038240849246349,0.6653970286189976,0.7471152139219861,0.007179406527720304,1
32,a,2.7610095323707973,1.2640004005536938,0.8952891593922487,1.8152756468652826,2.5371642361170075,3.4975526365286154,5.724433716126702,0.04015184946094335,2
33,a_std,2.60443183381205,1.0270614112710494,0.7317508530165467,1.9225173398611592,2.5187192770000686,3.2064902760855203,4.860568913401695,0.03929074160965714,2
34,a_subj.Pro-self,8.404016120920502,2.611816103702105,4.5876081066624455,6.518304053499191,7.96416918287875,9.811466674177398,14.671792020285295,0.16539736110850659,2
35,a_subj.Pro-social,6.707230113269391,1.3694617397184532,4.747573833512263,5.745680537076073,6.469226181798652,7.367062637312181,10.242167475017833,0.08961173720531551,2
