,parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err,round
0,a,2.7158553594230974,1.3128343938585927,0.8537720592765257,1.7609776067508496,2.47158165284612,3.4137148344303685,6.0502091538143725,0.03750784428151253,0
1,a_std,2.70858043249237,0.9538679784068678,1.0935936545547502,2.0529706787461777,2.61153161435951,3.2689883158891715,4.890774689356726,0.029418112433639104,0
2,a_subj.Pro-self,8.598116878522802,1.7002719909297532,5.9739533918877,7.375339764609768,8.336218769983308,9.611943291356926,12.519647362922749,0.10196237711363984,0
3,a_subj.Pro-social,7.1482555268454675,1.2544357188750248,5.2385339964950965,6.268977225886376,6.94597971587775,7.811241173561544,10.113662050972108,0.07150235075450286,0
4,v,0.5776818302449145,0.6233961035800335,-0.5983072639431043,0.38433151715349184,0.5173124507420751,0.6828836204753045,2.1119020693838992,0.011200335003189857,0
5,v_std,0.6099439233498092,0.7582697630150494,0.006026057061992574,0.098213442866953,0.31110452041668335,0.853202410851682,2.8229183395620625,0.03211735475730116,0
6,v_subj.Pro-self,0.5395965100944867,0.10723245212534781,0.34299697439250604,0.4685849226005869,0.5343805869920746,0.6065859990571959,0.7640431726679908,0.003974090289507777,0
7,v_subj.Pro-social,0.4848667049490987,0.10622374435084167,0.2717463565245819,0.4156933322052174,0.4859336549982091,0.553092090655376,0.6949577512899029,0.003917036765859238,0
8,t,0.38817852717615714,0.17475509354048943,0.13176834505953186,0.2583302481801626,0.3649092209024473,0.48623092845056876,0.7912560642632097,0.00723382741112481,0
9,t_std,0.7792915233411192,0.5788659662786322,0.039433557570143746,0.31937085478515886,0.6718702795456544,1.1119758379147482,2.1755125078559545,0.036286319965901793,0
10,t_subj.Pro-self,0.2401758673289071,0.30064562699021913,1.3369354961801088e-19,4.89071010725143e-05,0.10043881018746789,0.40424551688335786,1.010735483452811,0.01792526409762605,0
11,t_subj.Pro-social,0.16992332998336698,0.22880619570503782,5.843341433726821e-10,0.00011127568603599609,0.04201056243041067,0.30105800752443557,0.7679296454717768,0.014673841763179851,0
12,z,0.5682891108941196,0.07090022923665965,0.4337263803295934,0.5171852923862026,0.564246125188934,0.6256622289470043,0.6909025711812903,0.006517600274969423,0
13,z_std,0.039019494948607104,0.028960346000242883,0.001461440932680894,0.015957724658794813,0.03350579383885998,0.05652911246797701,0.10808611534876794,0.0011652438590219944,0
14,z_subj.Pro-self,0.5677694383294856,0.07118211858453188,0.4298475297073034,0.5172514679607807,0.563576845301495,0.6252818995148148,0.6920509167126518,0.0064940328971262035,0
15,z_subj.Pro-social,0.5691043198111906,0.07143135064643025,0.4333287959686592,0.5174380837812812,0.5651283931599325,0.6264705275943011,0.6928687573622239,0.006535278335982099,0
16,a,2.7774173281086063,1.415507008609482,0.8563602822122429,1.7654116706150462,2.479894674404714,3.4530993596805644,6.526398316072052,0.05260085057138521,1
17,a_std,2.6257199822000876,0.9589263116323464,0.7188468999761868,1.9958921303431723,2.552107428415133,3.184515288716513,4.751295893765596,0.03250128173329424,1
18,a_subj.Pro-self,8.087488054492317,1.4152584584289656,6.009902235513187,7.107826316429348,7.8695594271085305,8.841665670942003,11.475810977106745,0.08724994066414844,1
19,a_subj.Pro-social,7.0927328755927705,1.171740081531727,5.2351318984049104,6.294121634077554,6.954710416275722,7.728573213474636,9.84521515353112,0.06459298858562344,1
20,v,0.5251467033087568,0.5388741466177188,-0.49582546760563617,0.36445981568769475,0.4929031608957513,0.6352518249217973,1.8161220732039922,0.009139148818839971,1
21,v_std,0.5343059272555737,0.6871519713988974,0.006071237889169809,0.08927445546209756,0.27811952553603775,0.6893741275800334,2.485717445417494,0.03059176812517549,1
22,v_subj.Pro-self,0.4928036983435099,0.09673178751999412,0.303540045895941,0.42776282644403074,0.49232930380638507,0.5575195672440393,0.681247753048378,0.0038169929206296103,1
23,v_subj.Pro-social,0.4733054835749733,0.10635139983819403,0.26448260905006665,0.39988612205842966,0.47247862216382486,0.5440859006123322,0.6818154366522895,0.004001234972606732,1
24,t,0.3549641684770307,0.15647958721910782,0.11049754759132374,0.24109944873626832,0.3338249688147356,0.4452046950552057,0.7160172313989093,0.006524151220772978,1
25,t_std,0.8254360764752176,0.572169316807772,0.03946060983093727,0.3703308498186386,0.7282296799734563,1.1896373936162843,2.135410516269763,0.03645624762440553,1
26,t_subj.Pro-self,0.12241663611704297,0.1646449849252694,6.063194648481215e-17,0.00035870531202368425,0.035398775289142474,0.2083233598954072,0.5504076329674172,0.00972576743583699,1
27,t_subj.Pro-social,0.1401682436902938,0.20477283323380838,1.8689751772881815e-24,4.318661952680258e-07,0.02026225118119671,0.23708797611069968,0.6873969273354646,0.012503764873727933,1
28,z,0.5685987815081189,0.05777620979397563,0.4459960471895322,0.5293210696025954,0.5721137945523247,0.6095376516234646,0.675246032627776,0.005110352130701925,1
29,z_std,0.038184507416569896,0.029798068764587755,0.0012426233967527262,0.014979700041360143,0.03177201320807234,0.055997512563639947,0.10879728360209874,0.0012511582025565026,1
30,z_subj.Pro-self,0.5687000681815247,0.058137418938633625,0.4460161845557624,0.5305336850390531,0.5725724747439481,0.6090550876875473,0.674729926876791,0.005112754744287131,1
31,z_subj.Pro-social,0.5692513939966231,0.05799892683016873,0.4466740397238176,0.5306445961963081,0.5730728571758708,0.61004244739918,0.6757585320587832,0.005075667977463038,1
32,a,2.7409455005498184,1.335214920477958,0.8571037578473043,1.7636679930530998,2.4956047398523626,3.441770883616954,6.101455383249028,0.03671010243881979,2
33,a_std,2.642989981145135,0.9460545207257108,0.9451822882256834,2.0125000622846962,2.5339259259548506,3.1819437829631623,4.752676976018745,0.028730478550761003,2
34,a_subj.Pro-self,8.2018965681192,1.6544627018146838,5.856714892947377,7.037824998244028,7.880114833321091,9.040179900379332,12.496596435700816,0.11800005446528117,2
35,a_subj.Pro-social,7.267443595978805,1.3933697088013013,5.253231734298101,6.291620068068377,7.01511395467092,7.975892181863671,10.825091111170414,0.08862660366834796,2
36,v,0.5646248727163811,0.604782893624617,-0.6561043755060888,0.39420353564464894,0.5151690278984977,0.6613012115440795,2.0137122275285835,0.00912986857109659,2
37,v_std,0.5752931043431754,0.7510959936922121,0.005503707792951186,0.08187629020963935,0.2747266161774867,0.7760551946089553,2.7808342561224615,0.02918438373305312,2
38,v_subj.Pro-self,0.5078049821562501,0.09163873503532634,0.3242464144663914,0.44849958164040094,0.5072021888046345,0.5655736429010176,0.690519380127754,0.0034647147134206913,2
39,v_subj.Pro-social,0.48480594992772796,0.10440564320892887,0.26770591980133474,0.4202572524059709,0.4873892746510217,0.5534884572926448,0.680666276405399,0.004059453780241062,2
40,t,0.3667825420126443,0.1675192647772824,0.12223411209980235,0.24369822451546136,0.3420576025629557,0.45991380884995603,0.7611543998049981,0.007013407436434317,2
41,t_std,0.7345107472812273,0.5608812742075546,0.0281920170807854,0.2825864516862467,0.6253466050714979,1.059205133982105,2.109912857656343,0.03572678875115278,2
42,t_subj.Pro-self,0.14552076462848784,0.18731370435566472,9.221513614618946e-23,4.6978845579338086e-05,0.051269986607069634,0.24494043607906738,0.6408822898947575,0.012241576581588531,2
43,t_subj.Pro-social,0.19202456498533532,0.2305200578893443,9.88579188258122e-10,0.00030408325751936745,0.09137594740167634,0.3284720336641114,0.7680710142365897,0.01404606268507912,2
44,z,0.5815437904400106,0.07335232034248655,0.45195924361545575,0.5244687906379395,0.5774346189208212,0.6329539688490672,0.7334822984974578,0.006704632733907943,2
45,z_std,0.03993076417419584,0.029614172843434435,0.001656495706453824,0.016316678179678815,0.034563576740773067,0.05753328752047933,0.11052901252048511,0.0010405375718089455,2
46,z_subj.Pro-self,0.5816804272247764,0.07363039889101519,0.4494381998550654,0.5249291640822732,0.5777232596119086,0.6330267985396273,0.7353704049768558,0.006704532891389272,2
47,z_subj.Pro-social,0.582410211950158,0.07358847009363656,0.4501258763155319,0.5257361174009997,0.5779927047286435,0.6327127648871563,0.7351302596789008,0.006691379744706745,2
48,a,2.7514035272417665,1.315244220690889,0.8496454213269223,1.777171038710125,2.4867160230319683,3.5135336106186474,5.9527539475500895,0.03656079492511892,3
49,a_std,2.5979798451142613,0.9647951505803488,0.8748597300305917,1.952948649694708,2.510357109347079,3.163285627597361,4.73931532210182,0.0328672145089543,3
50,a_subj.Pro-self,8.305450616214468,1.8159652616455042,5.877742971305097,7.052412708211305,7.963921237941376,9.135243917901843,13.028289330130308,0.13044864255464622,3
51,a_subj.Pro-social,6.621061359231103,1.1794770824364293,4.8531394652448245,5.81670952078383,6.447059092615666,7.198909978790725,9.358245015955353,0.0672455451632193,3
52,v,0.5536512370295482,0.6052187047020562,-0.5722847579327204,0.3763386150885356,0.5006295358699193,0.6649599795374476,1.9697331292144162,0.009977549504415128,3
53,v_std,0.5823449737776224,0.7224241817261858,0.0074619460303343675,0.10118958901652486,0.2915229047657225,0.7876746548868725,2.6209265618244686,0.029192976432705582,3
54,v_subj.Pro-self,0.5008233866566998,0.09626171421616718,0.31829896809812974,0.4349853652371782,0.4963874027152906,0.5630523454377562,0.6965615259676308,0.003331827637585902,3
55,v_subj.Pro-social,0.47976906788916,0.1082281362693579,0.26418379733058306,0.41101077409094333,0.479172692495193,0.5503471896767712,0.6956581348581725,0.003533708444311265,3
56,t,0.4014181480882704,0.18020204339247395,0.1372381738752216,0.265266287045434,0.37432293420625745,0.5030999671614845,0.8257202302377802,0.007274627793438423,3
57,t_std,0.5798209421882616,0.49774760714192096,0.015709426687637196,0.18546617610646493,0.43664473687376204,0.8546978649727488,1.8420869158608804,0.03122733493838556,3
58,t_subj.Pro-self,0.215025186069088,0.2145723114060914,3.3521688197132843e-12,0.010773039148644076,0.1638633070549508,0.35507901539004566,0.7156011784161173,0.01236154286359744,3
59,t_subj.Pro-social,0.30716157864999283,0.2757093375756082,1.0637401657890335e-08,0.05346695177991979,0.2559928054748985,0.48664419229126227,0.9465805524338561,0.01509987844450307,3
60,z,0.6073468121108899,0.06635944773179343,0.4759500559921605,0.5660039737019051,0.6075041572644515,0.6459886114701268,0.7460433734408684,0.006005300201188213,3
61,z_std,0.03903057033456055,0.029495404704496506,0.001662824426340872,0.015331682217031422,0.03314891287151345,0.05648920504691171,0.11055416813876542,0.0011095170574878836,3
62,z_subj.Pro-self,0.6070992746355133,0.0664680095539179,0.47623117457946285,0.565388440600309,0.6071209066294811,0.6471150104683868,0.744576905689574,0.0059929939903763585,3
63,z_subj.Pro-social,0.6086284883926499,0.06657462772726752,0.4769553604479526,0.5668364658474477,0.6083030021223561,0.647942570124318,0.7470141433604626,0.00597616333938687,3
64,a,2.728834547834053,1.3046109908035144,0.8710891828977979,1.7645689040523038,2.5014399606551208,3.401883030478505,5.889100373759091,0.037300067789628244,4
65,a_std,2.612048074235144,0.9516591569439283,0.8615778516325419,1.9753082755029818,2.5454094715442865,3.1662564188987337,4.7015003732559375,0.03628485780274182,4
66,a_subj.Pro-self,8.463775589954588,1.8233627859052473,5.855873736871214,7.206808318537057,8.159860938136026,9.346758576673516,12.94950115756418,0.1283111502633971,4
67,a_subj.Pro-social,6.620316960623284,1.2389432788428396,4.773843282288658,5.744181583370641,6.41916179462156,7.2702211814112,9.680566342238096,0.07441059751495219,4
68,v,0.5577397072018293,0.6536289372886073,-0.720205739372378,0.3404757788721053,0.49539943467345393,0.6573695341643921,2.2575858889395595,0.012962187267639761,4
69,v_std,0.670666918982684,0.8256634200927587,0.0072992792556622055,0.12007481646835583,0.3510466839897836,0.9128085629542451,3.0046568278450474,0.032697871790343475,4
70,v_subj.Pro-self,0.4747571163248118,0.09554001460565228,0.28653863087349934,0.41084534861772504,0.4775877194181155,0.5357209454295679,0.6608736598505056,0.0031713815774795434,4
71,v_subj.Pro-social,0.48039113278227014,0.11738954431203501,0.23774684672588797,0.4053595128646973,0.48440958786398647,0.5556301885462851,0.7106122265321849,0.0036981085773865885,4
72,t,0.36850335445894367,0.16740152039139772,0.12312170107244402,0.24230829925554587,0.3426245154547506,0.46649496064476903,0.7562171415728554,0.007596379427139375,4
73,t_std,0.879438669843704,0.6253391995474691,0.04032532300324559,0.3541387225438766,0.7829583245843362,1.294914812925932,2.261622718084208,0.04392031317858098,4
74,t_subj.Pro-self,0.12703022561552182,0.18278904897987966,1.0983729216553511e-20,5.758550950149822e-07,0.01281417594764026,0.2156426413129771,0.6012483777878248,0.01278666180714591,4
75,t_subj.Pro-social,0.21317301355113205,0.2715449614079522,1.863411287226118e-24,2.756807996227446e-07,0.05068259387201904,0.39858004850146606,0.8580877701178027,0.01924830697651423,4
76,z,0.6353103059866951,0.06513084295160956,0.510655466602017,0.5889929393258924,0.6338981707345278,0.6827259359371735,0.7568214857560065,0.005838287886768865,4
77,z_std,0.041022515517968206,0.030564026346204812,0.0012532001297502924,0.01714234656890199,0.03530482343646425,0.05905671425712743,0.11378356401341552,0.001208909742396074,4
78,z_subj.Pro-self,0.6349457232874702,0.06560223655264351,0.5083742921116409,0.5888408046082357,0.633848526210615,0.6826992359461962,0.7595305504659776,0.005858223434777808,4
79,z_subj.Pro-social,0.636614886186116,0.06516333359037567,0.510743507850022,0.5915081951753478,0.6358524106214181,0.6841813241737501,0.7568583768778138,0.005793147302785535,4
80,a,2.7081398969955908,1.272338819441753,0.9053024700986183,1.764924226470903,2.4807134559160584,3.4054284732728366,5.742652853049302,0.02862466555337259,5
81,a_std,2.6033843516483506,0.9299066526493782,1.0509087575655411,1.9526705633493981,2.493599177400391,3.1547917439034263,4.710168705064353,0.030251325545518355,5
82,a_subj.Pro-self,8.28644534591672,1.789483658158963,5.710687329416751,6.994962467530544,7.983929624896654,9.200072105533534,12.858577995492702,0.12423411475221528,5
83,a_subj.Pro-social,6.262538911086949,1.3352816047406997,4.2465410448221075,5.334325811246937,6.059327914695804,6.9551640401966655,9.557501152837844,0.07603011756654024,5
84,v,0.5873032392423556,0.6768758515881416,-0.7349989609389979,0.36678619432723836,0.5223101783176051,0.729669885089946,2.3192127933025484,0.011889589048226843,5
85,v_std,0.68736205448393,0.8127086325763078,0.011892997537088782,0.13645540745917933,0.37419697759210824,0.9565980328178592,2.957270783487223,0.03288581156554844,5
86,v_subj.Pro-self,0.4767417679444001,0.09943802022546547,0.2815294991167955,0.4130862286848297,0.47809874226553595,0.5440687986474015,0.6686109411667034,0.003388142236252446,5
87,v_subj.Pro-social,0.5443485186654408,0.13521026396707397,0.27972072987747376,0.4511952888335532,0.5424191215258091,0.6310427361088989,0.8102276733424598,0.004422163939626462,5
88,t,0.401798737435381,0.1707036122297945,0.1345168387313655,0.2783722594038204,0.38097910551749425,0.4968734396457185,0.8073206564147274,0.0058573381459877975,5
89,t_std,0.6656185174158222,0.5003058131977985,0.049318611398006085,0.26771928990068705,0.5530296555187026,0.9545574539895321,1.907300115148312,0.027940039681799395,5
