,parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err,round
0,a,2.5808864496137396,1.198882005702047,0.8486342466229709,1.6938371180623653,2.363131660435497,3.231876388755964,5.472171923383483,0.024827493656070735,0
1,a_std,2.8605668592079923,0.9375308817950042,1.3699356938973533,2.1784406688573257,2.736901646672253,3.400525870264118,4.954365805276311,0.029980137568235938,0
2,a_subj.Pro-self,9.305706780057278,2.040303990458684,6.356916961726237,7.884288674286651,8.957297374737408,10.334747009368304,14.348316706652204,0.152084162431895,0
3,a_subj.Pro-social,7.177994444396809,1.3545336535490726,5.170212599730078,6.24653027251508,6.941206215509869,7.833012445773743,10.475720027449873,0.08835858377935867,0
4,v,-0.3933488146269865,0.6835233272186797,-1.5981427709766134,-0.6329134071730241,-0.4946608753433017,-0.2973731695502144,1.5914885187446361,0.014700278734718427,0
5,v_std,0.6651413669294387,0.7951901935992036,0.011931995001232168,0.12541193722262872,0.35538070911867337,0.9379122892645666,2.869619673811588,0.03106709027013756,0
6,v_subj.Pro-self,-0.5334519199557316,0.0956060312254119,-0.7227856825196568,-0.5993208076389409,-0.5304271163395982,-0.46788735859591135,-0.35007462318096105,0.003404130946662374,0
7,v_subj.Pro-social,-0.5044133662051872,0.10563667461568614,-0.7081249747786719,-0.574590610380256,-0.5054763687240094,-0.43544399578617676,-0.28925209851707306,0.003527336334086098,0
8,t,0.33485523777110504,0.16853891019122277,0.09563761480925816,0.21210671975084544,0.3053473037554252,0.4250125876345176,0.7492148530511522,0.010101560473860089,0
9,t_std,0.9521415523500639,0.7069198491511798,0.03197144567757747,0.3328380632021989,0.861573524768431,1.4357717644390706,2.488008578450885,0.05385764281481509,0
10,t_subj.Pro-self,0.181962761413386,0.2540981528163798,5.669498730068744e-29,6.565653545357435e-10,0.024422455270596277,0.32143505496586333,0.8659800439196379,0.01734429524655131,0
11,t_subj.Pro-social,0.1662130067980378,0.2510697897853426,8.562583003599435e-42,6.595641572894909e-29,3.7871723882940654e-06,0.28892786651073876,0.8402457070843836,0.01907925542981067,0
12,z,0.4071609736535692,0.06979606606657165,0.25431606346301766,0.36896565889940414,0.4140907406488891,0.4532203946383203,0.5318965707887681,0.006336650132367212,0
13,z_std,0.03985256318483183,0.029709658045449464,0.0019872059677314728,0.016163013753513814,0.03352345808052738,0.05728271373240077,0.1114958095761861,0.001209895426210128,0
14,z_subj.Pro-self,0.4073723472174941,0.07037458769023,0.252581212151135,0.3682461135907526,0.41526961430627446,0.45424201833697897,0.5351285156570819,0.0063647355377118575,0
15,z_subj.Pro-social,0.4062424715337847,0.06997099999038174,0.2526061185769481,0.3679203233209789,0.41349525946059645,0.4517043700142956,0.532782774782384,0.006317002061336188,0
16,a,2.5251441842745916,1.1744552792614082,0.8603986730359545,1.6582726702521229,2.3195649225167947,3.130270022843326,5.448458312052569,0.0265744154116881,1
17,a_std,2.840855088056819,0.9039599673911903,1.3823149208446024,2.1905390657579993,2.7411653309589283,3.365401859237878,4.906604823367956,0.026271401326577425,1
18,a_subj.Pro-self,9.67813738344994,1.9407217519592304,6.675393393109195,8.28034483850999,9.385343035086883,10.784198105466452,14.323162615113873,0.1319313082475319,1
19,a_subj.Pro-social,6.726598999129272,1.1587530882481125,4.969717528323562,5.929172646251473,6.558590113540445,7.3189252282444,9.601357033025693,0.06720078051247441,1
20,v,-0.4281747395543912,0.638245667611771,-1.5390736900283009,-0.6415353729240366,-0.5065613193906395,-0.3233018897506537,1.328645199064108,0.012581850229647145,1
21,v_std,0.6239755934664477,0.7400674349824442,0.01485010668871728,0.12084037542488259,0.32967524048113195,0.8706125804999132,2.6785427306748355,0.028567031189746177,1
22,v_subj.Pro-self,-0.5367437882833169,0.09480613992492865,-0.7298238908309433,-0.6014578655052822,-0.5335717129618884,-0.47167654087065414,-0.3589055779394945,0.0030833250369002784,1
23,v_subj.Pro-social,-0.5138624717026882,0.10206255830387059,-0.7148762060370996,-0.5820858409927907,-0.5141020570424782,-0.4458384715840744,-0.30851662951425873,0.0037292562365314973,1
24,t,0.4093703035111582,0.1786206435449251,0.14154169566301844,0.2727614970862694,0.3827141780767126,0.5206933213413383,0.8184647458454886,0.007041363575573896,1
25,t_std,0.6214851849658989,0.5271059314146443,0.022237404308424406,0.20387151531879197,0.48202710595417664,0.9009806571189084,1.9310619982600885,0.032478827835631066,1
26,t_subj.Pro-self,0.26362998758347267,0.2671425685457928,3.7855023389665366e-09,0.013630828971695859,0.19341145212325409,0.44293333588553907,0.8699042013889355,0.015395274784344498,1
27,t_subj.Pro-social,0.25652975034531805,0.2520030765876206,2.976003649769426e-11,0.010871626836475072,0.2028669931878103,0.43559877085840787,0.8295253196184689,0.01534936581393693,1
