,parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err,round
0,a,2.6694744280817098,1.2512584921934244,0.853835058951435,1.7458849540439232,2.4451172590503933,3.3829836431205726,5.782656521083855,0.02526079066714439,0
1,a_std,2.7555108945117044,0.9357444413938992,1.2349668279929173,2.107308127133204,2.655131391442748,3.2878808521821843,4.896370792027775,0.024720388170657765,0
2,a_subj.Pro-self,7.837754361810121,1.1435269406847328,6.218913918771136,7.021578327099975,7.630425772679953,8.430262398981855,10.65580147671272,0.08528538931599175,0
3,a_subj.Pro-social,7.80439302650768,1.520904352666308,5.426608786471613,6.717028448975075,7.588414737445137,8.639892497318698,11.315309703096403,0.08951264925046275,0
4,v,-0.31460016540752783,0.6033037501743315,-1.3361449539992303,-0.5156663152575184,-0.37790174191600345,-0.2222905524170954,1.2957654257452134,0.010963371020968794,0
5,v_std,0.5961564823416188,0.7506119233943294,0.009549355755173166,0.12849665525192716,0.3224466286847967,0.7619641110483595,2.8839703526464957,0.03025666837727342,0
6,v_subj.Pro-self,-0.35551623791175646,0.057332034799056235,-0.4673723184870323,-0.39421029876418956,-0.3550063248906873,-0.3173518051135027,-0.2406035178751077,0.0017805970659193298,0
7,v_subj.Pro-social,-0.4435919778315482,0.100875510376926,-0.6565411053558478,-0.5085504757912986,-0.43847855459963264,-0.371734287049145,-0.2617951853758266,0.0031970597094785566,0
8,t,0.35673527656197523,0.1609373463837858,0.11870841762915507,0.2414560078565786,0.32711049495141936,0.4465416869061722,0.7424268844410028,0.0047657808171347295,0
9,t_std,0.7444743773974299,0.47426034710061526,0.06339946624286125,0.38210357247501736,0.6619711798467598,1.0189962660103515,1.8832967636709768,0.020219010649205924,0
10,t_subj.Pro-self,0.039934474419277395,0.054273041995368705,1.04766883553735e-07,0.0012805927894106663,0.01497004119077487,0.05985385873234722,0.1966676581481868,0.00242123063401064,0
11,t_subj.Pro-social,0.1603397691659309,0.1628838858717883,1.5872749362294115e-07,0.009662035848537483,0.1117724894164434,0.27501261188804904,0.5330936124742324,0.00766570357764307,0
12,z,0.2803276915119878,0.04102224775063677,0.19783921659550122,0.2533929558700603,0.2798517568705457,0.309548003781396,0.35699155295200974,0.00356395769906279,0
13,z_std,0.04179713340563506,0.030073438802086776,0.00258724701050639,0.01793318488398043,0.036311932609822434,0.05952379848151719,0.11209440474033527,0.0010833520019439013,0
14,z_subj.Pro-self,0.27807216536606905,0.04027110952252103,0.19616795000405235,0.2510659892721458,0.2776717598520904,0.30602861643675894,0.3536460910046975,0.003473424169375231,0
15,z_subj.Pro-social,0.28066684693177196,0.04188709014591932,0.19873595924387355,0.2525852907399713,0.27968861105971365,0.3103916225843503,0.359823478934805,0.00358000338966981,0
16,a,2.6421034106377532,1.2832180600296612,0.8436228883986978,1.719421323668422,2.381831852480488,3.308970673390294,5.923000483481889,0.030561067437598344,1
17,a_std,2.7757513401207428,0.9458505874658499,1.2583685095678114,2.130422269756071,2.661448978718219,3.313113190923844,4.9545831233637765,0.02856642064734167,1
18,a_subj.Pro-self,7.887031930289733,1.1452549865738813,6.1974019591172995,7.072558218192958,7.685835152512442,8.487211667619409,10.611004478481593,0.08464225918865557,1
19,a_subj.Pro-social,8.275026215851268,1.6866739960475283,5.707849447160127,7.042167047030176,8.023993150733332,9.270612615778699,12.388456283747123,0.11056413022828741,1
20,v,-0.30569059085180933,0.6497606382264156,-1.3877744701536208,-0.5292304978356456,-0.3908426269617523,-0.2139189220525596,1.4905182659767497,0.011574925776395182,1
21,v_std,0.6485135406193856,0.7534662825345845,0.013829047359492183,0.13803952015586884,0.35470303693575356,0.8860918997231245,2.802167101009855,0.027244789285791538,1
22,v_subj.Pro-self,-0.3777879164521361,0.05488749961831307,-0.4857550415683476,-0.41498498047973137,-0.3776844973870462,-0.3396638952583692,-0.2718553988139004,0.0016524220232548008,1
23,v_subj.Pro-social,-0.4598968766882094,0.1011058646658338,-0.6586487037499275,-0.5263127667476357,-0.4577212247811846,-0.38992293884891255,-0.2697667140885795,0.0029592383250843348,1
24,t,0.30996672819796794,0.1426206384822666,0.10380291939684269,0.2058386263187591,0.2879274281332657,0.38620681556305736,0.6612106690610975,0.0063548447683966485,1
25,t_std,1.175777341405175,0.6314577363596984,0.18921658259537577,0.6825723718134723,1.0981196650774196,1.6046589598662773,2.5549357992946304,0.04002795863402249,1
