index,actions,age,degree,group,knows_game,knows_gt,level_studies,player,predictions,private_account,profession,public_account,rounds,sex,threshold,time_end_action,time_end_pred,time_start_action,time_start_pred,treatment,gap_threshold,round_donations,time_elapsed_action,time_elapsed_pred,etimeactionnr,etimeprednr
0,0,26,Computer Science,21,False,0.0,master,60,10.0,30,student,46,4,Male,False,2017-11-22 07:36:25.118000000,2017-11-22 07:36:36.341000000,2017-11-22 07:36:08.645000000,2017-11-22 07:36:25.683000000,1,74,10,0 days 00:00:16.473000000,0 days 00:00:10.658000000,16473000000,10658000000
1,0,26,Computer Science,21,False,0.0,master,60,10.0,28,student,64,6,Male,False,2017-11-22 07:38:10.285000000,2017-11-22 07:38:27.301000000,2017-11-22 07:37:44.650000000,2017-11-22 07:38:20.974000000,1,56,6,0 days 00:00:25.635000000,0 days 00:00:06.327000000,25635000000,6327000000
2,4,26,Computer Science,21,False,0.0,master,60,14.0,32,student,28,2,Male,False,2017-11-22 07:34:38.132000000,2017-11-22 07:34:59.039000000,2017-11-22 07:34:15.067000000,2017-11-22 07:34:48.792000000,1,92,14,0 days 00:00:23.065000000,0 days 00:00:10.247000000,23065000000,10247000000
3,2,26,Computer Science,21,False,0.0,master,60,12.0,28,student,58,5,Male,False,2017-11-22 07:37:12.092000000,2017-11-22 07:37:44.023000000,2017-11-22 07:36:47.005000000,2017-11-22 07:37:22.734000000,1,62,12,0 days 00:00:25.087000000,0 days 00:00:21.289000000,25087000000,21289000000
4,4,26,Computer Science,21,False,0.0,master,60,16.0,36,student,14,1,Male,False,2017-11-22 07:33:27.827000000,2017-11-22 07:33:54.327000000,2017-11-22 07:32:59.816000000,2017-11-22 07:33:28.451000000,1,106,14,0 days 00:00:28.011000000,0 days 00:00:25.876000000,28011000000,25876000000
5,0,26,Computer Science,21,False,0.0,master,60,8.0,20,student,102,9,Male,False,2017-11-22 07:41:48.636000000,2017-11-22 07:41:58.535000000,2017-11-22 07:40:53.457000000,2017-11-22 07:41:49.194000000,1,18,12,0 days 00:00:55.179000000,0 days 00:00:09.341000000,55179000000,9341000000
6,4,26,Computer Science,21,False,0.0,master,60,14.0,20,student,90,8,Male,False,2017-11-22 07:40:08.787000000,2017-11-22 07:40:42.764000000,2017-11-22 07:39:49.210000000,2017-11-22 07:40:29.557000000,1,30,14,0 days 00:00:19.577000000,0 days 00:00:13.207000000,19577000000,13207000000
7,4,26,Computer Science,21,False,0.0,master,60,12.0,24,student,76,7,Male,False,2017-11-22 07:39:10.316000000,2017-11-22 07:39:18.410000000,2017-11-22 07:38:37.960000000,2017-11-22 07:39:10.889000000,1,44,12,0 days 00:00:32.356000000,0 days 00:00:07.521000000,32356000000,7521000000
8,0,26,Computer Science,21,False,0.0,master,60,14.0,20,student,110,10,Male,False,2017-11-22 07:43:19.805000000,2017-11-22 07:43:32.592000000,2017-11-22 07:42:19.275000000,2017-11-22 07:43:20.348000000,1,10,8,0 days 00:01:00.530000000,0 days 00:00:12.244000000,60530000000,12244000000
9,2,26,Computer Science,21,False,0.0,master,60,14.0,30,student,36,3,Male,False,2017-11-22 07:35:41.842000000,2017-11-22 07:35:47.775000000,2017-11-22 07:35:09.643000000,2017-11-22 07:35:42.478000000,1,84,8,0 days 00:00:32.199000000,0 days 00:00:05.297000000,32199000000,5297000000
10,0,26,Biology,21,False,1.0,master,61,10.0,30,student,58,5,Male,False,2017-11-21 15:33:56.197000000,2017-11-21 15:34:05.970000000,2017-11-21 15:33:33.856000000,2017-11-21 15:33:56.719000000,1,62,12,0 days 00:00:22.341000000,0 days 00:00:09.251000000,22341000000,9251000000
