,parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err,round
0,a,4.891773463955071,0.1270682858692256,4.654280318240691,4.805145380821539,4.88852331849835,4.975258865710625,5.151567808722192,0.00173757411366808,0
1,v,0.0005010234211428005,0.028912195853918417,-0.05638788351236279,-0.01898643362145125,0.0005634122223802107,0.019993452989068905,0.056229647730174914,0.000380626616269504,0
2,t,0.4187011118810962,0.08164433094703409,0.2475577193709607,0.36512624871000354,0.42394532630417076,0.4776054724246007,0.5638550385975509,0.0011185705142808904,0
3,z,0.5441442260974241,0.019896772726895075,0.5048116639476934,0.5307711642240054,0.5444947211011677,0.5578151801705495,0.5830271240852152,0.0002783429553693009,0
4,a,4.135151630413347,0.10223715102898351,3.9350503136696124,4.065415904570144,4.135449178303109,4.203393802931551,4.337043735828633,0.0010899229365255848,5
5,v,0.01844279694606811,0.03331749553987314,-0.046307455854452714,-0.003962720039855844,0.018619684170017914,0.04127578231985882,0.08346683946300182,0.00042041819938319364,5
6,t,0.128351474013691,0.041762444499637216,0.05166921147020035,0.09881257022084425,0.12671538224207304,0.15665021339450513,0.21246549941562487,0.0004340502783944904,5
7,z,0.5427126149739294,0.018735563839570736,0.5058535434023633,0.5301257758195154,0.5427148503714698,0.5553769821043756,0.5790373712508042,0.00024989075963053985,5
8,a,3.5313557452586144,0.09290247802184443,3.3539775756527184,3.4683034689718992,3.530404682680709,3.5928635683534025,3.7186654467987696,0.0012535254921830531,10
9,v,-0.010988737278448965,0.03929074742290758,-0.08679329023099208,-0.03801362285652367,-0.010880166358114614,0.015378211661906005,0.06783649134106698,0.0004845216173432994,10
10,t,0.24067688991513228,0.043956608161197036,0.14800917238944117,0.2120365265528378,0.24317432165811037,0.2719892028751207,0.3209949245742081,0.000576405981877157,10
11,z,0.5167642685959529,0.019124045112455735,0.47881420545385595,0.5039985199573294,0.5169473353250816,0.5297567479574294,0.5531686878911031,0.0002487720117922805,10
12,a,3.4668924323253423,0.08543242050043924,3.3000348827199724,3.4080032600410646,3.466533531234995,3.5250827630752677,3.6370942394616135,0.0010934970474356567,15
13,v,0.04683294897224986,0.040118102230407966,-0.03137017561979999,0.01981241045670419,0.046823866316350896,0.07375112437003725,0.1253052488420428,0.0005237630644956707,15
14,t,0.11909599281228195,0.033850601806649255,0.053343276274080184,0.09550818562352807,0.11919513951973,0.14243332381381174,0.18547705179247181,0.00043057417497204524,15
15,z,0.5246816665039162,0.019503861908032237,0.4860628512300231,0.5116741506931426,0.5251667631486426,0.5382355778325798,0.5613767251896105,0.0002447392183467614,15
16,a,3.212383330951537,0.08372057107778423,3.0536820690826563,3.1546277967426892,3.2110390520409595,3.2684755018131666,3.378240243353844,0.0011700008394375009,20
17,v,0.07604443886557412,0.043199908554160976,-0.008793068977657623,0.04617009054365055,0.0756341051932325,0.10590724420082301,0.15962407357916925,0.0006365337129129643,20
18,t,0.16972982439028578,0.037422332305094445,0.09337754457546014,0.1447993588012088,0.1705201323846428,0.19601413107736174,0.239218204913973,0.000541312892365126,20
19,z,0.4895816476530642,0.019342903356030845,0.4517255380592429,0.47650588326783644,0.4897006660707787,0.5028499178306306,0.5270325451664927,0.0002917036842869976,20
20,a,2.926103969081369,0.07816436226071911,2.7788384968666375,2.8719960297676352,2.9245372712840147,2.9778123583384772,3.0875981408101127,0.0013040738171686624,25
21,v,-0.07887640097251246,0.0465036533973596,-0.1693032515533327,-0.11050682519521707,-0.07895271738055287,-0.04698659600777402,0.013106057892950579,0.0005557026478723432,25
22,t,0.1658413056827794,0.03350043540562842,0.09757072562786977,0.1437201147850945,0.16679969489547763,0.18938971666817336,0.22825649912922258,0.0005557872825091021,25
23,z,0.5392571521552871,0.01845712682135807,0.5031138684870265,0.5268557353624227,0.5394712007871348,0.5517809685040331,0.575159780480047,0.0002200168175685387,25
24,a,2.8609358110708083,0.07492931094181325,2.7188788266343846,2.80923242361348,2.858759867724176,2.9103384385458817,3.0127752240167136,0.0010029686622882819,30
25,v,0.009092761818490159,0.04719504310411363,-0.0823519694912859,-0.022856836994941385,0.009036475636481578,0.04104836623855479,0.1024676811487375,0.000590400463813095,30
26,t,0.15330008373137813,0.03190317006962073,0.08846821115698515,0.13190654654049327,0.1542572030516713,0.17543842100843,0.21359627212698912,0.0004883199797175809,30
27,z,0.5626068206470101,0.018696675716765677,0.5251690469076206,0.550579447630797,0.5627832924896984,0.5753655737057883,0.5987312862029561,0.00027193728958260175,30
28,a,2.9448312130896537,0.07653671586221791,2.7986793254722704,2.892607738945802,2.944061585277694,2.996419880227643,3.0982601351899586,0.0010736063973716754,35
29,v,0.07156859551794882,0.04530403756546683,-0.017909846616516394,0.041235334059427545,0.07154452891760965,0.10201403706944429,0.16039962257038348,0.0006140143175134766,35
30,t,0.13872195645550098,0.03348340628705855,0.07233873487868103,0.11622730382318627,0.13923398447206717,0.16156509685803608,0.20393955814773848,0.00046968454144129745,35
31,z,0.48951410856267447,0.018467383504157078,0.4537550277675722,0.47694577919161796,0.4895816012242322,0.5017426742772044,0.5260930296267085,0.0002583265295263118,35
32,a,2.8302769084204584,0.07226068374847223,2.6947082830919284,2.7803181275659528,2.8290386903820175,2.878333271933493,2.975373448644281,0.0009617929572319284,40
33,v,0.0022573458785017137,0.04713656132414304,-0.08949125509747799,-0.029721027259944383,0.0021148188683580704,0.03411347712412893,0.0945957255127238,0.0005883375395058125,40
34,t,0.13622218099178757,0.029632274551992226,0.07495318150719475,0.11657403291166342,0.13746993482839295,0.1572496658325513,0.19019658734046768,0.000391038725025484,40
35,z,0.5258811199889853,0.01875323108485837,0.4888184471361294,0.513451854534204,0.5260239947022554,0.5384294512552845,0.5626587376839792,0.00024129732932865922,40
36,a,2.9388064846274533,0.07414355838927662,2.795591660961261,2.8885582048904057,2.9375481219713317,2.9887457433779367,3.08684357765433,0.0009454986808185527,45
37,v,0.04555959308351359,0.04583658620555964,-0.04282366837607021,0.014360528233368093,0.045433263017530146,0.07680710699050175,0.13668963234041853,0.0006878304063508853,45
38,t,0.1231441852333903,0.03002588418252124,0.06476839821636318,0.10243886405955283,0.12314944761241758,0.1436285383817017,0.1811059893693328,0.0004236300177317679,45
39,z,0.5373617136217095,0.018368586304031195,0.5014905133286197,0.5249477363693928,0.5373076389289919,0.549728411690545,0.5729908386911471,0.0002803497246536405,45
40,a,2.769775732573062,0.07234605210470148,2.6298751600341825,2.7207434417664094,2.7687179073591115,2.8177473454235473,2.914136709663109,0.0010102009919797641,50
41,v,0.05248588203639786,0.04954646790531829,-0.04541107079256948,0.01991344136595921,0.05234381017215567,0.08579633143614385,0.14952827347128905,0.0006266984025508325,50
42,t,0.1567490521609851,0.03069926695173606,0.0932032001131416,0.1365876346983314,0.15770895558316236,0.17803411221592896,0.21389446463856418,0.0004384609920243058,50
43,z,0.5242137242209786,0.018373880210970247,0.48804112170029396,0.511875091007483,0.524339967197089,0.5366491684052658,0.5602201824054043,0.00023295639618155255,50
44,a,2.567102739856935,0.0690892656186257,2.435808715326396,2.518872912335317,2.565116496730318,2.6131464213348057,2.705754039470159,0.000986309404750882,55
45,v,0.10626421599958272,0.05334637758642199,0.0028182764058005683,0.07033677395379553,0.10649147762250066,0.14263032944112197,0.21169533857821926,0.0007504563729005997,55
46,t,0.1582912336927352,0.02882856333134274,0.0986305893821238,0.13947622978139473,0.15950438619199275,0.17863990006191025,0.21070746804528334,0.00041891217806456067,55
47,z,0.5049577349644124,0.018345094671769407,0.4683404065201416,0.4925927681769261,0.5049486143261258,0.51743651711809,0.5406547058762557,0.0002529517398107713,55
48,a,2.7196365336167396,0.07363961239689525,2.5774818066841054,2.669067439824087,2.7200324676422176,2.7690907919315677,2.862939248328505,0.001119611200341353,60
49,v,0.08165755894639143,0.04939707242789367,-0.016173170534764997,0.04849596443321001,0.08151195996300453,0.11425872149469353,0.17928925316991862,0.0006447968124972524,60
50,t,0.15898165016094346,0.03258820947560781,0.0935816470694729,0.13679696420396112,0.15956911456749007,0.1813616251524648,0.22162572745754516,0.0004816131225802817,60
51,z,0.5215135135560502,0.018708301054576618,0.4850558091985814,0.5088277695469526,0.5213826904272775,0.5340617182115064,0.5577482222323655,0.00026573907258492545,60
52,a,2.5112321189509066,0.06774099093690412,2.3819722833182944,2.4658522429571064,2.509973496274071,2.5559052931544723,2.648513500595988,0.0010191968010330901,65
53,v,0.09631783715880719,0.05386742077257753,-0.008382997736485986,0.05993392566623812,0.09634462170849895,0.13244476723480997,0.20298101985488287,0.0006742813643292627,65
54,t,0.16612316985338074,0.027831072691040886,0.10751979865375876,0.14805472286925533,0.16731168308178312,0.18544976005622124,0.21708571916970965,0.00038971775823039116,65
55,z,0.4986340314774642,0.018328119231194283,0.4628643460543747,0.48650999412519974,0.49857931167310143,0.5111146350845412,0.5344825412546194,0.00025666437013470786,65
56,a,2.5009005646308946,0.06899196439700503,2.367697029440512,2.4538082247884363,2.4993416357148783,2.5468047687872555,2.637523316812062,0.001055812313868921,70
57,v,0.1342963165497089,0.05435200751281328,0.026271358372157994,0.09769669156434319,0.13450606743719642,0.171104247419817,0.23949223404780673,0.0007765456731554682,70
58,t,0.18050700593112987,0.0279576363998674,0.12130360162050143,0.1621626603311537,0.18208672233106007,0.20039705429824836,0.23152545086602463,0.0004601412467303839,70
59,z,0.5095212208468235,0.01877464372290748,0.47325888072875555,0.4968341976284387,0.5093436973689802,0.5221265864163931,0.5462911015419217,0.00025792583744297835,70
60,a,2.6044169608479484,0.0727528449294044,2.464119742667426,2.55428359445789,2.6028241677563657,2.652793845581635,2.7492692348858947,0.001215099133594351,75
61,v,0.23195152483565445,0.05268780190079204,0.12845685369997556,0.19655666409327371,0.23170071916907456,0.2672763224948771,0.334569000887155,0.0007292476726262648,75
62,t,0.16020264168845796,0.03014180047856897,0.0987001928682898,0.13998805990390328,0.16118012361335643,0.18173717493714758,0.2156378840283215,0.0005041987758727395,75
63,z,0.49358658081475376,0.01858921372675495,0.45782673956091063,0.4810031166482642,0.49372733337093183,0.5059414339049609,0.5300212261580782,0.0002338060044076628,75
64,a,2.8208613005234433,0.06398820472272387,2.6961544180368726,2.7781458695979766,2.820598561712872,2.8634802726834336,2.948306361391789,0.0008538623177051351,80
65,v,0.16963563295466838,0.04894886696955814,0.07396057328648858,0.13603253109210045,0.16897618729406452,0.2032458453512394,0.2662112673169647,0.0005593579253217199,80
66,t,0.0464288889791066,0.014521750198578319,0.01838754366798309,0.03620587510221571,0.046454867476315116,0.05680027624385138,0.0748562482322816,0.0001775319210714376,80
67,z,0.5206306185843544,0.01856181497781049,0.4842539025977906,0.508084259510165,0.5209126177435192,0.5332698843844088,0.5566150713786949,0.00025159699380312593,80
68,a,2.6945045388866595,0.07131309087067693,2.5598584415753463,2.6459507392219,2.6929339020414917,2.7425997645779927,2.837408266275155,0.0009937144024272611,85
69,v,0.14914607870515412,0.04996824580343812,0.05164734368989532,0.11560824995171791,0.14851931918729971,0.18324082164810274,0.24863531238528025,0.000685243458987643,85
70,t,0.13794279620240624,0.02848236571441969,0.07903365228782493,0.11917464897438466,0.13885425340526944,0.15777459863694443,0.19098316565938983,0.0004113530163172569,85
71,z,0.5104616991576135,0.018546171195873682,0.4735239125186155,0.49790397472137915,0.5105975062316522,0.5229956239197083,0.5457431979169861,0.00024316864300443137,85
72,a,2.426243485519307,0.06802101926174298,2.294494130266164,2.3798361352047315,2.425100898453646,2.4704333268471363,2.56295970277527,0.0009480452210181335,90
73,v,0.23802511526573356,0.05682651660150353,0.1269531228747096,0.19998381343645488,0.23895767562951648,0.2765199565449735,0.34898441517310486,0.0006765644648311848,90
74,t,0.18383320711286363,0.0258828540577686,0.12925145011901013,0.16702388466743662,0.18531350182413261,0.20170822608178965,0.230579258044106,0.00035633736442990094,90
75,z,0.51278650294623,0.018658045389627016,0.47589514314341896,0.5003065491229737,0.5127208875907254,0.5255485363598121,0.5492296091249419,0.00023163323592475206,90
76,a,2.2910073701754614,0.06274521646015695,2.172987201849698,2.2475495356802235,2.289043234143924,2.3318589183062324,2.4190209096098356,0.0009217377683854939,95
77,v,0.3073983234995933,0.06194500506617765,0.18589211774933923,0.2661434141809608,0.30656618624300896,0.3491702723261582,0.4292361405748369,0.000891262367144727,95
78,t,0.21607031074695554,0.02197917412028129,0.16926992203937274,0.20210454260804986,0.217576872498645,0.23158008421711762,0.2543137790060568,0.000337542874883315,95
79,z,0.5087218567800679,0.019149173343654707,0.47093179846611444,0.4959290544587543,0.5086824734469245,0.5217931161910783,0.5466201089921978,0.0002790459760358163,95
