,player,response,round,rt
0,0,1,0,1.81
1,1,1,0,3.7800000000000002
2,2,1,0,2.04
3,3,1,0,2.09
4,4,1,0,11.46
5,5,1,0,2.0100000000000002
6,6,1,0,2.15
7,7,1,0,3.27
8,8,1,0,2.59
9,9,0,0,1.26
10,10,1,0,4.5
11,11,1,0,3.1
12,12,1,0,2.88
13,13,1,0,7.9
14,14,1,0,1.76
15,15,1,0,8.85
16,16,1,0,3.89
17,17,1,0,3.49
18,18,1,0,5.2700000000000005
19,19,1,0,2.38
20,20,1,0,4.65
21,21,1,0,6.0
22,22,1,0,6.640000000000001
23,23,1,0,5.55
24,24,1,0,7.48
25,25,1,0,3.2600000000000002
26,26,1,0,7.34
27,27,1,0,2.95
28,28,1,0,3.69
29,29,1,0,7.01
30,30,1,0,3.98
31,31,1,0,1.3
32,32,1,0,8.55
33,33,1,0,0.87
34,34,1,0,3.47
35,35,1,0,5.89
36,36,1,0,2.94
37,37,1,0,5.04
38,38,1,0,2.74
39,39,1,0,3.79
40,40,1,0,6.18
41,41,1,0,1.76
42,42,1,0,2.67
43,43,1,0,6.51
44,44,1,0,3.35
45,45,0,0,2.12
46,46,1,0,4.04
47,47,1,0,3.99
48,48,1,0,4.5200000000000005
49,49,0,0,2.09
50,50,1,0,6.05
51,51,1,0,13.96
52,52,1,0,2.43
53,53,1,0,2.67
54,54,1,0,1.82
55,55,1,0,4.05
56,56,1,0,5.74
57,57,0,0,9.71
58,58,1,0,1.79
59,59,1,0,6.390000000000001
60,60,1,0,8.61
61,61,0,0,0.97
62,62,1,0,1.3800000000000001
63,63,0,0,2.22
64,64,1,0,2.5100000000000002
65,65,1,0,4.47
66,66,1,0,2.25
67,67,1,0,5.49
68,68,1,0,5.22
69,69,1,0,3.62
70,70,1,0,3.23
71,71,1,0,3.64
72,72,1,0,3.88
73,73,1,0,2.11
74,74,1,0,1.6500000000000001
75,75,1,0,4.14
76,76,0,0,2.59
77,77,1,0,1.54
78,78,1,0,2.82
79,79,1,0,2.42
80,80,1,0,11.07
81,81,1,0,2.62
82,82,1,0,1.69
83,83,1,0,7.24
84,84,1,0,2.97
85,85,1,0,11.450000000000001
86,86,1,0,2.29
87,87,1,0,3.49
88,88,1,0,1.92
89,89,1,0,2.98
90,90,1,0,5.22
91,91,0,0,8.69
92,92,1,0,2.18
93,93,1,0,6.41
94,94,1,0,3.8200000000000003
95,95,1,0,7.38
96,96,1,0,4.63
97,97,1,0,5.28
98,98,1,0,8.57
99,99,1,0,5.1000000000000005
100,100,1,0,7.34
101,101,0,0,7.12
102,102,1,0,6.46
103,103,1,0,5.04
