parameter,parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err
0,a(1),2.5483985379389176,0.4296285965768871,2.056246018522302,2.1812672209276505,2.430930926385567,2.816947769074019,3.4789584870030796,0.03540632950723065
1,a(2),3.0628942118856584,0.8362738965227492,2.1511826546106554,2.3207638574724037,2.5948776845829253,3.8874573676331448,4.483206071609897,0.07623649104689739
2,a(3),3.255403124831112,0.7978164422900902,2.0657110223704866,2.4705976277813986,3.338031547853184,4.102546495111024,4.335077546920845,0.07741303762382583
3,a(4),2.3795639124982237,0.5031357685277238,1.6262178175638964,1.896805959660265,2.356921195981653,2.7730576737729433,3.2665596392425327,0.04772281324124243
4,a(5),2.3139215192656573,0.6071451952752884,1.599079026767392,1.8058949803463493,2.0111163038015394,2.896001153597962,3.5303312451809585,0.051831370535449076
5,a(6),1.3800169196185053,0.3887541268514477,0.6720341276158625,1.05244271123594,1.5739760884172744,1.7245193271178385,1.810982288043763,0.0361563229101461
6,a(7),1.6536197265035155,0.17862835129168358,1.2840409301109186,1.5237688822603557,1.6613222315291616,1.8114409331362507,1.9412017689991372,0.01835944061388094
7,a(8),1.6900271949996295,0.32131090644499205,1.096851148290241,1.5439431143913598,1.6565318048751614,1.8724905241513232,2.511785191878901,0.024475287635512235
8,a(9),2.0920516311105213,0.5191666525132811,1.5054202001405033,1.7311588859860874,1.8441560651595397,2.461544765893807,3.1338422510304302,0.044282812228138506
9,a(10),1.7097734514302967,0.1437583954039344,1.4292403140793632,1.5989994884470962,1.72977781031712,1.821196165038787,1.9504490602460283,0.012291158540085941
10,a(11),2.1520697608282844,0.3676382979972936,1.7648496829260223,1.888422292207308,1.9679922291652991,2.5827329664768772,2.837564608095741,0.035525852758308864
11,a(12),1.470177098338333,0.16465372824816726,1.1633386873603655,1.3496264997918295,1.467843199757582,1.589716697915694,1.8328591750535481,0.015898646087138705
12,a(13),1.517161508623119,0.17748135462119258,1.180092841756669,1.3659219583197584,1.5531741426888481,1.6620627452300332,1.7781123335167417,0.017711503534062714
13,a(14),1.6946760684876228,0.21211766883156646,1.2677911481510051,1.5380386099740857,1.7235372258695096,1.85271715420875,2.051130088090617,0.02179281175341618
14,a(15),1.4925649359524775,0.34530531438305956,0.8525890149554493,1.149873278860726,1.6797657668576678,1.7838661500303956,1.8776466094345132,0.030731882779878518
15,a(16),1.239747405838605,0.12515161711923922,0.9896341081202348,1.167667052216043,1.2451515638616437,1.3175195235384685,1.525786593480152,0.012589831391212497
16,a(17),1.4888343206273356,0.18224352009369438,1.022582708087624,1.3934528018396348,1.5295363914154745,1.6244812466278278,1.7454766879956674,0.017479668562853146
17,a(18),1.3590720768978324,0.18417564111378387,0.9668808840277732,1.2341491070601849,1.3873815856740963,1.4989997255848058,1.6447019350799739,0.016188611002306987
18,a(19),1.2525218299057286,0.3593357028384204,0.640440595848643,0.8752774929858399,1.30067347576001,1.5606723752488747,1.8410785124365427,0.03322749144411781
19,a(20),1.5173644334618381,0.27760046092308793,1.0636744856706493,1.2419304624282848,1.5865522151816749,1.7678527097177703,1.9219128525198317,0.026162119490448492
20,a(21),1.2089661264546818,0.28405302719290837,0.5959801092969815,1.0005447440998139,1.2351718396304379,1.4070872701136015,1.6882007548581164,0.02905965724898172
21,a(22),1.3506730826331774,0.1755162608521547,1.04773675792607,1.2405377968494378,1.3051029451995515,1.454553024144369,1.753469474705366,0.017336029289781275
