,parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err,round
0,a,5.040473343640007,0.22933403296320554,4.617011130562087,4.878599538053024,5.034403393233762,5.191364996433073,5.498298854833356,0.00278405484542568,0
1,v,0.058807688219212034,0.05154112406756303,-0.04228432734950005,0.02336760018781145,0.05995910224822962,0.09371674102589633,0.15831560878645892,0.0008341469260423397,0
2,t,0.4312196627786757,0.12642670324410016,0.18014610825480437,0.3420806771711853,0.4366003445826389,0.524412735311781,0.659745615961892,0.001732921655063379,0
3,z,0.5848775133211821,0.03490787682174748,0.5160311698428313,0.5609517895631213,0.5855035556594894,0.6091009968843611,0.6520062752318696,0.0006004462297495815,0
4,a,3.9970749028377877,0.21171490099916654,3.599150432292031,3.8499369220618043,3.9896646706070684,4.13875299392039,4.430880421496209,0.002444601316602828,5
5,v,0.22510371063215806,0.07120459621064561,0.08673154465119018,0.17681563281004106,0.22426114219502968,0.27325267214624355,0.366802694305161,0.001018645025198097,5
6,t,0.253848348008613,0.06746847251275113,0.11479018591995958,0.20767072238418488,0.25748908197594916,0.30173374970541667,0.3757428535672938,0.0010879167740938055,5
7,z,0.6007323451985367,0.03788222313274351,0.5242810928228355,0.5756825389061762,0.6003432056398931,0.627376838024767,0.6731458566285603,0.000650296058731119,5
8,a,3.288948244652844,0.17722006946484484,2.9592314033161684,3.1665407830229366,3.282141271891734,3.404728614961054,3.652909662965724,0.0022623664039027455,10
9,v,0.3640851555587488,0.08760784701885453,0.19638154861843365,0.3046720111788483,0.36398269695252855,0.4237952456337982,0.5356208461378025,0.0013496344690335626,10
10,t,0.20981782612378747,0.056742145234708656,0.0946101411016338,0.1711475753591656,0.21145747503407145,0.2508107259296519,0.3139257886204616,0.0008720230306747468,10
11,z,0.5808217150763526,0.038474670508765525,0.504314527408308,0.5553747167896307,0.5819380277842139,0.6068241077037372,0.6542026956385565,0.000677864159568895,10
12,a,2.7133906320669916,0.13154510815939607,2.466852424938871,2.6232404734853048,2.709336021109873,2.8003615529081824,2.979640242723102,0.0017998836156249986,15
13,v,0.25457161261116423,0.09398298097875853,0.07495305007132623,0.18991024688867042,0.25441304208948334,0.3175522585143087,0.4418949761472373,0.0012392863211638516,15
14,t,0.15764797157120677,0.03741015559725955,0.08096584520711075,0.13242562526841406,0.15957485842532892,0.18493044670109332,0.22373711498005483,0.0004938086553148773,15
15,z,0.5724749476084281,0.032945994663031865,0.5054821081610122,0.5510501866544595,0.5731279103792353,0.5952157231714872,0.6360761870609847,0.00047979522599208484,15
16,a,2.4892615977446035,0.1440248246680782,2.21996888212985,2.3907390150958396,2.483645433163041,2.5819663532482537,2.786525550028173,0.0022179610724258002,20
17,v,0.22438779291790473,0.12311031830615655,-0.014609774640248707,0.141975249886975,0.2236305129621715,0.3058602070734241,0.47010580524643103,0.0022693100656609247,20
18,t,0.3038792825829455,0.026225572083719118,0.24303478711503523,0.2883829754787107,0.30787511947494817,0.32296325101752876,0.3443332443435229,0.0005103171540075166,20
19,z,0.6975224766380698,0.0360926281475227,0.621699309879672,0.6739348054273221,0.6994459565884158,0.7231669590202439,0.7626828841393092,0.0008151704072558313,20
