round player action_player opponent action_opponent payoff time_php time_js who_played
1 usuario4 D ['usuario9'] D 1 4470.3001976 4453 user
1 usuario9 D ['usuario4'] D 1 9765.59996605 9738 user
1 usuario2 D ['usuario14'] C 4 13152.0998478 13120 user
1 usuario14 C ['usuario2'] D 0 3761.60001755 3737 user
1 usuario7 C ['usuario13'] D 0 5391.80016518 5368 user
1 usuario13 D ['usuario7'] C 4 5422.30010033 5404 user
1 usuario5 D ['usuario8'] D 1 8628.09991837 8598 user
1 usuario8 D ['usuario5'] D 1 4150.7999897 4127 user
1 usuario10 D ['usuario17'] C 4 3563.8999939 3545 user
1 usuario17 C ['usuario10'] D 0 7088.2999897 7070 user
1 usuario18 C ['usuario12'] C 3 3417.79994965 3394 user
1 usuario12 C ['usuario18'] C 3 4311.19990349 4292 user
1 usuario11 D ['usuario3'] C 4 7154.70004082 7136 user
1 usuario3 C ['usuario11'] D 0 3426.30004883 3400 user
1 usuario16 C ['usuario6'] D 0 12554.1000366 12498 user
1 usuario6 D ['usuario16'] C 4 10483.700037 10457 user
1 usuario1 D ['usuario15'] C 4 7316.90001488 7289 user
1 usuario15 C ['usuario1'] D 0 5321.20013237 5265 user
2 usuario4 C ['usuario9'] C 3 4360.1000309 4340 user
2 usuario9 C ['usuario4'] C 3 5101.50003433 5074 user
2 usuario2 C ['usuario14'] C 3 8519.00005341 8494 user
2 usuario14 C ['usuario2'] C 3 3467.80014038 3447 user
2 usuario7 D ['usuario13'] D 1 3770.4000473 3747 user
2 usuario13 D ['usuario7'] D 1 4518.80002022 4494 user
2 usuario5 D ['usuario8'] D 1 6234.40003395 6205 user
2 usuario8 D ['usuario5'] D 1 8167.50001907 8148 user
2 usuario10 D ['usuario17'] D 1 2427.00004578 2409 user
2 usuario17 D ['usuario10'] D 1 4454.60009575 4437 user
2 usuario18 C ['usuario12'] C 3 3819.49996948 3800 user
2 usuario12 C ['usuario18'] C 3 2414.40010071 2399 user
2 usuario11 D ['usuario3'] C 4 2942.19994545 2918 user
2 usuario3 C ['usuario11'] D 0 5476.99999809 5448 user
2 usuario16 D ['usuario6'] D 1 11547.0001698 11520 user
2 usuario6 D ['usuario16'] D 1 5944.09990311 5925 user
2 usuario1 D ['usuario15'] D 1 18303.9999008 18270 user
2 usuario15 D ['usuario1'] D 1 2454.90002632 2428 user
3 usuario4 C ['usuario9'] C 3 4141.70002937 4123 user
3 usuario9 C ['usuario4'] C 3 6222.59998322 6200 user
3 usuario2 C ['usuario14'] C 3 9607.90014267 9565 user
3 usuario14 C ['usuario2'] C 3 1947.49999046 1929 user
3 usuario7 D ['usuario13'] D 1 1585.29996872 1569 user
3 usuario13 D ['usuario7'] D 1 4140.79999924 4116 user
3 usuario5 C ['usuario8'] D 0 20786.5002155 20761 user
3 usuario8 D ['usuario5'] C 4 5894.29998398 5864 user
3 usuario10 D ['usuario17'] C 4 1326.29990578 1313 user
3 usuario17 C ['usuario10'] D 0 6523.40006828 6505 user
3 usuario18 C ['usuario12'] C 3 2380.19990921 2364 user
3 usuario12 C ['usuario18'] C 3 3514.8999691 3492 user
3 usuario11 C ['usuario3'] D 0 1973.29998016 1948 user
3 usuario3 D ['usuario11'] C 4 1680.80019951 1663 user
3 usuario16 D ['usuario6'] D 1 8198.79984856 8177 user
3 usuario6 D ['usuario16'] D 1 7534.60001945 7506 user
3 usuario1 D ['usuario15'] D 1 9541.10002518 9515 user
3 usuario15 D ['usuario1'] D 1 3042.40012169 3022 user
4 usuario4 C ['usuario9'] D 0 2257.80010223 2233 user
4 usuario9 D ['usuario4'] C 4 4078.799963 4064 user
