,parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err,round
0,a,5.036569894562289,0.23018072647564308,4.601981407755474,4.8781169311230235,5.029894195939743,5.188869698781943,5.504556224669404,0.002810878765373579,0
1,v,0.05832080585101324,0.0513910597264617,-0.04183777375179035,0.02360336163417634,0.05845210684112434,0.09268388382686488,0.1593625044897955,0.0007278174559535562,0
2,t,0.43133682345160834,0.1285037678399774,0.17535983519692944,0.34012130875115876,0.4359702330587086,0.5230735610673904,0.6675437232665233,0.0017556117961023553,0
3,z,0.5850578255437979,0.035560326446343854,0.5143127120471346,0.5611786155335715,0.585704563780683,0.610042552064823,0.6526098589712401,0.0005334614867111444,0
4,a,4.8986096556886185,0.20047876007213025,4.522440457225469,4.760963806287676,4.893051507862074,5.030859353678942,5.310662904385357,0.0021908562804701438,5
5,v,0.06396552634740404,0.047709844451474304,-0.02884587928797211,0.03141612403221514,0.06405721918964541,0.096325829407162,0.15618272182393772,0.0006143024509853753,5
6,t,0.25973378782449696,0.07688642816003859,0.10614101567595455,0.20613627951812463,0.2612077636630627,0.31512429818645793,0.4053790426514112,0.0009723649229563508,5
7,z,0.5918791409238389,0.0320441990866708,0.5284291158395296,0.5702700046174756,0.5927207930388992,0.6137190695521603,0.6526083008977479,0.0004318767269894065,5
8,a,4.638738524106723,0.19873197790472374,4.2698620087287065,4.500906331500663,4.629303486659698,4.771487110434876,5.043390709398678,0.0021884593896638023,10
9,v,0.05875313081047451,0.05247592733106973,-0.04557198381405869,0.02359370703893847,0.05898647371641763,0.09435491276635327,0.16103182540415487,0.000754099250997409,10
10,t,0.27724092203852185,0.07611975293118546,0.12251218062260569,0.22462814533092157,0.28068889008569226,0.332082598437379,0.4155192906893209,0.0009456008290361547,10
11,z,0.6144132343195792,0.03233858739831359,0.5505639346792682,0.5927594317791215,0.6150776853643372,0.6363536974501565,0.6761896065425015,0.0005063818628230587,10
12,a,4.424822650901743,0.1937200613167167,4.068152877625994,4.2896926301513645,4.417722021546436,4.551651789811988,4.817058118985598,0.0022778773709270306,15
13,v,0.06954723946640891,0.05600222286758618,-0.0420358512303329,0.032351853514450135,0.07021140930621039,0.1079260264479518,0.1768347625644105,0.000793017612826811,15
14,t,0.3047198321316711,0.07316662756759401,0.15512865122748626,0.25504086073895105,0.3093412078234,0.35735503120495965,0.4360081504162766,0.0010046783861195805,15
15,z,0.6154632806643477,0.03303889016604786,0.5489906468646204,0.5933194154360387,0.6165258104079095,0.638015367678168,0.6793482735906498,0.00043633363869651653,15
16,a,4.198583424831878,0.1894313218611584,3.8462139236161073,4.069569445069913,4.1907462099569806,4.32216083812299,4.5890426505739725,0.002258995243223884,20
17,v,0.1359125335418863,0.059314504078583206,0.02092067269555639,0.09581498674529182,0.1362062451263537,0.17602564219483716,0.2538027725884555,0.0009322568252166233,20
18,t,0.26288670017046445,0.06496972429745858,0.12767089222358602,0.22003622949682516,0.26719562260740226,0.30961557161637077,0.3778536175664817,0.0009308637755855176,20
19,z,0.6079731751063014,0.033590640848263055,0.5412110572578005,0.5854757827952565,0.6084094428484264,0.6312261650421824,0.6727653093731036,0.000582704206406867,20
20,a,4.149237570257109,0.198033504256346,3.7823947059824095,4.011407649749768,4.1419645423481075,4.2817056056259055,4.557097628985299,0.0028024602117279404,25
21,v,0.17693656508192282,0.0631492324615375,0.053590865873015536,0.1342588261589211,0.17688166862426818,0.21949096105934607,0.2990116661113662,0.0010336937720595931,25
22,t,0.264869263571724,0.06637324685240674,0.12708539645466516,0.21995291194558794,0.26830715802537847,0.3134108265896396,0.3839518370791485,0.0010173358178034904,25
23,z,0.6157460692984933,0.03458543337874566,0.5456216427059585,0.5924418631490176,0.6162626787909576,0.6395205913419012,0.6813674361038821,0.000653380055595301,25
24,a,4.039178182942357,0.1966964234905062,3.6717860647177476,3.9024760957226166,4.032876650808163,4.167806492282953,4.4446252790282506,0.0025242888058932193,30
25,v,0.23677463576834332,0.06546586572644303,0.10456988467137594,0.1928882084065191,0.2370559026644982,0.28122157640354334,0.3649430351205699,0.000978145577284375,30
