,userid,rt,response,round,context,strategy,actions,prev
46,64,-8.53,0,1,,MCC,---0,--
47,64,20.7,1,2,6.0,MCC,0-6-1,0-6
48,64,-9.51,0,3,1.0,MCC,1-1-0,1-1
49,64,7.76,1,4,4.0,MCC,0-4-1,0-4
50,64,-5.53,0,5,4.0,MCC,1-4-0,1-4
51,64,17.15,1,6,1.0,MCC,0-1-1,0-1
52,64,8.4,1,7,3.0,MCC,1-3-1,1-3
53,64,6.39,1,8,1.0,MCC,1-1-1,1-1
54,64,-6.52,0,9,5.0,MCC,1-5-0,1-5
55,64,5.56,1,10,3.0,MCC,0-3-1,0-3
56,64,-7.05,0,11,1.0,MCC,1-1-0,1-1
57,64,-2.69,0,12,3.0,MCC,0-3-0,0-3
58,64,-3.76,0,13,3.0,MCC,0-3-0,0-3
59,64,3.72,1,14,1.0,MCC,0-1-1,0-1
60,64,-6.08,0,15,2.0,MCC,1-2-0,1-2
61,64,-4.96,0,16,4.0,MCC,0-4-0,0-4
62,64,-3.39,0,17,1.0,MCC,0-1-0,0-1
63,64,2.57,1,18,1.0,MCC,0-1-1,0-1
64,64,6.32,1,19,4.0,MCC,1-4-1,1-4
65,64,-2.98,0,20,4.0,MCC,1-4-0,1-4
66,64,-4.83,0,21,2.0,MCC,0-2-0,0-2
67,64,3.79,1,22,2.0,MCC,0-2-1,0-2
68,64,-4.5,0,23,1.0,MCC,1-1-0,1-1
69,64,-2.6,0,24,1.0,MCC,0-1-0,0-1
70,64,2.83,1,25,2.0,MCC,0-2-1,0-2
71,64,-5.03,0,26,3.0,MCC,1-3-0,1-3
72,64,-2.59,0,27,1.0,MCC,0-1-0,0-1
73,64,3.68,1,28,1.0,MCC,0-1-1,0-1
74,64,-6.39,0,29,3.0,MCC,1-3-0,1-3
75,64,3.26,1,30,3.0,MCC,0-3-1,0-3
76,64,-5.03,0,31,2.0,MCC,1-2-0,1-2
77,64,-5.15,0,32,1.0,MCC,0-1-0,0-1
78,64,4.93,1,33,3.0,MCC,0-3-1,0-3
79,64,-11.94,0,34,0.0,MCC,1-0-0,1-0
80,64,-4.4,0,35,3.0,MCC,0-3-0,0-3
81,64,-5.29,0,36,1.0,MCC,0-1-0,0-1
82,64,-2.33,0,37,1.0,MCC,0-1-0,0-1
83,64,-8.32,0,38,2.0,MCC,0-2-0,0-2
84,64,-3.28,0,39,1.0,MCC,0-1-0,0-1
85,64,4.07,1,40,1.0,MCC,0-1-1,0-1
