,parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err,round
0,a,4.806609814361109,0.8343768875561818,3.4250374758796833,4.218084210700329,4.704196684178811,5.292505818342498,6.658370192647376,0.014458251041157536,2
1,v,-0.34889692949850665,0.21032836116215856,-0.7678372009934675,-0.48983403653260127,-0.34644044343547936,-0.20728431011586956,0.05426300161547781,0.0033838990557985018,2
2,t,0.45539412570635895,0.22636886070023857,0.1288347111222028,0.2917230920489957,0.4154236608019388,0.5814315704419222,0.9985436876035072,0.003571721473009172,2
3,z,0.5449304426608556,0.1019529650813186,0.34306646765518395,0.47426177361784927,0.5478132072094607,0.6160787775783961,0.7371353558079883,0.0014664469016742111,2
4,a,4.395893789358052,0.7786811419783599,3.0995308422040724,3.840339572132196,4.31784490809012,4.866602886908872,6.109219731156773,0.010686257753210452,5
5,v,-0.20764766637658957,0.23338607097954267,-0.6822764454425958,-0.36492560590323575,-0.20379189894394628,-0.04819376750993243,0.24578565267251107,0.0037775397536018883,5
6,t,0.4159116707416799,0.2038779436613612,0.11329053748038842,0.26662198440892276,0.383177757949705,0.5300515232584062,0.9048865613562047,0.0035908249229541734,5
7,z,0.49058287708621395,0.10664098818544954,0.28417478217069936,0.4171530112437251,0.4891754008168168,0.5623977535427718,0.703987864244298,0.001578976500676359,5
8,a,2.416506691289203,0.7233577356392109,1.3574715096593064,1.8940501619601318,2.299552010347154,2.7956249606789583,4.183358814922699,0.013153482133743141,20
9,v,-0.5476737362096077,0.7655421619506297,-2.084894334674301,-1.046675755097242,-0.5332404673207316,-0.03232847538223527,0.9465852596368953,0.012568183643817616,20
10,t,0.47836752269213584,0.24278289196206387,0.12483788478120905,0.3041846924394878,0.4362656680685612,0.6128580035490515,1.054931152556343,0.0045552788665273744,20
11,z,0.5144643909819189,0.11341057403018814,0.28908073726920186,0.43482940039431667,0.5156040789717595,0.5960898696449207,0.7295894965851137,0.0018746135384045712,20
12,a,4.263318760220743,0.8032276918312448,2.9766386432997507,3.690662415068008,4.170870660130051,4.734024994558668,6.1095632602293986,0.012617855088300298,9
13,v,0.26783820537278397,0.25271605199419656,-0.22087456416010398,0.09166211988649131,0.26687513083407477,0.43605123015714486,0.765328711722121,0.0037798218384573834,9
14,t,0.4280174205701436,0.21597208123706668,0.118371799931621,0.27398334709351446,0.3921222728822825,0.5413551355780958,0.9634133913760654,0.004121353944170086,9
15,z,0.47510128501338483,0.10436766270582643,0.27824162484250714,0.40122859685448764,0.47491080002699715,0.5462086376684122,0.6809758871357293,0.0015325373372421691,9
16,a,4.347169143055932,0.8386306334905191,3.0311203657995542,3.7412901579607687,4.234536490287142,4.834629574611423,6.275204819077479,0.013378745667095179,8
17,v,0.15017706102499942,0.25341361860129735,-0.33729186337150474,-0.020350427358588274,0.14870750701476704,0.3223915439950469,0.6462408071348569,0.0036551247796728927,8
18,t,0.4173196332942984,0.2171244761516676,0.10422587434578726,0.26154480059738805,0.37638551988808355,0.5370919413527402,0.938256813375989,0.004167551387771997,8
19,z,0.49266686146406147,0.1116752526797174,0.2772345242485246,0.41506770923534125,0.4902494111391809,0.5716880976923291,0.7076950835822797,0.001893009269459353,8
20,a,2.3994532122377055,0.7076998131617357,1.3522298889040316,1.881032430302157,2.2819843623836418,2.8020892732991163,4.084074006685025,0.01223771820089636,7
21,v,-0.538192791748115,0.7985168161248732,-2.1047048650068865,-1.0569416379336158,-0.5222200613886807,0.006992878926406654,0.9960923725684938,0.01305425034970551,7
22,t,0.4665120147099561,0.2363999924321152,0.13558452046536196,0.2994101789033267,0.4265129235009722,0.5960368787630541,1.039199161522054,0.004016057951317742,7
23,z,0.5059251639830895,0.11283374064403125,0.2897794994292941,0.42585335425493864,0.5053644679192731,0.5858025830344266,0.7240568448360724,0.001619724718402988,7
24,a,3.7360003181875374,0.7881733052241814,2.5075844324017993,3.1791827337958583,3.6274259319567603,4.193398244627005,5.6053368290203185,0.013339382407105369,3
25,v,-0.17855834024564768,0.33525306170641944,-0.8465705802694252,-0.3990238269248212,-0.17814516850591433,0.0527261402177418,0.4669222774373398,0.004890779094711513,3
26,t,0.4218424023522082,0.2148034560566434,0.11568499004166392,0.2635867248488497,0.38937342929128305,0.5414366133540148,0.940677213102684,0.0038507274573313967,3
27,z,0.5079549739074406,0.11281996204254796,0.29022263135371124,0.42932614104858496,0.5090279388714563,0.5874074489636075,0.7246267977992823,0.0018859690265178087,3
