,parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err,round
0,a,4.799020633060537,0.21981511139939916,4.388081683823291,4.643342237179158,4.789282978456027,4.945891916031048,5.2525595288215445,0.003733638492871697,2
1,v,-0.15449126050994177,0.052346065147442035,-0.2580028315809997,-0.18888186480364053,-0.15480227656070322,-0.11863870964715878,-0.05490354719752599,0.0009706232620837486,2
2,t,0.5514694123005023,0.13844074024501468,0.24943675657925105,0.46074451012731105,0.5631595352909786,0.6524712957941856,0.7917406886392461,0.002436492915436138,2
3,z,0.5441438126160721,0.034387784712158156,0.47660712659580207,0.5210448897551925,0.543306925133864,0.5678109183011231,0.611965277930035,0.0006923256265161911,2
4,a,4.794070618015295,0.23435635234434116,4.352037817441299,4.628168928703997,4.788119276656471,4.951603417814197,5.276814527092872,0.0045365644395891245,4
5,v,-0.20428177187243055,0.05473778819707013,-0.3124760736625738,-0.24060498159521848,-0.20370023739141735,-0.16812462689449376,-0.09599654647775913,0.0010810874192999733,4
6,t,0.5887678572814423,0.15358066412784357,0.2779061392013499,0.48142237106012925,0.5915603098829413,0.7009151387920327,0.8685518704851938,0.003479654411269537,4
7,z,0.4746177056260198,0.03618762360229542,0.4023776317627354,0.4502722013171186,0.4752255805507123,0.49983448125503704,0.543031120408413,0.000817665606948257,4
8,a,4.125709498299244,0.21065431710290522,3.728979196024293,3.9780630200609495,4.117705129702277,4.265662977662068,4.556792047343198,0.0044052194281599556,6
9,v,-0.14105615949810735,0.06212687799060396,-0.26338456954464173,-0.18356441889634112,-0.1403002090044091,-0.09971903289325129,-0.019313885171157397,0.001185781549105694,6
10,t,0.7942745877715076,0.1466785346534922,0.4718129766656897,0.7042145973087305,0.8094537016774438,0.900766045913523,1.0381521685186885,0.003347683768318925,6
11,z,0.503645508889227,0.03552797023012621,0.43654107528055297,0.47902483064009665,0.5031726761386895,0.5283886909430852,0.573625039906653,0.0007245082149288335,6
12,a,4.547996541051773,0.24479907988917407,4.084874975759589,4.379371807268766,4.540998994695128,4.708880394682346,5.043813300031024,0.005020103350754909,8
13,v,-0.29298381166317794,0.06367456349284772,-0.4160638811328587,-0.3356501181882926,-0.2936751443858457,-0.24974443745783884,-0.16741775478556037,0.0012903385762821728,8
14,t,0.6428912605091955,0.14672533287935946,0.33388591919614985,0.5443988172165977,0.6556566320038921,0.7499325134753203,0.8940922795027348,0.0028762801258052383,8
15,z,0.56474199156218,0.036568443624690805,0.49381629906874946,0.5401314777130858,0.5654191889599383,0.5891860860574086,0.6362748807010744,0.0006649374966577746,8
16,a,4.633165386090573,0.23550973451786764,4.205219493262347,4.473168362670912,4.622710279775632,4.789404767914654,5.115509100764341,0.0037171675284774783,9
17,v,-0.11078449458697112,0.060142944919409747,-0.22588486481451495,-0.15251989032198762,-0.10917164856800848,-0.0698854913108986,0.003944032427580096,0.0012180819402399126,9
