,parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err,round
0,a,6.128033300583193,0.24673194203268647,5.657028082924985,5.957404729209135,6.122663279863308,6.289545241591977,6.616248610930392,0.004367291111914892,2
1,v,-0.04939519414812641,0.03651718912728827,-0.12314225223757724,-0.07381531358879917,-0.04917134851349042,-0.024590988876856734,0.02307862154859816,0.0007720433069478258,2
2,t,0.9699101526422097,0.22700694352131595,0.48072832137762195,0.8266026327440624,0.9839773357082284,1.1343356070175254,1.3603378964747974,0.004199480506550247,2
3,z,0.5284479963639986,0.030828140593837733,0.4679573765259452,0.5074218981952072,0.5284715142956399,0.5493258868842928,0.5892453276837767,0.0006014013372433682,2
4,a,5.796477750546267,0.24725033429913215,5.33999986339261,5.628268496362378,5.786038885234541,5.955393389782425,6.305258023614648,0.005761846768407179,3
5,v,-0.06349705218614209,0.03570852731160047,-0.1347220339738241,-0.08827066340702677,-0.06354470446326466,-0.03953139702328379,0.005200589299899097,0.0007263287373567755,3
6,t,1.403160004146573,0.2541556505378114,0.8334435733088077,1.2408373716099566,1.4314763773788954,1.5906153201587858,1.829636424566728,0.006073655625301697,3
7,z,0.5108545526727319,0.02882845766077451,0.45243745934962515,0.4916144346802645,0.5117893946985177,0.5302682307695712,0.5666039075743811,0.0006293958784170546,3
8,a,5.938766904697993,0.23143484442353446,5.499948778045512,5.778175691671442,5.932522971476025,6.090933126022167,6.408456864640405,0.00525461301039836,5
9,v,-0.1479915110075673,0.032962656887118365,-0.21203288183272606,-0.1701187542221109,-0.14803581451222797,-0.12531480717450316,-0.0830551141955076,0.0007143700921893097,5
10,t,0.8739526391542138,0.2086560628502305,0.4444605206012659,0.7331892069025051,0.884185533603211,1.0230353575177462,1.2597193778675044,0.004704879391320098,5
11,z,0.5672720051116812,0.02590869448257847,0.5160036496199659,0.5498697036923293,0.5676760736845229,0.5845988139866061,0.6176815195420831,0.0005462636606343896,5
12,a,5.802624309886369,0.2084312525182476,5.393446681366144,5.6614502262605155,5.804997736932763,5.943137737958224,6.217333039236513,0.0037980934750409473,6
13,v,-0.11784340461582396,0.0326919898657121,-0.18171027886650332,-0.14004575896871904,-0.1174177133716866,-0.0960363546720471,-0.054756647565586736,0.0006185633913803037,6
14,t,0.5712900398033555,0.1680504200324914,0.23672690392608609,0.4554448001089144,0.5769024429737077,0.6893450830658943,0.8896436155983019,0.0031207448521173723,6
15,z,0.49728592447747794,0.026720256003221445,0.44497760801201436,0.479360885727008,0.49683884009050316,0.5159532887068905,0.5494750842235072,0.000532555496515778,6
16,a,5.388411696404755,0.2019098798497722,5.01091691314083,5.247522578285917,5.3806721403878335,5.523915166683268,5.805619472014846,0.003916890183937954,7
17,v,-0.1663531346649591,0.036988445297472854,-0.23638334328250737,-0.1923545598055085,-0.1669892117401719,-0.1404692193056306,-0.09176831733824682,0.000751038137587905,7
18,t,0.5764352825825068,0.1442408602107737,0.2857506052184786,0.4782916504290738,0.584193163343479,0.6826503806485904,0.8384467673800378,0.003082664489682418,7
19,z,0.5075350119042786,0.02706722994423628,0.4560279757609171,0.48838311597659056,0.5076606482459224,0.5260172199264751,0.5604305538760895,0.0005911308264836663,7
20,a,5.661549907988797,0.20453273666537977,5.28478404719241,5.520614282639426,5.653931301994238,5.792602351579309,6.102079228305741,0.0041179494295458365,8
21,v,-0.1833325411511172,0.03495357363014576,-0.25381168020180744,-0.20616272792267998,-0.18328038495732898,-0.15978649227471142,-0.1169925828930933,0.0007454833635579725,8
22,t,0.6730195095421311,0.14536532222072182,0.35573616385988144,0.58117689096786,0.6811004453072507,0.7764471846840475,0.9243413258249442,0.0028954976540978877,8
23,z,0.5971365010992584,0.026003154865955252,0.5437767502520767,0.5802251946541125,0.5977459415214361,0.6149151055441038,0.6462298034859959,0.0006384303623761395,8
24,a,5.491578074254634,0.21134596107097153,5.088370763024909,5.3481549205242995,5.4863120260750575,5.631984226701142,5.9189991985386,0.004467114696328323,9
25,v,-0.13436883915722067,0.035588723029128466,-0.20414123309910248,-0.15819309625333317,-0.134056907848626,-0.1104468791431473,-0.06595099419202546,0.0007697505150832124,9
26,t,0.8015220451215823,0.18699214671831157,0.4204970950696615,0.6792674074289067,0.8135059903331578,0.9321173934493993,1.1436010209811767,0.0040960843804281905,9
27,z,0.4948004196607523,0.027225799213890536,0.4421200883711979,0.47636287254176823,0.4943944153306572,0.5130443877651709,0.5500796049434792,0.00062704730667151,9
28,a,5.418273614449552,0.19967030984234244,5.040438188686712,5.279603492449246,5.411401805472224,5.551274123604109,5.823015476860904,0.004030680309970976,10
29,v,-0.20035579679739599,0.03617195671076258,-0.2713330383776097,-0.2244571797725909,-0.20084028005560417,-0.1759559254329397,-0.1296451564417431,0.0008100418148083254,10
30,t,0.5996065241044751,0.14714469464533794,0.29856129467274806,0.49870375402549477,0.6049781788945928,0.7062798824888608,0.8668314842683456,0.0028834016079543855,10
31,z,0.5600554943660522,0.02639885721618788,0.509534020267611,0.5415470582087072,0.5604156389196587,0.5784215529216734,0.6105345962635503,0.0005559711535454786,10
32,a,5.452440237564324,0.2184740339673589,5.037830736335357,5.301212031944418,5.4491330494104595,5.5981325481288025,5.90513483361535,0.005167488363575076,11
33,v,-0.2325399403348265,0.03632099963150132,-0.3037993018806055,-0.256319607612852,-0.2319902172703145,-0.20789847403068817,-0.1614125048015136,0.000805569534005489,11
34,t,0.950574339021022,0.1826798575308296,0.5562114716507536,0.8323314621858693,0.9633454331182705,1.081571179813906,1.278295545157636,0.004303823696069428,11
35,z,0.5684723267602815,0.02577782610980633,0.5184342341138414,0.5518136294480261,0.5682215009045435,0.5853905826554163,0.6183515307839734,0.0005369363351470438,11
36,a,5.16572993035567,0.19322393746676966,4.804527725094377,5.0317643067723035,5.158095069412493,5.29087605819612,5.565883757890961,0.003814855755755753,12
37,v,-0.18325379378071296,0.03665292616454524,-0.2557439690075754,-0.2082642055208821,-0.1825837317115903,-0.1581761037777306,-0.11270696453464422,0.0006837732575645597,12
38,t,0.6400131221104466,0.13910296948303366,0.3459856001399154,0.5508811078232593,0.6496093729071234,0.739546444223345,0.8874759121003795,0.002593267790119349,12
39,z,0.5548180423185992,0.02537455861316615,0.5052961193730016,0.5377704665401633,0.5548249242992709,0.5714567906647786,0.6047047050492018,0.0005158399544751241,12
40,a,5.3867766412398845,0.18052752868047006,5.037654680016231,5.265853667306322,5.384605657789174,5.508227265610746,5.750164493372878,0.003068429306366765,13
41,v,-0.24164061288002558,0.03988125502087838,-0.3196175432242876,-0.2687952026233967,-0.24148074275819872,-0.21442582710557445,-0.16316120548502933,0.0007648726219188556,13
42,t,0.22865597328694587,0.0648749152441321,0.10105791456894189,0.18411521293635735,0.23084895034118594,0.27423600943139936,0.35000535579598246,0.0010509396243833925,13
43,z,0.5782628465910303,0.02731074788370063,0.5251146196164475,0.5601158504274869,0.5782754313662124,0.5969372374427415,0.6315006386108324,0.0005972561734515034,13
44,a,5.2995764457432815,0.19259018378229417,4.927348643042749,5.172392187638287,5.295760102946206,5.425902543223716,5.681528477503221,0.004015472964010741,14
45,v,-0.2136170592080354,0.037977911346120954,-0.2877587099511442,-0.23903104474887943,-0.21399872434768052,-0.18856239268046976,-0.13793350090967899,0.0007887667922800237,14
46,t,0.43950244003201455,0.11784608141559084,0.20475513198925882,0.3570843304172147,0.4423426489314539,0.5231771037019242,0.6584013825652819,0.0023369397953743815,14
47,z,0.522968292461692,0.02652284969268016,0.47143575193934284,0.5052292514641277,0.5225201595455599,0.5408719588840599,0.5756107103700996,0.0005422146576521223,14
48,a,5.51256849245742,0.17909925095690246,5.168056855959502,5.394609368855153,5.510293696743359,5.629791410810605,5.868028130420628,0.002864420018415713,15
49,v,-0.19822406184044103,0.036905750594605484,-0.27105997827462425,-0.22317311455411612,-0.1980621588980256,-0.1741797486450512,-0.1239238456923219,0.0007929586179498618,15
50,t,0.23765304581147792,0.06959731650990608,0.09781311206267251,0.18915439463271652,0.24046591411949655,0.2872095101923527,0.36730722343034755,0.0011037857084356933,15
51,z,0.5701437913325992,0.026773386731016327,0.5174721072358086,0.5524431350355543,0.5701097588690339,0.5880292832438605,0.621860508437326,0.0005972625941117593,15
52,a,4.887210778112029,0.18096014461792886,4.560475594375479,4.7591081352322835,4.880247098490183,5.006942323251565,5.265161877518987,0.0037637832408331682,16
53,v,-0.1766598251408084,0.039625087903977826,-0.25337354581649746,-0.20356111056301118,-0.17605885400827284,-0.15045022871518593,-0.09587920956889695,0.0008282650641241727,16
54,t,0.6971934277950367,0.12472824560235768,0.42701016782805973,0.6156246107001012,0.7071748490295681,0.7858342923206934,0.9146089011138478,0.002740740948360329,16
55,z,0.5304203120097472,0.025792030152639686,0.4792071305760157,0.5125873286843351,0.530747467914763,0.5479481037502134,0.5814522972858842,0.0005289074326726068,16
56,a,4.889697528893233,0.1937006601139557,4.531472461213043,4.754010225323057,4.884163887137689,5.0132118166149375,5.296631124300606,0.00479620072349963,17
57,v,-0.23607842086595027,0.039769161324096525,-0.31471203344831844,-0.2629693770128646,-0.23559593539117743,-0.20875849716624614,-0.15892005857401548,0.0008716959630692687,17
58,t,0.8892649518701895,0.15181424744947367,0.5652713640502512,0.7958619555201716,0.9017235977187514,0.9949150964444391,1.1526394313179775,0.003687227281455132,17
59,z,0.5515127413659519,0.02558389704971177,0.5012157843867321,0.5342421072800264,0.5510574436832634,0.5693574997242565,0.6016764563620655,0.000516035861878516,17
60,a,5.183069347045941,0.18895372772786284,4.833604813820157,5.053720327212756,5.177010039228243,5.309679666753877,5.573505672522962,0.003907611143275527,18
