,userid,a,v,t,z,a_st0,v_st0,t_st0,z_st0,a0,v0,t0,z0,a_st10,v_st10,t_st10,z_st10,a10,v10,t10,z10,a_st20,v_st20,t_st20,z_st20,a20,v20,t20,z20,a_st30,v_st30,t_st30,z_st30,a30,v30,t30,z30,a_st40,v_st40,t_st40,z_st40,a40,v40,t40,z40,a_st50,v_st50,t_st50,z_st50,a50,v50,t50,z50,a_st60,v_st60,t_st60,z_st60,a60,v60,t60,z60,s1
0,87,5.443357910288639,-0.6177096125241521,0.4575771270943171,0.6601849702829742,0.63717179804457,0.18257773209907466,0.2122904074087658,0.08316172017550069,4.63982100829181,-0.40556253215441296,0.4588151325580872,0.6072157824009944,0.9399004029580211,0.21057218620310467,0.2773046438188931,0.08786928110645181,5.4617653731626765,-0.633949467681991,0.55059868045115,0.605612473843452,0.6262428760730376,0.15396351398873928,0.23449766863661148,0.08414244952477316,4.848737139261752,-0.31665666921258906,0.482441932081721,0.5159995940661685,0.8912933833236629,0.20179584101374304,0.2683087644309172,0.08336388334829861,5.25411126713442,-0.6310083378596236,0.5399265257755286,0.596230022005213,0.6070053261697066,0.19224284079152262,0.22391672604775403,0.08621175977409998,4.200334384835512,-0.41163050373149523,0.48828882973427806,0.522361817491906,0.6603086124119909,0.20764584817611334,0.23884863038079548,0.08178886232636362,4.467845634833963,-0.5333157661984853,0.5172951955640507,0.6209210554303539,0,0,0,0,0,0,0,0,-49
59,91,4.630920387460906,0.04113775486075437,0.7613784968680919,0.445463448751135,1.0195531304273573,0.15356005165730968,0.23695798271071078,0.0838575333863434,6.447598732308793,-0.4619021296089207,0.4811264444829683,0.6120508847402889,0.7603318935672806,0.22569920350345973,0.28257543934239393,0.08899112602186648,4.65594077654072,-0.686969115949039,0.5621464740145836,0.5667688790014518,0.695838428873796,0.14117804770150666,0.24686478519441704,0.08664481107889653,5.271101417007546,0.32508284471394006,0.49598127458805485,0.4544979543205136,0.6052256638443486,0.14358776046402083,0.25604432042498987,0.08675986446031576,4.81422381106857,0.13281250700658018,0.506075216567835,0.4870075136072788,0.4799354684582152,0.2219769897198597,0.2466319412911012,0.08999796038061413,3.450039398231402,0.028729583893202328,0.5862044627001746,0.42982245026254257,0.9045995225953581,0.2585354210626477,0.3019829982549637,0.08849850254383973,4.95533204203652,0.8138130309984112,0.6026836923551349,0.3936545086811345,0,0,0,0,0,0,0,0,-1
118,165,4.798033718106103,-1.0968784853104865,0.6013705776070095,0.5378703267508141,0.8395789281625605,0.3158093825134724,0.32661729587697674,0.08901466931373656,4.205305428158706,-0.9932176311696588,0.6897628685275614,0.5843367485890181,0.6720280085444915,0.3040840814921949,0.20205136775301444,0.09375015635091613,3.601252304308438,-0.8807304362468223,0.5154430420839363,0.5309074702292499,0.6916087591871506,0.26215358882044976,0.2364728631176099,0.09040570063979889,4.046619616191154,-0.758842957113793,0.540340939436391,0.5416561534246644,0.8793209660062116,0.4234270234127567,0.2965268946262108,0.09682407569576779,3.7347549565072176,-1.3340876834155069,0.7529684129662259,0.5839404958541722,0.7883672940449713,0.3383339946257706,0.2577627726910546,0.09305003146830519,3.8038526286560197,-1.0698426470639752,0.6333186750770593,0.5759144901116604,0.6672771715638656,0.245488019041359,0.24858788615303318,0.09263435337747361,3.917985182954788,-0.7056623541689372,0.5383064355046389,0.5132571165829408,0,0,0,0,0,0,0,0,-60
178,101,4.244852469975032,-0.3135004671818278,1.7409749767435005,0.6057049860655808,0.6050820945498108,0.16310752481461838,0.2753057128739163,0.0873520279126327,4.5712809112815895,-0.16730056136615293,0.5347638063230037,0.5417066354947893,0.5916646219317927,0.15973388927809218,0.26526216402575525,0.08748453442629578,4.614639751260072,-0.16187151858850313,0.5183367391887479,0.538956532856426,0.5759270556290075,0.1709518416829827,0.27860581652081373,0.08715553635663999,4.320612568617892,-0.15912845211067037,0.5441515439770541,0.5204446460553769,0.5492898535226612,0.1608610202557056,0.26849922323873054,0.08664184362235526,4.383722715893423,-0.06695643163342226,0.5360473046243551,0.5349511816772122,0.5385827792461163,0.21632501504401722,0.3418799575227053,0.08772823807272026,3.7494755819748176,-0.25304095917954117,0.6607155720068041,0.5632366754977202,0.5956988457605211,0.15994681631185434,0.2573291227177981,0.08630252808927533,4.619142978231082,-0.2424991773483201,0.5145304811990834,0.528662052921989,0,0,0,0,0,0,0,0,-22
238,63,5.00230631613163,-0.867168669215561,0.8153987593930261,0.5960353476494551,0.9418212659827456,0.28221484702325245,0.33351981783909523,0.08875855598204799,4.825616281703089,-0.8808631134699355,0.645155762511732,0.6097130683743385,0.9885179379397573,0.3287978124174905,0.3533312821639731,0.08745945596944989,4.6758860193294325,-1.0443968666191858,0.702448812941181,0.6177451441326943,0.6555325659925356,0.20481411575680367,0.30574753011185196,0.09021018099999215,4.432917164392076,-0.48286539194002026,0.5919087588475906,0.5716844822599787,0.8798398571108309,0.2334633452888393,0.289722708848296,0.08876662694713845,5.001596971050308,-0.7217625641030577,0.5682685063921405,0.5990647288848259,0.5677227244378851,0.26951601265531666,0.3375291542381307,0.09423730780629004,3.349504345293561,-0.6175666998223499,0.7208143264154345,0.5283126497445539,0.7451342068195577,0.21649647325949306,0.23889023380833208,0.08974149020572052,4.53133002443701,-0.6087402831663518,0.5046628805688393,0.5568214057205699,0,0,0,0,0,0,0,0,-55
297,160,4.2426477437763985,-0.3423356043193488,1.564314674957331,0.590113173894239,0.6522706037734203,0.18341020830655713,0.2715019596514229,0.08660548165339169,4.618068993351049,-0.43339864622573315,0.5428708784469837,0.5631976658859458,0.5790780964705279,0.2226160494625796,0.3111649285201114,0.08839046732756514,3.8122990644942107,-0.3378360753204059,0.6071086538819646,0.564783504471841,0.6758796976976131,0.19909578809227899,0.279215197753709,0.08596617565453976,4.591571619812194,-0.488071577311956,0.5586710609684898,0.5950633357537917,0.5309098666594844,0.18698086070135223,0.3090303465122294,0.08777133465513501,3.9421449590212654,-0.05646289620667041,0.5938443168081982,0.5123002660529096,0.6077888669718834,0.16907114431272624,0.2683311463557578,0.08569363958562036,4.67457381552001,-0.28056275799832703,0.5337029517161463,0.559232152492437,0.5910424999421223,0.13317909179105883,0.2392453180648385,0.08608263442756355,5.0339361388055535,-0.04699463559141195,0.47992449126736914,0.5185828790006077,0,0,0,0,0,0,0,0,-27
356,110,3.3247891313093856,-0.6682975718852625,1.1913802003798788,0.5173419539942599,0.4710334392537169,0.22954984423117225,0.2909486998743574,0.08728032490539187,3.329290903434912,-0.048335102818458583,0.6320370612138712,0.49222488164491796,0.8332239264826239,0.2678634484197033,0.29689546475679773,0.08886784031320821,4.4689350825259275,-0.8516159746525471,0.6122305712000798,0.5888822246217515,1.0227465955057993,0.41294616912731924,0.4295179725679139,0.09431945506449722,4.09748194953588,-1.3216660011696673,0.9038781061475042,0.6037486545367169,0.7581841969306784,0.30245989552623215,0.25952695378647106,0.09092368934047593,3.8419984094677693,-0.9487232527588175,0.6112937574557822,0.5577302341411542,0.5166288168065875,0.25305126353571744,0.34552620045585586,0.09253932317968858,3.3049913901211836,-0.37418999082184884,0.7069079875136967,0.515219003386804,0.6495930927355762,0.34025634928390963,0.39027167258735745,0.095224212563095,3.032022000455956,-0.8104507264304696,0.898354255460057,0.5568146471187834,0,0,0,0,0,0,0,0,-46
416,3,4.963533292676097,-0.3638702957449732,0.24498665175930986,0.4262049267696319,0.9046880166348331,0.1633212347837924,0.25254193052965096,0.08636926452732648,5.847110026163784,-0.49183694726753513,0.500021988812936,0.5917392452996308,0.5542307846243762,0.13762645204805746,0.23968277892235287,0.08226618161435742,4.782714143004997,-0.03383685267966971,0.48542383097255104,0.5015589796194982,0.5630067616860568,0.24196958216652148,0.14579710995160913,0.08866267212564519,3.5617887214886728,-0.6127931351196505,0.36900374817118614,0.4618814777346872,0.752912418518333,0.2574121571521956,0.33554856823627816,0.0941434283621928,4.204860704118456,-0.7741946762551044,0.6342167183820254,0.5524992542064495,0.544652962038481,0.21394135710219048,0.22868840379676345,0.08789293895660784,3.83954419726202,-0.45063685721644653,0.5049690462944638,0.5207891682162422,0.6250860060124943,0.19872148897109648,0.11788610170702388,0.08590072567923693,4.111838174022355,-0.4837304541659419,0.3026102699466499,0.45222255231334874,0,0,0,0,0,0,0,0,-50
476,33,3.152750859651576,-1.0638324833214778,1.221266189682595,0.5373596428176431,0.5314721822282759,0.21938964194716287,0.2874133629177954,0.0889241038655788,3.7696674089874,-0.3580639055575366,0.6006832860129223,0.5494112873565348,0.6723310030372284,0.40281780383913485,0.409285357711272,0.08974893823248083,2.894741060356255,-0.9899321370852056,1.077159788995354,0.5910297906734511,0.8131313262530342,0.36523787869451446,0.27580960988000564,0.09344774695442842,3.6926796631827807,-1.1687071443366785,0.6841808099063706,0.5726956960359078,1.0253668845622461,0.6094730984377931,0.37000231127029803,0.10562508739413538,3.1243903329966245,-1.9315033933751806,1.3200093360993146,0.5702437815172258,0.9359025773574916,0.44573883345268656,0.3656537657013423,0.09348283335077624,3.7478311249001415,-1.4583341005501678,0.942601329640888,0.592994636955329,0.9106438128869779,0.38452468808505313,0.29829740418166617,0.09542388650499312,3.796619770262132,-1.2376371772406873,0.725397532910999,0.5821636727354135,0,0,0,0,0,0,0,0,-54
536,59,3.616279367936137,0.05462517611213583,2.068059749409603,0.47923085954193256,0.5559075476030504,0.18165084630471467,0.2734933957900224,0.09080733454091867,4.148162171865449,0.015946233504889756,0.538228205230532,0.49085300389503117,0.5448104278037779,0.16663628095602498,0.2791553864019859,0.0868813692753189,4.236181269606573,0.04256481123051949,0.5508361593285145,0.5120308621998494,0.5281516364329341,0.1812046538533899,0.28949702773909936,0.08794514425000573,4.024485254359648,0.0720402763764878,0.5664422558457697,0.48751073261197375,0.5444488820794191,0.15843436195732571,0.2642771791162594,0.0876757725512526,4.347091775579114,0.06381970059975448,0.5325130549085547,0.4869008778500656,0.5288658762048793,0.17949574608809085,0.28903194490668754,0.0872812733152178,4.080719388163394,-0.06444854408000068,0.5606061275274408,0.5162312537795447,0.5611411289428149,0.1884182942552961,0.31425741733477314,0.08950380480992215,4.059480702050588,0.22753746316000473,0.5890288413878292,0.4432509160872573,0,0,0,0,0,0,0,0,3
