round player action_player opponent action_opponent payoff time_php time_js who_played
1 usuario13 D ['usuario4', 'usuario2', 'usuario16', 'usuario6'] C 14 -28.5999774933 18220 user
1 usuario2 D ['usuario9', 'usuario15', 'usuario12', 'usuario13'] D 9 -4205.69992065 14974 user
1 usuario15 D ['usuario1', 'usuario6', 'usuario14', 'usuario2'] D 14 -9306.60009384 9365 user
1 usuario6 C ['usuario8', 'usuario13', 'usuario5', 'usuario15'] D 0 -16488.3000851 2625 user
1 usuario16 C ['usuario13', 'usuario12', 'usuario11', 'usuario5'] D 0 -15473.6001492 2957 user
1 usuario12 D ['usuario2', 'usuario14', 'usuario3', 'usuario16'] C 14 -15455.2998543 3788 user
1 usuario14 C ['usuario15', 'usuario5', 'usuario7', 'usuario12'] D 0 -15477.1001339 3624 user
1 usuario5 D ['usuario6', 'usuario16', 'usuario10', 'usuario14'] C 24 -5189.70012665 13034 user
1 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] C 14 -13394.600153 5546 user
1 usuario3 D ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 9 -10286.0000134 8642 user
1 usuario7 D ['usuario14', 'usuario10', 'usuario1', 'usuario3'] D 14 -7244.4999218 11945 user
1 usuario10 C ['usuario5', 'usuario11', 'usuario8', 'usuario7'] D 0 -12436.9001389 6027 user
1 usuario4 D ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 9 -2108.5999012 16971 user
1 usuario9 C ['usuario3', 'usuario1', 'usuario2', 'usuario4'] D 0 -3128.9999485 15772 user
1 usuario1 D ['usuario7', 'usuario8', 'usuario15', 'usuario9'] C 9 -13607.3000431 5181 user
1 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] D 14 -32.900094986 19008 user
2 usuario13 D ['usuario4', 'usuario2', 'usuario16', 'usuario6'] D 9 -17542.8001881 13163 user
2 usuario2 C ['usuario9', 'usuario15', 'usuario12', 'usuario13'] D 5 -33.6999893188 29647 user
2 usuario15 D ['usuario1', 'usuario6', 'usuario14', 'usuario2'] C 14 -24719.9001312 5603 user
2 usuario6 D ['usuario8', 'usuario13', 'usuario5', 'usuario15'] D 4 -22703.2999992 7446 user
2 usuario16 D ['usuario13', 'usuario12', 'usuario11', 'usuario5'] D 4 -27784.6999168 2389 user
2 usuario12 D ['usuario2', 'usuario14', 'usuario3', 'usuario16'] D 9 -13415.9998894 16421 user
2 usuario14 D ['usuario15', 'usuario5', 'usuario7', 'usuario12'] D 4 -20695.8999634 8852 user
2 usuario5 D ['usuario6', 'usuario16', 'usuario10', 'usuario14'] D 4 -19560.6000423 11079 user
2 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] D 4 -23774.7001648 6562 user
2 usuario3 D ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 9 -13437.4001026 16535 user
2 usuario7 D ['usuario14', 'usuario10', 'usuario1', 'usuario3'] D 9 -13412.9998684 16507 user
2 usuario10 D ['usuario5', 'usuario11', 'usuario8', 'usuario7'] D 4 -23829.9000263 6703 user
2 usuario4 D ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 9 -11376.3999939 18900 user
2 usuario9 C ['usuario3', 'usuario1', 'usuario2', 'usuario4'] D 10 -14414.4999981 15524 user
2 usuario1 C ['usuario7', 'usuario8', 'usuario15', 'usuario9'] C 5 -19886.7001534 9642 user
2 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] C 9 -17510.60009 12335 user
3 usuario13 C ['usuario4', 'usuario2', 'usuario16', 'usuario6'] D 0 -16461.9998932 10572 user
3 usuario2 D ['usuario9', 'usuario15', 'usuario12', 'usuario13'] C 9 -14684.0000153 12808 user
3 usuario15 D ['usuario1', 'usuario6', 'usuario14', 'usuario2'] D 4 -14411.7999077 12329 user
3 usuario6 D ['usuario8', 'usuario13', 'usuario5', 'usuario15'] D 14 -21595.7999229 5489 user
3 usuario16 D ['usuario13', 'usuario12', 'usuario11', 'usuario5'] C 14 -25749.7999668 1820 user
3 usuario12 D ['usuario2', 'usuario14', 'usuario3', 'usuario16'] D 9 -8265.50006866 18937 user
3 usuario14 D ['usuario15', 'usuario5', 'usuario7', 'usuario12'] D 9 -17504.3001175 9430 user
3 usuario5 C ['usuario6', 'usuario16', 'usuario10', 'usuario14'] D 5 -18541.8999195 8388 user
3 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] C 14 -19576.800108 6926 user
3 usuario3 C ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 0 -13411.5998745 13281 user
3 usuario7 D ['usuario14', 'usuario10', 'usuario1', 'usuario3'] C 14 -11369.4999218 15349 user
3 usuario10 C ['usuario5', 'usuario11', 'usuario8', 'usuario7'] D 5 -4161.49997711 22419 user
3 usuario4 D ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 9 -38.5999679565 26510 user
3 usuario9 D ['usuario3', 'usuario1', 'usuario2', 'usuario4'] D 9 -3150.7999897 23816 user
3 usuario1 D ['usuario7', 'usuario8', 'usuario15', 'usuario9'] D 4 -18891.4999962 8607 user
3 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] D 9 -14431.9000244 12781 user
4 usuario13 D ['usuario4', 'usuario2', 'usuario16', 'usuario6'] D 14 -16512.3000145 8810 user
4 usuario2 C ['usuario9', 'usuario15', 'usuario12', 'usuario13'] D 5 -12507.2999001 13467 user
4 usuario15 D ['usuario1', 'usuario6', 'usuario14', 'usuario2'] C 14 -18539.4001007 7644 user
4 usuario6 D ['usuario8', 'usuario13', 'usuario5', 'usuario15'] D 14 -15465.0001526 9753 user
4 usuario16 D ['usuario13', 'usuario12', 'usuario11', 'usuario5'] C 9 -24698.10009 1183 user
4 usuario12 D ['usuario2', 'usuario14', 'usuario3', 'usuario16'] D 19 -11342.2999382 14712 user
4 usuario14 C ['usuario15', 'usuario5', 'usuario7', 'usuario12'] D 10 -14430.4997921 11121 user
4 usuario5 C ['usuario6', 'usuario16', 'usuario10', 'usuario14'] C 10 -15511.4998817 10112 user
4 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] C 19 -14448.7998486 11919 user
4 usuario3 C ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 10 -12383.9998245 13407 user
4 usuario7 C ['usuario14', 'usuario10', 'usuario1', 'usuario3'] C 15 -10322.0999241 15472 user
4 usuario10 C ['usuario5', 'usuario11', 'usuario8', 'usuario7'] C 15 -15463.2999897 11054 user
4 usuario4 C ['usuario11', 'usuario9', 'usuario13', 'usuario8'] C 10 -14427.2999763 11989 user
4 usuario9 C ['usuario3', 'usuario1', 'usuario2', 'usuario4'] C 15 -2108.50000381 23816 user
