round player action_player opponent action_opponent payoff time_php time_js who_played
1 usuario3 C ['usuario11', 'usuario2', 'usuario7', 'usuario4'] C 15 -8428.30014229 10249 user
1 usuario2 C ['usuario12', 'usuario5', 'usuario6', 'usuario3'] C 15 -15490.4000759 3461 user
1 usuario5 D ['usuario8', 'usuario4', 'usuario13', 'usuario2'] C 24 -8428.29990387 10627 user
1 usuario4 C ['usuario10', 'usuario3', 'usuario14', 'usuario5'] D 10 -14436.9001389 3503 user
1 usuario7 D ['usuario3', 'usuario6', 'usuario1', 'usuario14'] D 19 -7228.79981995 12095 user
1 usuario6 C ['usuario2', 'usuario13', 'usuario9', 'usuario7'] D 10 -14405.600071 4380 user
1 usuario13 C ['usuario5', 'usuario14', 'usuario16', 'usuario6'] C 10 -10307.2998524 8232 user
1 usuario14 D ['usuario4', 'usuario7', 'usuario15', 'usuario13'] C 19 -13390.1000023 5616 user
1 usuario1 C ['usuario7', 'usuario9', 'usuario11', 'usuario15'] C 10 -25.3999233246 18408 user
1 usuario9 D ['usuario6', 'usuario16', 'usuario12', 'usuario1'] C 24 -14418.4000492 4315 user
1 usuario16 C ['usuario13', 'usuario15', 'usuario8', 'usuario9'] D 15 -14406.7001343 4519 user
1 usuario15 C ['usuario14', 'usuario1', 'usuario10', 'usuario16'] C 15 -9292.29998589 9673 user
1 usuario11 C ['usuario1', 'usuario12', 'usuario3', 'usuario10'] C 20 -14443.2001114 5137 user
1 usuario12 C ['usuario9', 'usuario8', 'usuario2', 'usuario11'] C 15 -13422.8000641 5609 user
1 usuario8 C ['usuario16', 'usuario10', 'usuario5', 'usuario12'] C 15 -11336.0998631 6972 user
1 usuario10 C ['usuario15', 'usuario11', 'usuario4', 'usuario8'] C 20 -7213.20009232 11409 user
2 usuario3 C ['usuario11', 'usuario2', 'usuario7', 'usuario4'] D 5 -5269.00005341 13037 user
2 usuario2 D ['usuario12', 'usuario5', 'usuario6', 'usuario3'] C 14 -14468.100071 4004 user
2 usuario5 D ['usuario8', 'usuario4', 'usuario13', 'usuario2'] D 4 -10543.2999134 7001 user
2 usuario4 D ['usuario10', 'usuario3', 'usuario14', 'usuario5'] D 19 -10306.2999249 8170 user
2 usuario7 D ['usuario3', 'usuario6', 'usuario1', 'usuario14'] C 19 -7239.0999794 10377 user
2 usuario6 D ['usuario2', 'usuario13', 'usuario9', 'usuario7'] D 4 -6201.10011101 11341 user
2 usuario13 D ['usuario5', 'usuario14', 'usuario16', 'usuario6'] D 9 -33.6999893188 18055 user
2 usuario14 C ['usuario4', 'usuario7', 'usuario15', 'usuario13'] D 5 -10315.4001236 7706 user
2 usuario1 C ['usuario7', 'usuario9', 'usuario11', 'usuario15'] C 10 -11426.0001183 7258 user
2 usuario9 D ['usuario6', 'usuario16', 'usuario12', 'usuario1'] C 14 -3159.39998627 14756 user
2 usuario16 D ['usuario13', 'usuario15', 'usuario8', 'usuario9'] D 9 -7269.70005035 10756 user
2 usuario15 C ['usuario14', 'usuario1', 'usuario10', 'usuario16'] D 15 -15474.4000435 2770 user
2 usuario11 C ['usuario1', 'usuario12', 'usuario3', 'usuario10'] C 20 -12417.3998833 4913 user
2 usuario12 C ['usuario9', 'usuario8', 'usuario2', 'usuario11'] C 5 -8279.99997139 9238 user
2 usuario8 D ['usuario16', 'usuario10', 'usuario5', 'usuario12'] C 14 -7238.89994621 11488 user
2 usuario10 C ['usuario15', 'usuario11', 'usuario4', 'usuario8'] D 10 -1115.00000954 16765 user
3 usuario3 C ['usuario11', 'usuario2', 'usuario7', 'usuario4'] D 10 -3206.59995079 19551 user
3 usuario2 D ['usuario12', 'usuario5', 'usuario6', 'usuario3'] C 14 -19554.3999672 3278 user
3 usuario5 D ['usuario8', 'usuario4', 'usuario13', 'usuario2'] D 9 -18856.8999767 4671 user
3 usuario4 D ['usuario10', 'usuario3', 'usuario14', 'usuario5'] D 14 -18530.7998657 4122 user
3 usuario7 C ['usuario3', 'usuario6', 'usuario1', 'usuario14'] C 10 -9296.200037 13513 user
3 usuario6 D ['usuario2', 'usuario13', 'usuario9', 'usuario7'] C 9 -12357.8000069 10749 user
3 usuario13 D ['usuario5', 'usuario14', 'usuario16', 'usuario6'] D 9 -8268.50008965 14514 user
3 usuario14 C ['usuario4', 'usuario7', 'usuario15', 'usuario13'] D 10 -17578.2001019 4730 user
3 usuario1 D ['usuario7', 'usuario9', 'usuario11', 'usuario15'] C 19 -11336.1999989 11383 user
3 usuario9 D ['usuario6', 'usuario16', 'usuario12', 'usuario1'] D 9 -15463.2999897 8043 user
3 usuario16 D ['usuario13', 'usuario15', 'usuario8', 'usuario9'] D 14 -16557.7001572 5946 user
3 usuario15 C ['usuario14', 'usuario1', 'usuario10', 'usuario16'] D 5 -19568.0999756 3677 user
3 usuario11 C ['usuario1', 'usuario12', 'usuario3', 'usuario10'] D 10 -17505.1999092 6028 user
3 usuario12 C ['usuario9', 'usuario8', 'usuario2', 'usuario11'] C 10 -12392.1999931 11373 user
3 usuario8 C ['usuario16', 'usuario10', 'usuario5', 'usuario12'] C 5 -16500.4000664 5818 user
3 usuario10 D ['usuario15', 'usuario11', 'usuario4', 'usuario8'] C 19 -33.1001281738 23522 user
4 usuario3 D ['usuario11', 'usuario2', 'usuario7', 'usuario4'] D 14 -16793.2999134 4690 user
4 usuario2 C ['usuario12', 'usuario5', 'usuario6', 'usuario3'] D 5 -19749.3000031 2493 user
4 usuario5 C ['usuario8', 'usuario4', 'usuario13', 'usuario2'] C 10 -19016.299963 2491 user
4 usuario4 D ['usuario10', 'usuario3', 'usuario14', 'usuario5'] C 14 -20567.0001507 1340 user
4 usuario7 C ['usuario3', 'usuario6', 'usuario1', 'usuario14'] C 10 -11345.6001282 11008 user
4 usuario6 D ['usuario2', 'usuario13', 'usuario9', 'usuario7'] C 14 -9269.60015297 13446 user
4 usuario13 D ['usuario5', 'usuario14', 'usuario16', 'usuario6'] D 14 -34.7998142242 22076 user
4 usuario14 C ['usuario4', 'usuario7', 'usuario15', 'usuario13'] D 10 -12065.7000542 9782 user
4 usuario1 C ['usuario7', 'usuario9', 'usuario11', 'usuario15'] C 10 -16480.700016 5314 user
4 usuario9 D ['usuario6', 'usuario16', 'usuario12', 'usuario1'] C 9 -1081.00008965 19379 user
4 usuario16 D ['usuario13', 'usuario15', 'usuario8', 'usuario9'] D 14 -17508.9001656 5233 user
4 usuario15 C ['usuario14', 'usuario1', 'usuario10', 'usuario16'] D 10 -18528.3999443 2903 user
