round user time_start time_end time_php time_js
1 usuario3 1462278651.61 1462278643.18 -8428.30014229 10249
1 usuario2 1462278651.24 1462278635.75 -15490.4000759 3461
1 usuario5 1462278651.81 1462278643.38 -8428.29990387 10627
1 usuario4 1462278650.36 1462278635.93 -14436.9001389 3503
1 usuario7 1462278652.14 1462278644.92 -7228.79981995 12095
1 usuario6 1462278651.71 1462278637.3 -14405.600071 4380
1 usuario13 1462278651.37 1462278641.06 -10307.2998524 8232
1 usuario14 1462278652.13 1462278638.74 -13390.1000023 5616
1 usuario1 1462278651.28 1462278651.25 -25.3999233246 18408
1 usuario9 1462278651.3 1462278636.88 -14418.4000492 4315
1 usuario16 1462278651.76 1462278637.35 -14406.7001343 4519
1 usuario15 1462278651.48 1462278642.19 -9292.29998589 9673
1 usuario11 1462278651.93 1462278637.48 -14443.2001114 5137
1 usuario12 1462278651.74 1462278638.32 -13422.8000641 5609
1 usuario8 1462278651.42 1462278640.08 -11336.0998631 6972
1 usuario10 1462278651.68 1462278644.47 -7213.20009232 11409
2 usuario3 1462278671.02 1462278665.75 -5269.00005341 13037
2 usuario2 1462278670.76 1462278656.29 -14468.100071 4004
2 usuario5 1462278670.44 1462278659.9 -10543.2999134 7001
2 usuario4 1462278671.12 1462278660.81 -10306.2999249 8170
2 usuario7 1462278670.84 1462278663.6 -7239.0999794 10377
2 usuario6 1462278670.33 1462278664.13 -6201.10011101 11341
2 usuario13 1462278670.52 1462278670.48 -33.6999893188 18055
2 usuario14 1462278671.21 1462278660.89 -10315.4001236 7706
2 usuario1 1462278671.04 1462278659.62 -11426.0001183 7258
2 usuario9 1462278670.3 1462278667.14 -3159.39998627 14756
2 usuario16 1462278670.88 1462278663.61 -7269.70005035 10756
2 usuario15 1462278670.77 1462278655.3 -15474.4000435 2770
2 usuario11 1462278670.31 1462278657.89 -12417.3998833 4913
2 usuario12 1462278670.32 1462278662.04 -8279.99997139 9238
2 usuario8 1462278671.2 1462278663.96 -7238.89994621 11488
2 usuario10 1462278670.62 1462278669.51 -1115.00000954 16765
3 usuario3 1462278694.87 1462278691.66 -3206.59995079 19551
3 usuario2 1462278694.72 1462278675.16 -19554.3999672 3278
3 usuario5 1462278695.06 1462278676.21 -18856.8999767 4671
3 usuario4 1462278694.82 1462278676.29 -18530.7998657 4122
3 usuario7 1462278694.7 1462278685.41 -9296.200037 13513
3 usuario6 1462278694.49 1462278682.13 -12357.8000069 10749
3 usuario13 1462278694.37 1462278686.11 -8268.50008965 14514
3 usuario14 1462278694.57 1462278676.99 -17578.2001019 4730
3 usuario1 1462278694.82 1462278683.48 -11336.1999989 11383
3 usuario9 1462278694.86 1462278679.4 -15463.2999897 8043
3 usuario16 1462278694.44 1462278677.88 -16557.7001572 5946
3 usuario15 1462278695.08 1462278675.51 -19568.0999756 3677
3 usuario11 1462278694.9 1462278677.39 -17505.1999092 6028
3 usuario12 1462278695.14 1462278682.75 -12392.1999931 11373
3 usuario8 1462278694.57 1462278678.07 -16500.4000664 5818
3 usuario10 1462278695.25 1462278695.22 -33.1001281738 23522
4 usuario3 1462278717.46 1462278700.66 -16793.2999134 4690
4 usuario2 1462278718.03 1462278698.28 -19749.3000031 2493
4 usuario5 1462278717.66 1462278698.64 -19016.299963 2491
4 usuario4 1462278717.79 1462278697.22 -20567.0001507 1340
4 usuario7 1462278718.11 1462278706.77 -11345.6001282 11008
4 usuario6 1462278718.26 1462278708.99 -9269.60015297 13446
4 usuario13 1462278717.54 1462278717.51 -34.7998142242 22076
4 usuario14 1462278717.48 1462278705.42 -12065.7000542 9782
4 usuario1 1462278717.66 1462278701.18 -16480.700016 5314
4 usuario9 1462278718.11 1462278717.03 -1081.00008965 19379
4 usuario16 1462278718.24 1462278700.73 -17508.9001656 5233
4 usuario15 1462278717.56 1462278699.03 -18528.3999443 2903
4 usuario11 1462278717.79 1462278707.46 -10335.2999687 11500
4 usuario12 1462278717.78 1462278706.42 -11365.4999733 10205
4 usuario8 1462278718.01 1462278704.63 -13384.7999573 8997
4 usuario10 1462278717.92 1462278713.75 -4172.10006714 17425
5 usuario3 1462278744.52 1462278722.44 -22084.5000744 3873
5 usuario2 1462278744.66 1462278722.04 -22614.4001484 2960
5 usuario5 1462278744.84 1462278721.6 -23232.3000431 2814
5 usuario4 1462278744.95 1462278721.27 -23683.4998131 2432
5 usuario7 1462278745.42 1462278732.04 -13375.6999969 12875
5 usuario6 1462278745.11 1462278729.61 -15500.0 8475
5 usuario13 1462278745.15 1462278735.8 -9355.70001602 17173
5 usuario14 1462278745.05 1462278724.44 -20606.099844 5909
5 usuario1 1462278745.25 1462278731.85 -13397.4997997 13122
5 usuario9 1462278744.81 1462278744.78 -31.1000347137 25603
5 usuario16 1462278744.48 1462278729.83 -14642.9998875 10534
5 usuario15 1462278745.36 1462278720.66 -24690.500021 2055
5 usuario11 1462278744.84 1462278729.37 -15464.9999142 10526
5 usuario12 1462278744.99 1462278728.49 -16501.3999939 9640
5 usuario8 1462278745.32 1462278723.71 -21606.6999435 4647
5 usuario10 1462278744.95 1462278736.65 -8301.20015144 17667
6 usuario3 1462278770.51 1462278749.35 -21166.5999889 3742
6 usuario2 1462278769.9 1462278748.29 -21614.2001152 2574
6 usuario5 1462278769.98 1462278751.08 -18907.0999622 5141
6 usuario4 1462278770.31 1462278748.7 -21607.3000431 2700
6 usuario7 1462278770.31 1462278762.06 -8257.50017166 15581
6 usuario6 1462278769.94 1462278750.42 -19527.9998779 4252
6 usuario13 1462278770.05 1462278764.86 -5186.89990044 18656
6 usuario14 1462278769.62 1462278749.05 -20569.9999332 2951
6 usuario1 1462278769.56 1462278755.11 -14448.800087 8805
6 usuario9 1462278769.86 1462278769.83 -33.3001613617 23933
6 usuario16 1462278769.64 1462278750.09 -19549.4000912 4564
6 usuario15 1462278769.72 1462278748.01 -21710.7000351 1598
6 usuario11 1462278769.97 1462278750.4 -19571.199894 4514
6 usuario12 1462278770.17 1462278768.05 -2125.40006638 22001
6 usuario8 1462278769.86 1462278750.33 -19522.7999687 3962
6 usuario10 1462278770.43 1462278770.39 -38.1999015808 24381
7 usuario3 1462278795.62 1462278795.58 -40.0998592377 23972
7 usuario2 1462278795.63 1462278774.03 -21609.2000008 3064
7 usuario5 1462278795.63 1462278776.72 -18912.6999378 5640
7 usuario4 1462278796.27 1462278773.59 -22682.3000908 2225
7 usuario7 1462278795.59 1462278780.14 -15445.8999634 8776
7 usuario6 1462278796.07 1462278784.71 -11354.7999859 13714
7 usuario13 1462278795.86 1462278790.67 -5189.39995766 19569
7 usuario14 1462278796.54 1462278776.99 -19545.7999706 6309
7 usuario1 1462278795.78 1462278773.16 -22619.6000576 2551
7 usuario9 1462278796.29 1462278776.66 -19627.7000904 5716
7 usuario16 1462278796.56 1462278775.99 -20566.9999123 5296
7 usuario15 1462278796.24 1462278772.46 -23778.4998417 1683
7 usuario11 1462278795.88 1462278775.3 -20585.9000683 4268
7 usuario12 1462278795.66 1462278780.13 -15523.2000351 8903
7 usuario8 1462278795.87 1462278775.72 -20141.3998604 4819
7 usuario10 1462278796.06 1462278790.87 -5189.70012665 19351
8 usuario3 1462278821.73 1462278799.48 -22245.7001209 2789
8 usuario2 1462278822.4 1462278800.75 -21656.9998264 4058
8 usuario5 1462278821.7 1462278799.48 -22219.8998928 2771
8 usuario4 1462278822.21 1462278799.59 -22611.700058 2218
8 usuario7 1462278821.79 1462278804.2 -17590.8999443 7553
8 usuario6 1462278821.81 1462278809.45 -12365.0000095 12327
8 usuario13 1462278821.86 1462278813.59 -8269.19984818 16673
8 usuario14 1462278822.16 1462278805.68 -16480.9999466 8082
8 usuario1 1462278796.8 1462278822.6 25798.199892 25754
8 usuario9 1462278822.15 1462278809.79 -12365.7999039 12447
8 usuario16 1462278822.61 1462278801.0 -21610.3999615 3383
8 usuario15 1462278822.03 1462278799.24 -22785.0999832 1949
8 usuario11 1462278822.36 1462278801.75 -20614.2001152 4781
8 usuario12 1462278822.2 1462278806.73 -15475.3000736 9930
8 usuario8 1462278822.12 1462278800.45 -21678.4999371 3534
8 usuario10 1462278822.31 1462278820.2 -2113.80004883 23087
9 usuario3 1462278845.11 1462278827.23 -17881.7999363 4415
9 usuario2 1462278845.07 1462278826.44 -18632.6999664 2983
9 usuario5 1462278845.05 1462278827.17 -17883.5999966 4362
9 usuario4 1462278844.77 1462278836.51 -8259.20009613 13245
9 usuario7 1462278845.37 1462278843.26 -2111.09995842 20408
9 usuario6 1462278844.88 1462278840.72 -4162.90020943 17852
9 usuario13 1462278845.22 1462278842.07 -3149.3999958 19154
9 usuario14 1462278845.13 1462278838.91 -6219.40016747 15695
9 usuario1 1462278845.05 1462278829.61 -15434.5998764 6788
