round player action_player opponent action_opponent payoff time_php time_js who_played
1 usuario2 C ['usuario3', 'usuario6', 'usuario14', 'usuario15'] D 5 -22513.9000416 6602 user
1 usuario6 D ['usuario12', 'usuario5', 'usuario11', 'usuario2'] C 19 -21611.7999554 7150 user
1 usuario5 D ['usuario13', 'usuario15', 'usuario8', 'usuario6'] D 14 -25691.9000149 3737 user
1 usuario15 D ['usuario4', 'usuario2', 'usuario16', 'usuario5'] D 14 -19467.099905 9297 user
1 usuario14 C ['usuario2', 'usuario11', 'usuario10', 'usuario16'] C 15 -21544.4998741 7036 user
1 usuario11 C ['usuario6', 'usuario8', 'usuario9', 'usuario14'] C 10 -23604.0999889 5116 user
1 usuario8 C ['usuario5', 'usuario16', 'usuario7', 'usuario11'] C 10 -21521.6999054 6594 user
1 usuario16 C ['usuario15', 'usuario14', 'usuario1', 'usuario8'] C 15 -23551.89991 4955 user
1 usuario10 D ['usuario14', 'usuario9', 'usuario3', 'usuario1'] C 14 -21731.2998772 7902 user
1 usuario9 D ['usuario11', 'usuario7', 'usuario12', 'usuario10'] D 14 -22512.3000145 5893 user
1 usuario7 D ['usuario8', 'usuario1', 'usuario13', 'usuario9'] D 19 -10270.2999115 18725 user
1 usuario1 C ['usuario16', 'usuario10', 'usuario4', 'usuario7'] D 5 -23532.7000618 5861 user
1 usuario3 D ['usuario10', 'usuario12', 'usuario2', 'usuario4'] D 14 -19.2999839783 29381 user
1 usuario12 C ['usuario9', 'usuario13', 'usuario6', 'usuario3'] D 5 -20508.0997944 9136 user
1 usuario13 C ['usuario7', 'usuario4', 'usuario5', 'usuario12'] C 5 -22624.3000031 6739 user
1 usuario4 D ['usuario1', 'usuario3', 'usuario15', 'usuario13'] C 14 -17450.5999088 11695 user
2 usuario2 C ['usuario3', 'usuario6', 'usuario14', 'usuario15'] D 5 -14333.6999416 5456 user
2 usuario6 D ['usuario12', 'usuario5', 'usuario11', 'usuario2'] C 19 -15384.5999241 5248 user
2 usuario5 D ['usuario13', 'usuario15', 'usuario8', 'usuario6'] D 14 -15413.4998322 4120 user
2 usuario15 D ['usuario4', 'usuario2', 'usuario16', 'usuario5'] D 19 -4122.29990959 16020 user
2 usuario14 C ['usuario2', 'usuario11', 'usuario10', 'usuario16'] C 15 -14399.1999626 5687 user
2 usuario11 C ['usuario6', 'usuario8', 'usuario9', 'usuario14'] C 10 -13338.2999897 6790 user
2 usuario8 C ['usuario5', 'usuario16', 'usuario7', 'usuario11'] C 10 -13360.5999947 6982 user
2 usuario16 C ['usuario15', 'usuario14', 'usuario1', 'usuario8'] C 15 -7202.80003548 12563 user
2 usuario10 D ['usuario14', 'usuario9', 'usuario3', 'usuario1'] C 14 -16408.0998898 3595 user
2 usuario9 D ['usuario11', 'usuario7', 'usuario12', 'usuario10'] D 14 -22.0000743866 20073 user
2 usuario7 D ['usuario8', 'usuario1', 'usuario13', 'usuario9'] D 19 -8219.89989281 12013 user
2 usuario1 C ['usuario16', 'usuario10', 'usuario4', 'usuario7'] D 10 -12306.2000275 7522 user
2 usuario3 D ['usuario10', 'usuario12', 'usuario2', 'usuario4'] C 19 -23.2000350952 19846 user
2 usuario12 C ['usuario9', 'usuario13', 'usuario6', 'usuario3'] D 5 -7197.70002365 12322 user
2 usuario13 C ['usuario7', 'usuario4', 'usuario5', 'usuario12'] C 10 -15504.1999817 4278 user
2 usuario4 C ['usuario1', 'usuario3', 'usuario15', 'usuario13'] C 10 -8216.00008011 11158 user
3 usuario2 D ['usuario3', 'usuario6', 'usuario14', 'usuario15'] C 14 -30721.4999199 2856 user
3 usuario6 D ['usuario12', 'usuario5', 'usuario11', 'usuario2'] D 14 -31747.6000786 1170 user
3 usuario5 D ['usuario13', 'usuario15', 'usuario8', 'usuario6'] D 14 -32761.1000538 788 user
3 usuario15 C ['usuario4', 'usuario2', 'usuario16', 'usuario5'] D 10 -18460.0999355 14602 user
3 usuario14 C ['usuario2', 'usuario11', 'usuario10', 'usuario16'] C 10 -25614.6998405 7088 user
3 usuario11 C ['usuario6', 'usuario8', 'usuario9', 'usuario14'] C 5 -27704.2000294 5198 user
3 usuario8 D ['usuario5', 'usuario16', 'usuario7', 'usuario11'] C 14 -30733.5000038 2087 user
3 usuario16 C ['usuario15', 'usuario14', 'usuario1', 'usuario8'] D 15 -20521.600008 13228 user
3 usuario10 D ['usuario14', 'usuario9', 'usuario3', 'usuario1'] C 14 -28737.9000187 4218 user
3 usuario9 D ['usuario11', 'usuario7', 'usuario12', 'usuario10'] D 14 -26583.799839 7175 user
3 usuario7 D ['usuario8', 'usuario1', 'usuario13', 'usuario9'] D 14 -22.3000049591 32463 user
3 usuario1 C ['usuario16', 'usuario10', 'usuario4', 'usuario7'] D 10 -20474.7998714 12259 user
3 usuario3 D ['usuario10', 'usuario12', 'usuario2', 'usuario4'] C 14 -23553.9999008 9028 user
3 usuario12 C ['usuario9', 'usuario13', 'usuario6', 'usuario3'] D 5 -30726.5999317 2334 user
3 usuario13 C ['usuario7', 'usuario4', 'usuario5', 'usuario12'] C 10 -31722.1000195 1280 user
3 usuario4 C ['usuario1', 'usuario3', 'usuario15', 'usuario13'] C 15 -22541.2998199 10675 user
4 usuario2 C ['usuario3', 'usuario6', 'usuario14', 'usuario15'] D 10 -20488.3000851 6354 user
4 usuario6 C ['usuario12', 'usuario5', 'usuario11', 'usuario2'] C 5 -22517.9998875 3878 user
4 usuario5 D ['usuario13', 'usuario15', 'usuario8', 'usuario6'] C 14 -25616.2998676 1496 user
4 usuario15 D ['usuario4', 'usuario2', 'usuario16', 'usuario5'] D 14 -22552.0999432 4436 user
4 usuario14 D ['usuario2', 'usuario11', 'usuario10', 'usuario16'] D 9 -18469.2001343 9062 user
4 usuario11 D ['usuario6', 'usuario8', 'usuario9', 'usuario14'] D 9 -9255.89990616 18287 user
4 usuario8 D ['usuario5', 'usuario16', 'usuario7', 'usuario11'] D 4 -22534.6000195 4457 user
4 usuario16 D ['usuario15', 'usuario14', 'usuario1', 'usuario8'] D 4 -17449.2001534 9392 user
4 usuario10 D ['usuario14', 'usuario9', 'usuario3', 'usuario1'] D 9 -23586.9998932 2709 user
