userid,rt,response,round,context,strategy
145,10.02, 0, 1,nan,MCC
145, 4.61, 0, 2, 2,MCC
145, 5.08, 0, 3, 4,MCC
145, 2.08, 0, 4, 2,MCC
145, 9.94, 0, 5, 4,MCC
145, 1.36, 0, 6, 2,MCC
145, 8.66, 0, 7, 4,MCC
145, 4.33, 0, 8, 2,MCC
145, 5.69, 1, 9, 2,MCC
145, 4.08, 1,10, 2,MCC
145, 2.70, 0,11, 2,MCC
145, 4.38, 0,12, 1,MCC
145, 2.48, 0,13, 2,MCC
145, 2.47, 0,14, 2,MCC
145, 2.12, 0,15, 3,MCC
145, 1.70, 0,16, 3,MCC
145, 4.14, 0,17, 4,MCC
145, 3.57, 0,18, 0,MCC
145, 1.38, 0,19, 3,MCC
145, 1.55, 0,20, 2,MCC
145, 3.73, 0,21, 4,MCC
145, 2.01, 0,22, 0,MCC
145, 1.92, 0,23, 1,MCC
145, 1.11, 0,24, 2,MCC
145, 1.15, 0,25, 1,MCC
145, 3.03, 0,26, 4,MCC
145, 1.76, 0,27, 3,MCC
145, 2.65, 0,28, 2,MCC
145, 4.72, 0,29, 2,MCC
145, 5.32, 0,30, 2,MCC
145, 2.10, 0,31, 1,MCC
145, 3.98, 0,32, 1,MCC
145, 2.42, 0,33, 1,MCC
145, 1.76, 0,34, 3,MCC
145, 4.11, 0,35, 3,MCC
145, 5.16, 0,36, 3,MCC
145, 3.41, 0,37, 1,MCC
145, 1.82, 0,38, 3,MCC
145, 1.69, 0,39, 1,MCC
145, 2.63, 0,40, 1,MCC
145, 1.38, 0,41, 2,MCC
145, 1.76, 0,42, 1,MCC
145, 2.22, 0,43, 1,MCC
145, 6.26, 0,44, 3,MCC
145, 4.68, 0,45, 2,MCC
145, 1.87, 0,46, 1,MCC
145, 2.59, 0,47, 2,MCC
145, 1.92, 0,48, 1,MCC
145, 2.29, 0,49, 2,MCC
145, 1.79, 0,50, 2,MCC
145, 4.11, 0,51, 2,MCC
145, 2.45, 0,52, 2,MCC
145, 4.10, 0,53, 1,MCC
145, 2.18, 0,54, 1,MCC
145, 3.12, 0,55, 1,MCC
145, 0.83, 0,56, 1,MCC
145, 1.64, 0,57, 1,MCC
145, 2.01, 0,58, 2,MCC
130, 8.26, 0, 1,nan,PD
130, 5.94, 0, 2, 3,PD
130, 4.40, 0, 3, 5,PD
130,13.46, 0, 4, 3,PD
130,12.05, 0, 5, 4,PD
130, 8.28, 0, 6, 2,PD
130,17.25, 0, 7, 2,PD
130,11.03, 0, 8, 1,PD
130, 9.10, 0, 9, 1,PD
130, 5.94, 0,10, 3,PD
130,19.97, 0,11, 2,PD
130,12.04, 0,12, 2,PD
130,16.28, 0,13, 0,PD
130,10.87, 0,15, 3,PD
130,11.36, 0,16, 2,PD
130, 6.31, 0,17, 2,PD
130,17.07, 0,18, 0,PD
130, 7.54, 0,19, 2,PD
130, 4.78, 0,20, 2,PD
130,11.04, 0,21, 3,PD
130,16.75, 0,22, 0,PD
130,14.32, 0,23, 0,PD
130, 3.22, 0,24, 2,PD
130, 6.08, 0,25, 1,PD
130,12.08, 0,26, 3,PD
