userid,rt,response,round
 87,5.170000,0.000, 1
 87,8.600000,0.000, 3
 87,5.440000,0.000, 4
 87,1.470000,1.000, 5
 87,2.770000,0.000, 6
 87,9.590000,0.000, 7
 87,3.790000,0.000, 8
 87,10.410000,0.000, 9
 87,3.510000,0.000,10
 87,7.040000,0.000,11
 87,4.540000,0.000,12
 87,3.900000,0.000,13
 87,3.870000,0.000,14
 87,4.630000,0.000,15
 87,5.690000,0.000,16
 87,10.360000,0.000,17
 87,4.810000,0.000,18
 87,6.950000,0.000,19
 87,1.200000,1.000,20
 87,3.530000,0.000,21
 87,5.320000,0.000,22
 87,3.970000,0.000,23
 87,12.000000,0.000,24
 87,2.300000,0.000,25
 87,20.310000,0.000,26
 87,5.020000,0.000,27
 87,3.990000,1.000,28
 87,2.830000,0.000,29
 87,3.560000,0.000,30
 87,3.040000,0.000,31
 87,4.280000,0.000,32
 87,7.060000,0.000,33
 87,6.820000,0.000,34
 87,3.720000,0.000,35
 87,9.010000,0.000,36
 87,4.550000,0.000,37
 87,6.330000,0.000,38
 87,4.010000,0.000,39
 87,10.410000,0.000,40
 87,3.540000,0.000,41
 87,4.630000,0.000,42
 87,10.960000,0.000,43
 87,7.280000,0.000,44
 87,3.760000,1.000,45
 87,4.080000,0.000,46
 87,1.580000,0.000,47
 87,2.270000,0.000,48
 87,3.630000,0.000,49
 87,12.420000,0.000,50
 87,4.930000,0.000,51
 87,3.560000,0.000,52
 87,8.800000,0.000,53
 87,5.730000,0.000,54
 87,5.770000,0.000,55
 87,1.540000,1.000,56
 87,3.380000,0.000,57
 87,2.710000,0.000,58
 87,6.620000,0.000,59
 87,3.120000,0.000,60
 91,8.730000,0.000, 1
 91,16.370000,0.000, 2
 91,7.110000,0.000, 3
 91,7.970000,0.000, 4
 91,7.310000,0.000, 5
 91,8.310000,0.000, 6
 91,9.960000,0.000, 7
 91,6.160000,0.000, 8
 91,9.140000,0.000, 9
 91,3.060000,0.000,10
 91,2.470000,0.000,11
 91,3.170000,0.000,12
 91,6.360000,0.000,13
 91,4.200000,0.000,14
 91,2.490000,0.000,15
 91,9.410000,0.000,16
 91,2.710000,0.000,17
 91,4.440000,0.000,18
 91,3.930000,0.000,19
 91,8.600000,1.000,21
 91,5.640000,1.000,22
 91,4.850000,1.000,23
 91,4.540000,1.000,24
 91,21.530000,0.000,25
 91,4.100000,1.000,26
 91,8.100000,1.000,27
 91,6.010000,1.000,28
 91,4.840000,1.000,29
 91,10.510000,0.000,30
 91,22.000000,0.000,31
 91,6.100000,1.000,32
 91,7.400000,0.000,33
 91,4.350000,0.000,34
 91,5.710000,1.000,35
 91,4.370000,1.000,36
 91,5.850000,1.000,37
 91,4.790000,1.000,38
 91,3.590000,1.000,39
 91,5.300000,0.000,40
 91,1.350000,0.000,41
 91,2.390000,0.000,42
 91,1.990000,0.000,43
 91,3.120000,0.000,44
 91,2.490000,0.000,45
 91,5.780000,1.000,46
 91,5.430000,1.000,47
 91,4.480000,1.000,48
 91,4.800000,1.000,49
 91,2.970000,1.000,50
 91,2.750000,1.000,51
 91,3.190000,1.000,52
 91,4.300000,1.000,53
 91,2.800000,1.000,54
 91,4.170000,1.000,55
 91,5.990000,1.000,56
 91,5.470000,1.000,57
 91,5.070000,1.000,58
 91,5.140000,1.000,59
 91,6.270000,1.000,60
165,3.860000,0.000, 1
165,2.360000,0.000, 2
165,3.070000,0.000, 3
165,2.870000,0.000, 4
165,2.050000,0.000, 5
165,2.160000,0.000, 6
165,5.620000,0.000, 7
165,3.640000,0.000, 8
165,2.540000,0.000, 9
165,3.690000,0.000,10
165,4.000000,0.000,11
165,1.590000,0.000,12
165,2.990000,0.000,13
165,1.520000,0.000,14
165,1.190000,0.000,15
165,2.030000,0.000,16
165,2.190000,0.000,17
165,4.230000,0.000,18
165,3.960000,0.000,19
165,2.530000,0.000,20
165,2.080000,0.000,21
165,3.610000,0.000,22
165,5.320000,0.000,23
165,1.500000,0.000,24
165,2.220000,0.000,25
165,2.060000,0.000,26
165,6.900000,0.000,27
165,3.040000,0.000,28
165,3.580000,0.000,29
165,2.270000,0.000,30
165,2.610000,0.000,31
165,1.870000,0.000,32
165,3.720000,0.000,33
165,2.810000,0.000,34
165,1.840000,0.000,35
165,2.410000,0.000,36
165,1.570000,0.000,37
165,2.310000,0.000,38
165,2.160000,0.000,39
165,4.420000,0.000,40
165,2.470000,0.000,41
165,2.300000,0.000,42
165,1.470000,0.000,43
165,3.080000,0.000,44
165,2.900000,0.000,45
165,1.990000,0.000,46
165,4.800000,0.000,47
165,2.580000,0.000,48
165,2.020000,0.000,49
165,4.290000,0.000,50
165,4.460000,0.000,51
165,8.770000,0.000,52
165,1.920000,0.000,53
165,3.990000,0.000,54
165,2.540000,0.000,55
165,1.540000,0.000,56
165,1.730000,0.000,57
165,1.700000,0.000,58
165,3.220000,0.000,59
165,1.600000,0.000,60
101,6.680000,0.000, 1
101,5.710000,1.000, 2
101,5.690000,0.000, 3
101,6.960000,0.000, 4
101,4.440000,1.000, 5
101,6.800000,0.000, 6
101,5.510000,0.000, 7
101,5.910000,0.000, 8
101,7.110000,1.000, 9
101,6.290000,0.000,10
101,5.130000,0.000,11
101,3.710000,1.000,12
101,5.860000,0.000,13
101,8.490000,0.000,14
101,6.270000,1.000,15
101,6.430000,0.000,16
101,10.190000,1.000,17
