userid,rt,response,round
 9,4.480200,0.000, 1
18,9.472300,1.000, 1
 7,2.238200,1.000, 1
10,8.133700,1.000, 1
13,5.098500,1.000, 1
 5,3.129300,1.000, 1
15,3.587300,0.000, 1
16,4.043100,1.000, 1
12,4.766000,0.000, 1
 6,5.961900,1.000, 1
17,16.088900,1.000, 1
 2,6.274900,1.000, 1
14,6.971500,1.000, 1
 4,2.788300,1.000, 1
 3,8.762000,1.000, 1
 8,11.946200,1.000, 1
 1,6.753300,1.000, 1
 9,5.461200,1.000, 2
18,2.074100,1.000, 2
 7,1.495000,1.000, 2
10,17.424000,1.000, 2
13,6.453800,0.000, 2
 5,2.331900,1.000, 2
15,3.769900,0.000, 2
16,3.273500,0.000, 2
12,13.072600,0.000, 2
 6,7.720500,1.000, 2
17,3.236200,1.000, 2
 2,22.779200,1.000, 2
14,8.195600,1.000, 2
 4,3.685500,1.000, 2
11,9.848000,0.000, 2
 3,11.604700,1.000, 2
 8,6.240900,1.000, 2
 1,9.882400,0.000, 2
 9,10.770300,0.000, 3
18,1.869700,1.000, 3
 7,0.953900,1.000, 3
10,5.382500,1.000, 3
13,4.486000,1.000, 3
 5,3.436100,1.000, 3
15,2.920000,0.000, 3
16,2.759300,0.000, 3
12,25.743900,0.000, 3
 6,6.012200,0.000, 3
17,3.371600,0.000, 3
 2,16.315300,1.000, 3
14,3.743900,1.000, 3
 4,3.093300,1.000, 3
11,8.961100,1.000, 3
 3,5.676400,1.000, 3
 8,7.956100,0.000, 3
 1,14.401900,0.000, 3
 9,3.460400,1.000, 4
18,1.868800,1.000, 4
 7,1.649900,1.000, 4
10,5.617300,1.000, 4
13,2.527000,1.000, 4
 5,3.966600,1.000, 4
15,7.436400,0.000, 4
16,2.168500,0.000, 4
12,9.811800,0.000, 4
 6,5.548900,0.000, 4
17,4.519200,0.000, 4
 2,6.374300,0.000, 4
14,3.593700,1.000, 4
 4,2.845800,1.000, 4
11,13.497200,1.000, 4
 3,4.784700,1.000, 4
 8,2.865600,0.000, 4
 1,5.060900,0.000, 4
 9,6.429800,1.000, 5
18,1.703500,1.000, 5
 7,1.340300,1.000, 5
10,15.445900,1.000, 5
13,3.300200,1.000, 5
 5,1.351700,1.000, 5
15,19.766600,0.000, 5
16,2.743300,0.000, 5
12,8.210500,0.000, 5
 6,2.017600,1.000, 5
17,2.587200,1.000, 5
 2,8.556800,0.000, 5
14,2.123800,1.000, 5
 4,1.887900,1.000, 5
11,6.297300,1.000, 5
 3,2.634600,1.000, 5
 8,3.729300,0.000, 5
 1,3.957600,0.000, 5
 9,5.293500,0.000, 6
18,1.816400,1.000, 6
 7,0.614000,1.000, 6
10,4.229300,1.000, 6
13,3.521400,1.000, 6
 5,1.766000,1.000, 6
15,7.783700,1.000, 6
16,2.149400,0.000, 6
12,4.479800,1.000, 6
 6,5.712600,1.000, 6
17,2.667500,0.000, 6
 2,4.673400,1.000, 6
14,1.336100,1.000, 6
 4,1.596700,1.000, 6
11,3.731600,0.000, 6
 3,1.318100,1.000, 6
 8,2.435000,0.000, 6
 1,1.438900,1.000, 6
 9,5.660700,1.000, 7
18,4.363400,0.000, 7
 7,0.701700,1.000, 7
10,2.661500,1.000, 7
13,1.795000,1.000, 7
 5,1.158900,1.000, 7
15,3.076000,1.000, 7
16,3.143900,1.000, 7
12,3.933400,1.000, 7
 6,3.407400,1.000, 7
17,3.210000,0.000, 7
 2,5.220000,1.000, 7
14,2.335800,1.000, 7
 4,1.146300,1.000, 7
11,2.759600,1.000, 7
 3,4.644800,1.000, 7
 8,3.791500,1.000, 7
 1,9.558500,1.000, 7
 9,10.584000,0.000, 8
18,2.967300,1.000, 8
 7,2.060100,1.000, 8
10,2.977800,1.000, 8
13,2.498700,1.000, 8
 5,1.136200,1.000, 8
15,9.525700,1.000, 8
16,2.673800,1.000, 8
12,10.321300,0.000, 8
 6,2.436800,1.000, 8
17,2.225500,0.000, 8
 2,3.019300,0.000, 8
