round player action_player opponent action_opponent payoff time_php time_js who_played
1 usuario2 D ['usuario7'] C 4 4616.29986763 4600 user
1 usuario7 C ['usuario2'] D 0 4081.79998398 4055 user
1 usuario14 C ['usuario13'] C 3 5450.29997826 5394 user
1 usuario13 C ['usuario14'] C 3 7837.39995956 7806 user
1 usuario9 D ['usuario10'] C 4 15086.5001678 15067 user
1 usuario10 C ['usuario9'] D 0 12510.7002258 12483 user
1 usuario8 C ['usuario1'] C 3 10614.5999432 10559 user
1 usuario1 C ['usuario8'] C 3 4645.09987831 4622 user
1 usuario11 D ['usuario4'] D 1 26435.199976 26404 user
1 usuario4 D ['usuario11'] D 1 4593.40000153 4568 user
1 usuario5 D ['usuario3'] C 4 3745.80001831 3718 user
1 usuario3 C ['usuario5'] D 0 2883.80002975 2856 user
1 usuario12 D ['usuario6'] C 4 6123.90017509 6105 user
1 usuario6 C ['usuario12'] D 0 2549.50022697 2524 user
2 usuario2 D ['usuario7'] C 4 6783.69998932 6756 user
2 usuario7 C ['usuario2'] D 0 3558.59994888 3541 user
2 usuario14 C ['usuario13'] C 3 5903.59997749 5883 user
2 usuario13 C ['usuario14'] C 3 2934.09991264 2907 user
2 usuario9 D ['usuario10'] D 1 17433.3000183 17408 user
2 usuario10 D ['usuario9'] D 1 4521.19994164 4505 user
2 usuario8 D ['usuario1'] C 4 18549.0999222 18521 user
2 usuario1 C ['usuario8'] D 0 2841.09997749 2817 user
2 usuario11 C ['usuario4'] C 3 5878.90005112 5850 user
2 usuario4 C ['usuario11'] C 3 2945.9002018 2922 user
2 usuario5 D ['usuario3'] C 4 5603.1999588 5576 user
2 usuario3 C ['usuario5'] D 0 3780.20000458 3754 user
2 usuario12 C ['usuario6'] C 3 5147.39990234 5121 user
2 usuario6 C ['usuario12'] C 3 19442.499876 19396 user
3 usuario2 C ['usuario7'] D 0 9006.09993935 8987 user
3 usuario7 D ['usuario2'] C 4 1977.59985924 1953 user
3 usuario14 C ['usuario13'] C 3 5582.60011673 5554 user
