round player action_player opponent action_opponent payoff time_php time_js who_played
1 usuario1 C ['usuario10'] C 3 5519.89984512 5485 user
1 usuario2 C ['usuario4'] D 0 5347.00012207 5290 user
1 usuario3 D ['usuario5'] D 1 3161.19980812 3134 user
1 usuario4 D ['usuario2'] C 4 18737.6000881 18706 user
1 usuario5 D ['usuario3'] D 1 4134.3998909 4109 user
1 usuario6 C ['usuario8'] C 3 3431.20002747 3403 user
1 usuario7 C ['usuario9'] C 3 5623.70014191 5594 user
1 usuario8 C ['usuario6'] C 3 75924.7999191 75894 user
1 usuario9 C ['usuario7'] C 3 11444.1998005 11397 user
1 usuario10 C ['usuario1'] C 3 4039.49999809 4011 user
2 usuario1 C ['usuario10'] D 0 8620.49984932 8561 user
2 usuario2 C ['usuario9'] D 0 5895.69997787 5866 user
2 usuario3 C ['usuario7'] C 3 3159.60001945 3132 user
2 usuario4 D ['usuario5'] D 1 20840.9998417 20784 user
2 usuario5 D ['usuario4'] D 1 14230.4999828 14173 user
2 usuario6 C ['usuario8'] C 3 3017.89999008 2991 user
2 usuario7 C ['usuario3'] C 3 14935.8000755 14879 user
2 usuario8 C ['usuario6'] C 3 25403.8999081 25303 user
2 usuario9 D ['usuario2'] C 4 16865.6997681 16805 user
2 usuario10 D ['usuario1'] C 4 5991.49990082 5963 user
3 usuario1 C ['usuario7'] C 3 3517.69995689 3491 user
3 usuario2 D ['usuario10'] D 1 3659.50012207 3629 user
3 usuario3 D ['usuario9'] D 1 2746.0000515 2725 user
3 usuario4 D ['usuario6'] C 4 20797.3999977 20769 user
3 usuario5 D ['usuario8'] C 4 11673.6998558 11640 user
3 usuario6 C ['usuario4'] D 0 4491.10007286 4472 user
3 usuario7 C ['usuario1'] C 3 9279.10017967 9249 user
3 usuario8 C ['usuario5'] D 0 8523.80013466 8491 user
3 usuario9 D ['usuario3'] D 1 16994.4999218 16963 user
3 usuario10 D ['usuario2'] D 1 7698.4000206 7648 user
4 usuario1 C ['usuario8'] D 0 2518.50008965 2491 user
4 usuario2 D ['usuario3'] C 4 2209.3000412 2182 user
4 usuario3 C ['usuario2'] D 0 3278.19991112 3255 user
4 usuario4 C ['usuario9'] D 0 13211.1999989 13172 user
4 usuario5 D ['usuario7'] C 4 7699.10001755 7664 user
4 usuario6 D ['usuario10'] D 1 2236.29999161 2208 user
4 usuario7 C ['usuario5'] D 0 9257.999897 9228 user
4 usuario8 D ['usuario1'] C 4 15020.8001137 14960 user
4 usuario9 D ['usuario4'] C 4 6710.59989929 6682 user
4 usuario10 D ['usuario6'] D 1 7697.79992104 7664 user
5 usuario1 C ['usuario7'] C 3 2759.59992409 2732 user
5 usuario2 D ['usuario10'] C 4 4189.29982185 4160 user
5 usuario3 D ['usuario9'] D 1 3049.20005798 3024 user
5 usuario4 D ['usuario8'] C 4 11851.099968 11816 user
5 usuario5 D ['usuario6'] D 1 8405.69996834 8370 user
5 usuario6 D ['usuario5'] D 1 3445.19996643 3417 user
5 usuario7 C ['usuario1'] C 3 5600.99983215 5571 user
5 usuario8 C ['usuario4'] D 0 12406.1000347 12378 user
5 usuario9 D ['usuario3'] D 1 15716.7000771 15688 user
5 usuario10 C ['usuario2'] D 0 8027.60004997 7996 user
6 usuario1 C ['usuario3'] C 3 2348.09994698 2324 user
6 usuario2 D ['usuario4'] D 1 1886.30008698 1857 user
6 usuario3 C ['usuario1'] C 3 2097.89991379 2071 user
6 usuario4 D ['usuario2'] D 1 16916.7997837 16887 user
6 usuario5 D ['usuario8'] D 1 6976.6998291 6949 user
6 usuario6 C ['usuario10'] D 0 1966.79997444 1939 user
6 usuario7 C ['usuario9'] D 0 17710.3998661 17678 user
6 usuario8 D ['usuario5'] D 1 7472.09978104 7443 user
6 usuario9 D ['usuario7'] C 4 9761.30008698 9732 user
6 usuario10 D ['usuario6'] C 4 4684.00001526 4655 user
7 usuario1 C ['usuario8'] D 0 2305.09996414 2280 user
7 usuario2 D ['usuario6'] D 1 2210.99996567 2183 user
7 usuario3 D ['usuario4'] D 1 3052.9999733 3035 user
7 usuario4 D ['usuario3'] D 1 2556.80012703 2526 user
7 usuario5 D ['usuario10'] D 1 5342.40007401 5310 user
7 usuario6 D ['usuario2'] D 1 1802.50000954 1776 user
7 usuario7 D ['usuario9'] D 1 7475.30007362 7448 user
7 usuario8 D ['usuario1'] C 4 6538.20014 6508 user
7 usuario9 D ['usuario7'] D 1 8775.30002594 8744 user
7 usuario10 D ['usuario5'] D 1 4668.69997978 4638 user
8 usuario1 C ['usuario7'] D 0 2442.80004501 2411 user
8 usuario2 C ['usuario4'] C 3 2027.60004997 2002 user
8 usuario3 D ['usuario6'] D 1 2890.79999924 2867 user
8 usuario4 C ['usuario2'] C 3 10962.5999928 10936 user
8 usuario5 D ['usuario8'] D 1 5622.60007858 5594 user
8 usuario6 D ['usuario3'] D 1 1711.60006523 1681 user
8 usuario7 D ['usuario1'] C 4 2940.39988518 2914 user
8 usuario8 D ['usuario5'] D 1 8547.90019989 8521 user
8 usuario9 D ['usuario10'] D 1 6679.10003662 6646 user
8 usuario10 D ['usuario9'] D 1 5061.39993668 5029 user
9 usuario1 D ['usuario3'] D 1 2130.30004501 2105 user
9 usuario2 C ['usuario7'] D 0 2025.19989014 1998 user
9 usuario3 D ['usuario1'] D 1 2287.10007668 2258 user
9 usuario4 C ['usuario8'] D 0 7202.99983025 7169 user
9 usuario5 D ['usuario10'] C 4 6930.39989471 6901 user
9 usuario6 D ['usuario9'] D 1 4515.70010185 4489 user
9 usuario7 D ['usuario2'] C 4 3811.99979782 3778 user
9 usuario8 D ['usuario4'] C 4 4370.90015411 4346 user
9 usuario9 D ['usuario6'] D 1 8528.2998085 8497 user
9 usuario10 C ['usuario5'] D 0 7138.8001442 7104 user
10 usuario1 D ['usuario8'] C 4 2236.29999161 2211 user
10 usuario2 C ['usuario5'] D 0 2721.50015831 2694 user
10 usuario3 C ['usuario4'] D 0 2310.70017815 2292 user
10 usuario4 D ['usuario3'] C 4 5888.90004158 5859 user
10 usuario5 D ['usuario2'] C 4 4932.89995193 4899 user
10 usuario6 C ['usuario7'] D 0 2036.79990768 2009 user
10 usuario7 D ['usuario6'] C 4 3850.80003738 3824 user
10 usuario8 C ['usuario1'] D 0 9765.49983025 9741 user
10 usuario9 C ['usuario10'] D 0 1756.80017471 1729 user
10 usuario10 D ['usuario9'] C 4 3257.29990005 3238 user
11 usuario1 C ['usuario4'] D 0 3402.60004997 3375 user
11 usuario2 D ['usuario9'] C 4 1680.79996109 1652 user
11 usuario3 D ['usuario7'] D 1 1937.80016899 1914 user
11 usuario4 D ['usuario1'] C 4 4373.6000061 4345 user
11 usuario5 D ['usuario10'] D 1 4927.20007896 4899 user
11 usuario6 C ['usuario8'] D 0 1640.89989662 1614 user
11 usuario7 D ['usuario3'] D 1 3433.20012093 3406 user
11 usuario8 D ['usuario6'] C 4 11739.2001152 11708 user
11 usuario9 C ['usuario2'] D 0 9978.29985619 9949 user
