round player action_player opponent action_opponent payoff time_php time_js who_played
1 usuario9 D ['usuario18'] C 4 4480.19981384 4452 user
1 usuario18 C ['usuario9'] D 0 9472.30005264 9443 user
1 usuario7 C ['usuario10'] C 3 2238.19994926 2213 user
1 usuario10 C ['usuario7'] C 3 8133.69989395 8101 user
1 usuario13 C ['usuario5'] C 3 5098.50001335 5043 user
1 usuario5 C ['usuario13'] C 3 3129.30011749 3111 user
1 usuario15 D ['usuario16'] C 4 3587.30006218 3563 user
1 usuario16 C ['usuario15'] D 0 4043.10011864 4015 user
1 usuario12 D ['usuario6'] C 4 4765.99979401 4742 user
1 usuario6 C ['usuario12'] D 0 5961.8999958 5935 user
1 usuario17 C ['usuario2'] C 3 16088.9000893 16053 user
1 usuario2 C ['usuario17'] C 3 6274.90019798 6218 user
1 usuario14 C ['usuario4'] C 3 6971.49991989 6939 user
1 usuario4 C ['usuario14'] C 3 2788.30003738 2748 user
1 usuario11 C ['usuario3'] C 3 34499.0000725 34435 user
1 usuario3 C ['usuario11'] C 3 8762.00008392 8740 user
1 usuario8 C ['usuario1'] C 3 11946.199894 11928 user
1 usuario1 C ['usuario8'] C 3 6753.29995155 6694 user
2 usuario9 C ['usuario18'] C 3 5461.19999886 5401 user
2 usuario18 C ['usuario9'] C 3 2074.10001755 2044 user
2 usuario7 C ['usuario10'] C 3 1495.00012398 1470 user
2 usuario10 C ['usuario7'] C 3 17424.0000248 17404 user
2 usuario13 D ['usuario5'] C 4 6453.80020142 6433 user
2 usuario5 C ['usuario13'] D 0 2331.89988136 2309 user
2 usuario15 D ['usuario16'] D 0 3769.89984512 3756 user
2 usuario16 D ['usuario15'] D 0 3273.50020409 3247 user
2 usuario12 D ['usuario6'] C 4 13072.5998878 13046 user
2 usuario6 C ['usuario12'] D 0 7720.49999237 7686 user
2 usuario17 C ['usuario2'] C 3 3236.1998558 3211 user
2 usuario2 C ['usuario17'] C 3 22779.2000771 22755 user
2 usuario14 C ['usuario4'] C 3 8195.60003281 8162 user
2 usuario4 C ['usuario14'] C 3 3685.49990654 3671 user
2 usuario11 D ['usuario3'] C 4 9848.00004959 9819 user
2 usuario3 C ['usuario11'] D 0 11604.6998501 11576 user
2 usuario8 C ['usuario1'] D 0 6240.90003967 6214 user
2 usuario1 D ['usuario8'] C 4 9882.40003586 9861 user
3 usuario9 D ['usuario18'] C 4 10770.2999115 10751 user
3 usuario18 C ['usuario9'] D 0 1869.69995499 1841 user
3 usuario7 C ['usuario10'] C 3 953.900098801 925 user
3 usuario10 C ['usuario7'] C 3 5382.49993324 5355 user
3 usuario13 C ['usuario5'] C 3 4485.99982262 4461 user
3 usuario5 C ['usuario13'] C 3 3436.1000061 3411 user
3 usuario15 D ['usuario16'] D 0 2919.99983788 2899 user
3 usuario16 D ['usuario15'] D 0 2759.29999352 2737 user
3 usuario12 D ['usuario6'] D 0 25743.9000607 25718 user
3 usuario6 D ['usuario12'] D 0 6012.20011711 5982 user
3 usuario17 D ['usuario2'] C 4 3371.59991264 3348 user
3 usuario2 C ['usuario17'] D 0 16315.2999878 15503 user
3 usuario14 C ['usuario4'] C 3 3743.90006065 3727 user
3 usuario4 C ['usuario14'] C 3 3093.29986572 3068 user
3 usuario11 C ['usuario3'] C 3 8961.09986305 8935 user
3 usuario3 C ['usuario11'] C 3 5676.39994621 5649 user
3 usuario8 D ['usuario1'] D 0 7956.09998703 7931 user
3 usuario1 D ['usuario8'] D 0 14401.8998146 14373 user
4 usuario9 C ['usuario18'] C 3 3460.3998661 3443 user
4 usuario18 C ['usuario9'] C 3 1868.80016327 1837 user
4 usuario7 C ['usuario10'] C 3 1649.89995956 1627 user
4 usuario10 C ['usuario7'] C 3 5617.30003357 5595 user
4 usuario13 C ['usuario5'] C 3 2526.99995041 2508 user
4 usuario5 C ['usuario13'] C 3 3966.59994125 3938 user
4 usuario15 D ['usuario16'] D 0 7436.39993668 7380 user
4 usuario16 D ['usuario15'] D 0 2168.49994659 2143 user
4 usuario12 D ['usuario6'] D 0 9811.80000305 9782 user
4 usuario6 D ['usuario12'] D 0 5548.90012741 5523 user
4 usuario17 D ['usuario2'] D 0 4519.20008659 4497 user
4 usuario2 D ['usuario17'] D 0 6374.30000305 6346 user
4 usuario14 C ['usuario4'] C 3 3593.6999321 3566 user
4 usuario4 C ['usuario14'] C 3 2845.80016136 2831 user
4 usuario11 C ['usuario3'] C 3 13497.2000122 13469 user
4 usuario3 C ['usuario11'] C 3 4784.69991684 4770 user
4 usuario8 D ['usuario1'] D 0 2865.6001091 2840 user
4 usuario1 D ['usuario8'] D 0 5060.89997292 5030 user
5 usuario9 C ['usuario18'] C 3 6429.80003357 6401 user
5 usuario18 C ['usuario9'] C 3 1703.50003242 1687 user
5 usuario7 C ['usuario10'] C 3 1340.29984474 1313 user
5 usuario10 C ['usuario7'] C 3 15445.8999634 15418 user
5 usuario13 C ['usuario5'] C 3 3300.20022392 3274 user
5 usuario5 C ['usuario13'] C 3 1351.70006752 1328 user
5 usuario15 D ['usuario16'] D 0 19766.5998936 19741 user
5 usuario16 D ['usuario15'] D 0 2743.29996109 2722 user
5 usuario12 D ['usuario6'] C 4 8210.50000191 8185 user
5 usuario6 C ['usuario12'] D 0 2017.59982109 1999 user
5 usuario17 C ['usuario2'] D 0 2587.20016479 2572 user
5 usuario2 D ['usuario17'] C 4 8556.80012703 8527 user
5 usuario14 C ['usuario4'] C 3 2123.80003929 2105 user
5 usuario4 C ['usuario14'] C 3 1887.89987564 1865 user
5 usuario11 C ['usuario3'] C 3 6297.30010033 6269 user
5 usuario3 C ['usuario11'] C 3 2634.59992409 2611 user
5 usuario8 D ['usuario1'] D 0 3729.29978371 3706 user
5 usuario1 D ['usuario8'] D 0 3957.60011673 3930 user
6 usuario9 D ['usuario18'] C 4 5293.49994659 5265 user
6 usuario18 C ['usuario9'] D 0 1816.40005112 1778 user
6 usuario7 C ['usuario10'] C 3 614.000082016 591 user
6 usuario10 C ['usuario7'] C 3 4229.30002213 4206 user
6 usuario13 C ['usuario5'] C 3 3521.39997482 3495 user
6 usuario5 C ['usuario13'] C 3 1766.00003242 1740 user
6 usuario15 C ['usuario16'] D 0 7783.69998932 7756 user
6 usuario16 D ['usuario15'] C 4 2149.3999958 2123 user
6 usuario12 C ['usuario6'] C 3 4479.79998589 4457 user
6 usuario6 C ['usuario12'] C 3 5712.59999275 5684 user
6 usuario17 D ['usuario2'] C 4 2667.50001907 2644 user
6 usuario2 C ['usuario17'] D 0 4673.39992523 4658 user
6 usuario14 C ['usuario4'] C 3 1336.09986305 1320 user
6 usuario4 C ['usuario14'] C 3 1596.69995308 1570 user
6 usuario11 D ['usuario3'] C 4 3731.60004616 3708 user
6 usuario3 C ['usuario11'] D 0 1318.09997559 1292 user
6 usuario8 D ['usuario1'] C 4 2434.99994278 2408 user
6 usuario1 C ['usuario8'] D 0 1438.8999939 1413 user
7 usuario9 C ['usuario18'] D 0 5660.70008278 5641 user
7 usuario18 D ['usuario9'] C 4 4363.39998245 4347 user
