round,player,action_player,opponent,action_opponent,payoff,time_php,time_js,who_played
1,s5m20_usuario1,D,['s5m20_usuario12'],D,1,6705.29985428,6678,user
1,s5m20_usuario2,C,['s5m20_usuario10'],D,0,4630.29980659,4601,user
1,s5m20_usuario3,D,['s5m20_usuario5'],D,1,12807.0001602,12777,user
1,s5m20_usuario4,C,['s5m20_usuario13'],C,3,2428.1001091,2399,user
1,s5m20_usuario5,D,['s5m20_usuario3'],D,1,17117.1000004,17088,user
1,s5m20_usuario6,D,['s5m20_usuario18'],C,4,5645.90001106,5609,user
1,s5m20_usuario7,C,['s5m20_usuario17'],D,0,4085.60013771,4066,user
1,s5m20_usuario8,C,['s5m20_usuario11'],D,0,7777.40001678,7746,user
1,s5m20_usuario9,D,['s5m20_usuario14'],D,1,4185.79983711,4159,user
1,s5m20_usuario10,D,['s5m20_usuario2'],C,4,7459.39993858,7406,user
1,s5m20_usuario11,D,['s5m20_usuario8'],C,4,8442.19994545,8411,user
1,s5m20_usuario12,D,['s5m20_usuario1'],D,1,13338.9999866,13305,user
1,s5m20_usuario13,C,['s5m20_usuario4'],C,3,5373.20017815,5348,user
1,s5m20_usuario14,D,['s5m20_usuario9'],D,1,18159.6000195,18097,user
1,s5m20_usuario15,C,['s5m20_usuario16'],C,3,17341.5999413,17290,user
1,s5m20_usuario16,C,['s5m20_usuario15'],C,3,7197.60012627,7134,user
1,s5m20_usuario17,D,['s5m20_usuario7'],C,4,6368.19982529,6317,user
1,s5m20_usuario18,C,['s5m20_usuario6'],D,0,6144.00005341,6095,user
2,s5m20_usuario1,C,['s5m20_usuario5'],C,3,12141.2000656,12111,user
2,s5m20_usuario2,C,['s5m20_usuario11'],C,3,10291.200161,10241,user
2,s5m20_usuario3,D,['s5m20_usuario15'],D,1,8909.09981728,8882,user
2,s5m20_usuario4,C,['s5m20_usuario9'],C,3,2288.69986534,2269,user
2,s5m20_usuario5,C,['s5m20_usuario1'],C,3,3858.39986801,3835,user
2,s5m20_usuario6,C,['s5m20_usuario16'],C,3,12730.0999165,12699,user
