round,player,action_player,opponent,action_opponent,payoff,time_php,time_js,who_played
1,s4m8_usuario2,D,['s4m8_usuario7'],C,4,4616.29986763,4600,user
1,s4m8_usuario7,C,['s4m8_usuario2'],D,0,4081.79998398,4055,user
1,s4m8_usuario14,C,['s4m8_usuario13'],C,3,5450.29997826,5394,user
1,s4m8_usuario13,C,['s4m8_usuario14'],C,3,7837.39995956,7806,user
1,s4m8_usuario9,D,['s4m8_usuario10'],C,4,15086.5001678,15067,user
1,s4m8_usuario10,C,['s4m8_usuario9'],D,0,12510.7002258,12483,user
1,s4m8_usuario8,C,['s4m8_usuario1'],C,3,10614.5999432,10559,user
1,s4m8_usuario1,C,['s4m8_usuario8'],C,3,4645.09987831,4622,user
1,s4m8_usuario11,D,['s4m8_usuario4'],D,1,26435.199976,26404,user
1,s4m8_usuario4,D,['s4m8_usuario11'],D,1,4593.40000153,4568,user
1,s4m8_usuario5,D,['s4m8_usuario3'],C,4,3745.80001831,3718,user
1,s4m8_usuario3,C,['s4m8_usuario5'],D,0,2883.80002975,2856,user
1,s4m8_usuario12,D,['s4m8_usuario6'],C,4,6123.90017509,6105,user
1,s4m8_usuario6,C,['s4m8_usuario12'],D,0,2549.50022697,2524,user
2,s4m8_usuario2,D,['s4m8_usuario7'],C,4,6783.69998932,6756,user
2,s4m8_usuario7,C,['s4m8_usuario2'],D,0,3558.59994888,3541,user
2,s4m8_usuario14,C,['s4m8_usuario13'],C,3,5903.59997749,5883,user
2,s4m8_usuario13,C,['s4m8_usuario14'],C,3,2934.09991264,2907,user
2,s4m8_usuario9,D,['s4m8_usuario10'],D,1,17433.3000183,17408,user
2,s4m8_usuario10,D,['s4m8_usuario9'],D,1,4521.19994164,4505,user
2,s4m8_usuario8,D,['s4m8_usuario1'],C,4,18549.0999222,18521,user
2,s4m8_usuario1,C,['s4m8_usuario8'],D,0,2841.09997749,2817,user
2,s4m8_usuario11,C,['s4m8_usuario4'],C,3,5878.90005112,5850,user
2,s4m8_usuario4,C,['s4m8_usuario11'],C,3,2945.9002018,2922,user
2,s4m8_usuario5,D,['s4m8_usuario3'],C,4,5603.1999588,5576,user
2,s4m8_usuario3,C,['s4m8_usuario5'],D,0,3780.20000458,3754,user
2,s4m8_usuario12,C,['s4m8_usuario6'],C,3,5147.39990234,5121,user
2,s4m8_usuario6,C,['s4m8_usuario12'],C,3,19442.499876,19396,user
3,s4m8_usuario2,C,['s4m8_usuario7'],D,0,9006.09993935,8987,user
3,s4m8_usuario7,D,['s4m8_usuario2'],C,4,1977.59985924,1953,user
3,s4m8_usuario14,C,['s4m8_usuario13'],C,3,5582.60011673,5554,user
3,s4m8_usuario13,C,['s4m8_usuario14'],C,3,1214.60008621,1191,user
3,s4m8_usuario9,C,['s4m8_usuario10'],D,0,4466.30001068,4439,user
3,s4m8_usuario10,D,['s4m8_usuario9'],C,4,17745.8000183,17717,user
3,s4m8_usuario8,C,['s4m8_usuario1'],C,3,8869.4999218,8841,user
3,s4m8_usuario1,C,['s4m8_usuario8'],C,3,9169.39997673,9110,user
3,s4m8_usuario11,C,['s4m8_usuario4'],C,3,10258.2001686,10229,user
3,s4m8_usuario4,C,['s4m8_usuario11'],C,3,8456.69984818,8431,user
3,s4m8_usuario5,D,['s4m8_usuario3'],D,1,3684.70001221,3661,user
3,s4m8_usuario3,D,['s4m8_usuario5'],D,1,10185.199976,10128,user
3,s4m8_usuario12,C,['s4m8_usuario6'],C,3,9443.70007515,9414,user
3,s4m8_usuario6,C,['s4m8_usuario12'],C,3,2476.6998291,2452,user
4,s4m8_usuario2,D,['s4m8_usuario7'],D,1,5780.90000153,5750,user
4,s4m8_usuario7,D,['s4m8_usuario2'],D,1,2404.40011024,2379,user
4,s4m8_usuario14,C,['s4m8_usuario13'],C,3,7230.40008545,7202,user
4,s4m8_usuario13,C,['s4m8_usuario14'],C,3,990.000009537,966,user
4,s4m8_usuario9,C,['s4m8_usuario10'],C,3,13472.2001553,13444,user
4,s4m8_usuario10,C,['s4m8_usuario9'],C,3,17450.1998425,17387,user
4,s4m8_usuario8,D,['s4m8_usuario1'],C,4,11244.2998886,11220,user
