11920.0000763, C, 126, 1, first, 4, MCC, first, 0.389920424403, 5
9329.99992371, D, 126, 2, C, 3, MCC, user, 0.179487179487, 3
26100.0001431, D, 126, 3, D, 4, MCC, user, 0.237288135593, 4
7380.00011444, D, 126, 5, C, 1, MCC, auto, 0.10447761194, 1
23939.9998188, D, 126, 6, D, 4, MCC, user, 0.269230769231, 4
18110.0001335, D, 126, 7, D, 3, MCC, user, 0.230769230769, 3
12230.0000191, C, 126, 8, D, 4, MCC, user, 0.550561797753, 5
12190.0000572, D, 126, 9, C, 4, MCC, user, 0.411764705882, 4
19730.0000191, D, 126, 10, D, 4, MCC, user, 0.324894514768, 4
17130.0001144, D, 126, 11, D, 2, MCC, user, 0.122807017544, 2
18779.9999714, C, 126, 12, D, 1, MCC, user, 0.0909090909091, 2
7629.99987602, D, 126, 13, C, 3, MCC, user, 0.225806451613, 3
14200.0000477, D, 126, 14, D, 3, MCC, user, 0.259259259259, 3
6500.0, C, 126, 15, D, 3, MCC, user, 0.396226415094, 4
15850.0001431, D, 126, 16, C, 4, MCC, user, 0.388888888889, 4
11420.0000763, D, 126, 17, D, 0, MCC, user, 0.0, 0
24220.0000286, C, 126, 18, D, 4, MCC, user, 0.426523297491, 5
9240.00000954, C, 126, 19, C, 3, MCC, user, 0.298780487805, 4
29510.0002289, C, 126, 20, C, 0, MCC, user, 0.0, 1
10690.0000572, C, 126, 21, C, 1, MCC, user, 0.0909090909091, 2
4719.99979019, D, 126, 22, C, 3, MCC, user, 0.207920792079, 3
7359.9998951, D, 126, 23, D, 3, MCC, user, 0.259259259259, 3
22750.0, D, 126, 24, D, 3, MCC, user, 0.157303370787, 3
18610.0001335, D, 126, 25, D, 3, MCC, user, 0.234449760766, 3
25779.9999714, D, 126, 26, D, 2, MCC, user, 0.207920792079, 2
25170.0000763, D, 126, 27, D, 2, MCC, user, 0.259259259259, 2
13430.0000668, C, 126, 28, D, 3, MCC, user, 0.48275862069, 4
6750.0, C, 126, 29, C, 2, MCC, user, 0.205020920502, 3
15829.9999237, D, 126, 30, C, 4, MCC, user, 0.288389513109, 4
9970.00002861, C, 126, 31, D, 0, MCC, user, 0.0, 1
5920.00007629, D, 126, 32, C, 2, MCC, user, 0.0804597701149, 2
25059.9999428, D, 126, 33, D, 2, MCC, user, 0.0, 2
22750.0, D, 126, 34, D, 2, MCC, user, 0.0355329949239, 2
18629.999876, D, 126, 35, D, 0, MCC, user, 0.0, 0
24549.9999523, D, 126, 36, D, 2, MCC, user, 0.112903225806, 2
19420.0000763, C, 126, 37, D, 2, MCC, user, 0.205020920502, 3
18500.0, D, 126, 38, C, 2, MCC, user, 0.148936170213, 2
28460.0000381, D, 126, 39, D, 2, MCC, user, 0.189189189189, 2
19000.0, D, 126, 40, D, 3, MCC, user, 0.179487179487, 3
22880.0001144, D, 126, 41, D, 1, MCC, user, 0.0654205607477, 1
9680.00006676, C, 126, 42, D, 0, MCC, user, 0.0, 1
4940.00005722, C, 126, 43, C, 1, MCC, user, 0.0721649484536, 2
4940.00005722, C, 126, 44, C, 3, MCC, user, 0.285714285714, 4
10720.0000286, C, 126, 45, C, 4, MCC, user, 0.427480916031, 5
10300.0001907, D, 126, 46, C, 2, MCC, user, 0.139072847682, 2
9019.99998093, D, 126, 47, D, 2, MCC, user, 0.179487179487, 2
8529.99997139, D, 64, 1, first, 6, MCC, first, 0.512195121951, 6
20700.0000477, C, 64, 2, D, 1, MCC, user, 0.0995260663507, 2
9509.99999046, D, 64, 3, C, 4, MCC, user, 0.32384341637, 4
7759.99999046, C, 64, 4, D, 4, MCC, user, 0.364161849711, 5
5529.99997139, D, 64, 5, C, 1, MCC, user, 0.0510948905109, 1
17149.9998569, C, 64, 6, D, 3, MCC, user, 0.311740890688, 4
8400.00009537, C, 64, 7, C, 1, MCC, user, 0.166666666667, 2
6390.0001049, C, 64, 8, C, 5, MCC, user, 0.623287671233, 6
6519.99998093, D, 64, 9, C, 3, MCC, user, 0.162790697674, 3
5559.99994278, C, 64, 10, D, 1, MCC, user, 0.155555555556, 2
7049.99995232, D, 64, 11, C, 3, MCC, user, 0.155555555556, 3
2690.00005722, D, 64, 12, D, 3, MCC, user, 0.148936170213, 3
3759.99999046, D, 64, 13, D, 1, MCC, user, 0.10447761194, 1
3720.00002861, C, 64, 14, D, 2, MCC, user, 0.207920792079, 3
6079.99992371, D, 64, 15, C, 4, MCC, user, 0.324894514768, 4
4959.99979973, D, 64, 16, D, 1, MCC, user, 0.116022099448, 1
3390.0001049, D, 64, 17, D, 1, MCC, user, 0.0804597701149, 1
2569.99993324, C, 64, 18, D, 4, MCC, user, 0.48275862069, 5
6319.99993324, C, 64, 19, C, 4, MCC, user, 0.373040752351, 5
2980.00001907, D, 64, 20, C, 2, MCC, user, 0.112903225806, 2
4829.99992371, D, 64, 21, D, 2, MCC, user, 0.148936170213, 2
3789.99996185, C, 64, 22, D, 1, MCC, user, 0.122807017544, 2
4500.0, D, 64, 23, C, 1, MCC, user, 0.0721649484536, 1
2600.00014305, D, 64, 24, D, 2, MCC, user, 0.116022099448, 2
2830.00016212, C, 64, 25, D, 3, MCC, user, 0.237288135593, 4
5030.00020981, D, 64, 26, C, 1, MCC, user, 0.0804597701149, 1
2590.00015259, D, 64, 27, D, 1, MCC, user, 0.0, 1
3679.99982834, C, 64, 28, D, 3, MCC, user, 0.45652173913, 4
6389.99986649, D, 64, 29, C, 3, MCC, user, 0.213973799127, 3
3260.00022888, C, 64, 30, D, 2, MCC, user, 0.21875, 3
5029.99997139, D, 64, 31, C, 1, MCC, user, 0.0, 1
5149.99985695, D, 64, 32, D, 3, MCC, user, 0.285714285714, 3
4930.00006676, C, 64, 33, D, 0, MCC, user, 0.0, 1
11939.9998188, D, 64, 34, C, 3, MCC, user, 0.0395480225989, 3
