10019.9999809, D, 145, 1, first, 2, MCC, first, 0.141414141414, 2
4610.00013351, D, 145, 2, D, 4, MCC, user, 0.230769230769, 4
5079.99992371, D, 145, 3, D, 2, MCC, user, 0.0686274509804, 2
2080.00016212, D, 145, 4, D, 4, MCC, user, 0.230769230769, 4
9940.00005722, D, 145, 5, D, 2, MCC, user, 0.0853658536585, 2
1359.9998951, D, 145, 6, D, 4, MCC, user, 0.304347826087, 4
8660.00008583, D, 145, 7, D, 2, MCC, user, 0.289940828402, 2
4329.99992371, D, 145, 8, D, 2, MCC, user, 0.157303370787, 2
5690.00005722, C, 145, 9, D, 2, MCC, user, 0.132075471698, 3
4079.99992371, C, 145, 10, C, 2, MCC, user, 0.247787610619, 3
2700.00004768, D, 145, 11, C, 1, MCC, user, 0.0, 1
4379.99987602, D, 145, 12, D, 2, MCC, user, 0.207920792079, 2
2480.00001907, D, 145, 13, D, 2, MCC, user, 0.0338164251208, 2
2470.00002861, D, 145, 14, D, 3, MCC, user, 0.122807017544, 3
2120.00012398, D, 145, 15, D, 3, MCC, user, 0.244186046512, 3
1700.00004768, D, 145, 16, D, 4, MCC, user, 0.166666666667, 4
4139.99986649, D, 145, 17, D, 0, MCC, user, 0.0, 0
3569.99993324, D, 145, 18, D, 3, MCC, user, 0.179487179487, 3
1380.00011444, D, 145, 19, D, 2, MCC, user, 0.0909090909091, 2
1550.00019073, D, 145, 20, D, 4, MCC, user, 0.21875, 4
3730.00001907, D, 145, 21, D, 0, MCC, user, 0.0, 0
2009.99999046, D, 145, 22, D, 1, MCC, user, 0.189189189189, 1
1920.00007629, D, 145, 23, D, 2, MCC, user, 0.0355329949239, 2
1110.00013351, D, 145, 24, D, 1, MCC, user, 0.112903225806, 1
1149.99985695, D, 145, 25, D, 4, MCC, user, 0.271844660194, 4
3029.99997139, D, 145, 26, D, 3, MCC, user, 0.148936170213, 3
1759.99999046, D, 145, 27, D, 2, MCC, user, 0.148936170213, 2
2650.00009537, D, 145, 28, D, 2, MCC, user, 0.0972222222222, 2
4720.00002861, D, 145, 29, D, 2, MCC, user, 0.259259259259, 2
5319.99993324, D, 145, 30, D, 1, MCC, user, 0.0, 1
2099.99990463, D, 145, 31, D, 1, MCC, user, 0.148936170213, 1
3980.00001907, D, 145, 32, D, 1, MCC, user, 0.0445859872611, 1
2420.00007629, D, 145, 33, D, 3, MCC, user, 0.21875, 3
1759.99999046, D, 145, 34, D, 3, MCC, user, 0.170731707317, 3
4109.9998951, D, 145, 35, D, 3, MCC, user, 0.207920792079, 3
5160.00008583, D, 145, 36, D, 1, MCC, user, 0.0510948905109, 1
3409.99984741, D, 145, 37, D, 3, MCC, user, 0.141414141414, 3
1820.00017166, D, 145, 38, D, 1, MCC, user, 0.0510948905109, 1
1689.9998188, D, 145, 39, D, 1, MCC, user, 0.0, 1
2630.00011444, D, 145, 40, D, 2, MCC, user, 0.157303370787, 2
1379.99987602, D, 145, 41, D, 1, MCC, user, 0.0909090909091, 1
1759.99999046, D, 145, 42, D, 1, MCC, user, 0.0, 1
2220.00002861, D, 145, 43, D, 3, MCC, user, 0.207920792079, 3
6259.99999046, D, 145, 44, D, 2, MCC, user, 0.0551181102362, 2
4680.00006676, D, 145, 45, D, 1, MCC, user, 0.0, 1
1869.99988556, D, 145, 46, D, 2, MCC, user, 0.0, 2
2589.99991417, D, 145, 47, D, 1, MCC, user, 0.0, 1
1920.00007629, D, 145, 48, D, 2, MCC, user, 0.0972222222222, 2
