,Unnamed: 0,round,player,action_player,opponent,action_opponent,payoff,rt,session,treatment,actions,response,abs_time,type,user,prev,self,other
1800,1800,1,s4m8_usuario2,D,s4m8_usuario7,C,4,-4.6,s4m8,fix,00D,0,4.6,Pro-social,s4m8_usuario2,0D,0,0
1801,1814,2,s4m8_usuario2,D,s4m8_usuario7,C,4,-6.756,s4m8,fix,DCD,0,6.756,Pro-social,s4m8_usuario2,CD,4,0
1802,1828,3,s4m8_usuario2,C,s4m8_usuario7,D,0,8.987,s4m8,fix,DCC,1,8.987,Pro-social,s4m8_usuario2,CC,3,3
1803,1842,4,s4m8_usuario2,D,s4m8_usuario7,D,1,-5.75,s4m8,fix,CDD,0,5.75,Pro-social,s4m8_usuario2,DD,1,1
1804,1856,5,s4m8_usuario2,C,s4m8_usuario7,C,3,10.82,s4m8,fix,DDC,1,10.82,Pro-social,s4m8_usuario2,DC,0,4
1805,1870,6,s4m8_usuario2,C,s4m8_usuario7,C,3,6.138,s4m8,fix,CCC,1,6.138,Pro-social,s4m8_usuario2,CC,3,3
1806,1884,7,s4m8_usuario2,C,s4m8_usuario7,C,3,3.556,s4m8,fix,CCC,1,3.556,Pro-social,s4m8_usuario2,CC,3,3
1807,1898,8,s4m8_usuario2,C,s4m8_usuario7,C,3,1.599,s4m8,fix,CCC,1,1.599,Pro-social,s4m8_usuario2,CC,3,3
1808,1912,9,s4m8_usuario2,C,s4m8_usuario7,C,3,1.419,s4m8,fix,CCC,1,1.419,Pro-social,s4m8_usuario2,CC,3,3
1809,1926,10,s4m8_usuario2,C,s4m8_usuario7,C,3,1.636,s4m8,fix,CCC,1,1.636,Pro-social,s4m8_usuario2,CC,3,3
1810,1940,11,s4m8_usuario2,C,s4m8_usuario7,C,3,1.6969999999999998,s4m8,fix,CCC,1,1.6969999999999998,Pro-social,s4m8_usuario2,CC,3,3
1811,1954,12,s4m8_usuario2,C,s4m8_usuario7,C,3,2.1790000000000003,s4m8,fix,CCC,1,2.1790000000000003,Pro-social,s4m8_usuario2,CC,3,3
1812,1968,13,s4m8_usuario2,C,s4m8_usuario7,C,3,2.213,s4m8,fix,CCC,1,2.213,Pro-social,s4m8_usuario2,CC,3,3
1813,1982,14,s4m8_usuario2,C,s4m8_usuario7,C,3,2.821,s4m8,fix,CCC,1,2.821,Pro-social,s4m8_usuario2,CC,3,3
1814,1996,15,s4m8_usuario2,C,s4m8_usuario7,C,3,1.974,s4m8,fix,CCC,1,1.974,Pro-social,s4m8_usuario2,CC,3,3
1815,2010,16,s4m8_usuario2,C,s4m8_usuario7,C,3,2.969,s4m8,fix,CCC,1,2.969,Pro-social,s4m8_usuario2,CC,3,3
1816,2024,17,s4m8_usuario2,C,s4m8_usuario7,C,3,3.322,s4m8,fix,CCC,1,3.322,Pro-social,s4m8_usuario2,CC,3,3
1817,2038,18,s4m8_usuario2,C,s4m8_usuario7,C,3,2.365,s4m8,fix,CCC,1,2.365,Pro-social,s4m8_usuario2,CC,3,3
1818,2052,19,s4m8_usuario2,C,s4m8_usuario7,C,3,2.318,s4m8,fix,CCC,1,2.318,Pro-social,s4m8_usuario2,CC,3,3
1819,2066,20,s4m8_usuario2,C,s4m8_usuario7,C,3,1.4080000000000001,s4m8,fix,CCC,1,1.4080000000000001,Pro-social,s4m8_usuario2,CC,3,3
1820,2080,21,s4m8_usuario2,C,s4m8_usuario7,C,3,3.818,s4m8,fix,CCC,1,3.818,Pro-social,s4m8_usuario2,CC,3,3
1821,2094,22,s4m8_usuario2,C,s4m8_usuario7,C,3,7.096,s4m8,fix,CCC,1,7.096,Pro-social,s4m8_usuario2,CC,3,3
1822,2108,23,s4m8_usuario2,C,s4m8_usuario7,C,3,7.367999999999999,s4m8,fix,CCC,1,7.367999999999999,Pro-social,s4m8_usuario2,CC,3,3
1823,2122,24,s4m8_usuario2,C,s4m8_usuario7,C,3,5.254,s4m8,fix,CCC,1,5.254,Pro-social,s4m8_usuario2,CC,3,3
1824,2136,25,s4m8_usuario2,C,s4m8_usuario7,C,3,2.543,s4m8,fix,CCC,1,2.543,Pro-social,s4m8_usuario2,CC,3,3
1825,2150,26,s4m8_usuario2,C,s4m8_usuario7,C,3,2.23,s4m8,fix,CCC,1,2.23,Pro-social,s4m8_usuario2,CC,3,3
1826,2164,27,s4m8_usuario2,C,s4m8_usuario7,C,3,5.095,s4m8,fix,CCC,1,5.095,Pro-social,s4m8_usuario2,CC,3,3
1827,2178,28,s4m8_usuario2,C,s4m8_usuario7,C,3,2.475,s4m8,fix,CCC,1,2.475,Pro-social,s4m8_usuario2,CC,3,3
1828,2192,29,s4m8_usuario2,C,s4m8_usuario7,C,3,2.945,s4m8,fix,CCC,1,2.945,Pro-social,s4m8_usuario2,CC,3,3
1829,2206,30,s4m8_usuario2,C,s4m8_usuario7,C,3,3.4930000000000003,s4m8,fix,CCC,1,3.4930000000000003,Pro-social,s4m8_usuario2,CC,3,3
1830,2220,31,s4m8_usuario2,C,s4m8_usuario7,C,3,1.875,s4m8,fix,CCC,1,1.875,Pro-social,s4m8_usuario2,CC,3,3
1831,2234,32,s4m8_usuario2,C,s4m8_usuario7,C,3,3.013,s4m8,fix,CCC,1,3.013,Pro-social,s4m8_usuario2,CC,3,3
1832,2248,33,s4m8_usuario2,C,s4m8_usuario7,C,3,3.1460000000000004,s4m8,fix,CCC,1,3.1460000000000004,Pro-social,s4m8_usuario2,CC,3,3
1833,2262,34,s4m8_usuario2,C,s4m8_usuario7,C,3,1.999,s4m8,fix,CCC,1,1.999,Pro-social,s4m8_usuario2,CC,3,3
1834,2276,35,s4m8_usuario2,C,s4m8_usuario7,C,3,2.128,s4m8,fix,CCC,1,2.128,Pro-social,s4m8_usuario2,CC,3,3
1835,2290,36,s4m8_usuario2,C,s4m8_usuario7,C,3,3.247,s4m8,fix,CCC,1,3.247,Pro-social,s4m8_usuario2,CC,3,3
1836,2304,37,s4m8_usuario2,C,s4m8_usuario7,C,3,3.063,s4m8,fix,CCC,1,3.063,Pro-social,s4m8_usuario2,CC,3,3
1837,2318,38,s4m8_usuario2,C,s4m8_usuario7,C,3,6.202999999999999,s4m8,fix,CCC,1,6.202999999999999,Pro-social,s4m8_usuario2,CC,3,3
1838,2332,39,s4m8_usuario2,C,s4m8_usuario7,C,3,1.732,s4m8,fix,CCC,1,1.732,Pro-social,s4m8_usuario2,CC,3,3
1839,2346,40,s4m8_usuario2,C,s4m8_usuario7,C,3,2.471,s4m8,fix,CCC,1,2.471,Pro-social,s4m8_usuario2,CC,3,3
1840,2360,41,s4m8_usuario2,C,s4m8_usuario7,C,3,1.534,s4m8,fix,CCC,1,1.534,Pro-social,s4m8_usuario2,CC,3,3
1841,2374,42,s4m8_usuario2,C,s4m8_usuario7,C,3,2.2769999999999997,s4m8,fix,CCC,1,2.2769999999999997,Pro-social,s4m8_usuario2,CC,3,3
1842,2388,43,s4m8_usuario2,C,s4m8_usuario7,C,3,1.636,s4m8,fix,CCC,1,1.636,Pro-social,s4m8_usuario2,CC,3,3
1843,2402,44,s4m8_usuario2,C,s4m8_usuario7,C,3,3.076,s4m8,fix,CCC,1,3.076,Pro-social,s4m8_usuario2,CC,3,3
1844,2416,45,s4m8_usuario2,C,s4m8_usuario7,C,3,2.055,s4m8,fix,CCC,1,2.055,Pro-social,s4m8_usuario2,CC,3,3
1845,2430,46,s4m8_usuario2,C,s4m8_usuario7,C,3,1.158,s4m8,fix,CCC,1,1.158,Pro-social,s4m8_usuario2,CC,3,3
1846,2444,47,s4m8_usuario2,C,s4m8_usuario7,C,3,1.369,s4m8,fix,CCC,1,1.369,Pro-social,s4m8_usuario2,CC,3,3
