,round,player,action_player,opponent,action_opponent,payoff,rt,session,treatment,actions,response,abs_time
0,1,s3m7_usuario9,D,['s3m7_usuario18'],C,4,-4.452,s3m7,weak,00D,0,4.452
1,1,s3m7_usuario18,C,['s3m7_usuario9'],D,0,9.443,s3m7,weak,00C,1,9.443
2,1,s3m7_usuario7,C,['s3m7_usuario10'],C,3,2.213,s3m7,weak,00C,1,2.213
3,1,s3m7_usuario10,C,['s3m7_usuario7'],C,3,8.101,s3m7,weak,00C,1,8.101
4,1,s3m7_usuario13,C,['s3m7_usuario5'],C,3,5.043,s3m7,weak,00C,1,5.043
5,1,s3m7_usuario5,C,['s3m7_usuario13'],C,3,3.111,s3m7,weak,00C,1,3.111
6,1,s3m7_usuario15,D,['s3m7_usuario16'],C,4,-3.563,s3m7,weak,00D,0,3.563
7,1,s3m7_usuario16,C,['s3m7_usuario15'],D,0,4.015,s3m7,weak,00C,1,4.015
8,1,s3m7_usuario12,D,['s3m7_usuario6'],C,4,-4.742,s3m7,weak,00D,0,4.742
9,1,s3m7_usuario6,C,['s3m7_usuario12'],D,0,5.935,s3m7,weak,00C,1,5.935
10,1,s3m7_usuario17,C,['s3m7_usuario2'],C,3,16.053,s3m7,weak,00C,1,16.053
11,1,s3m7_usuario2,C,['s3m7_usuario17'],C,3,6.218,s3m7,weak,00C,1,6.218
12,1,s3m7_usuario14,C,['s3m7_usuario4'],C,3,6.939,s3m7,weak,00C,1,6.939
13,1,s3m7_usuario4,C,['s3m7_usuario14'],C,3,2.748,s3m7,weak,00C,1,2.748
14,1,s3m7_usuario11,C,['s3m7_usuario3'],C,3,34.435,s3m7,weak,00C,1,34.435
15,1,s3m7_usuario3,C,['s3m7_usuario11'],C,3,8.74,s3m7,weak,00C,1,8.74
16,1,s3m7_usuario8,C,['s3m7_usuario1'],C,3,11.928,s3m7,weak,00C,1,11.928
17,1,s3m7_usuario1,C,['s3m7_usuario8'],C,3,6.694,s3m7,weak,00C,1,6.694
18,2,s3m7_usuario9,C,['s3m7_usuario18'],C,3,5.401,s3m7,weak,DCC,1,5.401
19,2,s3m7_usuario18,C,['s3m7_usuario9'],C,3,2.044,s3m7,weak,CDC,1,2.044
20,2,s3m7_usuario7,C,['s3m7_usuario10'],C,3,1.47,s3m7,weak,CCC,1,1.47
21,2,s3m7_usuario10,C,['s3m7_usuario7'],C,3,17.404,s3m7,weak,CCC,1,17.404
22,2,s3m7_usuario13,D,['s3m7_usuario5'],C,4,-6.433,s3m7,weak,CCD,0,6.433
23,2,s3m7_usuario5,C,['s3m7_usuario13'],D,0,2.309,s3m7,weak,CCC,1,2.309
24,2,s3m7_usuario15,D,['s3m7_usuario16'],D,0,-3.756,s3m7,weak,DCD,0,3.756
25,2,s3m7_usuario16,D,['s3m7_usuario15'],D,0,-3.247,s3m7,weak,CDD,0,3.247
