,userid,a,v,t,z,a_st0,v_st0,t_st0,z_st0,a0,v0,t0,z0,a_st10,v_st10,t_st10,z_st10,a10,v10,t10,z10,a_st20,v_st20,t_st20,z_st20,a20,v20,t20,z20,a_st30,v_st30,t_st30,z_st30,a30,v30,t30,z30,a_st40,v_st40,t_st40,z_st40,a40,v40,t40,z40,a_st50,v_st50,t_st50,z_st50,a50,v50,t50,z50,s2,s1
0,145,4.415449704732972,-0.699805511514467,0.4166078252683858,0.4812168044222735,0.587267536833537,0.15970427527555733,0.18304727925509234,0.08368649742646578,4.500644889898005,-0.31324982262658857,0.4204939129969914,0.48800156057553923,0.7337989444901377,0.3088834818838091,0.23492457694463734,0.0946956184902693,3.8449426412852223,-0.9571076421188824,0.5600522939942951,0.5601963489014605,0.6323304127362941,0.293836407085553,0.19111472676337907,0.09363954176884451,3.425833348912297,-0.8702936490952277,0.48204411400545555,0.5175079714854747,0.7312222733404333,0.29100092962148194,0.2827600818423782,0.09400561315538157,3.8300931801500187,-0.8921527867933283,0.6222575210696646,0.5528940594630746,0.6925492750384444,0.28523707549496286,0.2506831247600591,0.09476075819161224,3.665311353704868,-0.8626338439106739,0.5871864256595966,0.5304287205081831,0.628152903259543,0.298304549579129,0.13361120408472463,0.09282717834749478,3.464202201936678,-0.7963735702125682,0.36123499258785363,0.5177023095371189,-392.0,-54
58,130,8.78178310716344,-0.5315348999828573,0.47896657578762275,0.6017801945628186,0.9355009735314854,0.13604513938122165,0.2415796445326534,0.08444927599003005,6.397029796373086,-0.3923472047043178,0.4797283319148861,0.5844664641635808,0.957093586121341,0.12135725442601074,0.22155486025719753,0.08642492972071779,6.790917926000097,-0.32161493504168454,0.4518998005367098,0.5809839689437046,0.8889674105155279,0.12211084234162461,0.22415254734924664,0.08613199468439045,6.545766772490934,-0.3257828164564283,0.449668226407182,0.5595542837232579,0.9344812852495269,0.1316338045109829,0.23211833022713158,0.08463010728759121,6.549002392674027,-0.37775010148653054,0.4696649537479942,0.5851593021216195,0.9073049794025874,0.1274389250914931,0.2325014249628802,0.08655196119053886,6.610079773463256,-0.35561145926400184,0.4633658267276227,0.5824587363915961,0.8364764258158571,0.20529089875093318,0.24491618864417045,0.09279404432771401,5.0022472771949165,-0.4804015919182446,0.48324328235782377,0.5742084076506317,-412.0,-55
113,86,5.033967751507018,-0.4502461758960719,0.7387169767558064,0.40259745575281103,0.7463026612362998,0.22924249840726718,0.24070230207479262,0.09294011671853991,4.403984025329692,-0.5248574322903365,0.4918120607836539,0.544989114705344,0.6868583184937006,0.14018003170897392,0.18558000089095913,0.08008082250704797,5.10133474319351,-0.2765318437582573,0.40011797789871534,0.41718113313505467,0.5919648634430931,0.26911192777769727,0.2976466234532467,0.09136240103962684,3.3687749606681368,-0.6348720727641307,0.6732511816244184,0.5395984704731179,0.7259341091508974,0.16970902463063187,0.23239632596415152,0.08944561472523634,4.877176794022311,-0.3844344041950771,0.47724893628242077,0.4959532131848254,0.8286692152209496,0.36704603755396353,0.31766082637686643,0.09675144655183063,3.801804512220939,-0.8956553647681793,0.6239122260879533,0.5676191368739342,0.572359031053227,0.2514473127847999,0.2714771360242489,0.09286307348121177,3.518192682202176,-0.4366061440082042,0.5669331750832044,0.513989920609654,-140.0,-42
159,22,6.997691067144627,-0.8434701862385303,0.2738445496804569,0.6210207588708234,0.9000868871241074,0.16258715621006525,0.25097739512278006,0.08471679179030694,5.861857127451097,-0.483948543725305,0.5006325255642117,0.5920437086422716,0.929577049946844,0.21129381344208112,0.2698639990782985,0.08573921381314838,5.394272944920082,-0.6600327966272181,0.5392747551914406,0.608458112600592,0.6996977056797092,0.17691817775522037,0.14518216725019675,0.08513212189848976,4.623782039980191,-0.4663921660288238,0.3460441123719269,0.5061729260977964,0.9446198630362119,0.2164234541081062,0.2803553325139692,0.08728128738700906,5.459559261793782,-0.6600758765325663,0.546179669751298,0.6099688273156102,0.966089795914585,0.3039792203141666,0.3376593034689504,0.08803368414555568,4.8778947355709485,-0.9566533648872273,0.6730506485127711,0.6247372606209594,0.9693308087790271,0.3008454418010273,0.31812135879741016,0.09021676137568287,4.730617160076081,-0.8714493056629207,0.6213950797855413,0.6078180308980369,-300.0,-58
217,37,5.028113435134646,-0.2015164726795865,1.329709688333493,0.6003164404611148,0.5779846809269321,0.15357050489878613,0.2650342188746341,0.08749716307071012,4.567280210967445,0.04271744221284062,0.5256982621511652,0.5006928080408841,0.6282735653005509,0.14983022126915574,0.24803777014051398,0.08325217135912621,4.9093340680424085,-0.1921888681749466,0.5030957838184584,0.5965121210762264,0.6166007063911421,0.16560146149332755,0.2690478039848686,0.08660832096551292,4.611459375044626,0.2874951254989005,0.5344041003163347,0.4471846102719008,0.983730929824365,0.19486971905231432,0.2691010537604672,0.08748550391797257,5.807010691147796,-0.5940302680770695,0.5257049209288706,0.6151130159761053,0.6630527150230126,0.13413128024910814,0.23684885576410356,0.08565273750870797,5.312525793800383,-0.1941307308798185,0.47601210281296574,0.5257557819863415,0.6114472217877275,0.16005639759459628,0.25346714678825605,0.09187859226092322,4.646182482815423,-0.10034308342762202,0.5013954210430643,0.515501652156969,355.0,-14
275,61,4.441983313935252,-0.8793996690433881,0.5667780934387948,0.43853835073764286,0.740003741824108,0.22231996921000466,0.2522697716878294,0.08938432288269053,4.439402798548353,-0.6660253449631665,0.5245307785481483,0.5562490010005995,0.6949999400760684,0.2630211866966695,0.2686158345278892,0.09351687200402123,3.89029651916083,-0.7666083518993282,0.5929650583022552,0.5252101218940645,0.7535694552352442,0.39911460880485505,0.25283156370863996,0.10199974771774724,3.1789000207635683,-1.1929258453281273,0.6702416784498968,0.526019059540926,0.6600105048216993,0.24384035935061388,0.221094938131456,0.09019021609589353,3.9352321484363375,-0.6775824392053663,0.5019573274391778,0.5093084652044969,0.7191649991500052,0.4424992727193622,0.16602531988782143,0.09718716451846472,3.1526404956114567,-1.4005424829015836,0.5152812686343805,0.5549484744881673,0.675687750037599,0.34032953292944107,0.27434600879840954,0.10435387009042686,3.196058877598551,-0.8914246216189546,0.6637665365230943,0.4786543851020031,-524.0,-58
333,98,3.5003140180642216,-0.08700821658819756,1.056370609581118,0.5021968700727816,0.4440937472841261,0.29683217835677816,0.2856674866872272,0.08758892118536166,2.793011825888193,0.35629265691956796,0.7516493953022393,0.44537200759762585,0.5356859479425944,0.2397706181120598,0.4882307197378009,0.08642662570176593,3.2359979420660716,0.11163265256769586,0.8264561146269426,0.4758050616389217,0.5573046565968096,0.1929343894100109,0.32840032272833747,0.08847389121495998,3.948860357698915,-0.1920930705420337,0.6060659192556799,0.5286525780769248,0.5889245405363808,0.21616653651057338,0.3763737798872447,0.08692283904715904,3.8793714059643896,-0.3845128251406542,0.6714363500362515,0.5576792956525249,0.5165914706791813,0.18805167311746782,0.32171304225957525,0.08565872802736782,3.8502688290991256,-0.04438901926912784,0.6045507195758897,0.4950418415370643,0.5461253774016118,0.20828078832299166,0.30395390781487075,0.09210737234368606,3.7489813962726415,0.1424773476237534,0.5922711797578396,0.4897436445060468,288.0,-8
391,55,3.9645616339901864,-0.2304142112030263,0.9702244089853089,0.45029529812201685,0.5221258691324306,0.1995754752531214,0.32646527137752585,0.08745175144813834,3.7493220243760956,0.21604215469083946,0.6311308143319984,0.4688188823878352,0.6167258610795677,0.2044052251999141,0.27421241804796964,0.09150115955618222,4.077617571311051,0.2270064785626272,0.5337204916763273,0.4721874204342017,0.861791719437627,0.34830503663927115,0.32081707576124147,0.09301587887974028,4.080465367119233,-1.106772057269571,0.7102957410089665,0.5911881643154928,0.6042220435390785,0.16028567992439974,0.23675253737889107,0.08707969503580239,4.647548028877568,-0.31079716003481167,0.486511372295292,0.4951234056719316,0.7010751295190403,0.1838329293157835,0.2592611233606848,0.08548017353539045,4.6932520772556225,-0.5182782310337755,0.5246261617555039,0.5178744686444202,0.5706133694970492,0.245520461100433,0.23556919259843048,0.09262066341733195,3.4963248657948953,-0.4863421620275155,0.5431455000012017,0.5098245995881915,-53.0,-28
447,33,2.949449336759819,-0.2681378106141815,1.0001272957123564,0.44378786465377706,1.0140152202435837,0.3816116642837925,0.33900851348438493,0.09013202670832936,4.510177251130577,1.2319835476252279,0.7497414563314813,0.38120241374704145,0.4996139998885711,0.255261148040658,0.34720832916833283,0.09255917699924673,3.1350977556684088,-0.37917864568880505,0.7502562193775545,0.502147105348154,0.6703017534727881,0.2179125664094094,0.2693525616179988,0.09107373728136593,4.2138492706375725,-0.623888601818289,0.5625759539651047,0.5100776128052953,1.0557618489883265,0.5899772746402625,0.35791232662952366,0.11077285576411687,3.1794545255702973,-1.887046030836193,1.1792459800157664,0.5699021321149448,0.5094644624774677,0.3187999333318767,0.43769682095542933,0.09398825007535808,2.6520764492588715,-0.033547647932491945,1.011249368195525,0.48145749919118297,0.8000928019433727,0.39871680224748896,0.3163857457848785,0.10205397518912733,3.360019437091016,-1.1656604931619978,0.7581141281497917,0.5472859829579231,51.0,-26
505,92,5.5972390860154855,-0.15935940900278733,1.826628279215339,0.5262027918874645,0.7007412071627717,0.1306813382569454,0.2381741299056378,0.08880553563036664,5.584441386956198,0.20944004608148875,0.4777091428591362,0.45179647318020594,0.62139820103819,0.142523008255139,0.2549719794420149,0.08724122283502567,4.901366495828614,-0.13147332171366585,0.5074555142648157,0.5224739986301489,0.7259565378319183,0.1264742931418205,0.23629597542808164,0.08492464962979622,5.657911725552084,-0.2107544079847401,0.47384288203387986,0.5562688795491129,0.661148480785586,0.1415973431309809,0.25050371927231246,0.08597335763223742,5.139067915590539,-0.2147405323079423,0.4960289927601343,0.5329844640641639,0.6925145555968482,0.140478878780205,0.24455314686645369,0.08732997009732028,5.29953539044518,-0.22926559479118996,0.4891597435168458,0.5525694828571717,0.710901112645034,0.12948888951922388,0.22871725095811174,0.08984890162548906,5.554011551978052,-0.17314100819807646,0.47002087681528576,0.5463566174891031,15.0,-20
