,Unnamed: 0,round,response,rt,user,session,subj_id,actions,response_opp
0,0,1,1,6.332000000000001,usuario3,s3t1330,usuario3s3t1330,--1,1
1,1,2,1,12.817,usuario3,s3t1330,usuario3s3t1330,111,1
2,2,3,1,6.144,usuario3,s3t1330,usuario3s3t1330,111,0
3,3,4,0,-4.218,usuario3,s3t1330,usuario3s3t1330,100,0
4,4,5,0,-5.595,usuario3,s3t1330,usuario3s3t1330,000,1
5,5,6,0,-7.189,usuario3,s3t1330,usuario3s3t1330,010,1
6,6,7,0,-3.908,usuario3,s3t1330,usuario3s3t1330,010,0
7,7,8,1,6.316,usuario3,s3t1330,usuario3s3t1330,001,1
8,8,9,0,-3.247,usuario3,s3t1330,usuario3s3t1330,110,0
9,9,10,0,-7.337999999999999,usuario3,s3t1330,usuario3s3t1330,000,1
10,10,11,1,4.938,usuario3,s3t1330,usuario3s3t1330,011,0
11,11,12,0,-3.3339999999999996,usuario3,s3t1330,usuario3s3t1330,100,0
12,12,13,0,-9.197000000000001,usuario3,s3t1330,usuario3s3t1330,000,1
13,13,14,0,-2.491,usuario3,s3t1330,usuario3s3t1330,010,1
14,14,15,0,-4.05,usuario3,s3t1330,usuario3s3t1330,010,0
15,15,16,1,6.82,usuario3,s3t1330,usuario3s3t1330,001,0
16,16,17,1,2.946,usuario3,s3t1330,usuario3s3t1330,101,0
17,17,18,0,-22.278000000000002,usuario3,s3t1330,usuario3s3t1330,100,0
18,18,19,0,-3.7739999999999996,usuario3,s3t1330,usuario3s3t1330,000,1
19,19,20,1,2.7260000000000004,usuario3,s3t1330,usuario3s3t1330,011,1
20,20,21,0,-4.863,usuario3,s3t1330,usuario3s3t1330,110,1
21,21,22,0,-2.656,usuario3,s3t1330,usuario3s3t1330,010,0
22,22,23,0,-15.274000000000001,usuario3,s3t1330,usuario3s3t1330,000,1
23,23,24,1,3.265,usuario3,s3t1330,usuario3s3t1330,011,0
24,24,25,1,3.2960000000000003,usuario3,s3t1330,usuario3s3t1330,101,0
25,25,26,1,3.437,usuario3,s3t1330,usuario3s3t1330,101,1
26,26,27,0,-6.065,usuario3,s3t1330,usuario3s3t1330,110,1
27,27,28,0,-4.48,usuario3,s3t1330,usuario3s3t1330,010,1
28,28,29,1,3.5589999999999997,usuario3,s3t1330,usuario3s3t1330,011,1
29,29,30,0,-5.468999999999999,usuario3,s3t1330,usuario3s3t1330,110,0
30,30,31,0,-4.502,usuario3,s3t1330,usuario3s3t1330,000,0
31,31,32,0,-2.685,usuario3,s3t1330,usuario3s3t1330,000,0
32,32,33,0,-2.472,usuario3,s3t1330,usuario3s3t1330,000,1
33,33,34,1,4.155,usuario3,s3t1330,usuario3s3t1330,011,1
34,34,35,1,4.425,usuario3,s3t1330,usuario3s3t1330,111,1
35,35,36,0,-2.9210000000000003,usuario3,s3t1330,usuario3s3t1330,110,0
36,36,37,0,-2.7939999999999996,usuario3,s3t1330,usuario3s3t1330,000,0
37,37,38,1,3.392,usuario3,s3t1330,usuario3s3t1330,001,1
38,38,39,1,2.7889999999999997,usuario3,s3t1330,usuario3s3t1330,111,1
39,39,40,1,5.223,usuario3,s3t1330,usuario3s3t1330,111,0
40,40,41,0,-29.46,usuario3,s3t1330,usuario3s3t1330,100,0
41,41,42,0,-3.343,usuario3,s3t1330,usuario3s3t1330,000,0
42,42,43,1,22.588,usuario3,s3t1330,usuario3s3t1330,001,0
43,43,44,1,3.9589999999999996,usuario3,s3t1330,usuario3s3t1330,101,1
44,44,45,1,11.148,usuario3,s3t1330,usuario3s3t1330,111,1
45,45,46,1,15.623,usuario3,s3t1330,usuario3s3t1330,111,0
46,46,47,0,-2.246,usuario3,s3t1330,usuario3s3t1330,100,1
47,47,48,0,-10.468,usuario3,s3t1330,usuario3s3t1330,010,0
48,48,49,0,-2.562,usuario3,s3t1330,usuario3s3t1330,000,0
49,49,50,0,-1.865,usuario3,s3t1330,usuario3s3t1330,000,0
50,0,1,1,11.907,usuario12,s3t1330,usuario12s3t1330,--1,1
51,1,2,0,-6.2410000000000005,usuario12,s3t1330,usuario12s3t1330,110,1
52,2,3,0,-10.245,usuario12,s3t1330,usuario12s3t1330,010,0
53,3,4,1,6.002999999999999,usuario12,s3t1330,usuario12s3t1330,001,0
54,4,5,0,-6.0120000000000005,usuario12,s3t1330,usuario12s3t1330,100,1
55,5,6,1,4.114,usuario12,s3t1330,usuario12s3t1330,011,0
56,6,7,0,-3.8280000000000003,usuario12,s3t1330,usuario12s3t1330,100,0
57,7,8,1,3.321,usuario12,s3t1330,usuario12s3t1330,001,0
58,8,9,0,-3.235,usuario12,s3t1330,usuario12s3t1330,100,0
59,9,10,0,-2.886,usuario12,s3t1330,usuario12s3t1330,000,0
60,10,11,0,-6.386,usuario12,s3t1330,usuario12s3t1330,000,1
61,11,12,0,-3.9219999999999997,usuario12,s3t1330,usuario12s3t1330,010,0
62,12,13,0,-3.031,usuario12,s3t1330,usuario12s3t1330,000,0
63,13,14,0,-3.115,usuario12,s3t1330,usuario12s3t1330,000,0
64,14,15,0,-2.13,usuario12,s3t1330,usuario12s3t1330,000,0
65,15,16,0,-3.3789999999999996,usuario12,s3t1330,usuario12s3t1330,000,0
66,16,17,1,3.065,usuario12,s3t1330,usuario12s3t1330,001,1
67,17,18,1,4.792,usuario12,s3t1330,usuario12s3t1330,111,0
68,18,19,0,-3.475,usuario12,s3t1330,usuario12s3t1330,100,0
69,19,20,0,-4.019,usuario12,s3t1330,usuario12s3t1330,000,1
70,20,21,0,-2.5610000000000004,usuario12,s3t1330,usuario12s3t1330,010,1
71,21,22,0,-4.199,usuario12,s3t1330,usuario12s3t1330,010,0
72,22,23,0,-2.403,usuario12,s3t1330,usuario12s3t1330,000,0
73,23,24,0,-2.565,usuario12,s3t1330,usuario12s3t1330,000,0
74,24,25,1,4.708,usuario12,s3t1330,usuario12s3t1330,001,0
75,25,26,0,-3.512,usuario12,s3t1330,usuario12s3t1330,100,0
76,26,27,0,-2.886,usuario12,s3t1330,usuario12s3t1330,000,0
77,27,28,0,-2.805,usuario12,s3t1330,usuario12s3t1330,000,0
78,28,29,0,-4.507,usuario12,s3t1330,usuario12s3t1330,000,0
