,round,response,rt,user,session,subj_id
0,1,1,6.332,usuario3,s3t1330,usuario3s3t1330
1,2,1,12.817,usuario3,s3t1330,usuario3s3t1330
2,3,1,6.144,usuario3,s3t1330,usuario3s3t1330
3,4,0,4.218,usuario3,s3t1330,usuario3s3t1330
4,5,0,5.595,usuario3,s3t1330,usuario3s3t1330
5,6,0,7.189,usuario3,s3t1330,usuario3s3t1330
6,7,0,3.908,usuario3,s3t1330,usuario3s3t1330
7,8,1,6.316,usuario3,s3t1330,usuario3s3t1330
8,9,0,3.247,usuario3,s3t1330,usuario3s3t1330
9,10,0,7.338,usuario3,s3t1330,usuario3s3t1330
10,11,1,4.938,usuario3,s3t1330,usuario3s3t1330
11,12,0,3.334,usuario3,s3t1330,usuario3s3t1330
12,13,0,9.197,usuario3,s3t1330,usuario3s3t1330
13,14,0,2.491,usuario3,s3t1330,usuario3s3t1330
14,15,0,4.05,usuario3,s3t1330,usuario3s3t1330
15,16,1,6.82,usuario3,s3t1330,usuario3s3t1330
16,17,1,2.946,usuario3,s3t1330,usuario3s3t1330
17,18,0,22.278,usuario3,s3t1330,usuario3s3t1330
18,19,0,3.774,usuario3,s3t1330,usuario3s3t1330
19,20,1,2.726,usuario3,s3t1330,usuario3s3t1330
20,21,0,4.863,usuario3,s3t1330,usuario3s3t1330
21,22,0,2.656,usuario3,s3t1330,usuario3s3t1330
22,23,0,15.274,usuario3,s3t1330,usuario3s3t1330
23,24,1,3.265,usuario3,s3t1330,usuario3s3t1330
24,25,1,3.296,usuario3,s3t1330,usuario3s3t1330
25,26,1,3.437,usuario3,s3t1330,usuario3s3t1330
26,27,0,6.065,usuario3,s3t1330,usuario3s3t1330
27,28,0,4.48,usuario3,s3t1330,usuario3s3t1330
28,29,1,3.559,usuario3,s3t1330,usuario3s3t1330
29,30,0,5.469,usuario3,s3t1330,usuario3s3t1330
30,31,0,4.502,usuario3,s3t1330,usuario3s3t1330
31,32,0,2.685,usuario3,s3t1330,usuario3s3t1330
32,33,0,2.472,usuario3,s3t1330,usuario3s3t1330
33,34,1,4.155,usuario3,s3t1330,usuario3s3t1330
34,35,1,4.425,usuario3,s3t1330,usuario3s3t1330
35,36,0,2.921,usuario3,s3t1330,usuario3s3t1330
36,37,0,2.794,usuario3,s3t1330,usuario3s3t1330
37,38,1,3.392,usuario3,s3t1330,usuario3s3t1330
38,39,1,2.789,usuario3,s3t1330,usuario3s3t1330
39,40,1,5.223,usuario3,s3t1330,usuario3s3t1330
40,41,0,29.46,usuario3,s3t1330,usuario3s3t1330
41,42,0,3.343,usuario3,s3t1330,usuario3s3t1330
42,43,1,22.588,usuario3,s3t1330,usuario3s3t1330
43,44,1,3.959,usuario3,s3t1330,usuario3s3t1330
44,45,1,11.148,usuario3,s3t1330,usuario3s3t1330
45,46,1,15.623,usuario3,s3t1330,usuario3s3t1330
46,47,0,2.246,usuario3,s3t1330,usuario3s3t1330
47,48,0,10.468,usuario3,s3t1330,usuario3s3t1330
48,49,0,2.562,usuario3,s3t1330,usuario3s3t1330
49,50,0,1.865,usuario3,s3t1330,usuario3s3t1330
0,1,1,11.907,usuario12,s3t1330,usuario12s3t1330
1,2,0,6.241,usuario12,s3t1330,usuario12s3t1330
2,3,0,10.245,usuario12,s3t1330,usuario12s3t1330
3,4,1,6.003,usuario12,s3t1330,usuario12s3t1330
4,5,0,6.012,usuario12,s3t1330,usuario12s3t1330
